Year,Sex,Age,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2009,,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2010,,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.1
2011,,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2012,,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2013,,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2014,,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.4
2015,,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2016,,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.1
2017,,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.4
1981,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1982,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1983,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.1
1984,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.1
1985,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1987,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.4
1988,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1991,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1993,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.5
1994,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.5
1995,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.4
1996,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
1997,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1998,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1999,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2000,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2001,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2002,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2004,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2005,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2006,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2007,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.5
2008,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2009,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2011,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.4
2012,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.5
2013,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2014,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.4
2015,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2016,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2017,Male,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.4
1982,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1983,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
1987,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1994,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
1995,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
1998,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.4
2000,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2001,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2002,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2005,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2006,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2007,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2008,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2009,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2010,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2011,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2013,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.2
2014,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2015,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.3
2017,Female,10 to 14,,,Undefined,Units,"Rate per 100,000 population",,0.4
1981,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.8
1982,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.9
1983,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.1
1984,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.3
1985,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.7
1986,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.2
1987,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.1
1988,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.9
1989,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.3
1990,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.8
1991,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.5
1992,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.0
1993,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.0
1994,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.6
1995,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.7
1996,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.0
1997,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.3
1998,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.0
1999,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.6
2000,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.7
2001,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.3
2002,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.7
2003,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.8
2004,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.3
2005,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.9
2006,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.5
2007,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.6
2008,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.8
2009,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.5
2010,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.1
2011,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.9
2012,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.2
2013,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.4
2014,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,4.9
2015,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.8
2016,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.3
2017,,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.6
1981,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.1
1982,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.8
1983,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.1
1984,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.5
1985,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.0
1986,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.7
1987,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.0
1988,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,10.5
1989,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.4
1990,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.1
1991,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.6
1992,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.6
1993,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.5
1994,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.1
1995,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,8.4
1996,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,8.3
1997,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.8
1998,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,10.4
1999,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.9
2000,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,9.6
2001,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,10.2
2002,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,8.5
2003,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.7
2004,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.3
2005,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.9
2006,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.6
2007,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.8
2008,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.2
2009,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.5
2010,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,5.5
2011,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.6
2012,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,6.4
2013,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.0
2014,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.0
2015,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,8.3
2016,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.5
2017,Male,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,7.6
1981,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.4
1982,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,1.9
1983,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.1
1984,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,1.9
1985,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.2
1986,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.6
1987,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.0
1988,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.0
1989,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.1
1990,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.4
1991,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.1
1992,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.3
1993,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.3
1994,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,1.9
1995,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.0
1996,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.6
1997,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.6
1998,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.5
1999,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.2
2000,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.8
2001,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.3
2002,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.7
2003,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.7
2004,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.3
2005,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.8
2006,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.3
2007,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.3
2008,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.3
2009,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.4
2010,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.7
2011,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.1
2012,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,1.9
2013,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,1.6
2014,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.7
2015,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.1
2016,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,2.9
2017,Female,15 to 19,,,Undefined,Units,"Rate per 100,000 population",,3.5
1981,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.6
1982,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.3
1983,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,8.8
1984,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,8.7
1985,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,10.2
1986,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,11.0
1987,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,11.9
1988,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,13.9
1989,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,12.7
1990,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.3
1991,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,13.4
1992,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.4
1993,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,15.3
1994,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.4
1995,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,13.8
1996,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,13.1
1997,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.7
1998,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,15.7
1999,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,13.7
2000,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.2
2001,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,12.1
2002,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,11.2
2003,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,11.6
2004,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,10.2
2005,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.9
2006,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.1
2007,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,8.9
2008,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.6
2009,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.4
2010,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,10.2
2011,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.9
2012,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.4
2013,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.0
2014,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.2
2015,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,9.5
2016,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,10.4
2017,,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,8.7
1981,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.6
1982,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,13.6
1983,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,13.5
1984,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.0
1985,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,16.5
1986,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,17.8
1987,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,19.1
1988,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,22.5
1989,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,20.7
1990,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,24.1
1991,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,21.9
1992,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,23.6
1993,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,25.5
1994,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,23.9
1995,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,23.3
1996,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,21.2
1997,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,23.9
1998,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,25.8
1999,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,22.4
2000,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,23.3
2001,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,19.3
2002,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,17.9
2003,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,18.4
2004,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,16.5
2005,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,15.3
2006,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.9
2007,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,15.0
2008,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,15.8
2009,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,15.2
2010,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,15.8
2011,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,15.4
2012,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,15.5
2013,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.3
2014,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,13.7
2015,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.9
2016,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,14.8
2017,Male,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,12.9
1981,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.4
1982,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.9
1983,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.1
1984,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,3.3
1985,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,3.7
1986,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.1
1987,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.6
1988,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,5.2
1989,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.5
1990,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.3
1991,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.7
1992,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,5.1
1993,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.8
1994,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.8
1995,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.2
1996,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.9
1997,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,5.4
1998,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,5.5
1999,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,5.0
2000,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,5.0
2001,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.9
2002,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.6
2003,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.9
2004,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,3.9
2005,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.4
2006,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,3.3
2007,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,2.8
2008,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,3.5
2009,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,3.6
2010,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.5
2011,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.3
2012,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,3.2
2013,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,3.5
2014,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.5
2015,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,3.9
2016,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,5.7
2017,Female,20 to 24,,,Undefined,Units,"Rate per 100,000 population",,4.3
1981,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,12.4
1982,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,12.4
1983,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,11.3
1984,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,11.5
1985,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,11.7
1986,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,12.0
1987,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,11.9
1988,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,12.9
1989,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,13.5
1990,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.5
1991,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,14.5
1992,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.5
1993,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.0
1994,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.8
1995,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.6
1996,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.1
1997,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.3
1998,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,18.0
1999,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,16.4
2000,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,16.5
2001,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,13.9
2002,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.5
2003,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,12.8
2004,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,12.2
2005,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,11.1
2006,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,10.8
2007,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,10.0
2008,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,11.6
2009,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,12.3
2010,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,9.5
2011,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,11.2
2012,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,11.7
2013,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,9.6
2014,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,10.5
2015,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,10.8
2016,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,10.9
2017,,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,10.6
1981,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,19.4
1982,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,18.6
1983,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,17.4
1984,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,17.3
1985,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,18.7
1986,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,18.4
1987,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,18.0
1988,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,21.1
1989,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,21.2
1990,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,25.3
1991,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,24.4
1992,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,24.5
1993,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,24.0
1994,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,26.0
1995,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,26.1
1996,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,24.6
1997,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,25.2
1998,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,30.0
1999,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,26.9
2000,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,26.7
2001,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,23.1
2002,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,23.7
2003,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,21.1
2004,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,19.1
2005,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,17.1
2006,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,16.6
2007,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,16.6
2008,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,18.5
2009,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,19.2
2010,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.1
2011,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,17.4
2012,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,18.4
2013,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,15.9
2014,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,16.5
2015,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,16.6
2016,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,17.5
2017,Male,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,17.0
1981,Female,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,5.4
1982,Female,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,6.1
1983,Female,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,5.1
1984,Female,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,5.6
1985,Female,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,4.6
1986,Female,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,5.5
1987,Female,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,5.8
1988,Female,25 to 29,,,Undefined,Units,"Rate per 100,000 population",,4.7
