Year,Series,Country,Vaccine,Age,Region,Units,Unit multiplier,Observation status,GeoCode,Value
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,North West,Percentage (%),Units,Normal value,E12000002,92.1
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,North West,Percentage (%),Units,Normal value,E12000002,91.3
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,North West,Percentage (%),Units,Normal value,E12000002,90.7
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,North West,Percentage (%),Units,Normal value,E12000002,90.2
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,North West,Percentage (%),Units,Normal value,E12000002,89.5
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,North West,Percentage (%),Units,Normal value,E12000002,96.7
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,North West,Percentage (%),Units,Normal value,E12000002,96.6
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,North West,Percentage (%),Units,Normal value,E12000002,96.3
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,North West,Percentage (%),Units,Normal value,E12000002,96.5
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,North West,Percentage (%),Units,Normal value,E12000002,95.9
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,North West,Percentage (%),Units,Normal value,E12000002,95.1
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,North West,Percentage (%),Units,Normal value,E12000002,95.5
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,North West,Percentage (%),Units,Normal value,E12000002,95.8
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,North West,Percentage (%),Units,Normal value,E12000002,91.5
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,North West,Percentage (%),Units,Normal value,E12000002,90.2
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,North West,Percentage (%),Units,Normal value,E12000002,88.2
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,North West,Percentage (%),Units,Normal value,E12000002,89.4
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,North West,Percentage (%),Units,Normal value,E12000002,88.8
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,North West,Percentage (%),Units,Normal value,E12000002,88.3
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,North West,Percentage (%),Units,Normal value,E12000002,87.3
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,North West,Percentage (%),Units,Normal value,E12000002,86.2
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,North West,Percentage (%),Units,Normal value,E12000002,96.0
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,North West,Percentage (%),Units,Normal value,E12000002,96.2
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,North West,Percentage (%),Units,Normal value,E12000002,96.3
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,North West,Percentage (%),Units,Normal value,E12000002,96.5
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,North West,Percentage (%),Units,Normal value,E12000002,95.9
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,North West,Percentage (%),Units,Normal value,E12000002,95.3
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,North West,Percentage (%),Units,Normal value,E12000002,95.1
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,North West,Percentage (%),Units,Normal value,E12000002,95.2
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,North West,Percentage (%),Units,Normal value,E12000002,91.5
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,North West,Percentage (%),Units,Normal value,E12000002,90.7
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,North West,Percentage (%),Units,Normal value,E12000002,89.4
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,North West,Percentage (%),Units,Normal value,E12000002,90.3
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,North West,Percentage (%),Units,Normal value,E12000002,89.4
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,North West,Percentage (%),Units,Normal value,E12000002,88.9
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,North West,Percentage (%),Units,Normal value,E12000002,88.1
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,North West,Percentage (%),Units,Normal value,E12000002,87.4
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,North West,Percentage (%),Units,Normal value,E12000002,92.8
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,North West,Percentage (%),Units,Normal value,E12000002,93.2
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,North West,Percentage (%),Units,Normal value,E12000002,93.9
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,North West,Percentage (%),Units,Normal value,E12000002,93.7
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,North West,Percentage (%),Units,Normal value,E12000002,93.6
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,North West,Percentage (%),Units,Normal value,E12000002,93.6
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,North West,Percentage (%),Units,Normal value,E12000002,93.4
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,North West,Percentage (%),Units,Normal value,E12000002,93.7
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,North West,Percentage (%),Units,Normal value,E12000002,87.99192385347563
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.7
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.3
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.0
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.7
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.4
2015/16,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,92.9
2014/15,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.0
2013/14,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.6
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.6
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.5
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.4
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.2
2015/16,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South East,Percentage (%),Units,Normal value,E12000008,92.2
2014/15,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South East,Percentage (%),Units,Normal value,E12000008,92.7
2013/14,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.2
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South East,Percentage (%),Units,Normal value,E12000008,91.9
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South East,Percentage (%),Units,Normal value,E12000008,91.8
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South East,Percentage (%),Units,Normal value,E12000008,90.7
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South East,Percentage (%),Units,Normal value,E12000008,90.9
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South East,Percentage (%),Units,Normal value,E12000008,89.8
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.6
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.9
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,South East,Percentage (%),Units,Normal value,E12000008,92.7
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,South East,Percentage (%),Units,Normal value,E12000008,92.7
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,95.2
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.7
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.7
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,93.8
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,95.0
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.2
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,95.0
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,95.0
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,91.8
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,91.1
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,91.9
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,90.8
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,91.5
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,91.4
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,92.7
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,92.3
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.7
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.0
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,90.7
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,90.7
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.5
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.3
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,92.5
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,92.1
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.4
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.3
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,South East,Percentage (%),Units,Normal value,E12000008,90.5
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,South East,Percentage (%),Units,Normal value,E12000008,90.8
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.3
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.3
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,South East,Percentage (%),Units,Normal value,E12000008,92.5
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,South East,Percentage (%),Units,Normal value,E12000008,93.0
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.2
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.6
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.2
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.6
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.3
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.3
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.4
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,94.1
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,95.3
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South East,Percentage (%),Units,Normal value,E12000008,95.7
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,South East,Percentage (%),Units,Normal value,E12000008,87.4
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,South East,Percentage (%),Units,Normal value,E12000008,86.9
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,South East,Percentage (%),Units,Normal value,E12000008,83.7
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,South East,Percentage (%),Units,Normal value,E12000008,84.4
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,South East,Percentage (%),Units,Normal value,E12000008,84.1
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,South East,Percentage (%),Units,Normal value,E12000008,84.3
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,South East,Percentage (%),Units,Normal value,E12000008,87.5
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,South East,Percentage (%),Units,Normal value,E12000008,88.6
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,92.6
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,93.2
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,93.5
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,93.4
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,93.9
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,94.1
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,95.0
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,South East,Percentage (%),Units,Normal value,E12000008,95.3
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,South East,Percentage (%),Units,Normal value,E12000008,86.6
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,South East,Percentage (%),Units,Normal value,E12000008,86.8
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,South East,Percentage (%),Units,Normal value,E12000008,86.4
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,South East,Percentage (%),Units,Normal value,E12000008,86.2
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,South East,Percentage (%),Units,Normal value,E12000008,87.2
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,South East,Percentage (%),Units,Normal value,E12000008,87.4
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,South East,Percentage (%),Units,Normal value,E12000008,89.1
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,South East,Percentage (%),Units,Normal value,E12000008,89.5
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,90.2
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.8
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.3
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.2
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,90.9
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,91.2
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,92.6
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,South East,Percentage (%),Units,Normal value,E12000008,93.5
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,South East,Percentage (%),Units,Normal value,E12000008,89.08642443790913
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.8
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.4
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.0
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,95.0
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.6
2015/16,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.8
2014/15,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,95.6
2013/14,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,96.0
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.8
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.4
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South West,Percentage (%),Units,Normal value,E12000009,95.2
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.8
2015/16,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.9
2014/15,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South West,Percentage (%),Units,Normal value,E12000009,95.4
2013/14,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,South West,Percentage (%),Units,Normal value,E12000009,95.8
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South West,Percentage (%),Units,Normal value,E12000009,92.8
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South West,Percentage (%),Units,Normal value,E12000009,91.8
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South West,Percentage (%),Units,Normal value,E12000009,91.5
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South West,Percentage (%),Units,Normal value,E12000009,91.9
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,South West,Percentage (%),Units,Normal value,E12000009,90.3
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.7
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.3
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,South West,Percentage (%),Units,Normal value,E12000009,93.8
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,South West,Percentage (%),Units,Normal value,E12000009,94.6
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,97.4
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,96.9
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,96.5
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,96.3
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,96.5
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,95.9
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,95.7
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,South West,Percentage (%),Units,Normal value,E12000009,95.8
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South West,Percentage (%),Units,Normal value,E12000009,94.2
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South West,Percentage (%),Units,Normal value,E12000009,93.7
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South West,Percentage (%),Units,Normal value,E12000009,92.9
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South West,Percentage (%),Units,Normal value,E12000009,93.1
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South West,Percentage (%),Units,Normal value,E12000009,93.3
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South West,Percentage (%),Units,Normal value,E12000009,93.0
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South West,Percentage (%),Units,Normal value,E12000009,93.3
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,South West,Percentage (%),Units,Normal value,E12000009,93.3
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South West,Percentage (%),Units,Normal value,E12000009,93.5
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South West,Percentage (%),Units,Normal value,E12000009,93.6
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,South West,Percentage (%),Units,Normal value,E12000009,93.0
