Year,Series,Age,Sex,Citizenship,Disability status,Ethnicity,Index of multiple deprivation quintile,Household income,Region,Urban or rural,Observation status,Unit multiplier,Units,GeoCode,Value
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,,Normal value,Units,Percentage (%),,28.8
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,,Normal value,Units,Percentage (%),,24.2
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,,Normal value,Units,Percentage (%),,22.8
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,,Normal value,Units,Percentage (%),,24.9
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,,Normal value,Units,Percentage (%),,35.2
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Black,,,,,Normal value,Units,Percentage (%),,44.8
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,,Normal value,Units,Percentage (%),,33.0
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Other,,,,,Normal value,Units,Percentage (%),,43.8
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 1 (Most deprived),,,,Normal value,Units,Percentage (%),,28.7
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 2,,,,Normal value,Units,Percentage (%),,27.7
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 3,,,,Normal value,Units,Percentage (%),,24.6
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 4,,,,Normal value,Units,Percentage (%),,25.5
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 5 (least deprived),,,,Normal value,Units,Percentage (%),,27.1
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,United Kingdom,,,,,,,Normal value,Units,Percentage (%),,25.727717702808626
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,Republic of Ireland,,,,,,,Normal value,Units,Percentage (%),,32.17755824694365
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,EU Member State,,,,,,,Normal value,Units,Percentage (%),,32.51781441154034
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,Elsewhere in the world,,,,,,,Normal value,Units,Percentage (%),,43.285987809555095
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Rural,Normal value,Units,Percentage (%),,28.578328305876603
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Urban,Normal value,Units,Percentage (%),,26.13759553603759
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East of England,,Normal value,Units,Percentage (%),E12000006,23.77998518101656
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,26.978710186717898
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,30.359222406233638
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,21.934014916086404
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,25.058034829607035
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,27.156326261272625
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,28.68366134775384
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,26.911712872859272
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,24.08349443978858
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,23.03133979921642
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,28.092475036944435
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,,Normal value,Units,Percentage (%),,26.297700625733757
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,,Normal value,Units,Percentage (%),,26.895584959314
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,,Normal value,Units,Percentage (%),,26.585837170119355
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,,Normal value,Units,Percentage (%),,26.55747679558969
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,,Normal value,Units,Percentage (%),,23.62107361861122
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,,Normal value,Units,Percentage (%),,28.936919236014987
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,,Normal value,Units,Percentage (%),,27.638488093895717
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,,Normal value,Units,Percentage (%),,24.67792979629532
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,,Normal value,Units,Percentage (%),,25.80885338520396
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,,Normal value,Units,Percentage (%),,25.24658749990218
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,,Normal value,Units,Percentage (%),,36.51669902501995
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Black,,,,,Normal value,Units,Percentage (%),,38.631462148265854
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,,Normal value,Units,Percentage (%),,33.04812667557982
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Other,,,,,Normal value,Units,Percentage (%),,28.337645046500608
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 1 (Most deprived),,,,Normal value,Units,Percentage (%),,25.90707740675424
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 2,,,,Normal value,Units,Percentage (%),,26.311046360559622
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 3,,,,Normal value,Units,Percentage (%),,25.02225992285822
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 4,,,,Normal value,Units,Percentage (%),,27.620925693100475
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 5 (least deprived),,,,Normal value,Units,Percentage (%),,28.029973138613727
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,United Kingdom,,,,,,,Normal value,Units,Percentage (%),,25.962330567908147
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,Republic of Ireland,,,,,,,Normal value,Units,Percentage (%),,25.242713945975154
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,EU Member State,,,,,,,Normal value,Units,Percentage (%),,32.59294326195825
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,Elsewhere in the world,,,,,,,Normal value,Units,Percentage (%),,32.70312585459252
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,,Normal value,Units,Percentage (%),,26.991782734756097
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,,Normal value,Units,Percentage (%),,27.70559108438032
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,,Normal value,Units,Percentage (%),,26.3313094235811
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,,Normal value,Units,Percentage (%),,23.8120339092926
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,,Normal value,Units,Percentage (%),,26.8999653949032
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,,Normal value,Units,Percentage (%),,28.0288836412875
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,,Normal value,Units,Percentage (%),,28.3217101806466
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,,Normal value,Units,Percentage (%),,27.6445476269102
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,,Normal value,Units,Percentage (%),,23.433434838905
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,,Normal value,Units,Percentage (%),,24.9936049403593
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,,Normal value,Units,Percentage (%),,34.4284586201145
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Black,,,,,Normal value,Units,Percentage (%),,50.557686834574
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,,Normal value,Units,Percentage (%),,37.9272565557278
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Other,,,,,Normal value,Units,Percentage (%),,29.8716775417969
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,25.3751118650948
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,27.9426063980706
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,24.564535546394
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,26.8698321607326
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,25.7342250122638
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,26.635325126905503
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,24.382213307151403
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East of England,,Normal value,Units,Percentage (%),E12000006,24.377842560452
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,31.4177159721952
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,26.6224681958528
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,28.9698755773227
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Urban,Normal value,Units,Percentage (%),,27.147100222820097
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Rural,Normal value,Units,Percentage (%),,26.331966088914
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 1 (Most deprived),,,,Normal value,Units,Percentage (%),,28.6344995201756
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 2,,,,Normal value,Units,Percentage (%),,26.7469124695924
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 3,,,,Normal value,Units,Percentage (%),,25.7636325020304
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 4,,,,Normal value,Units,Percentage (%),,27.4665724464854
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 5 (least deprived),,,,Normal value,Units,Percentage (%),,26.286545823527906
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,United Kingdom,,,,,,,Normal value,Units,Percentage (%),,26.038395728118907
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,Republic of Ireland,,,,,,,Normal value,Units,Percentage (%),,27.8956998660002
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,EU Member State,,,,,,,Normal value,Units,Percentage (%),,32.557361458878965
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,Elsewhere in the world,,,,,,,Normal value,Units,Percentage (%),,37.14387486707184
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 1,,,Normal value,Units,Percentage (%),,24.072505614124683
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 2,,,Normal value,Units,Percentage (%),,23.03288272062457
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 3,,,Normal value,Units,Percentage (%),,25.479782957749
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 4,,,Normal value,Units,Percentage (%),,25.60306844742862
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 5,,,Normal value,Units,Percentage (%),,25.203065143804626
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 6,,,Normal value,Units,Percentage (%),,26.990254649789343
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 7,,,Normal value,Units,Percentage (%),,32.2312118679158
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 8,,,Normal value,Units,Percentage (%),,26.67059842333257
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,No income,,,Normal value,Units,Percentage (%),,25.57116535105273
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 1,,,Normal value,Units,Percentage (%),,25.2149001548971
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 2,,,Normal value,Units,Percentage (%),,26.01442074999059
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 3,,,Normal value,Units,Percentage (%),,20.990124141749725
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 4,,,Normal value,Units,Percentage (%),,24.31576721912988
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 5,,,Normal value,Units,Percentage (%),,25.50145677670729
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 6,,,Normal value,Units,Percentage (%),,23.389559804647604
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 7,,,Normal value,Units,Percentage (%),,31.709200585490983
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 8,,,Normal value,Units,Percentage (%),,38.50615712827186
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,No income,,,Normal value,Units,Percentage (%),,25.07009748732008
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 1,,,Normal value,Units,Percentage (%),,38.46905232619953
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 2,,,Normal value,Units,Percentage (%),,25.571432898600747
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 3,,,Normal value,Units,Percentage (%),,21.759271182292306
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 4,,,Normal value,Units,Percentage (%),,30.66513078166478
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 5,,,Normal value,Units,Percentage (%),,24.14182500027687
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 6,,,Normal value,Units,Percentage (%),,30.76267995271612
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 7,,,Normal value,Units,Percentage (%),,28.38250325754008
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 8,,,Normal value,Units,Percentage (%),,34.7510939569
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,No income,,,Normal value,Units,Percentage (%),,31.541137491902788
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 1,,,Normal value,Units,Percentage (%),,25.59372975793387
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 2,,,Normal value,Units,Percentage (%),,26.496420383807965
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 3,,,Normal value,Units,Percentage (%),,24.11930783156712
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 4,,,Normal value,Units,Percentage (%),,25.791202855281615
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 5,,,Normal value,Units,Percentage (%),,26.799968058374247
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 6,,,Normal value,Units,Percentage (%),,27.207671158387992
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 7,,,Normal value,Units,Percentage (%),,27.098807589274355
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 8,,,Normal value,Units,Percentage (%),,32.706716676205986
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 1,,,Normal value,Units,Percentage (%),,26.67237974804354
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 2,,,Normal value,Units,Percentage (%),,26.3318033740324
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 3,,,Normal value,Units,Percentage (%),,22.682403147849385
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 4,,,Normal value,Units,Percentage (%),,21.985836469007896
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 5,,,Normal value,Units,Percentage (%),,25.12992838355612
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 6,,,Normal value,Units,Percentage (%),,24.7180221985153
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 7,,,Normal value,Units,Percentage (%),,26.216284812291523
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 8,,,Normal value,Units,Percentage (%),,33.92846941868656
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 1,,,Normal value,Units,Percentage (%),,26.69020233760443
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 2,,,Normal value,Units,Percentage (%),,23.31670418459155
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 3,,,Normal value,Units,Percentage (%),,23.900439098009933
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 4,,,Normal value,Units,Percentage (%),,25.354727930037317
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 5,,,Normal value,Units,Percentage (%),,23.61358399198599
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 6,,,Normal value,Units,Percentage (%),,26.247405368138377
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 7,,,Normal value,Units,Percentage (%),,24.7493171401888
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 8,,,Normal value,Units,Percentage (%),,30.88471682538002
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 1,,,Normal value,Units,Percentage (%),,29.97302849148783
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 2,,,Normal value,Units,Percentage (%),,26.660110748288773
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 3,,,Normal value,Units,Percentage (%),,24.99879400784583
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 4,,,Normal value,Units,Percentage (%),,26.869614711518487
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 5,,,Normal value,Units,Percentage (%),,25.78325371997939
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 6,,,Normal value,Units,Percentage (%),,23.7098741607438
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 7,,,Normal value,Units,Percentage (%),,24.499582518256894
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 8,,,Normal value,Units,Percentage (%),,33.41194128097677
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 1,,,Normal value,Units,Percentage (%),,29.759030139259814
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 2,,,Normal value,Units,Percentage (%),,26.12035626299105
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 3,,,Normal value,Units,Percentage (%),,25.46019731032536
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 4,,,Normal value,Units,Percentage (%),,24.260403447189383
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 5,,,Normal value,Units,Percentage (%),,25.2402279324164
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 6,,,Normal value,Units,Percentage (%),,25.784364089253582
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 7,,,Normal value,Units,Percentage (%),,30.463675591562406
2020/21,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 8,,,Normal value,Units,Percentage (%),,28.53916665751235
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 1,,,Normal value,Units,Percentage (%),,32.17036651619232
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 2,,,Normal value,Units,Percentage (%),,30.8291522624009
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 3,,,Normal value,Units,Percentage (%),,23.2606621107786
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 4,,,Normal value,Units,Percentage (%),,21.2119757076276
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 5,,,Normal value,Units,Percentage (%),,28.683981621962623
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 6,,,Normal value,Units,Percentage (%),,24.970161705823383
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 7,,,Normal value,Units,Percentage (%),,26.8677804828797
2021/22,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Band 8,,,Normal value,Units,Percentage (%),,31.841945479262783
