Year,Series,Source of revenue,Unit measure,Unit multiplier,Observation status,Value
2013,Local government,Market output,Percentage (%),Units,Undefined,1.2820202405269028
2013,Local government,Pension contributions,Percentage (%),Units,Undefined,0.153001692291445
2013,Local government,Current grants from central government,Percentage (%),Units,Undefined,6.308975841702491
2013,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.0531642243921788
2013,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.5753275755928816
2014,Local government,,Percentage (%),Units,Undefined,9.110368227973304
2014,Local government,Taxes,Percentage (%),Units,Undefined,1.3726477106261503
2014,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.0375114249583693
2014,Local government,Other receipts,Percentage (%),Units,Undefined,0.6071942806345391
2014,Local government,Market output,Percentage (%),Units,Undefined,1.2933178079104537
2014,Local government,Pension contributions,Percentage (%),Units,Undefined,0.1468404512389037
2014,Local government,Current grants from central government,Percentage (%),Units,Undefined,6.245426886526687
2014,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.0703151410434586
2014,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.5878626250485169
2015,Local government,,Percentage (%),Units,Undefined,8.818690068882715
2015,Local government,Taxes,Percentage (%),Units,Undefined,1.3860695363638988
2015,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.0411466459612438
2015,Local government,Other receipts,Percentage (%),Units,Undefined,0.6110350314030615
2015,Local government,Market output,Percentage (%),Units,Undefined,1.2867011202553538
2015,Local government,Pension contributions,Percentage (%),Units,Undefined,0.1425699480749876
2015,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.957261306643299
2015,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.0673709054561626
2015,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.5911711333528058
2016,Local government,,Percentage (%),Units,Undefined,8.419215309605587
2016,Local government,Taxes,Percentage (%),Units,Undefined,1.4299848060206444
2016,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.0396803829325294
2016,Local government,Other receipts,Percentage (%),Units,Undefined,0.6226212812867795
2016,Local government,Market output,Percentage (%),Units,Undefined,1.2824218789454926
2016,Local government,Pension contributions,Percentage (%),Units,Undefined,0.142705086255533
2016,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.512302602119269
2016,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.0714727867124105
2016,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.6026127488020131
2017,Local government,,Percentage (%),Units,Undefined,8.356750071857556
2017,Local government,Taxes,Percentage (%),Units,Undefined,1.4876877751387985
2017,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.045714642300652
2017,Local government,Other receipts,Percentage (%),Units,Undefined,0.6393904210096365
2017,Local government,Market output,Percentage (%),Units,Undefined,1.29995991104791
2017,Local government,Pension contributions,Percentage (%),Units,Undefined,0.1373330257325688
2017,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.383738256962619
2017,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.0729921486165529
2017,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.6186368243498782
2018,Local government,,Percentage (%),Units,Undefined,8.39759416413919
2018,Local government,Taxes,Percentage (%),Units,Undefined,1.5867553898791291
2018,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.062844571274895
2018,Local government,Other receipts,Percentage (%),Units,Undefined,0.6650505744722176
2018,Local government,Market output,Percentage (%),Units,Undefined,1.3249652627332626
2018,Local government,Pension contributions,Percentage (%),Units,Undefined,0.1358675352228414
2018,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.30583735488787
2018,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.0845086731111144
2018,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.6425460548923518
2019,Local government,,Percentage (%),Units,Undefined,8.325021139133474
2019,Local government,Taxes,Percentage (%),Units,Undefined,1.651821325645762
2019,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.0721285185667644
2019,Local government,Other receipts,Percentage (%),Units,Undefined,0.6889263161383302
2019,Local government,Market output,Percentage (%),Units,Undefined,1.3607756186274775
2019,Local government,Pension contributions,Percentage (%),Units,Undefined,0.1446713043110023
2019,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.139076395930792
2019,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.0780203184241644
2019,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.666141621377291
2020,Local government,,Percentage (%),Units,Undefined,10.887163271964386
2020,Local government,Taxes,Percentage (%),Units,Undefined,1.9219939231825327
2020,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.0650467606560022
2020,Local government,Other receipts,Percentage (%),Units,Undefined,0.7865348099730878
2020,Local government,Market output,Percentage (%),Units,Undefined,1.563675111342797
2020,Local government,Pension contributions,Percentage (%),Units,Undefined,0.172930438258932
2020,Local government,Current grants from central government,Percentage (%),Units,Undefined,7.187411766928369
2020,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.0797512089047687
2020,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.7600872259700979
