Year,Series,Age,Sex,Country of birth,Disability status,Ethnicity,Ethnic group,Household income,Region,Urban or rural,Sexual orientation,Highest qualification,Observation status,Unit multiplier,Units,GeoCode,Value
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,16 to 24,,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,25 to 34,,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,35 to 44,,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,45 to 54,,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,55 to 64,,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,65 to 74,,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,75 and over,,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,White,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,White,Irish,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,White,Any other White background,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Indian,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Pakistani,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Any other Asian background,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,African,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,Other ethnic group,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,Born in UK,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,Not born in UK,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,"Less than £10,400",,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,"£10,400 to less than £20,800",,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,"£20,800 to less than £31,200",,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,"£31,200 to less than £41,600",,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,"£41,600 to less than £52,000",,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,"£52,000 or more",,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,East,,,,Missing value,Units,Percentage (%),E12000006,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,East Midlands,,,,Missing value,Units,Percentage (%),E12000004,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,London,,,,Missing value,Units,Percentage (%),E12000007,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,North East,,,,Missing value,Units,Percentage (%),E12000001,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,North West,,,,Missing value,Units,Percentage (%),E12000002,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,South East,,,,Missing value,Units,Percentage (%),E12000008,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,South West,,,,Missing value,Units,Percentage (%),E12000009,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,Wales,,,,Missing value,Units,Percentage (%),W92000004,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,West Midlands,,,,Missing value,Units,Percentage (%),E12000005,
2020/21,Proportion of population who feel safe walking alone after dark,,,,,,,,Yorkshire and The Humber,,,,Missing value,Units,Percentage (%),E12000003,
2020/21,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,16 to 24,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,25 to 34,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,35 to 44,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,45 to 54,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,55 to 64,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,65 to 74,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,75 and over,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,16 to 24,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,25 to 34,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,35 to 44,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,45 to 54,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,55 to 64,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,65 to 74,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,75 and over,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,Non-disabled (GSS harmonised),,,,,,,,Missing value,Units,Percentage (%),,
2020/21,Proportion of population who feel safe walking alone after dark,,,,Disabled (GSS harmonised),,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,16 to 24,,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,25 to 34,,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,35 to 44,,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,45 to 54,,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,55 to 64,,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,65 to 74,,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,75 and over,,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,White,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,White,Irish,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,White,Any other White background,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Indian,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Pakistani,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Any other Asian background,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,African,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,Other ethnic group,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,Born in UK,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,Not born in UK,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,"Less than £10,400",,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,"£10,400 to less than £20,800",,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,"£20,800 to less than £31,200",,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,"£31,200 to less than £41,600",,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,"£41,600 to less than £52,000",,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,"£52,000 or more",,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,East,,,,Missing value,Units,Percentage (%),E12000006,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,East Midlands,,,,Missing value,Units,Percentage (%),E12000004,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,London,,,,Missing value,Units,Percentage (%),E12000007,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,North East,,,,Missing value,Units,Percentage (%),E12000001,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,North West,,,,Missing value,Units,Percentage (%),E12000002,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,South East,,,,Missing value,Units,Percentage (%),E12000008,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,South West,,,,Missing value,Units,Percentage (%),E12000009,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,Wales,,,,Missing value,Units,Percentage (%),W92000004,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,West Midlands,,,,Missing value,Units,Percentage (%),E12000005,
2021/22,Proportion of population who feel safe walking alone after dark,,,,,,,,Yorkshire and The Humber,,,,Missing value,Units,Percentage (%),E12000003,
2021/22,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,16 to 24,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,25 to 34,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,35 to 44,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,45 to 54,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,55 to 64,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,65 to 74,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,75 and over,Female,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,16 to 24,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,25 to 34,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,35 to 44,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,45 to 54,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,55 to 64,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,65 to 74,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,75 and over,Male,,,,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,Non-disabled (GSS harmonised),,,,,,,,Missing value,Units,Percentage (%),,
2021/22,Proportion of population who feel safe walking alone after dark,,,,Disabled (GSS harmonised),,,,,,,,Missing value,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,79.13920834000582
2022/23,Proportion of population who feel safe walking alone after dark,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,78.2357042717056
2022/23,Proportion of population who feel safe walking alone after dark,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,80.4843617879665
2022/23,Proportion of population who feel safe walking alone after dark,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,80.889279291319
2022/23,Proportion of population who feel safe walking alone after dark,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,82.74083396556752
2022/23,Proportion of population who feel safe walking alone after dark,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,79.50311113515671
2022/23,Proportion of population who feel safe walking alone after dark,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,77.64279343623646
2022/23,Proportion of population who feel safe walking alone after dark,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,70.78627769624781
2022/23,Proportion of population who feel safe walking alone after dark,,,,,White,,,,,,,Normal value,Units,Percentage (%),,78.91140128917367
2022/23,Proportion of population who feel safe walking alone after dark,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Normal value,Units,Percentage (%),,78.97658258596466
2022/23,Proportion of population who feel safe walking alone after dark,,,,,White,Irish,,,,,,Normal value,Units,Percentage (%),,86.75848448487493
2022/23,Proportion of population who feel safe walking alone after dark,,,,,White,Gypsy or Irish Traveller,,,,,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,White,Any other White background,,,,,,Normal value,Units,Percentage (%),,77.18535579018153
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,,,,,,,Normal value,Units,Percentage (%),,78.85655957566692
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,White and Black Caribbean,,,,,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,White and Black African,,,,,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,White and Asian,,,,,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,Any other Mixed/Multiple ethnic background,,,,,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,,,,,,,Normal value,Units,Percentage (%),,80.02047301529034
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Indian,,,,,,Normal value,Units,Percentage (%),,77.8777017182118
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Pakistani,,,,,,Normal value,Units,Percentage (%),,83.82075768753474
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Bangladeshi,,,,,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Chinese,,,,,,Missing value; suppressed,Units,Percentage (%),,78.51242006352307
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Any other Asian background,,,,,,Normal value,Units,Percentage (%),,80.40809203689177
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,,,,,,,Normal value,Units,Percentage (%),,82.74855442546087
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,African,,,,,,Normal value,Units,Percentage (%),,84.09687466243645
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Normal value,Units,Percentage (%),,79.55727493058785
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,Any other Black/African/Caribbean background,,,,,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Other ethnic group,,,,,,,Normal value,Units,Percentage (%),,78.30250240273327
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Other ethnic group,Arab,,,,,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,Other ethnic group,Any other ethnic group,,,,,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,Born in UK,,,,,,,,,Normal value,Units,Percentage (%),,79.33552547304778
2022/23,Proportion of population who feel safe walking alone after dark,,,Not born in UK,,,,,,,,,Normal value,Units,Percentage (%),,78.54341277236819
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,"Less than £10,400",,,,,Normal value,Units,Percentage (%),,68.20655829
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,"£10,400 to less than £20,800",,,,,Normal value,Units,Percentage (%),,70.71095104
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,"£20,800 to less than £31,200",,,,,Normal value,Units,Percentage (%),,78.94890824
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,"£31,200 to less than £41,600",,,,,Normal value,Units,Percentage (%),,79.26733527
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,"£41,600 to less than £52,000",,,,,Normal value,Units,Percentage (%),,82.35800698
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,"£52,000 or more",,,,,Normal value,Units,Percentage (%),,84.81613386
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,No income stated or not enough information provided,,,,,Normal value,Units,Percentage (%),,78.42492185
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,North East,,,,Normal value,Units,Percentage (%),E12000001,73.77199349
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,North West,,,,Normal value,Units,Percentage (%),E12000002,77.9330434
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,Yorkshire and The Humber,,,,Normal value,Units,Percentage (%),E12000003,77.11454461
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,East Midlands,,,,Normal value,Units,Percentage (%),E12000004,79.95775847
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,West Midlands,,,,Normal value,Units,Percentage (%),E12000005,75.61841608
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,East,,,,Normal value,Units,Percentage (%),E12000006,79.03934999
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,London,,,,Normal value,Units,Percentage (%),E12000007,82.70921066
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,South East,,,,Normal value,Units,Percentage (%),E12000008,79.09973189
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,South West,,,,Normal value,Units,Percentage (%),E12000009,82.75256681
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,Wales,,,,Normal value,Units,Percentage (%),W92000004,78.92030942
2022/23,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,68.98974760720932
2022/23,Proportion of population who feel safe walking alone after dark,16 to 24,Female,,,,,,,,,,Normal value,Units,Percentage (%),,68.75296977146382
2022/23,Proportion of population who feel safe walking alone after dark,25 to 34,Female,,,,,,,,,,Normal value,Units,Percentage (%),,68.09681601224858
2022/23,Proportion of population who feel safe walking alone after dark,35 to 44,Female,,,,,,,,,,Normal value,Units,Percentage (%),,71.61298862190442
2022/23,Proportion of population who feel safe walking alone after dark,45 to 54,Female,,,,,,,,,,Normal value,Units,Percentage (%),,74.1139707601691
2022/23,Proportion of population who feel safe walking alone after dark,55 to 64,Female,,,,,,,,,,Normal value,Units,Percentage (%),,69.23111759391655
2022/23,Proportion of population who feel safe walking alone after dark,65 to 74,Female,,,,,,,,,,Normal value,Units,Percentage (%),,67.94876587054573
2022/23,Proportion of population who feel safe walking alone after dark,75 and over,Female,,,,,,,,,,Normal value,Units,Percentage (%),,60.59056095888337
2022/23,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,89.71113920596984
2022/23,Proportion of population who feel safe walking alone after dark,16 to 24,Male,,,,,,,,,,Normal value,Units,Percentage (%),,85.20807494802084
2022/23,Proportion of population who feel safe walking alone after dark,25 to 34,Male,,,,,,,,,,Normal value,Units,Percentage (%),,92.36657802882524
2022/23,Proportion of population who feel safe walking alone after dark,35 to 44,Male,,,,,,,,,,Normal value,Units,Percentage (%),,90.4649374395281
2022/23,Proportion of population who feel safe walking alone after dark,45 to 54,Male,,,,,,,,,,Normal value,Units,Percentage (%),,91.65692533289932
2022/23,Proportion of population who feel safe walking alone after dark,55 to 64,Male,,,,,,,,,,Normal value,Units,Percentage (%),,91.33558023471046
2022/23,Proportion of population who feel safe walking alone after dark,65 to 74,Male,,,,,,,,,,Normal value,Units,Percentage (%),,88.44432465031309
2022/23,Proportion of population who feel safe walking alone after dark,75 and over,Male,,,,,,,,,,Normal value,Units,Percentage (%),,84.55216571226501
2022/23,Proportion of population who feel safe walking alone after dark,,,,Non-disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,82.22950460013439
2022/23,Proportion of population who feel safe walking alone after dark,,,,Disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,65.7728651149982
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,Urban,,,Normal value,Units,Percentage (%),,77.15932041
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,Rural,,,Normal value,Units,Percentage (%),,87.4779099
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,Heterosexual/straight,,Normal value,Units,Percentage (%),,79.4728046864179
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,Gay/Lesbian,,Normal value,Units,Percentage (%),,84.13023089432116
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,Bisexual,,Normal value,Units,Percentage (%),,76.03589643233062
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,Other,,Missing value; suppressed,Units,Percentage (%),,
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,Degree or diploma,Normal value,Units,Percentage (%),,82.99289293235162
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,Apprenticeship or A/AS level,Normal value,Units,Percentage (%),,78.71117881676166
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,O level/GCSE,Normal value,Units,Percentage (%),,76.73592332719716
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,Other,Normal value,Units,Percentage (%),,74.94355497246434
2022/23,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,None,Normal value,Units,Percentage (%),,71.77913249774967
