Year,Series,Water type,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1987-1991,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1986-1990,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,90.06108635
1998-2002,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,88.84596335
1999-2003,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,83.04771339
2009-2013,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,91.63612349
2010-2014,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,115.2187552
2011-2015,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,155.6248968
2012-2016,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,183.3019647
2013-2017,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,239.5014033
2014-2018,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,265.3524847
2015-2019,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,278.877332
2016-2020,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,302.1726928
2017-2021,Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,306.075615
1984-1988,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,-2.650970251
1985-1989,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,1.643125665
1986-1990,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,1.371390078
1998-2002,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,-1.014472283
1999-2003,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,-2.629566049
2009-2013,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,3.39685782
2010-2014,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,3.781807514
2011-2015,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,5.0701884
2012-2016,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,4.557139442
2013-2017,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,6.475586171
2014-2018,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,5.703839718
2015-2019,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,5.282709316
2016-2020,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,4.723592429
2017-2021,Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,4.935896043
2001-2005 (baseline),Open water area,Ephemeral,2060052660 (Tay),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060052660 (Tay),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060052660 (Tay),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,52.44747787
1985-1989,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,56.95211688
1986-1990,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,54.51423696
1998-2002,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,69.78137997
1999-2003,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,61.7212328
2009-2013,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,56.99477445
2010-2014,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,45.16156553
2011-2015,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,35.57641037
2012-2016,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,28.46965981
2013-2017,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,16.68124134
2014-2018,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,11.56233337
2015-2019,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,9.636344247
2016-2020,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,9.945611603
2017-2021,Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,16.36130959
1984-1988,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,72.51209027
1985-1989,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,77.73777539
1986-1990,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,63.97098334
1998-2002,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,27.94196668
1999-2003,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,30.95916174
2009-2013,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,26.19828049
2010-2014,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,50.77646427
2011-2015,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,76.54218162
2012-2016,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,91.97474476
2013-2017,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,122.7646427
2014-2018,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,143.9494895
2015-2019,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,152.0204191
2016-2020,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,161.7221924
2017-2021,Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,177.3616335
1984-1988,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-7.177316841
1985-1989,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-5.711893435
1986-1990,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-6.178344434
1998-2002,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-8.029533777
1999-2003,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-8.249210276
2009-2013,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,0.901693625
2010-2014,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,1.459486204
2011-2015,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,2.065537583
2012-2016,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,2.0973549
2013-2017,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,3.59246432
2014-2018,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,3.408715509
2015-2019,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,3.374766889
2016-2020,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,3.300932445
2017-2021,Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,3.205784967
2001-2005 (baseline),Open water area,Ephemeral,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,-35.53645336
1985-1989,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,-34.83603948
1986-1990,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,-30.18147087
1998-2002,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,24.53995543
1999-2003,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,26.09996816
2009-2013,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,18.61827443
2010-2014,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,15.63833174
2011-2015,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,7.640878701
2012-2016,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,-4.41260745
2013-2017,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,-31.39764406
2014-2018,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,-34.41579115
2015-2019,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,-42.9417383
2016-2020,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,-46.55205349
2017-2021,Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,-40.48392232
1984-1988,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,201.7887564
1985-1989,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,270.4599659
1986-1990,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,242.9301533
1998-2002,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,59.16524702
1999-2003,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,80.57921635
2009-2013,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,104.1056218
2010-2014,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,161.0732538
2011-2015,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,210.3577513
2012-2016,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,253.7478705
2013-2017,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,314.3611584
2014-2018,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,364.0374787
2015-2019,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,378.6882453
2016-2020,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,382.1294719
2017-2021,Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,399.7955707
1984-1988,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,5.277215702
1985-1989,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,6.423079147
1986-1990,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,4.514077586
1998-2002,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,-6.019540961
1999-2003,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,1.157426143
2009-2013,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,6.077354455
2010-2014,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,5.795224605
2011-2015,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,7.76666474
2012-2016,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,7.388564491
2013-2017,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,12.86465861
2014-2018,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,11.32681968
2015-2019,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,12.24952304
2016-2020,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,13.34219807
2017-2021,Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,13.07509973
2001-2005 (baseline),Open water area,Ephemeral,2060052940 (Tweed),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060052940 (Tweed),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060052940 (Tweed),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-13.51170569
1985-1989,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-6.153846154
1986-1990,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,25.88628763
1998-2002,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-7.224080268
1999-2003,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,6.421404682
2009-2013,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,34.3812709
2010-2014,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,28.9632107
2011-2015,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,30.63545151
2012-2016,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,21.47157191
2013-2017,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,15.45150502
2014-2018,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,17.85953177
2015-2019,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,24.94983278
2016-2020,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,35.25083612
2017-2021,Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,61.00334448
1984-1988,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,218.5964912
1985-1989,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,259.8245614
1986-1990,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,220.3508772
1998-2002,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,30.87719298
1999-2003,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,81.40350877
2009-2013,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,112.2807018
2010-2014,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,194.0350877
2011-2015,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,245.0877193
2012-2016,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,290.3508772
2013-2017,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,360.7017544
2014-2018,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,356.3157895
2015-2019,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,353.5087719
2016-2020,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,435.9649123
2017-2021,Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,444.0350877
1984-1988,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-9.225352113
1985-1989,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-4.85915493
1986-1990,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-14.29577465
1998-2002,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-27.25352113
1999-2003,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-8.38028169
2009-2013,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-14.50704225
2010-2014,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,0.492957746
2011-2015,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,42.67605634
2012-2016,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,52.3943662
2013-2017,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,59.36619718
2014-2018,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,59.85915493
2015-2019,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,57.18309859
2016-2020,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,35.70422535
2017-2021,Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,29.01408451
2001-2005 (baseline),Open water area,Ephemeral,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-2.663353704
1985-1989,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-0.693036062
1986-1990,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-4.355651064
1998-2002,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-8.231817877
1999-2003,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-2.840641999
2009-2013,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-18.24726345
2010-2014,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-18.42858102
2011-2015,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-21.45188369
2012-2016,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-27.13988315
2013-2017,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-32.48136458
2014-2018,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-32.09723994
2015-2019,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-33.70223625
2016-2020,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-36.827614
2017-2021,Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-30.6359546
1984-1988,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,85.27593819
1985-1989,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,125.7615894
1986-1990,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,130.3200883
1998-2002,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,21.11846946
1999-2003,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,48.4142752
2009-2013,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,62.14128035
2010-2014,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,90.04415011
2011-2015,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,114.4665195
2012-2016,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,154.3267108
2013-2017,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,211.4054452
2014-2018,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,234.415011
2015-2019,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,259.4370861
2016-2020,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,293.1567329
2017-2021,Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,321.8432671
1984-1988,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-13.27786805
1985-1989,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-13.10919727
1986-1990,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-11.28079298
1998-2002,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-15.13097173
1999-2003,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-7.671758206
2009-2013,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,0.057848554
2010-2014,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,1.084822879
2011-2015,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,3.784855379
2012-2016,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,3.340591485
2013-2017,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,5.422164446
2014-2018,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,4.882352941
2015-2019,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,4.202144946
2016-2020,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,4.080597985
2017-2021,Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,3.953851154
2001-2005 (baseline),Open water area,Ephemeral,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-16.49347605
1985-1989,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-25.53480741
1986-1990,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-15.92624424
1998-2002,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,3.647159934
1999-2003,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,6.608328776
2009-2013,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-11.20556293
2010-2014,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-5.366044222
2011-2015,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-7.369325729
2012-2016,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-13.92140011
2013-2017,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-15.13399484
2014-2018,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-14.55269943
2015-2019,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-12.81193843
2016-2020,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-14.90585202
2017-2021,Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,-10.75552778
1984-1988,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,91.86976299
1985-1989,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,147.7423989
1986-1990,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,150.7349773
1998-2002,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,-5.353124252
1999-2003,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,20.40220254
2009-2013,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,41.73330141
2010-2014,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,67.24922193
2011-2015,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,90.97917165
2012-2016,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,140.3926263
2013-2017,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,185.8702418
2014-2018,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,196.3993297
2015-2019,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,222.2599952
2016-2020,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,244.6109648
2017-2021,Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,280.5075413
1984-1988,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,-18.22251309
1985-1989,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,-15.71204188
1986-1990,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,-15.84358639
1998-2002,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,-14.8867801
1999-2003,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,-7.654450262
2009-2013,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,-1.416230366
2010-2014,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,1.093586387
2011-2015,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,4.360602094
2012-2016,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,3.212041885
2013-2017,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,3.678664921
2014-2018,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,3.713350785
2015-2019,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,1.988874346
2016-2020,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,1.978403141
2017-2021,Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,1.504581152
2001-2005 (baseline),Open water area,Ephemeral,2060053240 (North Humber),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060053240 (North Humber),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060053240 (North Humber),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-30.90909091
1985-1989,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-41.81818182
1986-1990,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,-38.18181818
1998-2002,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,10.90909091
1999-2003,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,23.63636364
2009-2013,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,138.1818182
2010-2014,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,127.2727273
2011-2015,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,92.72727273
2012-2016,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,50.90909091
2013-2017,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,92.72727273
2014-2018,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,90.90909091
2015-2019,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,123.6363636
2016-2020,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,101.8181818
2017-2021,Open water area,Ephemeral,2060053250 (Head of Humber Estuary),% change from baseline,Normal value,Units,114.5454545
