Year,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,Great Britain,,Male,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,3.3965814920610797
2015,Great Britain,,Male,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,6.380082364409446
2015,Great Britain,,Male,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,9.448169079806178
2015,Great Britain,,Female,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.2628775842180916
2015,Great Britain,,Female,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.3664133153471371
2015,Great Britain,,Female,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,1.4289284751150806
2015,Great Britain,,Female,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,1.1192161010428296
2015,Great Britain,,Female,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,0.8543411760225975
2015,Great Britain,,Female,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,1.059842692848314
2015,Great Britain,,Female,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,1.0590228748940975
2015,Great Britain,,Female,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,1.6231967298828958
2015,Great Britain,,Female,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,3.610751135160802
2015,Great Britain,,Female,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,4.630687255731248
