Year,Series,Sex,Age,Region,Disability status,Ethnicity,Nationality,Country of birth,Observation status,Unit multiplier,Units,GeoCode,Value
2011 Q1,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.6
2011 Q2,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.3
2011 Q3,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.1
2011 Q4,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.5
2012 Q1,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.5
2012 Q2,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.2
2012 Q3,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.2
2012 Q4,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.0
2013 Q1,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.0
2013 Q2,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.0
2013 Q3,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.2
2013 Q4,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.4
2014 Q1,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.2
2014 Q2,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.4
2014 Q3,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.5
2014 Q4,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.4
2015 Q1,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.9
2015 Q2,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.7
2015 Q3,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.5
2015 Q4,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.4
2016 Q1,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.3
2016 Q2,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.2
2016 Q3,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.6
2016 Q4,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.3
2017 Q1,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.0
2017 Q2,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.6
2017 Q3,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,9.6
2017 Q4,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.0
2009 Q1,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.9
2009 Q2,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.6
2009 Q3,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.7
2009 Q4,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.4
2010 Q1,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.7
2010 Q2,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.7
2010 Q3,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.8
2010 Q4,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.8
2011 Q1,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.7
2011 Q2,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.8
2011 Q3,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.0
2011 Q4,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.0
2012 Q1,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.4
2012 Q2,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.5
2012 Q3,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.7
2012 Q4,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.5
2013 Q1,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.3
2013 Q2,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.0
2013 Q3,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.2
2013 Q4,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.2
2014 Q1,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,11.1
2014 Q2,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.9
2014 Q3,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.7
2014 Q4,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.9
2015 Q1,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.6
2015 Q2,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.6
2015 Q3,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.3
2015 Q4,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.6
2016 Q1,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.7
2016 Q2,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.5
2016 Q3,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.3
2016 Q4,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.1
2017 Q1,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,10.3
2017 Q2,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,9.8
2017 Q3,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,9.9
2017 Q4,Manufacturing employment as a proportion of total employment,,45 to 54,,,,,,Normal value,Units,Percentage (%),,9.6
2009 Q1,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.6
2009 Q2,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.5
2009 Q3,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.4
2009 Q4,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.9
2010 Q1,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,11.1
2010 Q2,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,11.4
2010 Q3,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,11.0
2010 Q4,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.9
2011 Q1,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.8
2011 Q2,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,11.0
2011 Q3,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.9
2011 Q4,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,11.2
2012 Q1,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.7
2012 Q2,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,11.0
2012 Q3,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.6
2012 Q4,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.5
2013 Q1,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.7
2013 Q2,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.7
2013 Q3,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.2
2013 Q4,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.4
2014 Q1,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.4
2014 Q2,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.1
2014 Q3,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.5
2014 Q4,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.8
2015 Q1,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.9
2015 Q2,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,11.1
2015 Q3,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.8
2015 Q4,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.9
2016 Q1,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,11.0
2016 Q2,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.6
2016 Q3,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.4
2016 Q4,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,9.9
2017 Q1,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.2
2017 Q2,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,9.9
2017 Q3,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,10.1
2017 Q4,Manufacturing employment as a proportion of total employment,,55 to 64,,,,,,Normal value,Units,Percentage (%),,9.8
2009 Q1,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.9
2009 Q2,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.0
2009 Q3,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.4
2009 Q4,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.9
2010 Q1,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,9.1
2010 Q2,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.4
2010 Q3,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.2
2010 Q4,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.5
2011 Q1,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,6.6
2011 Q2,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,6.7
2011 Q3,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.1
2011 Q4,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.4
2012 Q1,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.4
2012 Q2,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.4
2012 Q3,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.8
2012 Q4,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.1
2013 Q1,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.4
2013 Q2,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,6.5
2013 Q3,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.1
2013 Q4,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.3
2014 Q1,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.4
2014 Q2,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.9
2014 Q3,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.5
2014 Q4,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.7
2015 Q1,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.6
2015 Q2,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.4
2015 Q3,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.4
2015 Q4,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.9
2016 Q1,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.7
2016 Q2,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,9.0
2016 Q3,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,8.3
2016 Q4,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,6.9
2017 Q1,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.0
2017 Q2,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.0
2017 Q3,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.5
2017 Q4,Manufacturing employment as a proportion of total employment,,65 and over,,,,,,Normal value,Units,Percentage (%),,7.3
2009 Q1,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.7
2009 Q2,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.7
2009 Q3,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.0
2009 Q4,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.0
2010 Q1,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.2
2010 Q2,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.4
2010 Q3,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.5
2010 Q4,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.9
2011 Q1,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.3
2011 Q2,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.9
2011 Q3,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.0
2011 Q4,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.3
2012 Q1,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.9
2012 Q2,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.1
2012 Q3,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.6
2012 Q4,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.2
2013 Q1,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.1
2013 Q2,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.6
2013 Q3,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,10.0
2013 Q4,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.2
2014 Q1,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,8.9
2014 Q2,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,8.6
2014 Q3,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,8.7
2014 Q4,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.3
2015 Q1,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.2
2015 Q2,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.6
2015 Q3,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.6
2015 Q4,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.8
2016 Q1,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.8
2016 Q2,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.8
2016 Q3,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.9
2016 Q4,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.4
2017 Q1,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.3
2017 Q2,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,8.8
2017 Q3,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,9.2
2017 Q4,Manufacturing employment as a proportion of total employment,,,East,,,,,Normal value,Units,Percentage (%),E12000006,8.7
2009 Q1,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.9
2009 Q2,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.5
2009 Q3,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.6
2009 Q4,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.9
2010 Q1,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.9
2010 Q2,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,15.0
2010 Q3,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,15.2999999999999
2010 Q4,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,15.0
2011 Q1,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.0999999999999
2011 Q2,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.2
2011 Q3,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.2
2011 Q4,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.4999999999999
2012 Q1,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.4999999999999
2012 Q2,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.8
2012 Q3,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.2
2012 Q4,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.4
2013 Q1,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.2
2013 Q2,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.4
2013 Q3,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.6
2013 Q4,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.4999999999999
2014 Q1,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.4999999999999
2014 Q2,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.7
2014 Q3,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.8
2014 Q4,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,15.2
2015 Q1,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.8999999999999
2015 Q2,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.8
2015 Q3,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.2
2015 Q4,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.7
2016 Q1,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.0999999999999
2016 Q2,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.6
2016 Q3,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,12.8
2016 Q4,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.1
2017 Q1,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.5
2017 Q2,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,13.6
2017 Q3,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.4999999999999
2017 Q4,Manufacturing employment as a proportion of total employment,,,East Midlands,,,,,Normal value,Units,Percentage (%),E12000004,14.2
2009 Q1,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.5
2009 Q2,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.6
2009 Q3,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.5
2009 Q4,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.8
2010 Q1,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,4.1
2010 Q2,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.7
2010 Q3,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.6
2010 Q4,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.5
2011 Q1,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.4
2011 Q2,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.8
2011 Q3,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.6
2011 Q4,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.4
2012 Q1,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.3
2012 Q2,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.5
2012 Q3,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.7
2012 Q4,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.3
2013 Q1,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.7
2013 Q2,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.6
2013 Q3,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.8
2013 Q4,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.4
2014 Q1,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.4
2014 Q2,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,4.0
2014 Q3,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.8
2014 Q4,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.6
2015 Q1,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,4.0
2015 Q2,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,4.4
2015 Q3,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,4.1
2015 Q4,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.9
2016 Q1,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,4.0
2016 Q2,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.6
2016 Q3,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.6
2016 Q4,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.2
2017 Q1,Manufacturing employment as a proportion of total employment,,,London,,,,,Normal value,Units,Percentage (%),E12000007,3.5
