Year,Series,Beverage,Sex,Observation status,Unit multiplier,Units,Value
1970,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.24
1969,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.08
1968,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.14
1967,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.1
1966,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.1
1965,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.09
1964,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.17
1963,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.09
1962,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.03
1961,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.04
2019,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.61
2018,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.61
2017,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.67
2016,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.66
2015,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.71
2014,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.73
2013,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.8
2012,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.82
2011,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.88
2010,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.89
2009,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.91
2008,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.82
2007,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.8
2006,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.75
2005,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.65
2004,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.63
2003,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.6
2002,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.61
2001,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.62
2000,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.63
1999,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.62
1998,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.62
1997,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.63
1996,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.62
1995,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.55
1994,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.52
1993,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.47
1992,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.44
1991,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.43
1990,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.38
1989,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.35
1988,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.37
1987,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.38
1986,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.0
1985,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.0
1984,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.0
1983,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.0
1982,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.0
1981,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.0
1980,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,Normal value,Units,Litres of pure alcohol,0.0
2019,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,Normal value,Units,Litres of pure alcohol,5.4
2015,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,Normal value,Units,Litres of pure alcohol,5.3
2010,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,Normal value,Units,Litres of pure alcohol,5.7
2005,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,Normal value,Units,Litres of pure alcohol,6.8
2000,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,Normal value,Units,Litres of pure alcohol,6.7
2019,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,Normal value,Units,Litres of pure alcohol,17.7
2015,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,Normal value,Units,Litres of pure alcohol,17.4
2010,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,Normal value,Units,Litres of pure alcohol,18.7
2005,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,Normal value,Units,Litres of pure alcohol,21.5
2000,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,Normal value,Units,Litres of pure alcohol,21.6
2019,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,11.4
2015,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,11.2
2010,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,12.0
2005,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,13.9
2000,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,13.9
2019,Unrecorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,1.0
