Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnic Group,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,"Rate per 100,000 population",,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.690497516
2015,"Rate per 100,000 population",,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.327483156
2015,"Rate per 100,000 population",,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.607875832
2015,"Rate per 100,000 population",,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.409240315
2015,"Rate per 100,000 population",,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.103943537
2015,"Rate per 100,000 population",,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.407749762
2015,"Rate per 100,000 population",,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.721480666
2015,"Rate per 100,000 population",,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.519951973
2015,"Rate per 100,000 population",,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.110394698
2015,"Rate per 100,000 population",,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.429972496
2015,"Rate per 100,000 population",,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.570657154
2015,"Rate per 100,000 population",,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.244954821
2015,"Rate per 100,000 population",,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.425181872
2015,"Rate per 100,000 population",Male,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.974330499
2015,"Rate per 100,000 population",Male,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.678383644
2015,"Rate per 100,000 population",Male,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.988174516
2015,"Rate per 100,000 population",Male,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.816638426
2015,"Rate per 100,000 population",Male,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.309119067
2015,"Rate per 100,000 population",Male,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.748189327
2015,"Rate per 100,000 population",Male,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.005558489
2015,"Rate per 100,000 population",Male,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.680853016626206
2015,"Rate per 100,000 population",Male,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.828587604
2015,"Rate per 100,000 population",Male,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.59068657399999
2015,"Rate per 100,000 population",Male,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.082422879
2015,"Rate per 100,000 population",Male,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.08535732399999
2015,"Rate per 100,000 population",Male,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.973419679
2015,"Rate per 100,000 population",Male,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.332877061
2015,"Rate per 100,000 population",Male,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.595488869
2015,"Rate per 100,000 population",Male,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.571864823
2015,"Rate per 100,000 population",Female,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.322815828
2015,"Rate per 100,000 population",Female,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.356531115
2015,"Rate per 100,000 population",Female,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.621596757999999
2015,"Rate per 100,000 population",Female,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.558253579
2015,"Rate per 100,000 population",Female,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.290597353
2015,"Rate per 100,000 population",Female,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.423852375
2015,"Rate per 100,000 population",Female,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.808292922
2015,"Rate per 100,000 population",Female,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.543747301
2015,"Rate per 100,000 population",Female,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.000625561
2015,"Rate per 100,000 population",Female,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.888683744
2015,"Rate per 100,000 population",Female,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.001389049
2015,"Rate per 100,000 population",Female,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.161328474
2015,"Rate per 100,000 population",Female,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.899956301
2015,"Rate per 100,000 population",Female,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.839349605
2015,"Rate per 100,000 population",Female,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.914154936
2015,"Rate per 100,000 population",Female,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.31116311
2016,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.457041606
2016,"Rate per 100,000 population",,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.622771412999999
2016,"Rate per 100,000 population",,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.569665651
2016,"Rate per 100,000 population",,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.489629695
2016,"Rate per 100,000 population",,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.302240821
2016,"Rate per 100,000 population",,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.891565585
2016,"Rate per 100,000 population",,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.369804072
2016,"Rate per 100,000 population",,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.493518729
2016,"Rate per 100,000 population",,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.282771034
2016,"Rate per 100,000 population",,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.456087771
2016,"Rate per 100,000 population",,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.134962581
2016,"Rate per 100,000 population",,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.626957883
2016,"Rate per 100,000 population",,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.852446157
2016,"Rate per 100,000 population",,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.895743716
2016,"Rate per 100,000 population",,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.852464047
2016,"Rate per 100,000 population",,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.69702875
2016,"Rate per 100,000 population",Male,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.224444103
2016,"Rate per 100,000 population",Male,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.971874912
2016,"Rate per 100,000 population",Male,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.483821493
2016,"Rate per 100,000 population",Male,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.56197906
2016,"Rate per 100,000 population",Male,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.835688846
2016,"Rate per 100,000 population",Male,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.537902189
2016,"Rate per 100,000 population",Male,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.824439753
2016,"Rate per 100,000 population",Male,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.63791523
2016,"Rate per 100,000 population",Male,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,6.057270046
2016,"Rate per 100,000 population",Male,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.896899004
2016,"Rate per 100,000 population",Male,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.92897092799999
2016,"Rate per 100,000 population",Male,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.171464734
2016,"Rate per 100,000 population",Male,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.985705268
2016,"Rate per 100,000 population",Male,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.137131034
2016,"Rate per 100,000 population",Male,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.963690959
2016,"Rate per 100,000 population",Male,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.806464172
2016,"Rate per 100,000 population",Female,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.71022994
2016,"Rate per 100,000 population",Female,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.255566755
2016,"Rate per 100,000 population",Female,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.659704919
2016,"Rate per 100,000 population",Female,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.413672931
2016,"Rate per 100,000 population",Female,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.739732723
2016,"Rate per 100,000 population",Female,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.21439162
2016,"Rate per 100,000 population",Female,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.907230282
2016,"Rate per 100,000 population",Female,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.354113973
2016,"Rate per 100,000 population",Female,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.524540438
2016,"Rate per 100,000 population",Female,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.040118641
2016,"Rate per 100,000 population",Female,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.390922691
2016,"Rate per 100,000 population",Female,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.127452261
2016,"Rate per 100,000 population",Female,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.747986902
2016,"Rate per 100,000 population",Female,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.663948883
2016,"Rate per 100,000 population",Female,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.747677127
2016,"Rate per 100,000 population",Female,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.611137012
2017,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.692298357
2017,"Rate per 100,000 population",,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.984664233
2017,"Rate per 100,000 population",,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.288457415
2017,"Rate per 100,000 population",,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.633905522
2017,"Rate per 100,000 population",,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.024709555
2017,"Rate per 100,000 population",,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.780924474
2017,"Rate per 100,000 population",,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.280501842
2017,"Rate per 100,000 population",,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.821554654
2017,"Rate per 100,000 population",,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.783100377
2017,"Rate per 100,000 population",,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.828339
2017,"Rate per 100,000 population",,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.480941898
2017,"Rate per 100,000 population",,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.26296176
2017,"Rate per 100,000 population",,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.728210581
2017,"Rate per 100,000 population",,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.556504303
2017,"Rate per 100,000 population",,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.381852477
2017,"Rate per 100,000 population",,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.669350017
2017,"Rate per 100,000 population",Male,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.64620728
2017,"Rate per 100,000 population",Male,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.984677434
2017,"Rate per 100,000 population",Male,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.329984306
2017,"Rate per 100,000 population",Male,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.142973998
2017,"Rate per 100,000 population",Male,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.734490443
2017,"Rate per 100,000 population",Male,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.382037766
2017,"Rate per 100,000 population",Male,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.358308767
2017,"Rate per 100,000 population",Male,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.811070182
2017,"Rate per 100,000 population",Male,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.690989611
2017,"Rate per 100,000 population",Male,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,7.051934018
2017,"Rate per 100,000 population",Male,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,6.296924839
2017,"Rate per 100,000 population",Male,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,6.00394433
2017,"Rate per 100,000 population",Male,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.990750153
2017,"Rate per 100,000 population",Male,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.629235076
2017,"Rate per 100,000 population",Male,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.545600567
2017,"Rate per 100,000 population",Male,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.848464505
2017,"Rate per 100,000 population",Female,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.763382308
2017,"Rate per 100,000 population",Female,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.984650338
2017,"Rate per 100,000 population",Female,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.244921963
2017,"Rate per 100,000 population",Female,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.098806312
2017,"Rate per 100,000 population",Female,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.275934053
2017,"Rate per 100,000 population",Female,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.147627945
2017,"Rate per 100,000 population",Female,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.180180822
2017,"Rate per 100,000 population",Female,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.839075777
2017,"Rate per 100,000 population",Female,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.90163977
2017,"Rate per 100,000 population",Female,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.63963807599999
2017,"Rate per 100,000 population",Female,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.715678777
2017,"Rate per 100,000 population",Female,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.574244807
2017,"Rate per 100,000 population",Female,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.49941641
2017,"Rate per 100,000 population",Female,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.525713448
2017,"Rate per 100,000 population",Female,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.22808702
2017,"Rate per 100,000 population",Female,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.526958678999999
2018,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.525756165185657
2018,"Rate per 100,000 population",,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.7920229492481913
2018,"Rate per 100,000 population",,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.1115073876580153
2018,"Rate per 100,000 population",,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.788077101884633
2018,"Rate per 100,000 population",,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.1257750221434897
2018,"Rate per 100,000 population",,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.2463452082947493
2018,"Rate per 100,000 population",,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.6727484579235394
2018,"Rate per 100,000 population",,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.607150402712577
2018,"Rate per 100,000 population",,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.00253051414906
2018,"Rate per 100,000 population",,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.9832322997592025
2018,"Rate per 100,000 population",,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.76993388649776
2018,"Rate per 100,000 population",,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.7653220259571887
2018,"Rate per 100,000 population",,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.1906321177878905
2018,"Rate per 100,000 population",,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.150766557703569
2018,"Rate per 100,000 population",,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.4426891726177595
2018,"Rate per 100,000 population",,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.5473752104258557
2018,"Rate per 100,000 population",Male,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.269269277450624
2018,"Rate per 100,000 population",Male,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.9463452147805176
2018,"Rate per 100,000 population",Male,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.2274393113876627
2018,"Rate per 100,000 population",Male,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.4161010691563072
2018,"Rate per 100,000 population",Male,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.5474488891530687
2018,"Rate per 100,000 population",Male,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.51038439098772
2018,"Rate per 100,000 population",Male,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.9659327727720397
2018,"Rate per 100,000 population",Male,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.406302451297993
2018,"Rate per 100,000 population",Male,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.936959183805297
2018,"Rate per 100,000 population",Male,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,7.014399199046446
2018,"Rate per 100,000 population",Male,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,6.747589760937393
2018,"Rate per 100,000 population",Male,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.130039992574485
2018,"Rate per 100,000 population",Male,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.917804105893563
2018,"Rate per 100,000 population",Male,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.833752098921285
2018,"Rate per 100,000 population",Male,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.310402587650898
2018,"Rate per 100,000 population",Male,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.6148322122892662
2018,"Rate per 100,000 population",Female,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.8011405321175458
2018,"Rate per 100,000 population",Female,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.6294903646008192
2018,"Rate per 100,000 population",Female,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.9899554173577793
2018,"Rate per 100,000 population",Female,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.1789572254753047
2018,"Rate per 100,000 population",Female,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.6806609703464177
2018,"Rate per 100,000 population",Female,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.9670422078081744
2018,"Rate per 100,000 population",Female,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.371923939112265
2018,"Rate per 100,000 population",Female,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.8134168724629007
2018,"Rate per 100,000 population",Female,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.0840289027932237
2018,"Rate per 100,000 population",Female,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.982472011985561
2018,"Rate per 100,000 population",Female,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.8454060263073107
2018,"Rate per 100,000 population",Female,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.4430742635605363
2018,"Rate per 100,000 population",Female,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.5144179472294184
2018,"Rate per 100,000 population",Female,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.494628678187763
2018,"Rate per 100,000 population",Female,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.627961408917052
2018,"Rate per 100,000 population",Female,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.4932569716734852
2014,"Rate per 100,000 population",,,England,London,,,,,,Undefined,Units,"Rate per 100,000 population",E12000007,9.122422915526364
2014,"Rate per 100,000 population",,,England,South East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000008,1.4987595792429689
2014,"Rate per 100,000 population",,,England,West Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.0127982463801573
2014,"Rate per 100,000 population",,,England,North West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.696334767320349
2014,"Rate per 100,000 population",,,England,East of England,,,,,,Undefined,Units,"Rate per 100,000 population",E12000006,1.8779342723004693
2014,"Rate per 100,000 population",,,England,Yorkshire and the Humber,,,,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.8096619905871456
2014,"Rate per 100,000 population",,,England,South West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000009,1.0879029251312582
2014,"Rate per 100,000 population",,,England,East Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000004,1.035069669892562
2014,"Rate per 100,000 population",,,England,North East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.3818636166455877
2014,"Rate per 100,000 population",,,England,,,,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.715559352388251
2014,"Rate per 100,000 population",,,Scotland,,,,,,,Undefined,Units,"Rate per 100,000 population",S92000003,1.4211982945620465
2014,"Rate per 100,000 population",,,Wales,,,,,,,Undefined,Units,"Rate per 100,000 population",W92000004,1.0672579491312522
2014,"Rate per 100,000 population",,,Northern Ireland,,,,,,,Undefined,Units,"Rate per 100,000 population",N92000002,0.1086662414194419
2015,"Rate per 100,000 population",,,England,London,,,,,,Undefined,Units,"Rate per 100,000 population",E12000007,7.857453561987924
2015,"Rate per 100,000 population",,,England,South East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000008,1.340873212392529
2015,"Rate per 100,000 population",,,England,West Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.119883955467146
2015,"Rate per 100,000 population",,,England,North West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.588810758422997
2015,"Rate per 100,000 population",,,England,East of England,,,,,,Undefined,Units,"Rate per 100,000 population",E12000006,1.8927019060331107
2015,"Rate per 100,000 population",,,England,Yorkshire and the Humber,,,,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.2615461621075688
2015,"Rate per 100,000 population",,,England,South West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000009,0.9503601316614304
2015,"Rate per 100,000 population",,,England,East Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000004,0.8337920971474689
2015,"Rate per 100,000 population",,,England,North East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.3048107906067983
2015,"Rate per 100,000 population",,,England,,,,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.4075350041261205
2015,"Rate per 100,000 population",,,Scotland,,,,,,,Undefined,Units,"Rate per 100,000 population",S92000003,0.9119672436255352
2015,"Rate per 100,000 population",,,Wales,,,,,,,Undefined,Units,"Rate per 100,000 population",W92000004,0.6776191431925412
2015,"Rate per 100,000 population",,,Northern Ireland,,,,,,,Undefined,Units,"Rate per 100,000 population",N92000002,0.5940740572719795
2016,"Rate per 100,000 population",,,England,London,,,,,,Undefined,Units,"Rate per 100,000 population",E12000007,9.612688475116308
2016,"Rate per 100,000 population",,,England,South East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000008,1.561401793308718
2016,"Rate per 100,000 population",,,England,West Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.0307108882071283
2016,"Rate per 100,000 population",,,England,North West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.4811818613084982
2016,"Rate per 100,000 population",,,England,East of England,,,,,,Undefined,Units,"Rate per 100,000 population",E12000006,1.9905351684327228
2016,"Rate per 100,000 population",,,England,Yorkshire and the Humber,,,,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.2533707378482943
2016,"Rate per 100,000 population",,,England,South West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000009,1.187950164576788
2016,"Rate per 100,000 population",,,England,East Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000004,0.909977800774116
2016,"Rate per 100,000 population",,,England,North East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.8344114308297578
2016,"Rate per 100,000 population",,,England,,,,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.7665161511800296
2016,"Rate per 100,000 population",,,Scotland,,,,,,,Undefined,Units,"Rate per 100,000 population",S92000003,1.0731400447758432
2016,"Rate per 100,000 population",,,Wales,,,,,,,Undefined,Units,"Rate per 100,000 population",W92000004,0.8030451471981755
2016,"Rate per 100,000 population",,,Northern Ireland,,,,,,,Undefined,Units,"Rate per 100,000 population",N92000002,0.3222104496070912
2017,"Rate per 100,000 population",,,England,London,,,,,,Undefined,Units,"Rate per 100,000 population",E12000007,10.44759088412568
2017,"Rate per 100,000 population",,,England,South East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000008,1.7068933714723056
2017,"Rate per 100,000 population",,,England,West Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.7471093073087096
2017,"Rate per 100,000 population",,,England,North West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.7634188945099398
2017,"Rate per 100,000 population",,,England,East of England,,,,,,Undefined,Units,"Rate per 100,000 population",E12000006,1.8481195869549991
2017,"Rate per 100,000 population",,,England,Yorkshire and the Humber,,,,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.4495067090142804
2017,"Rate per 100,000 population",,,England,South West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000009,1.3131111813035994
2017,"Rate per 100,000 population",,,England,East Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000004,1.0478520499967936
2017,"Rate per 100,000 population",,,England,North East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.9830882355721404
