Year,Series,Country income classification,Aid description (CRS code),Observation status,Units,Value
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),197874.24
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),290050.702
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),2361.38
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),3461.39
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),200235.62
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),293512.092
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),43137.43
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),63232.293
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),2864.36
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),4198.675
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),46001.79
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),67430.968
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),10275.36
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),15061.968
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),11.23
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),16.461
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),10286.59
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),15078.429
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),1838.86
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),2695.463
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),4604.11
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),6748.859
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),6442.97
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),9444.322
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),204576.83
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),299875.584
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),75785.39
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),111088.768
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),280362.22
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),410964.352
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),457702.72
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),670916.009
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),85626.47
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),125514.154
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),543329.19
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),796430.162
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),230260.49
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),331226.583
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),11233.89
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),16159.798
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),241494.38
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),347386.381
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),73135.58
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),105204.537
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),3618.95
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),5205.81
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),76754.53
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),110410.347
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),11142.11
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),16027.774
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),105.18
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),151.3
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),11247.29
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),16179.074
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),7965.07
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),11457.645
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),6569.13
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),9449.604
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),14534.2
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),20907.249
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),168043.17
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),241727.814
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),81158.7
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),116745.686
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),249201.87
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),358473.5
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),490546.42
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),705644.352
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),102685.85
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),147712.198
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),593232.27
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),853356.551
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),181724.42
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),256738.629
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),31968.8
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),45165.234
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),213693.22
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),301903.863
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),111111.84
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),156977.81
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),16281.61
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),23002.512
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),127393.45
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),179980.323
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),26165.18
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),36965.931
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),5220.28
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),7375.165
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),31385.46
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),44341.096
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),2275.95
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),3215.442
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),15031.81
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),21236.806
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),17307.76
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),24452.248
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),199254.25
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),281504.616
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),178560.79
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),252269.081
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),377815.04
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),533773.697
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),520531.64
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),735402.428
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),247063.29
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),349048.798
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),767594.93
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),1084451.227
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),153021.47
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),211950.399
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),33364.79
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),46213.649
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),186386.26
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),258164.048
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),81136.09
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),112381.789
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),21256.08
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),29441.846
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),102392.17
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),141823.636
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),17497.82
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),24236.272
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),511.8
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),708.895
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),18009.62
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),24945.167
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),1803.75
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),2498.378
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),22710.3
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),31456.09
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),24514.05
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),33954.468
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),182160.92
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),252311.52
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),266327.99
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),368891.527
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),448488.91
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),621203.046
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),435620.05
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),603378.358
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),344170.96
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),476712.008
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),779791.01
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),1080090.365
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),241867.35
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),328393.567
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),34978.72
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),47492.093
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),276846.07
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),375885.659
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),47038.17
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),63865.72
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),21924.08
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),29767.254
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),68962.25
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),93632.974
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),20491.01
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),27821.514
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),626.36
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),850.436
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),21117.37
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),28671.95
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),4130.46
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),5608.101
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),17625.17
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),23930.441
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),21755.63
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),29538.542
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),174756.82
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),237274.752
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),258744.6
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),351308.525
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),433501.42
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),588583.277
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),488283.81
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),662963.653
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),333898.93
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),453348.749
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),822182.74
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),1116312.402
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),156312.12
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),200477.26
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),37396.68
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),47962.909
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),193708.8
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),248440.169
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),58742.27
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),75339.579
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),15523.07
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),19909.029
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),74265.34
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),95248.608
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),21163.87
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),27143.607
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),578.97
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),742.555
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),21742.84
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),27886.161
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),11410.4
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),14634.347
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),14124.95
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),18115.878
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),25535.35
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),32750.224
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),489530.25
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),627844.363
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),304849.97
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),390983.673
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),794380.22
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),1018828.036
