Year,Country,Energy category,Energy sub-category,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,Northern Ireland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),N92000002,0.00041551987509500003
2016,Northern Ireland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),N92000002,2.59699921934e-05
2016,Northern Ireland,Energy from waste  biomass,,Undefined,Units,Percentage (%),N92000002,0.00488235853236
2016,Northern Ireland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),N92000002,0.00488235853236
2016,Northern Ireland,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),N92000002,0.0
2016,Northern Ireland,Energy efficient products,,Undefined,Units,Percentage (%),N92000002,0.00023372992974100002
2016,Northern Ireland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),N92000002,0.00010387996877399999
2016,Northern Ireland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),N92000002,0.00010387996877399999
2016,Northern Ireland,Low carbon services,,Undefined,Units,Percentage (%),N92000002,0.00015581995316100002
2016,Northern Ireland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),N92000002,0.00015581995316100002
2016,Northern Ireland,Low emission vehicles,,Undefined,Units,Percentage (%),N92000002,2.59699921934e-05
2016,Northern Ireland,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),N92000002,2.59699921934e-05
