Year,Vaccine,Age,Country,Region,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,97.7
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,97.8
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,97.0
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,97.0
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.6
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.9
2009/10,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.2
2010/11,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,91.5
2011/12,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.7
2012/13,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.6
2013/14,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.5
2014/15,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.8
2015/16,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.3
2016/17,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.1
2017/18,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.7
2018/19,Measles mumps rubella (first dose),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.5
2009/10,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.9
2010/11,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.3
2011/12,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.7
2012/13,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.4
2013/14,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.3
2014/15,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.0
2015/16,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.7
2016/17,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.5
2017/18,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.5
2018/19,Hib Meningococcal group C (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.2
2009/10,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.3
2010/11,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,91.0
2011/12,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.7
2012/13,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.2
2013/14,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.5
2014/15,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.7
2015/16,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.6
2016/17,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.4
2017/18,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,95.2
2018/19,Pneumococcal disease (booster),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.8
2009/10,Meningococcal group C (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.2
2010/11,Meningococcal group C (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.0
2011/12,Meningococcal group C (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.0
2012/13,Meningococcal group C (primary),By 2nd birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.6
2009/10,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.4
2010/11,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.1
2011/12,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.1
2012/13,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.2
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.2
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,98.1
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,97.9
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,97.7
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,97.6
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,97.2
2009/10,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.7
2010/11,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.2
2011/12,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.3
2012/13,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.1
2013/14,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.6
2014/15,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.4
2015/16,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.4
2016/17,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.9
2017/18,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.6
2018/19,Measles mumps rubella (first dose),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.0
2009/10,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.0
2010/11,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.9
2011/12,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.3
2012/13,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.7
2013/14,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.7
2014/15,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.4
2015/16,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.4
2016/17,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.0
2017/18,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.9
2018/19,Hib Meningococcal group C (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.4
2009/10,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.2
2010/11,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,93.4
2011/12,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.5
2012/13,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.5
2013/14,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.5
2014/15,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.4
2015/16,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,95.3
2016/17,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.9
2017/18,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.8
2018/19,Pneumococcal disease (booster),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,94.5
2009/10,Meningococcal group C (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.4
2010/11,Meningococcal group C (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.2
2011/12,Meningococcal group C (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.1
2012/13,Meningococcal group C (primary),By 2nd birthday,Scotland,,Percentage (%),Units,Undefined,S92000003,96.2
2009/10,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,98.5
2010/11,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,98.8
2011/12,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,98.4
2012/13,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,98.6
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,98.6
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.5
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,98.2
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.9
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.8
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.0
2009/10,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.2
2010/11,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.9
2011/12,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.3
2012/13,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.6
2013/14,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.2
2014/15,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.2
2015/16,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.8
2016/17,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,94.9
2017/18,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,94.4
2018/19,Measles mumps rubella (first dose),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.6
2009/10,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.9
2010/11,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.0
2011/12,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.5
2012/13,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.9
2013/14,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.2
2014/15,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.0
2015/16,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.7
2016/17,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.0
2017/18,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,94.6
2018/19,Hib Meningococcal group C (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.8
2009/10,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.8
2010/11,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,92.8
2011/12,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.9
2012/13,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.8
2013/14,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.0
2014/15,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.2
2015/16,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.1
2016/17,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,95.1
2017/18,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,94.7
2018/19,Pneumococcal disease (booster),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,93.9
2009/10,Meningococcal group C (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.8
2010/11,Meningococcal group C (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.7
2011/12,Meningococcal group C (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,96.7
2012/13,Meningococcal group C (primary),By 2nd birthday,Northern Ireland,,Percentage (%),Units,Undefined,N92000002,97.0
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,,,Percentage (%),Units,Undefined,,95.9
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,,,Percentage (%),Units,Undefined,,95.9
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,,,Percentage (%),Units,Undefined,,95.9
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,,,Percentage (%),Units,Undefined,,95.8
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,,,Percentage (%),Units,Undefined,,95.7
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,,,Percentage (%),Units,Undefined,,95.4
2009/10,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,85.8
2010/11,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,86.8
2011/12,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,88.0
2012/13,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,89.5
2013/14,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,89.5
2014/15,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,89.4
2015/16,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,87.3
2016/17,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,87.3
2017/18,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,86.6
2018/19,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,85.9
2009/10,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,91.7
2010/11,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,92.5
2011/12,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,93.4
2012/13,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,94.3
2013/14,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,94.6
2014/15,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,94.8
2015/16,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,95.1
2016/17,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,95.3
2017/18,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,95.2
2018/19,Measles mumps rubella (first dose),By 5th birthday,,,Percentage (%),Units,Undefined,,94.8
2009/10,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,83.6
2010/11,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,85.0
2011/12,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,86.5
2012/13,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,88.2
2013/14,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,89.0
2014/15,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,89.3
2015/16,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,88.9
2016/17,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,88.2
2017/18,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,87.8
2018/19,Measles mumps rubella (first and second dose),By 5th birthday,,,Percentage (%),Units,Undefined,,87.2
2011/12,Hib Meningococcal group C (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,89.3
2012/13,Hib Meningococcal group C (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,92.0
2013/14,Hib Meningococcal group C (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,92.4
2014/15,Hib Meningococcal group C (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,92.8
2015/16,Hib Meningococcal group C (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,93.0
2016/17,Hib Meningococcal group C (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,93.0
2017/18,Hib Meningococcal group C (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,92.8
2018/19,Hib Meningococcal group C (booster),By 5th birthday,,,Percentage (%),Units,Undefined,,92.7
2007/08,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,92.6
2008/09,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,92.5
2009/10,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,94.0
2010/11,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,94.7
2011/12,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,95.4
2012/13,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,95.8
2018/19,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,84.8
2017/18,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,85.6
2016/17,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,86.2
2015/16,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,86.3
2014/15,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,88.5
2013/14,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,88.8
2012/13,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,88.9
2011/12,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,87.4
2010/11,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,85.9
2009/10,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,84.8
2018/19,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,94.5
2017/18,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,94.9
2016/17,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,95.0
2015/16,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,94.8
2014/15,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,94.4
2013/14,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,94.1
2012/13,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,93.9
2011/12,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,92.9
2010/11,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,91.9
2009/10,Measles mumps rubella (first dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,91.0
2018/19,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,86.4
2017/18,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,87.2
2016/17,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,87.6
2015/16,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,88.2
2014/15,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,88.6
2013/14,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,88.3
2012/13,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,87.7
2011/12,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,86.0
2010/11,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,84.2
2009/10,Measles mumps rubella (first and second dose),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,82.7
2018/19,Hib Meningococcal group C (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,92.2
2017/18,Hib Meningococcal group C (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,92.4
2016/17,Hib Meningococcal group C (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,92.6
2015/16,Hib Meningococcal group C (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,92.6
2014/15,Hib Meningococcal group C (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,92.4
2013/14,Hib Meningococcal group C (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,91.9
2012/13,Hib Meningococcal group C (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,91.5
2011/12,Hib Meningococcal group C (booster),By 5th birthday,England,,Percentage (%),Units,Undefined,E92000001,88.9
2013/14,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,97.2
2014/15,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,97.3
2015/16,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,96.3
2016/17,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.8
2017/18,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.5
2018/19,Diphtheria Tetanus Polio Pertussis Hib (primary),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,97.3
2009/10,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,90.1
2010/11,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,90.1
2011/12,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,89.7
2012/13,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,91.3
2013/14,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.2
2014/15,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.4
2015/16,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.1
2016/17,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.5
2017/18,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.3
2018/19,Diphtheria Tetanus Polio Pertussis (booster),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,92.6
2009/10,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,93.4
2010/11,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.4
2011/12,Measles mumps rubella (first dose),By 5th birthday,Wales,,Percentage (%),Units,Undefined,W92000004,94.6
