Year,Sex,Age,Nationality,Units,Unit multiplier,Observation status,Value
2022,Female,40 to 49,,Percentage (%),Units,Undefined,16.51728553137
2023,Female,40 to 49,,Percentage (%),Units,Undefined,19.3735498839907
2009,Female,50 to 59,,Percentage (%),Units,Undefined,12.2302158273381
2010,Female,50 to 59,,Percentage (%),Units,Undefined,12.9449838187702
2011,Female,50 to 59,,Percentage (%),Units,Undefined,14.4736842105263
2012,Female,50 to 59,,Percentage (%),Units,Undefined,13.2564841498559
2013,Female,50 to 59,,Percentage (%),Units,Undefined,11.890243902439
2014,Female,50 to 59,,Percentage (%),Units,Undefined,9.67741935483871
2015,Female,50 to 59,,Percentage (%),Units,Undefined,10.4712041884817
2016,Female,50 to 59,,Percentage (%),Units,Undefined,11.8421052631579
2017,Female,50 to 59,,Percentage (%),Units,Undefined,10.9785202863962
2018,Female,50 to 59,,Percentage (%),Units,Undefined,10.1694915254237
2019,Female,50 to 59,,Percentage (%),Units,Undefined,11.5023474178404
2020,Female,50 to 59,,Percentage (%),Units,Undefined,12.8065395095368
2021,Female,50 to 59,,Percentage (%),Units,Undefined,15.2112676056338
2022,Female,50 to 59,,Percentage (%),Units,Undefined,18.3288409703504
2023,Female,50 to 59,,Percentage (%),Units,Undefined,16.8865435356201
2009,Female,60 and over,,Percentage (%),Units,Undefined,8.69565217391304
2010,Female,60 and over,,Percentage (%),Units,Undefined,11.1111111111111
2011,Female,60 and over,,Percentage (%),Units,Undefined,14.2857142857143
2012,Female,60 and over,,Percentage (%),Units,Undefined,8.97435897435897
2013,Female,60 and over,,Percentage (%),Units,Undefined,8.23529411764706
2014,Female,60 and over,,Percentage (%),Units,Undefined,11.4583333333333
2015,Female,60 and over,,Percentage (%),Units,Undefined,8.82352941176471
2016,Female,60 and over,,Percentage (%),Units,Undefined,6.83760683760684
2017,Female,60 and over,,Percentage (%),Units,Undefined,2.63157894736842
2018,Female,60 and over,,Percentage (%),Units,Undefined,7.27272727272727
2019,Female,60 and over,,Percentage (%),Units,Undefined,10.655737704918
2020,Female,60 and over,,Percentage (%),Units,Undefined,7.2
2021,Female,60 and over,,Percentage (%),Units,Undefined,9.30232558139535
2022,Female,60 and over,,Percentage (%),Units,Undefined,11.2903225806452
2023,Female,60 and over,,Percentage (%),Units,Undefined,12.5925925925926
2016,Female,60 to 69,,Percentage (%),Units,Undefined,7.07070707070707
2017,Female,60 to 69,,Percentage (%),Units,Undefined,3.0
2018,Female,60 to 69,,Percentage (%),Units,Undefined,6.74157303370786
2019,Female,60 to 69,,Percentage (%),Units,Undefined,8.88888888888889
2020,Female,60 to 69,,Percentage (%),Units,Undefined,8.82352941176471
2021,Female,60 to 69,,Percentage (%),Units,Undefined,10.8108108108108
2022,Female,60 to 69,,Percentage (%),Units,Undefined,7.14285714285714
2023,Female,60 to 69,,Percentage (%),Units,Undefined,12.9310344827586
2016,Female,70 and over,,Percentage (%),Units,Undefined,5.55555555555556
2017,Female,70 and over,,Percentage (%),Units,Undefined,0.0
2018,Female,70 and over,,Percentage (%),Units,Undefined,9.52380952380952
2019,Female,70 and over,,Percentage (%),Units,Undefined,15.625
2020,Female,70 and over,,Percentage (%),Units,Undefined,0.0
2021,Female,70 and over,,Percentage (%),Units,Undefined,0.0
2022,Female,70 and over,,Percentage (%),Units,Undefined,26.9230769230769
2023,Female,70 and over,,Percentage (%),Units,Undefined,10.5263157894737
2009,,,British nationals,Percentage (%),Units,Undefined,14.8015458828176
2010,,,British nationals,Percentage (%),Units,Undefined,13.4800608313619
2011,,,British nationals,Percentage (%),Units,Undefined,13.122004655621
2012,,,British nationals,Percentage (%),Units,Undefined,11.8408476473962
2013,,,British nationals,Percentage (%),Units,Undefined,11.8303107552058
2014,,,British nationals,Percentage (%),Units,Undefined,13.0096352653414
2015,,,British nationals,Percentage (%),Units,Undefined,12.3827516930323
2016,,,British nationals,Percentage (%),Units,Undefined,9.97986425037671
2017,,,British nationals,Percentage (%),Units,Undefined,10.370722308007
2018,,,British nationals,Percentage (%),Units,Undefined,10.3507457604032
2019,,,British nationals,Percentage (%),Units,Undefined,10.1235981085538
2020,,,British nationals,Percentage (%),Units,Undefined,12.6989569938563
2021,,,British nationals,Percentage (%),Units,Undefined,14.4155101921189
2022,,,British nationals,Percentage (%),Units,Undefined,14.8175926187983
2023,,,British nationals,Percentage (%),Units,Undefined,15.8364480387332
2009,,,Foreign nationals,Percentage (%),Units,Undefined,20.484869625883
2010,,,Foreign nationals,Percentage (%),Units,Undefined,22.4427480916031
2011,,,Foreign nationals,Percentage (%),Units,Undefined,21.9129789405325
2012,,,Foreign nationals,Percentage (%),Units,Undefined,19.0866402725348
2013,,,Foreign nationals,Percentage (%),Units,Undefined,19.0153903207862
2014,,,Foreign nationals,Percentage (%),Units,Undefined,20.7956433450249
2015,,,Foreign nationals,Percentage (%),Units,Undefined,21.2233637747336
2016,,,Foreign nationals,Percentage (%),Units,Undefined,17.2783338388434
2017,,,Foreign nationals,Percentage (%),Units,Undefined,16.7384173841738
2018,,,Foreign nationals,Percentage (%),Units,Undefined,17.1630266931392
2019,,,Foreign nationals,Percentage (%),Units,Undefined,17.5926944658378
2020,,,Foreign nationals,Percentage (%),Units,Undefined,25.354533734422
2021,,,Foreign nationals,Percentage (%),Units,Undefined,27.8145695364238
2022,,,Foreign nationals,Percentage (%),Units,Undefined,28.3309233629415
2023,,,Foreign nationals,Percentage (%),Units,Undefined,32.5065400639473
2009,,,Nationality not recorded,Percentage (%),Units,Undefined,42.2027290448343
2010,,,Nationality not recorded,Percentage (%),Units,Undefined,32.6902841108383
2011,,,Nationality not recorded,Percentage (%),Units,Undefined,33.1629392971246
2012,,,Nationality not recorded,Percentage (%),Units,Undefined,29.7075423293997
2013,,,Nationality not recorded,Percentage (%),Units,Undefined,43.4435575826682
2014,,,Nationality not recorded,Percentage (%),Units,Undefined,46.8934911242604
2015,,,Nationality not recorded,Percentage (%),Units,Undefined,47.5
2016,,,Nationality not recorded,Percentage (%),Units,Undefined,37.6984126984127
2017,,,Nationality not recorded,Percentage (%),Units,Undefined,43.75
2018,,,Nationality not recorded,Percentage (%),Units,Undefined,44.5205479452055
2019,,,Nationality not recorded,Percentage (%),Units,Undefined,49.1596638655462
2020,,,Nationality not recorded,Percentage (%),Units,Undefined,64.8148148148148
2021,,,Nationality not recorded,Percentage (%),Units,Undefined,59.2592592592593
2022,,,Nationality not recorded,Percentage (%),Units,Undefined,62.7009646302251
2023,,,Nationality not recorded,Percentage (%),Units,Undefined,75.0716332378224
