Year,Units,Decent homes criteria,Urbanisation sub-category,Sub-national area,Age of oldest person,Age of youngest person,Income group,Disability status,Ethnicity of household reference person (HRP),Unit measure,Observation status,Unit multiplier,Value
2010,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,11.722
2011,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,13.394
2012,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,14.977
2013,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,15.20879754864878
2014,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,11.65298298280195
2015,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,8.18090960880856
2016,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,5.995451457754536
2017,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,8.203756037649752
2008,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,19.69325521331189
2009,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,13.36214834937152
2010,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,11.161
2011,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,13.623
2012,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,14.647
2013,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,10.94537145646734
2014,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,10.51041478561951
2015,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,9.423397755753452
2016,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,8.769395236030048
2017,Household (%),Minimum Standard (HHSRS),,,,,,,Other,Percentage (%),Undefined,Units,8.419899766753627
2008,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,18.09207630753106
2009,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,15.99798535392191
2010,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,13.233
2011,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,14.005
2012,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,15.416
2013,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,13.02351448146669
2014,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,10.26229781003897
2015,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,9.773344108164858
2016,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,9.192889887209342
2017,Household (%),Minimum Standard (HHSRS),,,,,,,All minority,Percentage (%),Undefined,Units,9.225058834667571
2008,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,21.77158752228806
2009,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,20.19868815777138
2010,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,17.048
2011,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,14.718
2012,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,13.377
2013,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,11.90081733374879
2014,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,11.44202903852733
2015,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,12.19576084578356
2016,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,12.015214492617448
2017,Dwelling (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,10.892797293286076
2008,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,21.282432904803763
2009,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,19.79415858919634
2010,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,16.671
2011,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,14.498
2012,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,13.277
2013,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,11.595671828203288
2014,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,11.208037167507982
2015,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,11.85328341936987
2016,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,11.593039884930691
2017,Household (%),Minimum Standard (HHSRS),,,,,,,,Percentage (%),Undefined,Units,10.683256471759908
2008,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,10.14681206862775
2009,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,10.22015180356735
2010,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,6.621
2012,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,3.157
2013,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,5.927326583010081
2014,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,5.401597363615372
2015,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,4.585668735582316
2016,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,6.767352708948474
2017,Dwelling (%),Modern facilities and services,city centre,,,,,,,Percentage (%),Undefined,Units,4.403036411339346
2008,Dwelling (%),Modern facilities and services,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,3.372859830941936
2009,Dwelling (%),Modern facilities and services,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,3.653810395995392
2012,Dwelling (%),Modern facilities and services,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,1.805
2013,Dwelling (%),Modern facilities and services,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,1.753365159269266
2014,Dwelling (%),Modern facilities and services,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,3.506336164649373
2015,Dwelling (%),Modern facilities and services,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,3.694035119246269
2016,Dwelling (%),Modern facilities and services,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,2.6412971630898774
2017,Dwelling (%),Modern facilities and services,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,2.3302180304894624
2008,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,4.566502598249414
2009,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,4.240026854260095
2010,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,3.093
2011,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,2.829
2012,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,3.102
2013,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,3.578637084601605
2014,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,3.734639327574452
2015,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,2.426104116674966
2016,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,3.407215639816364
2017,Dwelling (%),Modern facilities and services,other urban centre,,,,,,,Percentage (%),Undefined,Units,4.720835097633667
2008,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,2.201243234994173
2009,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,1.95963460575822
2010,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,1.713
2012,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,1.431
2013,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,0.7045264466104412
2014,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,0.8562176671528229
2015,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,0.9387702126043072
2016,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,1.2000043409607637
2017,Dwelling (%),Modern facilities and services,rural residential,,,,,,,Percentage (%),Undefined,Units,2.063839922328886
2008,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,2.619975945455359
2009,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,2.484089023838257
2010,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,1.924
2011,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,1.207
2012,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,1.166
2013,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,1.477913120879
2014,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,1.51363727885293
2015,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,1.184678654025345
2016,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,1.4444533951432086
2017,Dwelling (%),Modern facilities and services,suburban residential,,,,,,,Percentage (%),Undefined,Units,1.516767801058815
2008,Dwelling (%),Modern facilities and services,village centre,,,,,,,Percentage (%),Undefined,Units,4.365280049244734
2009,Dwelling (%),Modern facilities and services,village centre,,,,,,,Percentage (%),Undefined,Units,3.357981854559938
2012,Dwelling (%),Modern facilities and services,village centre,,,,,,,Percentage (%),Undefined,Units,2.227
2014,Dwelling (%),Modern facilities and services,village centre,,,,,,,Percentage (%),Undefined,Units,1.558994786429379
2015,Dwelling (%),Modern facilities and services,village centre,,,,,,,Percentage (%),Undefined,Units,2.009791454059421
2016,Dwelling (%),Modern facilities and services,village centre,,,,,,,Percentage (%),Undefined,Units,5.384373686090299
2017,Dwelling (%),Modern facilities and services,village centre,,,,,,,Percentage (%),Undefined,Units,3.847589196755447
2008,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,2.458977049404856
2009,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,2.571390902534265
2010,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,2.107
2011,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,1.166
2012,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,1.094
2013,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,1.237201714390233
2014,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,1.029678337222467
2015,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,0.9378796273216384
2016,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,1.7767882351048072
2017,Dwelling (%),Modern facilities and services,,North,,,,,,Percentage (%),Undefined,Units,2.248955670877954
2008,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,3.523062801990192
2009,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,2.885376642789667
2010,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,2.28
2011,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,1.725
2012,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,1.965
2013,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,2.054162770481035
2014,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,1.978800261179105
2015,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,1.754605348601585
2016,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,2.043323990247708
2017,Dwelling (%),Modern facilities and services,,Rest of England,,,,,,Percentage (%),Undefined,Units,2.053383117790637
2008,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,3.714839281123341
2009,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,3.887920972445721
2010,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,2.652
2011,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,2.016
2012,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,1.778
2013,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,2.342015139285161
2014,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,3.055597047275876
2015,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,2.012511494544265
2016,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,2.520903193887085
2017,Dwelling (%),Modern facilities and services,,South East,,,,,,Percentage (%),Undefined,Units,2.6748658462462016
2008,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,2.811603299132636
2009,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,2.599027863115209
2010,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,1.856
2011,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,1.353
2012,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,1.282
2013,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,1.556394363627808
2014,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,1.586270113358819
2015,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,1.267149398520473
2016,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,1.7003994441711752
2017,Household (%),Modern facilities and services,,,59 and under,,,,,Percentage (%),Undefined,Units,1.705771367212372
2008,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,4.2613522093361
2009,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,3.828077503124577
2010,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,3.054
2011,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,1.953
2012,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,2.063
2013,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,2.448136492855527
2014,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,2.820922519207816
2015,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,2.177084462961519
2016,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,2.7752355575286627
2017,Household (%),Modern facilities and services,,,60 and over,,,,,Percentage (%),Undefined,Units,3.013144647944539
2008,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,5.924575184623978
2009,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,5.537526405511517
2010,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,4.378
2011,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,2.759
2012,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,2.674
2013,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,3.359014673961366
2014,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,4.087261597317439
2015,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,3.357331297039287
2016,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,4.057606991060585
2017,Household (%),Modern facilities and services,,,75 and over,,,,,Percentage (%),Undefined,Units,4.274273174872383
2008,Household (%),Modern facilities and services,,,,4 and under,,,,Percentage (%),Undefined,Units,2.304136093249666
2009,Household (%),Modern facilities and services,,,,4 and under,,,,Percentage (%),Undefined,Units,2.464465632165366
2010,Household (%),Modern facilities and services,,,,4 and under,,,,Percentage (%),Undefined,Units,1.848
2012,Household (%),Modern facilities and services,,,,4 and under,,,,Percentage (%),Undefined,Units,0.514
2013,Household (%),Modern facilities and services,,,,4 and under,,,,Percentage (%),Undefined,Units,1.006839945280436
2014,Household (%),Modern facilities and services,,,,4 and under,,,,Percentage (%),Undefined,Units,1.323434980548029
2015,Household (%),Modern facilities and services,,,,4 and under,,,,Percentage (%),Undefined,Units,1.016855309575708
2016,Household (%),Modern facilities and services,,,,4 and under,,,,Percentage (%),Undefined,Units,1.4872807465028863
2017,Household (%),Modern facilities and services,,,,4 and under,,,,Percentage (%),Undefined,Units,1.8465233799543412
2008,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,2.476828064606762
2009,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,2.176696710130505
2010,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,1.414
2011,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,0.899
2012,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,0.812
2013,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,0.9853301859424428
2014,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,1.009730725167223
2015,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,1.035315130869495
2016,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,1.7682673486425198
2017,Household (%),Modern facilities and services,,,,15 and under,,,,Percentage (%),Undefined,Units,1.941901856603816
2008,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,3.652527800719026
2009,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,3.383189494314843
2010,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,2.65
2011,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,1.848
2012,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,1.887
2013,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,2.223906365700192
2014,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,2.446718911959569
2015,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,1.839787155200583
2016,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,2.247311222981615
2017,Household (%),Modern facilities and services,,,,16 and over,,,,Percentage (%),Undefined,Units,2.3231473596300347
2008,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,5.010573751770657
2009,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,4.757636897609721
2010,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,3.424
2011,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,1.943
2012,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,2.304
2013,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,3.607918542149192
2014,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,3.588622643418428
2015,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,2.315675948067483
2016,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,2.94818116530535
2017,Household (%),Modern facilities and services,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,3.2412398223054133
2008,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,4.643803435574194
2009,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,4.023479831561621
2010,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,2.627
2011,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,2.205
2012,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,2.122
2013,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,2.047579303283061
2014,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,2.13580918874948
2015,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,1.641766210550048
2016,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,2.6793217192139527
2017,Household (%),Modern facilities and services,,,,,2nd quintile,,,Percentage (%),Undefined,Units,2.765441306609252
2008,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,3.351423232599195
2009,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,3.511400460472771
2010,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,2.874
2011,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,1.911
2012,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,1.857
2013,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,2.27972580417654
2014,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,2.985891566878512
2015,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,2.35228953132067
2016,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,2.026588082540235
2017,Household (%),Modern facilities and services,,,,,3rd quintile,,,Percentage (%),Undefined,Units,2.2023997747503845
2008,Household (%),Modern facilities and services,,,,,4th quintile,,,Percentage (%),Undefined,Units,2.036689844345749
2009,Household (%),Modern facilities and services,,,,,4th quintile,,,Percentage (%),Undefined,Units,1.407982378625448
2010,Household (%),Modern facilities and services,,,,,4th quintile,,,Percentage (%),Undefined,Units,1.368
2012,Household (%),Modern facilities and services,,,,,4th quintile,,,Percentage (%),Undefined,Units,0.851
2013,Household (%),Modern facilities and services,,,,,4th quintile,,,Percentage (%),Undefined,Units,1.017582217756136
2014,Household (%),Modern facilities and services,,,,,4th quintile,,,Percentage (%),Undefined,Units,1.322048136260175
2015,Household (%),Modern facilities and services,,,,,4th quintile,,,Percentage (%),Undefined,Units,1.152196869037596
2016,Household (%),Modern facilities and services,,,,,4th quintile,,,Percentage (%),Undefined,Units,1.955353318442561
2017,Household (%),Modern facilities and services,,,,,4th quintile,,,Percentage (%),Undefined,Units,2.0730613761972223
2008,Household (%),Modern facilities and services,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,1.633467252363945
2009,Household (%),Modern facilities and services,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,1.470745125372952
2010,Household (%),Modern facilities and services,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,1.208
2012,Household (%),Modern facilities and services,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,0.805
2013,Household (%),Modern facilities and services,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,0.7333634808710537
2014,Household (%),Modern facilities and services,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,0.5428994382819944
2015,Household (%),Modern facilities and services,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,0.7499454739925818
2016,Household (%),Modern facilities and services,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,1.0734103370343475
2017,Household (%),Modern facilities and services,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,0.8839898857805317
2008,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,3.124683301945238
2009,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.792829306437075
2010,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.065
2011,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,1.411
2012,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,1.366
2013,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,1.620100153139413
2014,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,1.704570712841862
2015,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,1.390854509298041
2016,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,1.8292075544913051
2017,Household (%),Modern facilities and services,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.018049497855287
2008,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,3.845868542715472
2009,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,3.52962651244906
2010,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.88
2011,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,1.967
2012,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.085
2013,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.493357275291292
2014,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.799325418655526
2015,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.113316321081903
2016,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.647121784594962
2017,Household (%),Modern facilities and services,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,2.5602965199928573
2008,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,3.12530377322652
2009,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,2.917634979730521
2010,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,2.299
2011,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,1.528
2012,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,1.463
2013,Household (%),Modern facilities and services,,,,,,,White,Percentage (%),Undefined,Units,1.832760147469882
