Year,Series,Country,Region,Sex,Sector,Observation status,Unit multiplier,Units,GeoCode,Value
2012,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.205297549252244
2013,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.263926000976434
2014,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.532510159222608
2015,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.590653305339962
2016,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.439209903061245
2017,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.417919202287558
2018,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.163094902143059
2019,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.181420243681496
2020,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Non-Agriculture,Undefined,Units,Percentage (%),N92000002,0.260277782125104
2012,Unpaid Family Workers as a proportion of all employees,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.237510156276476
2013,Unpaid Family Workers as a proportion of all employees,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.25295317186455
2014,Unpaid Family Workers as a proportion of all employees,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.37408331612377
2015,Unpaid Family Workers as a proportion of all employees,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.36649731364259
2016,Unpaid Family Workers as a proportion of all employees,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.376754031749237
2017,Unpaid Family Workers as a proportion of all employees,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.274458910315684
2018,Unpaid Family Workers as a proportion of all employees,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.43584204520506
2019,Unpaid Family Workers as a proportion of all employees,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.333614052846882
2020,Unpaid Family Workers as a proportion of all employees,Scotland,,,Non-Agriculture,Undefined,Units,Percentage (%),S92000003,0.166605105378898
2012,Unpaid Family Workers as a proportion of all employees,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.311396959000815
2013,Unpaid Family Workers as a proportion of all employees,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.373998031430885
2014,Unpaid Family Workers as a proportion of all employees,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.450040977219053
2015,Unpaid Family Workers as a proportion of all employees,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.354925363234714
2016,Unpaid Family Workers as a proportion of all employees,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.478089270456117
2017,Unpaid Family Workers as a proportion of all employees,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.546559080876726
2018,Unpaid Family Workers as a proportion of all employees,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.554906748270462
2019,Unpaid Family Workers as a proportion of all employees,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.474102210672888
2020,Unpaid Family Workers as a proportion of all employees,Wales,,,Non-Agriculture,Undefined,Units,Percentage (%),W92000004,0.34469199964099
2012,Unpaid Family Workers as a proportion of all employees,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.34750472350809
2013,Unpaid Family Workers as a proportion of all employees,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.361132909882119
2014,Unpaid Family Workers as a proportion of all employees,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.34931738584811
2015,Unpaid Family Workers as a proportion of all employees,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.350882154356145
2016,Unpaid Family Workers as a proportion of all employees,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.358604042486674
2017,Unpaid Family Workers as a proportion of all employees,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.324295247676805
2018,Unpaid Family Workers as a proportion of all employees,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.365990462678539
2019,Unpaid Family Workers as a proportion of all employees,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.337353150300024
2020,Unpaid Family Workers as a proportion of all employees,,,,Non-Agriculture,Undefined,Units,Percentage (%),,0.253736491836361
2012,Unpaid Family Workers as a proportion of all employees,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.535041964290009
2013,Unpaid Family Workers as a proportion of all employees,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.496764153434061
2014,Unpaid Family Workers as a proportion of all employees,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.43967263934507
2015,Unpaid Family Workers as a proportion of all employees,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.453183998712765
2016,Unpaid Family Workers as a proportion of all employees,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.445367148555569
2017,Unpaid Family Workers as a proportion of all employees,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.398915946610339
2018,Unpaid Family Workers as a proportion of all employees,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.456376464930953
2019,Unpaid Family Workers as a proportion of all employees,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.407783249473674
2020,Unpaid Family Workers as a proportion of all employees,England,,Female,,Undefined,Units,Percentage (%),E92000001,0.329760589487453
2012,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.485531171101185
2013,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.29229364228143
2014,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.825792755738358
2015,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.752484745130433
2016,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.632578620485689
2017,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.530320561561264
2018,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.494960705837509
2019,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.446312952127593
2020,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Female,,Undefined,Units,Percentage (%),N92000002,0.58485758643487
2012,Unpaid Family Workers as a proportion of all employees,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.391860514206105
2013,Unpaid Family Workers as a proportion of all employees,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.455094486006282
2014,Unpaid Family Workers as a proportion of all employees,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.505355863207383
2015,Unpaid Family Workers as a proportion of all employees,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.476341316659928
2016,Unpaid Family Workers as a proportion of all employees,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.49654199690663
2017,Unpaid Family Workers as a proportion of all employees,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.420747597600064
2018,Unpaid Family Workers as a proportion of all employees,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.644863138801063
2019,Unpaid Family Workers as a proportion of all employees,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.353553661640507
2020,Unpaid Family Workers as a proportion of all employees,Scotland,,Female,,Undefined,Units,Percentage (%),S92000003,0.238907449739171
2012,Unpaid Family Workers as a proportion of all employees,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.481103946300733
2013,Unpaid Family Workers as a proportion of all employees,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.531868097946458
2014,Unpaid Family Workers as a proportion of all employees,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.728019499484683
2015,Unpaid Family Workers as a proportion of all employees,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.601700795435394
2016,Unpaid Family Workers as a proportion of all employees,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.760327046004016
2017,Unpaid Family Workers as a proportion of all employees,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.751390307153195
2018,Unpaid Family Workers as a proportion of all employees,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.700587824467466
2019,Unpaid Family Workers as a proportion of all employees,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.574202255017196
2020,Unpaid Family Workers as a proportion of all employees,Wales,,Female,,Undefined,Units,Percentage (%),W92000004,0.539457125106262
2012,Unpaid Family Workers as a proportion of all employees,,,Female,,Undefined,Units,Percentage (%),,0.518748198612496
2013,Unpaid Family Workers as a proportion of all employees,,,Female,,Undefined,Units,Percentage (%),,0.489237524720862
2014,Unpaid Family Workers as a proportion of all employees,,,Female,,Undefined,Units,Percentage (%),,0.468959278061696
2015,Unpaid Family Workers as a proportion of all employees,,,Female,,Undefined,Units,Percentage (%),,0.469715689851515
2016,Unpaid Family Workers as a proportion of all employees,,,Female,,Undefined,Units,Percentage (%),,0.468913189740376
2017,Unpaid Family Workers as a proportion of all employees,,,Female,,Undefined,Units,Percentage (%),,0.420080240679105
2018,Unpaid Family Workers as a proportion of all employees,,,Female,,Undefined,Units,Percentage (%),,0.484429757418649
2019,Unpaid Family Workers as a proportion of all employees,,,Female,,Undefined,Units,Percentage (%),,0.41167728143616
2020,Unpaid Family Workers as a proportion of all employees,,,Female,,Undefined,Units,Percentage (%),,0.338269696466604
2012,Unpaid Family Workers as a proportion of all employees,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.264802936891535
2013,Unpaid Family Workers as a proportion of all employees,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.322916816054535
2014,Unpaid Family Workers as a proportion of all employees,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.307989946432295
2015,Unpaid Family Workers as a proportion of all employees,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.292401933408172
2016,Unpaid Family Workers as a proportion of all employees,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.327191698872181
2017,Unpaid Family Workers as a proportion of all employees,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.30924263127074
2018,Unpaid Family Workers as a proportion of all employees,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.321448865742341
2019,Unpaid Family Workers as a proportion of all employees,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.327631642526313
2020,Unpaid Family Workers as a proportion of all employees,England,,Male,,Undefined,Units,Percentage (%),E92000001,0.229649552220973
2012,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.264859085157101
2013,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.597800843755941
2014,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.556772415742245
2015,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.786144550356874
2016,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.75213758972977
2017,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.334877758262169
2018,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.164996599992302
2019,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.388916677756719
2020,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,Male,,Undefined,Units,Percentage (%),N92000002,0.335567478921193
2012,Unpaid Family Workers as a proportion of all employees,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.251262957822211
2013,Unpaid Family Workers as a proportion of all employees,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.269144179356493
2014,Unpaid Family Workers as a proportion of all employees,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.359472277050745
2015,Unpaid Family Workers as a proportion of all employees,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.340148717243496
2016,Unpaid Family Workers as a proportion of all employees,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.411970351911933
2017,Unpaid Family Workers as a proportion of all employees,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.266532018639473
2018,Unpaid Family Workers as a proportion of all employees,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.304367765919953
2019,Unpaid Family Workers as a proportion of all employees,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.384123390802101
2020,Unpaid Family Workers as a proportion of all employees,Scotland,,Male,,Undefined,Units,Percentage (%),S92000003,0.199898995228655
2012,Unpaid Family Workers as a proportion of all employees,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.350114986639784
2013,Unpaid Family Workers as a proportion of all employees,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.369889498863941
2014,Unpaid Family Workers as a proportion of all employees,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.484962804636445
2015,Unpaid Family Workers as a proportion of all employees,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.414206530907338
2016,Unpaid Family Workers as a proportion of all employees,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.559886769371605
2017,Unpaid Family Workers as a proportion of all employees,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.680228607969306
2018,Unpaid Family Workers as a proportion of all employees,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.75061053504117
2019,Unpaid Family Workers as a proportion of all employees,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.679486272753229
2020,Unpaid Family Workers as a proportion of all employees,Wales,,Male,,Undefined,Units,Percentage (%),W92000004,0.689004931824775
2012,Unpaid Family Workers as a proportion of all employees,,,Male,,Undefined,Units,Percentage (%),,0.267513791535719
2013,Unpaid Family Workers as a proportion of all employees,,,Male,,Undefined,Units,Percentage (%),,0.327901636601523
2014,Unpaid Family Workers as a proportion of all employees,,,Male,,Undefined,Units,Percentage (%),,0.326624087727184
2015,Unpaid Family Workers as a proportion of all employees,,,Male,,Undefined,Units,Percentage (%),,0.314488879238984
2016,Unpaid Family Workers as a proportion of all employees,,,Male,,Undefined,Units,Percentage (%),,0.354603384903873
2017,Unpaid Family Workers as a proportion of all employees,,,Male,,Undefined,Units,Percentage (%),,0.322954978679461
2018,Unpaid Family Workers as a proportion of all employees,,,Male,,Undefined,Units,Percentage (%),,0.335796046221713
2019,Unpaid Family Workers as a proportion of all employees,,,Male,,Undefined,Units,Percentage (%),,0.349434961967084
2020,Unpaid Family Workers as a proportion of all employees,,,Male,,Undefined,Units,Percentage (%),,0.250386553122555
2012,Unpaid Family Workers as a proportion of all employees,,East,,,Undefined,Units,Percentage (%),E12000006,0.534042415312261
2013,Unpaid Family Workers as a proportion of all employees,,East,,,Undefined,Units,Percentage (%),E12000006,0.474210572922514
2014,Unpaid Family Workers as a proportion of all employees,,East,,,Undefined,Units,Percentage (%),E12000006,0.327298625159985
2015,Unpaid Family Workers as a proportion of all employees,,East,,,Undefined,Units,Percentage (%),E12000006,0.369033161855278
2016,Unpaid Family Workers as a proportion of all employees,,East,,,Undefined,Units,Percentage (%),E12000006,0.38352476729001
2017,Unpaid Family Workers as a proportion of all employees,,East,,,Undefined,Units,Percentage (%),E12000006,0.280567577990378
2018,Unpaid Family Workers as a proportion of all employees,,East,,,Undefined,Units,Percentage (%),E12000006,0.31342990745888
2019,Unpaid Family Workers as a proportion of all employees,,East,,,Undefined,Units,Percentage (%),E12000006,0.324449654627011
2020,Unpaid Family Workers as a proportion of all employees,,East,,,Undefined,Units,Percentage (%),E12000006,0.358252797587495
2012,Unpaid Family Workers as a proportion of all employees,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.417919612184245
2013,Unpaid Family Workers as a proportion of all employees,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.330859120789987
2014,Unpaid Family Workers as a proportion of all employees,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.334466735651095
2015,Unpaid Family Workers as a proportion of all employees,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.436938352347159
2016,Unpaid Family Workers as a proportion of all employees,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.435356819866798
2017,Unpaid Family Workers as a proportion of all employees,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.400481516067501
2018,Unpaid Family Workers as a proportion of all employees,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.436816393508655
2019,Unpaid Family Workers as a proportion of all employees,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.326794888124655
2020,Unpaid Family Workers as a proportion of all employees,,East Midlands,,,Undefined,Units,Percentage (%),E12000004,0.217178888885059
2012,Unpaid Family Workers as a proportion of all employees,,London,,,Undefined,Units,Percentage (%),E12000007,0.270919308149012
2013,Unpaid Family Workers as a proportion of all employees,,London,,,Undefined,Units,Percentage (%),E12000007,0.349574453672485
2014,Unpaid Family Workers as a proportion of all employees,,London,,,Undefined,Units,Percentage (%),E12000007,0.331173903011694
2015,Unpaid Family Workers as a proportion of all employees,,London,,,Undefined,Units,Percentage (%),E12000007,0.306117523415211
2016,Unpaid Family Workers as a proportion of all employees,,London,,,Undefined,Units,Percentage (%),E12000007,0.345957695657862
2017,Unpaid Family Workers as a proportion of all employees,,London,,,Undefined,Units,Percentage (%),E12000007,0.350575887564102
2018,Unpaid Family Workers as a proportion of all employees,,London,,,Undefined,Units,Percentage (%),E12000007,0.39788145005684
2019,Unpaid Family Workers as a proportion of all employees,,London,,,Undefined,Units,Percentage (%),E12000007,0.464034024566837
2020,Unpaid Family Workers as a proportion of all employees,,London,,,Undefined,Units,Percentage (%),E12000007,0.312591823055876
2012,Unpaid Family Workers as a proportion of all employees,,North East,,,Undefined,Units,Percentage (%),E12000001,0.239490436649809
2013,Unpaid Family Workers as a proportion of all employees,,North East,,,Undefined,Units,Percentage (%),E12000001,0.208274045552766
2014,Unpaid Family Workers as a proportion of all employees,,North East,,,Undefined,Units,Percentage (%),E12000001,0.314862393633751
2015,Unpaid Family Workers as a proportion of all employees,,North East,,,Undefined,Units,Percentage (%),E12000001,0.27754008769478
2016,Unpaid Family Workers as a proportion of all employees,,North East,,,Undefined,Units,Percentage (%),E12000001,0.333364433898271
2017,Unpaid Family Workers as a proportion of all employees,,North East,,,Undefined,Units,Percentage (%),E12000001,0.134744137536588
2018,Unpaid Family Workers as a proportion of all employees,,North East,,,Undefined,Units,Percentage (%),E12000001,0.426758457052626
2019,Unpaid Family Workers as a proportion of all employees,,North East,,,Undefined,Units,Percentage (%),E12000001,0.337156509746415
2020,Unpaid Family Workers as a proportion of all employees,,North East,,,Undefined,Units,Percentage (%),E12000001,0.23168848399891
2012,Unpaid Family Workers as a proportion of all employees,,North West,,,Undefined,Units,Percentage (%),E12000002,0.340245610238213
2013,Unpaid Family Workers as a proportion of all employees,,North West,,,Undefined,Units,Percentage (%),E12000002,0.261907222147912
2014,Unpaid Family Workers as a proportion of all employees,,North West,,,Undefined,Units,Percentage (%),E12000002,0.302027942297958
2015,Unpaid Family Workers as a proportion of all employees,,North West,,,Undefined,Units,Percentage (%),E12000002,0.316510522490516
2016,Unpaid Family Workers as a proportion of all employees,,North West,,,Undefined,Units,Percentage (%),E12000002,0.214034440744637
2017,Unpaid Family Workers as a proportion of all employees,,North West,,,Undefined,Units,Percentage (%),E12000002,0.285350577150172
2018,Unpaid Family Workers as a proportion of all employees,,North West,,,Undefined,Units,Percentage (%),E12000002,0.247047802169831
2019,Unpaid Family Workers as a proportion of all employees,,North West,,,Undefined,Units,Percentage (%),E12000002,0.242047768190841
2020,Unpaid Family Workers as a proportion of all employees,,North West,,,Undefined,Units,Percentage (%),E12000002,0.201677332536928
2012,Unpaid Family Workers as a proportion of all employees,,South East,,,Undefined,Units,Percentage (%),E12000008,0.513055871029756
2013,Unpaid Family Workers as a proportion of all employees,,South East,,,Undefined,Units,Percentage (%),E12000008,0.512279499882313
2014,Unpaid Family Workers as a proportion of all employees,,South East,,,Undefined,Units,Percentage (%),E12000008,0.403428799035201
2015,Unpaid Family Workers as a proportion of all employees,,South East,,,Undefined,Units,Percentage (%),E12000008,0.392178992259762
2016,Unpaid Family Workers as a proportion of all employees,,South East,,,Undefined,Units,Percentage (%),E12000008,0.348117085278299
2017,Unpaid Family Workers as a proportion of all employees,,South East,,,Undefined,Units,Percentage (%),E12000008,0.388347936557025
2018,Unpaid Family Workers as a proportion of all employees,,South East,,,Undefined,Units,Percentage (%),E12000008,0.509274650175447
2019,Unpaid Family Workers as a proportion of all employees,,South East,,,Undefined,Units,Percentage (%),E12000008,0.433566829522569
2020,Unpaid Family Workers as a proportion of all employees,,South East,,,Undefined,Units,Percentage (%),E12000008,0.331915443531152
2012,Unpaid Family Workers as a proportion of all employees,,South West,,,Undefined,Units,Percentage (%),E12000009,0.474277272741807
2013,Unpaid Family Workers as a proportion of all employees,,South West,,,Undefined,Units,Percentage (%),E12000009,0.614990864408633
2014,Unpaid Family Workers as a proportion of all employees,,South West,,,Undefined,Units,Percentage (%),E12000009,0.607761246309994
2015,Unpaid Family Workers as a proportion of all employees,,South West,,,Undefined,Units,Percentage (%),E12000009,0.531645797311304
2016,Unpaid Family Workers as a proportion of all employees,,South West,,,Undefined,Units,Percentage (%),E12000009,0.594590415059072
2017,Unpaid Family Workers as a proportion of all employees,,South West,,,Undefined,Units,Percentage (%),E12000009,0.590164835900313
2018,Unpaid Family Workers as a proportion of all employees,,South West,,,Undefined,Units,Percentage (%),E12000009,0.42412393819867
2019,Unpaid Family Workers as a proportion of all employees,,South West,,,Undefined,Units,Percentage (%),E12000009,0.445286348558379
2020,Unpaid Family Workers as a proportion of all employees,,South West,,,Undefined,Units,Percentage (%),E12000009,0.323894413268537
2012,Unpaid Family Workers as a proportion of all employees,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.287266239947107
2013,Unpaid Family Workers as a proportion of all employees,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.32619101882887
2014,Unpaid Family Workers as a proportion of all employees,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.371982252791044
2015,Unpaid Family Workers as a proportion of all employees,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.339965422386506
2016,Unpaid Family Workers as a proportion of all employees,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.39831806946261
2017,Unpaid Family Workers as a proportion of all employees,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.290597336903965
2018,Unpaid Family Workers as a proportion of all employees,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.385023995043168
2019,Unpaid Family Workers as a proportion of all employees,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.243219518375399
2020,Unpaid Family Workers as a proportion of all employees,,West Midlands,,,Undefined,Units,Percentage (%),E12000005,0.203415714580715
2012,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.32840048178387
2013,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.416699787884747
2014,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.311938734886282
2015,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.326176034758146
2016,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.458790732712064
2017,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.318805274585606
2018,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.299973954357256
2019,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.372859825902633
2020,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,,Undefined,Units,Percentage (%),E12000003,0.226308204084669
2012,Unpaid Family Workers as a proportion of all employees,England,,,,Undefined,Units,Percentage (%),E92000001,0.390183379167676
2013,Unpaid Family Workers as a proportion of all employees,England,,,,Undefined,Units,Percentage (%),E92000001,0.403754462938429
2014,Unpaid Family Workers as a proportion of all employees,England,,,,Undefined,Units,Percentage (%),E92000001,0.369337903845227
2015,Unpaid Family Workers as a proportion of all employees,England,,,,Undefined,Units,Percentage (%),E92000001,0.367124366817772
2016,Unpaid Family Workers as a proportion of all employees,England,,,,Undefined,Units,Percentage (%),E92000001,0.382117438643817
2017,Unpaid Family Workers as a proportion of all employees,England,,,,Undefined,Units,Percentage (%),E92000001,0.351150574765655
2018,Unpaid Family Workers as a proportion of all employees,England,,,,Undefined,Units,Percentage (%),E92000001,0.384584632635214
2019,Unpaid Family Workers as a proportion of all employees,England,,,,Undefined,Units,Percentage (%),E92000001,0.365429361105081
2020,Unpaid Family Workers as a proportion of all employees,England,,,,Undefined,Units,Percentage (%),E92000001,0.277382076551712
2012,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.370705463343546
2013,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.452537809313064
2014,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.683270113795169
2015,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.770476797634492
2016,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.69568185873779
2017,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.428316290243555
2018,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.322705528860645
2019,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.416302252231176
2020,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,0.453643987985706
2012,Unpaid Family Workers as a proportion of all employees,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.318845920631068
2013,Unpaid Family Workers as a proportion of all employees,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.359197574388366
2014,Unpaid Family Workers as a proportion of all employees,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.430051207229478
2015,Unpaid Family Workers as a proportion of all employees,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.406663813567459
2016,Unpaid Family Workers as a proportion of all employees,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.452820606318198
2017,Unpaid Family Workers as a proportion of all employees,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.341513867296491
2018,Unpaid Family Workers as a proportion of all employees,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.469036865787456
2019,Unpaid Family Workers as a proportion of all employees,Scotland,,,,Undefined,Units,Percentage (%),S92000003,0.369191775160702
