Indicator,Alias,Source,Year,Sex,Location,Age,Confidence Interval,Value
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,1992,,Total,,,17.21
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,1993,,Total,,,18.09
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,1994,,Total,,,94.95
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,1995,,Total,,,53.48
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,1996,,Total,,,34
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,1997,,Total,,,12.51
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,1998,,Total,,,17.66
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2004,,Total,,,23.85
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,1999,,Total,,,19.43
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2000,,Total,,,18.69
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2001,,Total,,,18.45
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2002,,Total,,,22.38
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2003,,Total,,,18.46
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2005,,Total,,,22.61
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2006,,Total,,,19.56
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2007,,Total,,,19.4
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2008,,Total,,,19.96
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2009,,Total,,,17.87
8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,8.04 ODA received by landlocked developing countries as a proportion of their GNI - Percent,UNSD_MDG_2012 Country Data,2010,,Total,,,18.49
Condom use rate of the contraceptive prevalence rate - Percent,Condom use rate of the contraceptive prevalence rate - Percent,UNSD_MDG_2012 Country Data,1996,Female,,15-49 yr,,1.5
Condom use rate of the contraceptive prevalence rate - Percent,Condom use rate of the contraceptive prevalence rate - Percent,UNSD_MDG_2012 Country Data,1992,Female,,15-49 yr,,0.9
Condom use rate of the contraceptive prevalence rate - Percent,Condom use rate of the contraceptive prevalence rate - Percent,UNSD_MDG_2012 Country Data,2000,Female,,15-49 yr,,3
Condom use rate of the contraceptive prevalence rate - Percent,Condom use rate of the contraceptive prevalence rate - Percent,UNSD_MDG_2012 Country Data,2005,Female,,15-49 yr,,5.2
Condom use rate of the contraceptive prevalence rate - Percent,Condom use rate of the contraceptive prevalence rate - Percent,UNSD_MDG_2012 Country Data,2008,Female,,15-49 yr,,5.2
Condom use rate of the contraceptive prevalence rate - Percent,Condom use rate of the contraceptive prevalence rate - Percent,UNSD_MDG_2012 Country Data,2011,Female,,15-49 yr,,5.6
"5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births","5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births",UNSD_MDG_2012 Modeled,1990,,Total,,,910
"5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births","5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births",UNSD_MDG_2012 Modeled,1995,,Total,,,1000
"5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births","5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births",UNSD_MDG_2012 Modeled,2000,,Total,,,840
"5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births","5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births",UNSD_MDG_2012 Modeled,2005,,Total,,,550
"5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births","5.01 Maternal mortality ratio (MMR) - Deaths per 100,000 live births",UNSD_MDG_2012 Modeled,2010,,Total,,,340
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Estimated,2001,,Total,,,75.9
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Estimated,2001,Female,,,,76.9
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Estimated,2001,Male,,,,74.9
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2002,,Total,,,79.8
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2002,Female,,,,81.3
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2002,Male,,,,78.3
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2003,,Total,,,85.6
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2003,Female,,,,87.4
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2003,Male,,,,83.7
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2004,,Total,,,79.8
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2004,Female,,,,81.7
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2004,Male,,,,77.8
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Estimated,2005,,Total,,,81.9
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Estimated,2005,Female,,,,84.7
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Estimated,2005,Male,,,,79
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2007,,Total,,,91.7
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2007,Female,,,,93.3
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2007,Male,,,,90.1
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Estimated,2008,,Total,,,90.6
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Estimated,2008,Female,,,,92.2
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Estimated,2008,Male,,,,89
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2009,,Total,,,98.4
2.01 Net enrolment ratio in primary education (NER) - Percent,2.01 Net enrolment ratio in primary education (NER) - Percent,UNSD_MDG_2012 Country Data,2010,,Total,,,98.7
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1990,,Total,,,0.0959
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1991,,Total,,,0.0918
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1992,,Total,,,0.0989
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1994,,Total,,,0.1098
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2009,,Total,,,0.0704
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1993,,Total,,,0.1073
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1995,,Total,,,0.1099
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1996,,Total,,,0.1087
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1997,,Total,,,0.1037
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1998,,Total,,,0.0925
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,1999,,Total,,,0.0885
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2000,,Total,,,0.0847
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2001,,Total,,,0.0815
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2002,,Total,,,0.0792
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2003,,Total,,,0.077
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2004,,Total,,,0.0765
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2005,,Total,,,0.0749
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2006,,Total,,,0.073
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2007,,Total,,,0.0736
7.02 Carbon dioxide emissions per capita - Metric tons,7.02 Carbon dioxide emissions per capita - Metric tons,UNSD_MDG_2012 Global Monitoring Data,2008,,Total,,,0.0704
Contraceptive prevalence rate - modern methods - Percent,Contraceptive prevalence rate - modern methods - Percent,UNSD_MDG_2012 Country Data,1992,Female,,15-49 yr,,12.9
Contraceptive prevalence rate - modern methods - Percent,Contraceptive prevalence rate - modern methods - Percent,UNSD_MDG_2012 Country Data,1996,Female,,15-49 yr,,7.1
Contraceptive prevalence rate - modern methods - Percent,Contraceptive prevalence rate - modern methods - Percent,UNSD_MDG_2012 Country Data,2000,Female,,15-49 yr,,4.3
Contraceptive prevalence rate - modern methods - Percent,Contraceptive prevalence rate - modern methods - Percent,UNSD_MDG_2012 Country Data,2005,Female,,15-49 yr,,8.9
Contraceptive prevalence rate - modern methods - Percent,Contraceptive prevalence rate - modern methods - Percent,UNSD_MDG_2012 Country Data,2008,Female,,15-49 yr,,26.1
Contraceptive prevalence rate - modern methods - Percent,Contraceptive prevalence rate - modern methods - Percent,UNSD_MDG_2012 Country Data,2011,Female,,15-49 yr,,44
1.09 Undernourished population - Percent,1.09 Undernourished population - Percent,UNSD_MDG_2012 Estimated,2007,,Total,,,32
1.09 Undernourished population - Percent,1.09 Undernourished population - Percent,UNSD_MDG_2012 Estimated,1991,,Total,,,44
1.09 Undernourished population - Percent,1.09 Undernourished population - Percent,UNSD_MDG_2012 Estimated,1996,,Total,,,53
1.09 Undernourished population - Percent,1.09 Undernourished population - Percent,UNSD_MDG_2012 Estimated,2001,,Total,,,38
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,1990,,Total,,,67.26
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,1996,,Total,,,176.31
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,1991,,Total,,,77.2
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,1992,,Total,,,82.09
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,1993,,Total,,,89.59
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,1995,,Total,,,168.95
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,1999,,Total,,,192.76
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,1997,,Total,,,192.98
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,1998,,Total,,,201.83
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2000,,Total,,,193.73
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2003,,Total,,,205.39
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2001,,Total,,,194.71
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2002,,Total,,,195.49
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2004,,Total,,,224.54
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2005,,Total,,,236.75
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2006,,Total,,,249.72
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2007,,Total,,,264.84
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2008,,Total,,,294.44
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2009,,Total,,,326.12
Purchasing power parities (PPP) conversion factor - Local currency unit to US$,Purchasing power parities (PPP) conversion factor - Local currency unit to US$,UNSD_MDG_2012 Global Monitoring Data,2010,,Total,,,328.27
Population below national poverty line - Percent,Population below national poverty line - Percent,UNSD_MDG_2012 Country Adjusted,2000,,Total,,,60.4
Population below national poverty line - Percent,Population below national poverty line - Percent,UNSD_MDG_2012 Country Adjusted,2000,,Rural,,,66.1
Population below national poverty line - Percent,Population below national poverty line - Percent,UNSD_MDG_2012 Country Adjusted,2005,,Total,,,58.5
Population below national poverty line - Percent,Population below national poverty line - Percent,UNSD_MDG_2012 Country Adjusted,2005,,Urban,,,23.2
Population below national poverty line - Percent,Population below national poverty line - Percent,UNSD_MDG_2012 Country Adjusted,2005,,Rural,,,64.2
Population below national poverty line - Percent,Population below national poverty line - Percent,UNSD_MDG_2012 Country Adjusted,2011,,Total,,,44.9
Population below national poverty line - Percent,Population below national poverty line - Percent,UNSD_MDG_2012 Country Adjusted,2011,,Urban,,,22.1
Population below national poverty line - Percent,Population below national poverty line - Percent,UNSD_MDG_2012 Country Adjusted,2011,,Rural,,,48.7
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,1991,,Total,,,0.99
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,1999,,Total,,,0.98
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2000,,Total,,,0.97
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2001,,Total,,,0.99
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2002,,Total,,,1
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2003,,Total,,,1.01
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2004,,Total,,,1.02
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2005,,Total,,,1.03
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2006,,Total,,,1.04
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2007,,Total,,,1.03
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2008,,Total,,,1.03
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2009,,Total,,,1.02
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2010,,Total,,,1.02
3.01 Gender Parity Index in primary level enrolment - Ratio,3.01 Gender Parity Index in primary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2011,,Total,,,1.03
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,1991,,Total,,,0.82
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,1999,,Total,,,1.01
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2000,,Total,,,0.95
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2001,,Total,,,0.99
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Estimated,2002,,Total,,,0.99
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Estimated,2003,,Total,,,0.89
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2004,,Total,,,0.9
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2005,,Total,,,0.88
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Estimated,2006,,Total,,,0.9
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2007,,Total,,,0.9
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2008,,Total,,,0.91
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2009,,Total,,,0.95
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2010,,Total,,,1.02
3.01 Gender Parity Index in secondary level enrolment - Ratio,3.01 Gender Parity Index in secondary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2011,,Total,,,1.05
3.01 Gender Parity Index in tertiary level enrolment - Ratio,3.01 Gender Parity Index in tertiary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2001,,Total,,,0.48
3.01 Gender Parity Index in tertiary level enrolment - Ratio,3.01 Gender Parity Index in tertiary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2002,,Total,,,0.5
3.01 Gender Parity Index in tertiary level enrolment - Ratio,3.01 Gender Parity Index in tertiary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2003,,Total,,,0.56
3.01 Gender Parity Index in tertiary level enrolment - Ratio,3.01 Gender Parity Index in tertiary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2004,,Total,,,0.62
3.01 Gender Parity Index in tertiary level enrolment - Ratio,3.01 Gender Parity Index in tertiary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2009,,Total,,,0.76
3.01 Gender Parity Index in tertiary level enrolment - Ratio,3.01 Gender Parity Index in tertiary level enrolment - Ratio,UNSD_MDG_2012 Country Data,2010,,Total,,,0.77
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,1990,,Total,,,17.1
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,1997,,Total,,,17.1
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2000,,Total,,,17.1
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,1998,,Total,,,17.1
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,1999,,Total,,,17.1
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2001,,Total,,,25.7
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2008,,Total,,,48.8
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2002,,Total,,,25.7
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2003,,Total,,,25.7
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2004,,Total,,,48.8
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2005,,Total,,,48.8
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2006,,Total,,,48.8
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2007,,Total,,,48.8
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2009,,Total,,,56.3
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2010,,Total,,,56.3
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2011,,Total,,,56.3
3.03 Seats held by women in national parliament - Percent,3.03 Seats held by women in national parliament - Percent,UNSD_MDG_2012 Country Data,2012,,Total,,,56.3
3.03 Seats held by women in national parliament - Number,3.03 Seats held by women in national parliament - Number,UNSD_MDG_2012 Country Data,2008,,Total,,,39
3.03 Seats held by women in national parliament - Number,3.03 Seats held by women in national parliament - Number,UNSD_MDG_2012 Country Data,1990,,Total,,,12
3.03 Seats held by women in national parliament - Number,3.03 Seats held by women in national parliament - Number,UNSD_MDG_2012 Country Data,1997,,Total,,,12
3.03 Seats held by women in national parliament - Number,3.03 Seats held by women in national parliament - Number,UNSD_MDG_2012 Country Data,2000,,Total,,,12
3.03 Seats held by women in national parliament - Number,3.03 Seats held by women in national parliament - Number,UNSD_MDG_2012 Country Data,1998,,Total,,,12
3.03 Seats held by women in national parliament - Number,3.03 Seats held by women in national parliament - Number,UNSD_MDG_2012 Country Data,1999,,Total,,,12
3.03 Seats held by women in national parliament - Number,3.03 Seats held by women in national parliament - Number,UNSD_MDG_2012 Country Data,2001,,Total,,,18
