Year,Series,Sex,Age,Country,Region,Socio-economic classification,Ethnicity,Country of birth,Units,Unit multiplier,Observation status,GeoCode,Value
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.0
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,13.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,14.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,16.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,16.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,17.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,19.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,20.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,23.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,23.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,25.0
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,,,,,,Percentage (%),Units,Normal value,,25.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,15.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,18.0
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,19.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,19.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,19.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,20.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,23.0
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,24.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,24.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,25.0
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,,,,,,Percentage (%),Units,Normal value,,25.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,15.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,16.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,15.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,16.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,16.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,18.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,19.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,20.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,21.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,22.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,,,,,,Percentage (%),Units,Normal value,,23.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,15.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,15.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,15.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,16.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,16.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,17.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,19.0
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,19.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,20.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,21.0
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,,,,,,Percentage (%),Units,Normal value,,21.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,14.0
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,14.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,13.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,14.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,14.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,15.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,16.0
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,16.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,17.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,18.0
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,,,,,,Percentage (%),Units,Normal value,,18.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,8.0
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,8.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,7.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,7.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,8.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,8.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,8.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,9.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,9.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,10.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,,,,,,Percentage (%),Units,Normal value,,10.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,13.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,14.0
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,14.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,14.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,15.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,15.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,17.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,18.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,18.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,19.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,,,,,,,Percentage (%),Units,Normal value,,20.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,15.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,16.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,18.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,19.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,20.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,21.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,22.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,26.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,25.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,27.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,27.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,18.0
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,20.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,21.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,21.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,22.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,23.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,26.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,27.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,28.0
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,28.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,29.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,18.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,19.0
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,18.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,19.0
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,19.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,20.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,22.0
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,23.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,23.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,25.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,25.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,17.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,17.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,17.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,18.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,18.0
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,18.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,20.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,21.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,21.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,22.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,22.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,14.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,14.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,14.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,15.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,15.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,15.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,17.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,17.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,17.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,18.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,19.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,8.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,8.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,8.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,8.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,8.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,8.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,8.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,9.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,10.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,10.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,10.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,14.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,15.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,15.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,16.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,16.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,17.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,19.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,20.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,20.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,21.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,,England,,,,,Percentage (%),Units,Normal value,E92000001,22.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,14.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,20.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,23.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,21.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,22.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,26.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,25.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,25.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,25.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,23.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,23.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,25.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,22.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,24.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,26.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,29.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,30.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,30.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,32.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,21.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,21.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,21.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,25.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,25.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,28.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,26.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,29.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,20.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,20.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,23.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,22.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,24.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,25.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,16.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,14.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,14.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,15.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.0
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Male,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,6.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Male,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,8.3
