Year,Region,Sex,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,South East,Male,Undefined,Units,Percentage (%),E12000008,0.335893967754525
2015,South East,Male,Undefined,Units,Percentage (%),E12000008,0.358186101445603
2016,South East,Male,Undefined,Units,Percentage (%),E12000008,0.321635810071498
2017,South East,Male,Undefined,Units,Percentage (%),E12000008,0.379800503394916
2018,South East,Male,Undefined,Units,Percentage (%),E12000008,0.49728064026659896
2004,South East,Female,Undefined,Units,Percentage (%),E12000008,0.6492114382983829
2005,South East,Female,Undefined,Units,Percentage (%),E12000008,0.426750651725593
2006,South East,Female,Undefined,Units,Percentage (%),E12000008,0.511848420297516
2007,South East,Female,Undefined,Units,Percentage (%),E12000008,0.5865550496337559
2008,South East,Female,Undefined,Units,Percentage (%),E12000008,0.46197556228096903
2009,South East,Female,Undefined,Units,Percentage (%),E12000008,0.5225421849576141
2010,South East,Female,Undefined,Units,Percentage (%),E12000008,0.6437318727941971
2011,South East,Female,Undefined,Units,Percentage (%),E12000008,0.581259036379977
2012,South East,Female,Undefined,Units,Percentage (%),E12000008,0.699947484744471
2013,South East,Female,Undefined,Units,Percentage (%),E12000008,0.611111277142376
2014,South East,Female,Undefined,Units,Percentage (%),E12000008,0.47555243479526094
2015,South East,Female,Undefined,Units,Percentage (%),E12000008,0.43100410245616294
2016,South East,Female,Undefined,Units,Percentage (%),E12000008,0.37674285858587303
2017,South East,Female,Undefined,Units,Percentage (%),E12000008,0.401928137298279
2018,South East,Female,Undefined,Units,Percentage (%),E12000008,0.519030818389695
2004,South West,,Undefined,Units,Percentage (%),E12000009,0.49820842820720895
2005,South West,,Undefined,Units,Percentage (%),E12000009,0.48499000739712106
2006,South West,,Undefined,Units,Percentage (%),E12000009,0.495275451599448
2007,South West,,Undefined,Units,Percentage (%),E12000009,0.375415418701021
2008,South West,,Undefined,Units,Percentage (%),E12000009,0.5841094945711159
2009,South West,,Undefined,Units,Percentage (%),E12000009,0.461233764447932
2010,South West,,Undefined,Units,Percentage (%),E12000009,0.38656469386428705
2011,South West,,Undefined,Units,Percentage (%),E12000009,0.41936078779891
2012,South West,,Undefined,Units,Percentage (%),E12000009,0.47127135237323603
2013,South West,,Undefined,Units,Percentage (%),E12000009,0.611769381955659
2014,South West,,Undefined,Units,Percentage (%),E12000009,0.604665523365828
2015,South West,,Undefined,Units,Percentage (%),E12000009,0.528208736833875
2016,South West,,Undefined,Units,Percentage (%),E12000009,0.593308782967811
2017,South West,,Undefined,Units,Percentage (%),E12000009,0.5886543044331121
2018,South West,,Undefined,Units,Percentage (%),E12000009,0.426562343713269
2004,South West,Male,Undefined,Units,Percentage (%),E12000009,0.373460807955782
2005,South West,Male,Undefined,Units,Percentage (%),E12000009,0.320661712057979
2006,South West,Male,Undefined,Units,Percentage (%),E12000009,0.34554654746161306
2007,South West,Male,Undefined,Units,Percentage (%),E12000009,0.20840931975109198
2008,South West,Male,Undefined,Units,Percentage (%),E12000009,0.46302970745643296
2009,South West,Male,Undefined,Units,Percentage (%),E12000009,0.34051716987704805
2010,South West,Male,Undefined,Units,Percentage (%),E12000009,0.375046759027772
2011,South West,Male,Undefined,Units,Percentage (%),E12000009,0.23216362639283103
2012,South West,Male,Undefined,Units,Percentage (%),E12000009,0.40393043304004295
2013,South West,Male,Undefined,Units,Percentage (%),E12000009,0.489702028765547
2014,South West,Male,Undefined,Units,Percentage (%),E12000009,0.55723207419663
2015,South West,Male,Undefined,Units,Percentage (%),E12000009,0.460778490092351
2016,South West,Male,Undefined,Units,Percentage (%),E12000009,0.549747401888404
2017,South West,Male,Undefined,Units,Percentage (%),E12000009,0.5877199061130141
2018,South West,Male,Undefined,Units,Percentage (%),E12000009,0.314477315707549
2004,South West,Female,Undefined,Units,Percentage (%),E12000009,0.64381710505597
2005,South West,Female,Undefined,Units,Percentage (%),E12000009,0.6768439382472199
2006,South West,Female,Undefined,Units,Percentage (%),E12000009,0.66710997107611
2007,South West,Female,Undefined,Units,Percentage (%),E12000009,0.56621236133122
2008,South West,Female,Undefined,Units,Percentage (%),E12000009,0.7221403259861501
2009,South West,Female,Undefined,Units,Percentage (%),E12000009,0.596598475528555
2010,South West,Female,Undefined,Units,Percentage (%),E12000009,0.399651795281519
2011,South West,Female,Undefined,Units,Percentage (%),E12000009,0.628460360466486
2012,South West,Female,Undefined,Units,Percentage (%),E12000009,0.547559489068716
2013,South West,Female,Undefined,Units,Percentage (%),E12000009,0.7482598607888629
2014,South West,Female,Undefined,Units,Percentage (%),E12000009,0.657035717272031
2015,South West,Female,Undefined,Units,Percentage (%),E12000009,0.604711488485129
2016,South West,Female,Undefined,Units,Percentage (%),E12000009,0.64185823634002
2017,South West,Female,Undefined,Units,Percentage (%),E12000009,0.5896909507900729
2018,South West,Female,Undefined,Units,Percentage (%),E12000009,0.550205805069943
2004,Wales,,Undefined,Units,Percentage (%),W92000004,0.37579705281142206
2005,Wales,,Undefined,Units,Percentage (%),W92000004,0.46371728629521797
2006,Wales,,Undefined,Units,Percentage (%),W92000004,0.44209348685470096
2007,Wales,,Undefined,Units,Percentage (%),W92000004,0.400799967953806
2008,Wales,,Undefined,Units,Percentage (%),W92000004,0.42199343565766706
2009,Wales,,Undefined,Units,Percentage (%),W92000004,0.44422896873629497
2010,Wales,,Undefined,Units,Percentage (%),W92000004,0.5344943219924739
2011,Wales,,Undefined,Units,Percentage (%),W92000004,0.49863014111165205
2012,Wales,,Undefined,Units,Percentage (%),W92000004,0.40757913248677
2013,Wales,,Undefined,Units,Percentage (%),W92000004,0.44250175775380896
2014,Wales,,Undefined,Units,Percentage (%),W92000004,0.5966670095371099
2015,Wales,,Undefined,Units,Percentage (%),W92000004,0.49975791634990707
2016,Wales,,Undefined,Units,Percentage (%),W92000004,0.65433909005244
2017,Wales,,Undefined,Units,Percentage (%),W92000004,0.7098932867850791
2018,Wales,,Undefined,Units,Percentage (%),W92000004,0.726644239121418
2004,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.30009433975687894
2005,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.33111359852724703
2006,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.22877818371240102
2007,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.289973362427836
2008,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.276833074414633
2009,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.34189761841164795
2010,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.4222923081134579
2011,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.43353840524191206
2012,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.34540582005275006
2013,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.365318570058651
2014,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.48050007395498795
2015,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.411518714918879
2016,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.561987126072265
2017,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.675947597513317
2018,Wales,Male,Undefined,Units,Percentage (%),W92000004,0.753476229805039
2004,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.463257499165709
2005,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.615368620099225
2006,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.685865980210763
2007,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.528007163307804
2008,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.585198367927541
2009,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.5575551359190539
2010,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.658997019964955
2011,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.571067705723561
2012,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.4774869509138329
2013,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.527224102372661
2014,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.724559382366772
2015,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.597561803089589
2016,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.755323979877685
2017,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.747366898105861
2018,Wales,Female,Undefined,Units,Percentage (%),W92000004,0.696835368845163
2004,Scotland,,Undefined,Units,Percentage (%),S92000003,0.332136500653285
2005,Scotland,,Undefined,Units,Percentage (%),S92000003,0.258698692614213
2006,Scotland,,Undefined,Units,Percentage (%),S92000003,0.28845888480963106
2007,Scotland,,Undefined,Units,Percentage (%),S92000003,0.310118909897029
2008,Scotland,,Undefined,Units,Percentage (%),S92000003,0.34738729639573307
2009,Scotland,,Undefined,Units,Percentage (%),S92000003,0.3648534760771339
2010,Scotland,,Undefined,Units,Percentage (%),S92000003,0.32016576512923306
2011,Scotland,,Undefined,Units,Percentage (%),S92000003,0.307274560662798
2012,Scotland,,Undefined,Units,Percentage (%),S92000003,0.31653883161068896
2013,Scotland,,Undefined,Units,Percentage (%),S92000003,0.36563708745591794
2014,Scotland,,Undefined,Units,Percentage (%),S92000003,0.4280589035313971
2015,Scotland,,Undefined,Units,Percentage (%),S92000003,0.40505470484087197
2016,Scotland,,Undefined,Units,Percentage (%),S92000003,0.45058075152000704
2017,Scotland,,Undefined,Units,Percentage (%),S92000003,0.340222156200546
2018,Scotland,,Undefined,Units,Percentage (%),S92000003,0.47232867283678004
2004,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.251522309958307
2005,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.19185503105628798
2006,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.239925510158613
2007,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.221400936626804
2008,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.276331802241566
2009,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.26276569196382
2010,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.257561676571883
2011,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.236433401746674
2012,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.249715914166077
2013,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.267640318774156
2014,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.35751136986011206
2015,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.33835640560748
2016,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.40989682549734
2017,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.26532314885513
2018,Scotland,Male,Undefined,Units,Percentage (%),S92000003,0.313260046178535
2004,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.42112955188317797
2005,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.331494722042313
2006,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.34116821537067493
2007,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.40839498021797704
2008,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.426188013649332
2009,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.47465277720071203
2010,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.38701349168558896
2011,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.384151599256285
2012,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.388569476574058
2013,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.469938419865157
2014,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.5034588032120461
2015,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.47511312217194496
2016,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.494131983322646
2017,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.419491617967782
2018,Scotland,Female,Undefined,Units,Percentage (%),S92000003,0.6424248223351441
2004,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.46463221751306
2005,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.547530072322308
2006,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.452973291052339
2007,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.302075157914394
2008,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.6218567008335091
2009,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.296062499184849
2010,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.38398484649613795
2011,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.321259336599469
2012,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.365338954061613
2013,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.447670055306295
2014,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.6777923969912739
2015,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.755027948917716
2016,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.7003405248540001
2017,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.442147470527503
2018,Northern Ireland,,Undefined,Units,Percentage (%),N92000002,0.38217942504460295
2004,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.260020168864809
2005,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.306342249420482
2006,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.300179964007198
2007,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.19876551255434602
2008,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.6049551603587171
2009,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.336738895779068
2010,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.189923236349718
2011,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.305811850862665
2012,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.259802117387256
2013,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.58922738626417
2014,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.551392125168811
2015,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.770054253822428
2016,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.736020969105458
2017,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.30371692758399704
2018,Northern Ireland,Male,Undefined,Units,Percentage (%),N92000002,0.29058150167643104
2004,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.7188235980483371
2005,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.842963046131027
2006,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.635965227387024
2007,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.42439908947104404
2008,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.64159817763174
2009,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.249212091276734
2010,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.6068850346850689
2011,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.338548523072095
2012,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.48095801565946505
2013,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.29031441499404
2014,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.8207097345879569
2015,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.737756738822619
2016,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.659164817013369
2017,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.594859364742715
2018,Northern Ireland,Female,Undefined,Units,Percentage (%),N92000002,0.482319080977276
