Year,Series,Type of heritage,Area of spending,Observation status,Unit multiplier,Unit measure,Value
2013,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.8407099524691253
2014,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.997002947514428
2015,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.9966211027491936
2016,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.8637538634019872
2017,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,3.0738853001656565
2018,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.257825623611437
2019,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.021054900833573
2000,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,18.95184092680616
2001,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-5.481027861891632
2002,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-5.508231184000189
2003,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-5.516737176939703
2004,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-5.988283647815528
2005,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-5.346504825924093
2006,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-5.770454287644816
2007,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-5.740462596482988
2008,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-5.725950200408257
2009,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-5.910649609302848
2010,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-7.042758466845657
2011,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-8.5170126933512
2012,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-10.344556942155249
2013,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-10.24869863366284
2014,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-11.780769326034726
2015,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-14.268161572723084
2016,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-16.420886514613525
2017,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-11.023588662663045
2018,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-10.807458651686746
2019,General government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-11.647264539618664
2000,Central government expenditure,,,Normal value,Units,GBP (£) per capita,126.29466036976469
2001,Central government expenditure,,,Normal value,Units,GBP (£) per capita,133.16867694077445
2002,Central government expenditure,,,Normal value,Units,GBP (£) per capita,153.21978853108783
2003,Central government expenditure,,,Normal value,Units,GBP (£) per capita,171.8237259942284
2004,Central government expenditure,,,Normal value,Units,GBP (£) per capita,161.78374122608022
2005,Central government expenditure,,,Normal value,Units,GBP (£) per capita,321.8000009931588
2006,Central government expenditure,,,Normal value,Units,GBP (£) per capita,212.99716738098644
2007,Central government expenditure,,,Normal value,Units,GBP (£) per capita,236.17437307462112
2008,Central government expenditure,,,Normal value,Units,GBP (£) per capita,238.6783083537408
2009,Central government expenditure,,,Normal value,Units,GBP (£) per capita,260.02039816577127
2010,Central government expenditure,,,Normal value,Units,GBP (£) per capita,265.7446283032848
2011,Central government expenditure,,,Normal value,Units,GBP (£) per capita,246.6931394593672
2012,Central government expenditure,,,Normal value,Units,GBP (£) per capita,252.85299427046544
2013,Central government expenditure,,,Normal value,Units,GBP (£) per capita,225.84575162583047
2014,Central government expenditure,,,Normal value,Units,GBP (£) per capita,251.85458103187776
2015,Central government expenditure,,,Normal value,Units,GBP (£) per capita,250.0537551835356
2016,Central government expenditure,,,Normal value,Units,GBP (£) per capita,245.23177365376912
2017,Central government expenditure,,,Normal value,Units,GBP (£) per capita,246.78907695615703
2018,Central government expenditure,,,Normal value,Units,GBP (£) per capita,232.28510015714463
2019,Central government expenditure,,,Normal value,Units,GBP (£) per capita,225.34013605442175
2000,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,39.19430901350234
2001,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,42.98546850946492
2002,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,52.37030810720669
2003,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,59.376189494053165
2004,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,55.112226106915045
2005,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,205.4845538979
2006,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,93.83975234722682
2007,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,111.82486370478368
2008,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,96.98530339448564
2009,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,117.92388432473236
2010,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,119.91810004859822
2011,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,104.0371272226796
2012,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,105.847264735892
2013,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,99.27354353825012
2014,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,118.67460926857058
2015,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,111.81078175395484
2016,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,107.63449361063002
2017,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,108.00996968513118
2018,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,102.851483240913
2019,Central government expenditure,Natural heritage,,Normal value,Units,GBP (£) per capita,96.87589824662258
2000,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,11.242041840094693
2001,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,12.755231505760156
2002,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,15.53085367476506
2003,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,16.332224955438512
2004,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,18.04825322266407
2005,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,156.20732520819092
2006,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,47.1993568656076
2007,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,56.96430639066784
2008,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,47.92652667742843
2009,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,60.05412741625911
2010,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,55.80031708346943
2011,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,50.817649020069496
2012,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,53.79483557020642
2013,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,52.7722183830767
2014,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,61.2259430807718
2015,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,54.70741821532791
2016,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,52.37013714029804
2017,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,55.2542239423866
2018,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,55.48230165754505
2019,Central government expenditure,Natural heritage,Waste management,Normal value,Units,GBP (£) per capita,51.75397623838268
2000,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2001,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.1015005159609561
2002,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2358264115474087
2003,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2682911696991953
2004,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.4503723077744268
2005,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.9435008516336634
2006,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.772681913160417
2007,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.1956975885164655
2008,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2588000090580003
2009,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.4176002441355274
2010,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2230737975923963
2011,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.1580150777987235
2012,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.2197629699395651
2013,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2014,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2015,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2016,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2017,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2018,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2019,Central government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2000,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.160574397013896
2001,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,6.800534569384061
2002,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.345943869945104
2003,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,3.605162592832937
2004,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,3.6863807414129015
2005,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.6678463186086505
2006,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,3.255128059697076
2007,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,3.131161416263448
2008,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,3.364400117754004
2009,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.545418041936702
2010,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,8.094392084066953
2011,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.171598053886302
2012,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,2.6528529942704653
2013,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,2.698667981162361
2014,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,7.64743764396998
2015,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,7.080325602825987
2016,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,1.888858931180034
2017,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.9691066956187292
2018,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,1.1740693242779474
2019,Central government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,2.560002874389192
2000,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,4.670032486444169
2001,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,5.328777087950198
2002,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,6.417847342825907
2003,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,6.472524468993086
2004,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,6.238490485467987
2005,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,7.581112106109085
2006,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,7.956979701481741
2007,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,11.171070677814903
2008,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,9.009475315331636
2009,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.287758691305081
2010,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,10.341063902676089
2011,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.99105792674737
2012,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,7.252178008005651
2013,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.174000127913741
2014,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.0034924330617
2015,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.923360466902166
2016,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,9.017778123053066
2017,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.585679631497179
2018,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.685102565491995
2019,Central government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,7.275797643000862
2000,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,4.041700842813499
2001,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,4.97352528208685
2002,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,6.182020931278499
2003,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,6.656974648161283
2004,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,7.639648776321759
2005,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,8.723244715981414
2006,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,8.926942103108647
2007,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,10.469820985630903
2008,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,8.168375285893134
2009,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,8.73748203114334
2010,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,12.428397294433513
2011,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,9.2596835590052
2012,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,10.517227847107762
2013,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,9.671526868905572
2014,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,9.288385802392687
2015,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,11.887574873291353
2016,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,10.06883672185486
2017,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,12.552960166686352
2018,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,7.089572458139912
2019,Central government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,6.227843249976047
2000,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,15.079959447136082
2001,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,13.025899548322704
2002,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,19.65781587684471
2003,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,26.04101165892814
2004,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,19.04908057327391
2005,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,27.36152469737624
2006,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,25.72866370417133
2007,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,29.892806645890104
2008,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,28.25772598902041
2009,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,35.88149789995261
2010,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,33.03085588635983
2011,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,30.63912358517249
2012,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,31.41040734636214
2013,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,25.957130177191733
2014,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,32.50935030837441
2015,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,29.212102595607437
2016,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,34.28888269424401
2017,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,30.647999248942316
2018,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,30.4204372354581
2019,Central government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,29.05827824087381
2000,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,87.10035135626234
2001,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,90.18320843130952
2002,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,100.84948042388112
2003,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,112.44753650017525
2004,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,106.67151511916518
2005,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,116.31544709525882
2006,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,119.15741503375962
2007,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,124.34950936983746
2008,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,141.69300495925518
2009,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,142.09651384103887
2010,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,145.82652825468654
2011,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,142.65601223668762
2012,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,147.00572953457342
2013,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,126.57220808758036
2014,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,133.17997176330718
2015,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,138.2429734295807
2016,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,137.5972800431391
2017,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,138.77910727102585
2018,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,129.43361691623164
2019,Central government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,128.46423780779918
2000,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,5.2304363848174695
2001,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,7.849373234313941
2002,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,10.831170187498842
2003,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,10.882560570923609
2004,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,9.157570258080012
2005,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,9.766061446734412
2006,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,12.921871994555058
2007,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,19.60237511639929
2008,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,31.880926115832413
2009,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,34.21109692341051
2010,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,35.05445390737657
2011,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,34.099653788964545
2012,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,35.319048740287265
2013,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,16.28560330828616
2014,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,14.257672206672778
2015,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,10.797112578712946
2016,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,10.05360398853889
2017,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,10.31190093306804
2018,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,12.011632317612849
2019,Central government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,10.868784133371658
2000,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,31.63734735361996
2001,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,33.44442000913505
2002,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,34.4980350606495
2003,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,42.00433625603026
2004,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,39.53268034908858
2005,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,43.31827594254907
2006,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,41.7577033920736
2007,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,40.18323817538092
2008,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,42.99315150476031
2009,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,39.46322307080734
2010,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,42.192815430333255
2011,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,39.23514381742306
2012,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,39.60442665410878
2013,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,41.54076782563797
2014,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,42.06090704183489
2015,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,44.30962985716479
2016,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,46.322742013858736
2017,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,45.77514907586591
2018,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,40.15919175863543
2019,Central government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,37.48682571620198
2000,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,49.89292889153807
2001,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,48.22966183411432
2002,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,54.459056323769445
2003,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,58.11857463608818
2004,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,56.58010622114281
2005,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,59.85436981591802
2006,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,60.41714959286239
2007,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,60.29116539544775
2008,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,62.322277181279695
2009,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,64.06951437910071
2010,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,63.60789999920331
2011,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,64.89679245193577
2012,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,65.69343065693431
2013,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,62.66213456837691
2014,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,71.19547717533996
2015,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,75.57978805099063
2016,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,72.94955985017083
2017,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,73.63696657490438
2018,Central government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,70.98603760634359
