Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,Units,GeoCode,Value
2018,Wales,,Victim of lightning,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2001,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2002,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2003,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2004,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2005,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2006,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2007,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2008,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2009,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2010,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2011,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2012,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2013,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2014,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2015,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2016,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2017,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2018,,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2001,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2002,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2003,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2004,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2005,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2006,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2007,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2008,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2009,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2010,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2011,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2012,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2013,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2014,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2015,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2016,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2017,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2018,England,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2001,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2002,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2003,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2004,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2005,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2006,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2007,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2008,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2009,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2010,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2011,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2012,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2013,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2014,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2015,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2016,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2017,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2018,Wales,,Victim of earthquake,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2001,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2002,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2003,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2004,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2005,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2006,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2007,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2008,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2009,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2010,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2011,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2012,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2013,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2014,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2015,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2016,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2017,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2018,,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2001,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2002,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2003,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2004,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2005,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2006,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2007,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2008,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2009,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2010,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2011,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2012,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2013,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2014,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2015,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2016,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2017,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2018,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2001,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2002,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2003,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2004,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2005,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2006,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2007,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2008,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2009,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2010,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2011,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2012,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2013,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2014,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2015,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2016,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2017,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2018,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2001,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2002,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2003,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2004,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2005,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2006,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2007,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2008,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2009,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2010,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2011,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2012,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2013,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2014,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2015,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2016,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2017,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2018,,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2001,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2002,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2003,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2004,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2005,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2006,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2007,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2008,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2009,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2010,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2011,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2012,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2013,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2014,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2015,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2016,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2017,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2018,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2001,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2002,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2003,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2004,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2005,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2006,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2007,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2008,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2009,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2010,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2011,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2012,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2013,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2014,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2015,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2016,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2017,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2018,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2001,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2002,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2003,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2004,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2005,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2006,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2007,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2008,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2009,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2010,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2011,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2012,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2013,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2014,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2015,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2016,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2017,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2018,,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2001,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2002,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2003,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2004,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2005,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2006,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2007,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2008,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2009,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2010,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2011,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2012,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2013,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2014,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2015,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2016,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2017,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2018,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2001,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2002,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2003,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2004,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2005,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2006,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2007,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2008,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2009,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2010,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2011,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2012,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2013,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2014,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2015,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2016,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2017,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2018,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2001,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2002,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2003,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2004,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2005,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2006,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2007,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2008,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2009,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2010,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2011,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2012,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2013,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2014,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2015,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2016,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2017,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2018,,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2001,England,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2002,England,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2003,England,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2004,England,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2005,England,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2006,England,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2007,England,,Victim of flood,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
