Year,Units,Sex,Age,Country,Region,Industry sector,Occupation,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,Service industries *,,"Rate per 100,000 workers",Units,Undefined,,0.17
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,Service industries *,,"Rate per 100,000 workers",Units,Undefined,,0.2
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,Service industries *,,"Rate per 100,000 workers",Units,Undefined,,0.14
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,Service industries *,,"Rate per 100,000 workers",Units,Undefined,,0.14
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,Service industries *,,"Rate per 100,000 workers",Units,Undefined,,0.17
2018/19,"Fatal injury (rate per 100,000 workers)",,,,,Service industries *,,"Rate per 100,000 workers",Units,Undefined,,0.2
2000/01,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,3980.0
2001/02,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,3780.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,3800.0
2003/04,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,3480.0
2004/05,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,3210.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,3030.0
2006/07,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,3100.0
2007/08,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,2850.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,2570.0
2009/10,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,2580.0
2010/11,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,2130.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,2090.0
2012/13,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,2240.0
2013/14,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,2130.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,2030.0
2015/16,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,2030.0
2016/17,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,1970.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,1770.0
2018/19,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,1830.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,,,,"Averaged rate per 100,000 workers",Units,Undefined,E92000001,3680.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,,,,"Averaged rate per 100,000 workers",Units,Undefined,E92000001,3100.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,,,,"Averaged rate per 100,000 workers",Units,Undefined,E92000001,2670.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,,,,"Averaged rate per 100,000 workers",Units,Undefined,E92000001,2170.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,,,,"Averaged rate per 100,000 workers",Units,Undefined,E92000001,2040.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,,,,"Averaged rate per 100,000 workers",Units,Undefined,E92000001,1860.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,North East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000001,4290.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,North East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000001,4150.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,North East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000001,3340.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,North East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000001,2190.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,North East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000001,1800.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,North East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000001,1510.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,North West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000002,3440.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,North West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000002,2720.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,North West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000002,2630.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,North West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000002,2090.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,North West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000002,2040.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,North West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000002,1710.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,Yorkshire and the Humber,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000003,4110.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,Yorkshire and the Humber,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000003,3500.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,Yorkshire and the Humber,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000003,3010.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,Yorkshire and the Humber,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000003,2100.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,Yorkshire and the Humber,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000003,2160.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,Yorkshire and the Humber,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000003,2370.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000004,4100.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000004,3590.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000004,2970.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000004,2650.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000004,2640.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000004,2350.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000005,3580.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000005,3270.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000005,2780.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000005,2050.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000005,2230.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000005,1530.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000006,3760.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000006,2990.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000006,2430.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000006,2280.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000006,2220.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000006,1970.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,London,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000007,2930.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,London,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000007,2330.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,London,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000007,1680.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,London,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000007,1730.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,London,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000007,1380.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,London,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000007,1320.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,South East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000008,3620.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,South East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000008,3000.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,South East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000008,2910.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,South East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000008,2210.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,South East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000008,2090.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,South East,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000008,1980.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,England,South West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000009,4100.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,England,South West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000009,3530.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,England,South West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000009,3050.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,England,South West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000009,2510.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,England,South West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000009,2150.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,England,South West,,,"Averaged rate per 100,000 workers",Units,Undefined,E12000009,2190.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,Wales,,,,"Averaged rate per 100,000 workers",Units,Undefined,W92000004,4100.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,Wales,,,,"Averaged rate per 100,000 workers",Units,Undefined,W92000004,3100.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,Wales,,,,"Averaged rate per 100,000 workers",Units,Undefined,W92000004,2990.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,Wales,,,,"Averaged rate per 100,000 workers",Units,Undefined,W92000004,2290.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,Wales,,,,"Averaged rate per 100,000 workers",Units,Undefined,W92000004,2680.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,Wales,,,,"Averaged rate per 100,000 workers",Units,Undefined,W92000004,2140.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Averaged rate per 100,000 workers",Units,Undefined,S92000003,3550.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Averaged rate per 100,000 workers",Units,Undefined,S92000003,3250.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Averaged rate per 100,000 workers",Units,Undefined,S92000003,2480.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Averaged rate per 100,000 workers",Units,Undefined,S92000003,1940.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Averaged rate per 100,000 workers",Units,Undefined,S92000003,1960.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Averaged rate per 100,000 workers",Units,Undefined,S92000003,1660.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,4200.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3650.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3050.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2400.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2230.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,16 to 24 #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2020.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3880.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3120.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2470.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2210.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1970.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1970.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3610.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2960.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2630.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2100.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1800.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1600.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3420.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3110.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2820.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2010.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2220.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1870.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,55 and over #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3410.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,55 and over #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2890.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,55 and over #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2470.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,55 and over #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2170.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,55 and over #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2170.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,55 and over #,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1890.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",Male,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,4500.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",Male,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3730.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",Male,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,3120.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",Male,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2480.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",Male,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2390.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",Male,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2170.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",Female,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2730.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",Female,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2400.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",Female,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,2150.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",Female,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1780.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",Female,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1690.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",Female,,,,,,"Averaged rate per 100,000 workers",Units,Undefined,,1500.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Averaged rate per 100,000 workers",Units,Undefined,,4980.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Averaged rate per 100,000 workers",Units,Undefined,,5360.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Averaged rate per 100,000 workers",Units,Undefined,,5090.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Averaged rate per 100,000 workers",Units,Undefined,,3840.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Averaged rate per 100,000 workers",Units,Undefined,,4380.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Averaged rate per 100,000 workers",Units,Undefined,,4110.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Averaged rate per 100,000 workers",Units,Undefined,,5340.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Averaged rate per 100,000 workers",Units,Undefined,,4620.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Averaged rate per 100,000 workers",Units,Undefined,,3710.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Averaged rate per 100,000 workers",Units,Undefined,,2930.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Averaged rate per 100,000 workers",Units,Undefined,,2580.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Averaged rate per 100,000 workers",Units,Undefined,,2270.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Averaged rate per 100,000 workers",Units,Undefined,,2130.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,"Electricity, gas, steam and air conditioning supply #",,"Averaged rate per 100,000 workers",Units,Undefined,,2750.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,"Electricity, gas, steam and air conditioning supply #",,"Averaged rate per 100,000 workers",Units,Undefined,,3010.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,"Water supply; sewerage, waste management and remediation activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,6390.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,"Water supply; sewerage, waste management and remediation activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,5490.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,"Water supply; sewerage, waste management and remediation activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,4210.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,"Water supply; sewerage, waste management and remediation activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,2680.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Construction,,"Averaged rate per 100,000 workers",Units,Undefined,,5070.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Construction,,"Averaged rate per 100,000 workers",Units,Undefined,,4030.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Construction,,"Averaged rate per 100,000 workers",Units,Undefined,,3730.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Construction,,"Averaged rate per 100,000 workers",Units,Undefined,,2940.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Construction,,"Averaged rate per 100,000 workers",Units,Undefined,,3050.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Construction,,"Averaged rate per 100,000 workers",Units,Undefined,,2420.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles #,,"Averaged rate per 100,000 workers",Units,Undefined,,3200.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles #,,"Averaged rate per 100,000 workers",Units,Undefined,,3050.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles #,,"Averaged rate per 100,000 workers",Units,Undefined,,2600.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles #,,"Averaged rate per 100,000 workers",Units,Undefined,,2140.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles #,,"Averaged rate per 100,000 workers",Units,Undefined,,2200.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles #,,"Averaged rate per 100,000 workers",Units,Undefined,,2220.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Transportation and storage #,,"Averaged rate per 100,000 workers",Units,Undefined,,4450.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Transportation and storage #,,"Averaged rate per 100,000 workers",Units,Undefined,,3700.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Transportation and storage #,,"Averaged rate per 100,000 workers",Units,Undefined,,3700.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Transportation and storage #,,"Averaged rate per 100,000 workers",Units,Undefined,,2870.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Transportation and storage #,,"Averaged rate per 100,000 workers",Units,Undefined,,2500.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Transportation and storage #,,"Averaged rate per 100,000 workers",Units,Undefined,,1860.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Accommodation and food service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,4310.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Accommodation and food service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,3870.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Accommodation and food service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,3120.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Accommodation and food service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2650.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Accommodation and food service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2570.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,Accommodation and food service activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,2250.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Information and communication #,,"Averaged rate per 100,000 workers",Units,Undefined,,1320.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Information and communication #,,"Averaged rate per 100,000 workers",Units,Undefined,,970.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Information and communication #,,"Averaged rate per 100,000 workers",Units,Undefined,,750.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,Information and communication #,,"Averaged rate per 100,000 workers",Units,Undefined,,720.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Information and communication #,,"Averaged rate per 100,000 workers",Units,Undefined,,580.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Financial and insurance activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,890.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,Financial and insurance activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,800.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,Financial and insurance activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,560.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,Financial and insurance activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,480.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,Real estate activities #,,"Averaged rate per 100,000 workers",Units,Undefined,,1750.0
2002/03,"Non-fatal injury (rate per 100,000 workers)",,,,,"Professional, scientific and technical activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,1180.0
2005/06,"Non-fatal injury (rate per 100,000 workers)",,,,,"Professional, scientific and technical activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,1060.0
2008/09,"Non-fatal injury (rate per 100,000 workers)",,,,,"Professional, scientific and technical activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,920.0
2011/12,"Non-fatal injury (rate per 100,000 workers)",,,,,"Professional, scientific and technical activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,780.0
2014/15,"Non-fatal injury (rate per 100,000 workers)",,,,,"Professional, scientific and technical activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,870.0
2017/18,"Non-fatal injury (rate per 100,000 workers)",,,,,"Professional, scientific and technical activities #",,"Averaged rate per 100,000 workers",Units,Undefined,,720.0
