Year,Series,Violence type,Age,Sex,Country of birth,Disability status,Sexual orientation,Ethnicity,Ethnic group,Highest qualification,Household income,Region,Urban or rural,Observation status,Unit multiplier,Units,GeoCode,Value
2017/18,(a) Physical violence - 16 and over,,,,,,,White,Irish,,,,,Normal value,Units,Percentage (%),,2.272178777028793
2017/18,(a) Physical violence - 16 and over,,,,,,,White,,,,,,Normal value,Units,Percentage (%),,1.797535715183561
2017/18,(a) Physical violence - 16 and over,,,,,,,,,Apprenticeship or A/AS level,,,,Normal value,Units,Percentage (%),,2.409912092608572
2017/18,(a) Physical violence - 16 and over,,,,,,,,,Degree or diploma,,,,Normal value,Units,Percentage (%),,1.8244344504113172
2017/18,(a) Physical violence - 16 and over,,,,,,,,,No qualifications,,,,Normal value,Units,Percentage (%),,1.121675276471234
2017/18,(a) Physical violence - 16 and over,,,,,,,,,O level/GCSE,,,,Normal value,Units,Percentage (%),,1.6408814357056225
2017/18,(a) Physical violence - 16 and over,,,,,,,,,Other qualification,,,,Normal value,Units,Percentage (%),,1.2109316956096776
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,"£10,000 to less than £20,000",,,Normal value,Units,Percentage (%),,1.7447716352108784
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,"£20,000 to less than £30,000",,,Normal value,Units,Percentage (%),,1.3706947784739274
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,"£30,000 to less than £40,000",,,Normal value,Units,Percentage (%),,1.2196140908502455
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,"£40,000 to less than £50,000",,,Normal value,Units,Percentage (%),,2.033641609765823
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,"£50,000 or more",,,Normal value,Units,Percentage (%),,1.9112337698212452
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,"Less than £10,000",,,Normal value,Units,Percentage (%),,2.383295984615867
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,No income stated or not enough information provided,,,Normal value,Units,Percentage (%),,1.813178527332195
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,,,Rural,Normal value,Units,Percentage (%),,1.3600245778952975
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,,,Urban,Normal value,Units,Percentage (%),,1.8426168666078184
2017/18,(a) Physical violence - 16 and over,,,,,,,,,,,,,Normal value,Units,Percentage (%),,1.7499497701555906
2018/19,(a) Physical violence - 16 and over,Assault with minor injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4246240964749515
2018/19,(a) Physical violence - 16 and over,Violence with injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.9104723413949348
2018/19,(a) Physical violence - 16 and over,Violence without injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.900687881507085
2018/19,(a) Physical violence - 16 and over,Wounding,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4975265874180136
2018/19,(a) Physical violence - 16 and over,,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,3.5738744257013195
2018/19,(a) Physical violence - 16 and over,,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,2.233050964378265
2018/19,(a) Physical violence - 16 and over,,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,1.7063200495032724
2018/19,(a) Physical violence - 16 and over,,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,1.8461771711428816
2018/19,(a) Physical violence - 16 and over,,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,1.5029070360965948
2018/19,(a) Physical violence - 16 and over,,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4886083744537006
2018/19,(a) Physical violence - 16 and over,,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,0.2252256971641143
2018/19,(a) Physical violence - 16 and over,,16 to 24,Female,,,,,,,,,,Normal value,Units,Percentage (%),,2.820513502089523
2018/19,(a) Physical violence - 16 and over,,25 to 34,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.5871985749839406
2018/19,(a) Physical violence - 16 and over,,35 to 44,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.5100423463618249
2018/19,(a) Physical violence - 16 and over,,45 to 54,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.6416633948563706
2018/19,(a) Physical violence - 16 and over,,55 to 64,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.019395649449884
2018/19,(a) Physical violence - 16 and over,,65 to 74,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.4059149728633353
2018/19,(a) Physical violence - 16 and over,,75 and over,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.3192837480222036
2018/19,(a) Physical violence - 16 and over,,16 to 24,Male,,,,,,,,,,Normal value,Units,Percentage (%),,4.290492019991826
2018/19,(a) Physical violence - 16 and over,,25 to 34,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.8732791081922384
2018/19,(a) Physical violence - 16 and over,,35 to 44,Male,,,,,,,,,,Normal value,Units,Percentage (%),,1.906254815043015
2018/19,(a) Physical violence - 16 and over,,45 to 54,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.0571603050668124
2018/19,(a) Physical violence - 16 and over,,55 to 64,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.0037350496354875
2018/19,(a) Physical violence - 16 and over,,65 to 74,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.5775191115537167
2018/19,(a) Physical violence - 16 and over,,75 and over,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.1048937255047743
2018/19,(a) Physical violence - 16 and over,,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.363942813617682
2018/19,(a) Physical violence - 16 and over,,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.112574314642804
2018/19,(a) Physical violence - 16 and over,,,,Born in UK,,,,,,,,,Normal value,Units,Percentage (%),,1.8565249198430969
2018/19,(a) Physical violence - 16 and over,,,,Not born in UK,,,,,,,,,Normal value,Units,Percentage (%),,1.15820577537312
2018/19,(a) Physical violence - 16 and over,,,,,,Bisexual,,,,,,,Normal value,Units,Percentage (%),,2.4789889709236976
2018/19,(a) Physical violence - 16 and over,,,,,,Gay/Lesbian,,,,,,,Normal value,Units,Percentage (%),,2.4701940823584296
2018/19,(a) Physical violence - 16 and over,,,,,,Heterosexual/straight,,,,,,,Normal value,Units,Percentage (%),,1.867008710877404
2018/19,(a) Physical violence - 16 and over,,,,,,Other,,,,,,,Normal value,Units,Percentage (%),,5.469032570080191
2018/19,(a) Physical violence - 16 and over,,,,,Disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,2.516214629174664
2018/19,(a) Physical violence - 16 and over,,,,,Non-disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,1.5758603370752229
2018/19,(a) Physical violence - 16 and over,,,,,,,Asian,Any other Asian background,,,,,Normal value,Units,Percentage (%),,1.667861092107806
2018/19,(a) Physical violence - 16 and over,,,,,,,Asian,Bangladeshi,,,,,Normal value,Units,Percentage (%),,0.309339880864432
2018/19,(a) Physical violence - 16 and over,,,,,,,Asian,Chinese,,,,,Normal value,Units,Percentage (%),,1.3585509408375187
2018/19,(a) Physical violence - 16 and over,,,,,,,Asian,Indian,,,,,Normal value,Units,Percentage (%),,0.7649960077317256
2018/19,(a) Physical violence - 16 and over,,,,,,,Asian,Pakistani,,,,,Normal value,Units,Percentage (%),,1.783028344647975
2018/19,(a) Physical violence - 16 and over,,,,,,,Asian,,,,,,Normal value,Units,Percentage (%),,1.1871914126831833
2018/19,(a) Physical violence - 16 and over,,,,,,,Black,African,,,,,Normal value,Units,Percentage (%),,1.0409496984486486
2018/19,(a) Physical violence - 16 and over,,,,,,,Black,Any other Black background,,,,,Normal value,Units,Percentage (%),,3.795683424969591
2018/19,(a) Physical violence - 16 and over,,,,,,,Black,Caribbean,,,,,Normal value,Units,Percentage (%),,1.8258138533143664
2018/19,(a) Physical violence - 16 and over,,,,,,,Black,,,,,,Normal value,Units,Percentage (%),,1.4438859795886625
2018/19,(a) Physical violence - 16 and over,,,,,,,Mixed,Any other Mixed ethnic background,,,,,Normal value,Units,Percentage (%),,1.1615800375190568
2018/19,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Asian,,,,,Normal value,Units,Percentage (%),,3.413743344077374
2018/19,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black African,,,,,Missing value; suppressed,Units,Percentage (%),,
2018/19,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black Caribbean,,,,,Normal value,Units,Percentage (%),,4.831667333649264
2018/19,(a) Physical violence - 16 and over,,,,,,,Mixed,,,,,,Normal value,Units,Percentage (%),,2.743261637295989
2018/19,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Any other ethnic group,,,,,Normal value,Units,Percentage (%),,1.3138405843533534
2018/19,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Arab,,,,,Normal value,Units,Percentage (%),,3.8517318268974834
2018/19,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,,,,,,Normal value,Units,Percentage (%),,2.2534891620824857
2018/19,(a) Physical violence - 16 and over,,,,,,,White,Any other White background,,,,,Normal value,Units,Percentage (%),,1.17892860369012
2018/19,(a) Physical violence - 16 and over,,,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Normal value,Units,Percentage (%),,1.830994772947318
2018/19,(a) Physical violence - 16 and over,,,,,,,White,Gypsy or Irish Traveller,,,,,Missing value; suppressed,Units,Percentage (%),,
2018/19,(a) Physical violence - 16 and over,,,,,,,White,Irish,,,,,Normal value,Units,Percentage (%),,1.1673342956893629
2018/19,(a) Physical violence - 16 and over,,,,,,,White,,,,,,Normal value,Units,Percentage (%),,1.7722676332853573
2018/19,(a) Physical violence - 16 and over,,,,,,,,,Apprenticeship or A/AS level,,,,Normal value,Units,Percentage (%),,2.6651029239220323
2018/19,(a) Physical violence - 16 and over,,,,,,,,,Degree or diploma,,,,Normal value,Units,Percentage (%),,1.528020361563741
2018/19,(a) Physical violence - 16 and over,,,,,,,,,No qualifications,,,,Normal value,Units,Percentage (%),,0.9069183907796348
2018/19,(a) Physical violence - 16 and over,,,,,,,,,O level/GCSE,,,,Normal value,Units,Percentage (%),,2.242907575731725
2018/19,(a) Physical violence - 16 and over,,,,,,,,,Other qualification,,,,Normal value,Units,Percentage (%),,0.672157332349717
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,East,,Normal value,Units,Percentage (%),E12000006,1.8854990558220108
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,2.479826862210938
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,1.3592512923717344
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,1.3757588873813884
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,1.6874042249922303
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,1.9420238097405071
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,1.3737099066924057
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,Wales,,Normal value,Units,Percentage (%),W92000004,2.150211959842575
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,1.7014219081955146
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,1.5384212346489412
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,,Rural,Normal value,Units,Percentage (%),,1.3822222997249118
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,,Urban,Normal value,Units,Percentage (%),,1.813286494375064
2018/19,(a) Physical violence - 16 and over,,,,,,,,,,,,,Normal value,Units,Percentage (%),,1.730990470867787
2019/20,(a) Physical violence - 16 and over,Assault with minor injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.3912415740866667
2019/20,(a) Physical violence - 16 and over,Violence with injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.8048565044047631
2019/20,(a) Physical violence - 16 and over,Violence without injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.881697781210774
2019/20,(a) Physical violence - 16 and over,Wounding,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4351559436149196
2019/20,(a) Physical violence - 16 and over,,16 to 24,Female,,,,,,,,,,Normal value,Units,Percentage (%),,2.759174315738175
2019/20,(a) Physical violence - 16 and over,,16 to 24,Male,,,,,,,,,,Normal value,Units,Percentage (%),,4.351119012610577
2019/20,(a) Physical violence - 16 and over,,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,3.57538642426202
2019/20,(a) Physical violence - 16 and over,,25 to 34,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.928275407012127
2019/20,(a) Physical violence - 16 and over,,25 to 34,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.85772899731186
2019/20,(a) Physical violence - 16 and over,,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,2.396663517635127
2019/20,(a) Physical violence - 16 and over,,35 to 44,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.2240711049962
2019/20,(a) Physical violence - 16 and over,,35 to 44,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.010328772230555
2019/20,(a) Physical violence - 16 and over,,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,1.613556469320946
2019/20,(a) Physical violence - 16 and over,,45 to 54,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.362539702158106
2019/20,(a) Physical violence - 16 and over,,45 to 54,Male,,,,,,,,,,Normal value,Units,Percentage (%),,1.483191690288245
2019/20,(a) Physical violence - 16 and over,,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,1.421922228514791
2019/20,(a) Physical violence - 16 and over,,55 to 64,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.8281475761907446
2019/20,(a) Physical violence - 16 and over,,55 to 64,Male,,,,,,,,,,Normal value,Units,Percentage (%),,1.498899856844987
2019/20,(a) Physical violence - 16 and over,,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,1.15742236814414
2019/20,(a) Physical violence - 16 and over,,65 to 74,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.3465389327283617
2019/20,(a) Physical violence - 16 and over,,65 to 74,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.990998559919462
2019/20,(a) Physical violence - 16 and over,,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,0.6570111287316902
2019/20,(a) Physical violence - 16 and over,,75 and over,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.2173029040966134
2019/20,(a) Physical violence - 16 and over,,75 and over,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.09459521030992
2019/20,(a) Physical violence - 16 and over,,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,0.1630918283171287
2019/20,(a) Physical violence - 16 and over,,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.266359376132478
2019/20,(a) Physical violence - 16 and over,,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.0001009770013
2019/20,(a) Physical violence - 16 and over,,,,Born in UK,,,,,,,,,Normal value,Units,Percentage (%),,1.739496821576009
2019/20,(a) Physical violence - 16 and over,,,,Not born in UK,,,,,,,,,Normal value,Units,Percentage (%),,1.127149685613061
2019/20,(a) Physical violence - 16 and over,,,,,Disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,2.427296933883216
2019/20,(a) Physical violence - 16 and over,,,,,Non-disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,1.476841501498013
2019/20,(a) Physical violence - 16 and over,,,,,,Bisexual,,,,,,,Normal value,Units,Percentage (%),,3.385409289679309
2019/20,(a) Physical violence - 16 and over,,,,,,Gay/Lesbian,,,,,,,Normal value,Units,Percentage (%),,3.90142145361583
2019/20,(a) Physical violence - 16 and over,,,,,,Heterosexual/straight,,,,,,,Normal value,Units,Percentage (%),,1.684290441951428
2019/20,(a) Physical violence - 16 and over,,,,,,Other,,,,,,,Normal value,Units,Percentage (%),,2.153979389302964
2019/20,(a) Physical violence - 16 and over,,,,,,,Asian,Any other Asian background,,,,,Normal value,Units,Percentage (%),,0.6973723605837127
2019/20,(a) Physical violence - 16 and over,,,,,,,Asian,Bangladeshi,,,,,Normal value,Units,Percentage (%),,0.6209137369586316
2019/20,(a) Physical violence - 16 and over,,,,,,,Asian,Chinese,,,,,Normal value,Units,Percentage (%),,0.8031494451447614
2019/20,(a) Physical violence - 16 and over,,,,,,,Asian,Indian,,,,,Normal value,Units,Percentage (%),,0.4504454580124013
2019/20,(a) Physical violence - 16 and over,,,,,,,Asian,Pakistani,,,,,Normal value,Units,Percentage (%),,1.236177572554363
2019/20,(a) Physical violence - 16 and over,,,,,,,Asian,,,,,,Normal value,Units,Percentage (%),,0.7448253183806174
2019/20,(a) Physical violence - 16 and over,,,,,,,Black,African,,,,,Normal value,Units,Percentage (%),,0.5399547616112025
2019/20,(a) Physical violence - 16 and over,,,,,,,Black,Any other Black background,,,,,Normal value,Units,Percentage (%),,3.234773604233428
2019/20,(a) Physical violence - 16 and over,,,,,,,Black,Caribbean,,,,,Normal value,Units,Percentage (%),,1.368627045706207
2019/20,(a) Physical violence - 16 and over,,,,,,,Black,,,,,,Normal value,Units,Percentage (%),,0.9525234925400718
2019/20,(a) Physical violence - 16 and over,,,,,,,Mixed,Any other Mixed ethnic background,,,,,Normal value,Units,Percentage (%),,1.750210862181309
2019/20,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Asian,,,,,Normal value,Units,Percentage (%),,1.858992518636421
2019/20,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black African,,,,,Normal value,Units,Percentage (%),,4.586497114242301
2019/20,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black Caribbean,,,,,Normal value,Units,Percentage (%),,3.512161979841717
2019/20,(a) Physical violence - 16 and over,,,,,,,Mixed,,,,,,Normal value,Units,Percentage (%),,2.600510229350374
2019/20,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Any other ethnic group,,,,,Normal value,Units,Percentage (%),,0.9474939084415018
2019/20,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Arab,,,,,Normal value,Units,Percentage (%),,0.9624275584256822
2019/20,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,,,,,,Normal value,Units,Percentage (%),,0.9538194506135036
2019/20,(a) Physical violence - 16 and over,,,,,,,White,Any other white background,,,,,Normal value,Units,Percentage (%),,1.502115806923225
2019/20,(a) Physical violence - 16 and over,,,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Normal value,Units,Percentage (%),,1.748125925311064
2019/20,(a) Physical violence - 16 and over,,,,,,,White,Gypsy or Irish Traveller,,,,,Missing value; suppressed,Units,Percentage (%),,
2019/20,(a) Physical violence - 16 and over,,,,,,,White,Irish,,,,,Normal value,Units,Percentage (%),,2.277029563346539
2019/20,(a) Physical violence - 16 and over,,,,,,,White,,,,,,Normal value,Units,Percentage (%),,1.731451224791139
2019/20,(a) Physical violence - 16 and over,,,,,,,,,Apprenticeship or A/AS level,,,,Normal value,Units,Percentage (%),,1.777169458696401
2019/20,(a) Physical violence - 16 and over,,,,,,,,,Degree or diploma,,,,Normal value,Units,Percentage (%),,1.625612471936626
2019/20,(a) Physical violence - 16 and over,,,,,,,,,No qualifications,,,,Normal value,Units,Percentage (%),,0.8872198891886809
2019/20,(a) Physical violence - 16 and over,,,,,,,,,O level/GCSE,,,,Normal value,Units,Percentage (%),,2.254322090505061
2019/20,(a) Physical violence - 16 and over,,,,,,,,,Other qualification,,,,Normal value,Units,Percentage (%),,1.027094845762202
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,"Less than £10,400",,,Normal value,Units,Percentage (%),,2.178669803297957
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,"£10,400 to less than £20,800",,,Normal value,Units,Percentage (%),,1.259978571528089
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,"£20,800 to less than £31,200",,,Normal value,Units,Percentage (%),,1.449242039227704
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,"£31,200 to less than £41,600",,,Normal value,Units,Percentage (%),,1.856203273773918
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,"£41,600 to less than £52,000",,,Normal value,Units,Percentage (%),,1.819952562075841
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,"£52,000 or more",,,Normal value,Units,Percentage (%),,1.779927101790295
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,No income stated or not enough information provided,,,Normal value,Units,Percentage (%),,0.2175270038172764
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,East,,Normal value,Units,Percentage (%),E12000006,1.966963309784259
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,1.549096595722344
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,1.535308625303486
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,1.318541826496576
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,1.69706866026233
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,1.818897927354462
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,1.526504912784403
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,Wales,,Normal value,Units,Percentage (%),W92000004,1.157246662817773
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,1.715274511730875
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,1.471737536492149
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,,Rural,Normal value,Units,Percentage (%),,1.425763292475258
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,,Urban,Normal value,Units,Percentage (%),,1.672757317840859
2019/20,(a) Physical violence - 16 and over,,,,,,,,,,,,,Normal value,Units,Percentage (%),,1.626386947925169
2020/21,(a) Physical violence - 16 and over,Assault with minor injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.479145514639566
2020/21,(a) Physical violence - 16 and over,Violence with injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.6736803652956399
2020/21,(a) Physical violence - 16 and over,Violence without injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,1.216144157046754
2020/21,(a) Physical violence - 16 and over,Wounding,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.2023034136183328
2020/21,(a) Physical violence - 16 and over,,18 to 24,Female,,,,,,,,,,Normal value,Units,Percentage (%),,3.164789935576213
2020/21,(a) Physical violence - 16 and over,,18 to 24,Male,,,,,,,,,,Normal value,Units,Percentage (%),,3.891637195563311
2020/21,(a) Physical violence - 16 and over,,18 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,3.538038162718962
2020/21,(a) Physical violence - 16 and over,,25 to 34,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.511907705388036
2020/21,(a) Physical violence - 16 and over,,25 to 34,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.379868123566235
2020/21,(a) Physical violence - 16 and over,,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,1.947932569290719
2020/21,(a) Physical violence - 16 and over,,35 to 44,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.630022572380151
2020/21,(a) Physical violence - 16 and over,,35 to 44,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.555900749266142
2020/21,(a) Physical violence - 16 and over,,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,2.088306574833313
2020/21,(a) Physical violence - 16 and over,,45 to 54,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.868587448094374
2020/21,(a) Physical violence - 16 and over,,45 to 54,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.547092532336771
2020/21,(a) Physical violence - 16 and over,,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,2.202986208536382
2020/21,(a) Physical violence - 16 and over,,55 to 64,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.001986726799371
2020/21,(a) Physical violence - 16 and over,,55 to 64,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.391145099453696
2020/21,(a) Physical violence - 16 and over,,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,1.683615048709918
2020/21,(a) Physical violence - 16 and over,,65 to 74,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.3173034400093338
2020/21,(a) Physical violence - 16 and over,,65 to 74,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.852528515149473
2020/21,(a) Physical violence - 16 and over,,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,0.5747083919215319
2020/21,(a) Physical violence - 16 and over,,75 and over,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.1904865549485758
2020/21,(a) Physical violence - 16 and over,,75 and over,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.487138387469698
2020/21,(a) Physical violence - 16 and over,,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,0.3219609658806778
2020/21,(a) Physical violence - 16 and over,,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.361910308093156
2020/21,(a) Physical violence - 16 and over,,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.22630829172958
2020/21,(a) Physical violence - 16 and over,,,,Born in UK,,,,,,,,,Normal value,Units,Percentage (%),,1.860522977504321
2020/21,(a) Physical violence - 16 and over,,,,Not born in UK,,,,,,,,,Normal value,Units,Percentage (%),,1.351290255824363
2020/21,(a) Physical violence - 16 and over,,,,,Disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,3.075246891302599
2020/21,(a) Physical violence - 16 and over,,,,,Non-disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,1.483265815012521
2020/21,(a) Physical violence - 16 and over,,,,,,Bisexual,,,,,,,Normal value,Units,Percentage (%),,5.654215979477738
2020/21,(a) Physical violence - 16 and over,,,,,,Gay/Lesbian,,,,,,,Normal value,Units,Percentage (%),,2.949508247898231
2020/21,(a) Physical violence - 16 and over,,,,,,Heterosexual/straight,,,,,,,Normal value,Units,Percentage (%),,1.811946638150462
2020/21,(a) Physical violence - 16 and over,,,,,,Other,,,,,,,Missing value; suppressed,Units,Percentage (%),,
2020/21,(a) Physical violence - 16 and over,,,,,,,,,,,East,,Normal value,Units,Percentage (%),E12000006,2.293909239380397
2020/21,(a) Physical violence - 16 and over,,,,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,1.499342423797771
2020/21,(a) Physical violence - 16 and over,,,,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,1.717039512596042
2020/21,(a) Physical violence - 16 and over,,,,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,1.557144481535898
2020/21,(a) Physical violence - 16 and over,,,,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,2.020780213046784
2020/21,(a) Physical violence - 16 and over,,,,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,1.589959751595013
2020/21,(a) Physical violence - 16 and over,,,,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,1.460142086095395
2020/21,(a) Physical violence - 16 and over,,,,,,,,,,,Wales,,Normal value,Units,Percentage (%),W92000004,2.542895394314967
