Year,Units,Area of spending category,Area of spending sub-category,Observation status,Unit multiplier,Unit measure,Value
2011,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.038547493
2012,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.427164553
2013,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.68896402
2014,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.818849646
2015,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),6.18960049299999
2000,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),18.37674463
2001,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),18.66462353
2002,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),18.34578624
2003,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),17.91102212
2004,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),17.63496124
2005,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),17.61350224
2006,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),17.19755972
2007,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),17.41509072
2008,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),16.77554019
2009,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),17.44932384
2010,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),17.63445187
2011,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),18.39079092
2012,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),19.37262622
2013,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),20.15599914
2014,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),20.32112835
2015,Percentage (%) of national budget,Social protection,Old age,Undefined,Units,Percentage (%),20.62110592
2000,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.419566293
2001,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.434974469
2002,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.427310082
2003,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.382350943999999
2004,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.352395107999999
2005,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.274936413
2006,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.284398043999999
2007,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.287715331
2008,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.259417038
2009,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.367891275
2010,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.283418871
2011,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.168339481999999
2012,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.138626209
2013,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.143957639
2014,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.143329464
2015,Percentage (%) of national budget,Social protection,Survivors,Undefined,Units,Percentage (%),0.141353248
2000,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),4.650193078
2001,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),4.727983357
2002,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),4.826288674
2003,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),5.83054321399999
2004,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),6.44651159299999
2005,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),6.326022403
2006,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),6.390935355
2007,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),5.774258266
2008,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),4.939602246
2009,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),5.046643112
2010,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),4.80819254
2011,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),4.734399175
2012,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),4.12232603399999
2013,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),3.71073648699999
2014,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),3.624690353
2015,Percentage (%) of national budget,Social protection,Family and children,Undefined,Units,Percentage (%),3.46720929
2000,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),1.121433363
2001,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.799392877999999
2002,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.854395382
2003,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.867183465
2004,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.76124186
2005,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.750084753
2006,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.775661409
2007,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.725543009
2008,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.700938570999999
2009,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.94771543
2010,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.89261721
2011,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.768701816
2012,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.764892010999999
2013,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.644657486
2014,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.511262857
2015,Percentage (%) of national budget,Social protection,Unemployment,Undefined,Units,Percentage (%),0.356190224
2000,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),3.252156752
2001,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.947109626
2002,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.933401667
2003,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.665344147
2004,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.548307021
2005,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.52803055699999
2006,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.523990863
2007,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.530849829
2008,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.457912362
2009,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.73463555399999
2010,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),2.891243138
2011,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),3.03050739899999
2012,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),3.082629466
2013,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),3.138250792
2014,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),3.08076697
2015,Percentage (%) of national budget,Social protection,Housing,Undefined,Units,Percentage (%),3.053878918
2000,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),2.87817297
2001,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),2.788055417
2002,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),2.64388279
2003,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),2.515943294
2004,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),2.308435054
2005,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),2.033712991
2006,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),1.793612574
2007,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),2.489046391
2008,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),2.857858827
2009,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),3.246382632
2010,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),3.442989917
2011,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),3.636291506
2012,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),3.733760378
2013,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),3.80619365199999
2014,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),3.692398137
2015,Percentage (%) of national budget,Social protection,Social exclusion - not elsewhere classified,Undefined,Units,Percentage (%),3.80169124899999
2000,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.002330924
2001,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.007758742
2002,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.00382129
2003,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.001234718
2004,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.001140437
2005,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.0017749279999999
2006,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.000501289
2007,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.000633385
2008,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.001850945
2009,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.000275059
2010,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.000264754
2011,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.001057907
2012,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.000644174
2013,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.000257297
2014,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.0
2015,Percentage (%) of national budget,Social protection,Research and development - social protection,Undefined,Units,Percentage (%),0.0
2000,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.869952579
2001,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),1.10440842
2002,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),1.094462277
2003,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),1.143142892
2004,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),1.020121114
2005,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.907698397
2006,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.713835747999999
2007,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.568463423
2008,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.487083253
2009,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.494005779
2010,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.543009906
2011,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.665555864
2012,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.742603595999999
2013,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.618155901
2014,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.632232422
2015,Percentage (%) of national budget,Social protection,Social protection - not elsewhere classified,Undefined,Units,Percentage (%),0.752303695999999
2000,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),17.19810667
2001,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),18.19998747
2002,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),19.3823553
2003,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),20.19938049
2004,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),21.25898225
2005,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),21.92779266
2006,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),22.60317812
2007,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),23.27682002
2008,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),25.04367671
2009,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),28.3376781
2010,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),28.91882251
2011,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),28.63680448
2012,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),29.09953406
2013,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),28.92871702
2014,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),29.06991488
2015,Percentage (%) of gross domestic product (GDP),,,Undefined,Units,Percentage (%),28.9170488
2000,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),3.772786498
2001,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),4.023175475
2002,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),4.31517148399999
2003,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),4.567010848
2004,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),4.973157058
2005,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),5.20640899
2006,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),5.517877995
2007,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),5.685678862
2008,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),6.204436731
2009,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),7.04723195
2010,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),7.103646874
2011,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),7.04334745799999
2012,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),7.09303279799999
2013,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),7.252771185
2014,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),7.461293867
2015,Percentage (%) of gross domestic product (GDP),Health,,Undefined,Units,Percentage (%),7.556054655
2000,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.378310904
2001,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.390191156
2002,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.436527224
2003,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.47020848
2004,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.478479201
2005,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.473955423999999
2006,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.477328915
2007,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.471175024
2008,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.477185207999999
2009,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.488077601
2010,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.457120662
2011,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.475154717
2012,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.469757274
2013,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.43981572
2014,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.469534703
2015,Percentage (%) of gross domestic product (GDP),Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),0.432828922
2000,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.395469566
2001,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.418990502999999
2002,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.462748787999999
2003,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.458432802
2004,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.507023088
2005,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.539293607999999
2006,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.597360015
2007,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.598513474
2008,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.626966595
2009,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.796377963
2010,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.790500150999999
2011,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.808850277
2012,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.82924155
2013,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.790897669
2014,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.828906214
2015,Percentage (%) of gross domestic product (GDP),Health,Outpatient services,Undefined,Units,Percentage (%),0.781209877
2000,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),2.884842817
2001,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),3.07519696199999
2002,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),3.270928614
2003,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),3.478232943
2004,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),3.82328135399999
2005,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),4.01057106199999
2006,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),4.263288013
2007,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),4.431298403
2008,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),4.89899475
2009,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),5.49672039299999
2010,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),5.566885947
2011,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),5.543221093
2012,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),5.496667305
2013,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),5.569565824
2014,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),5.603746307
2015,Percentage (%) of gross domestic product (GDP),Health,Hospital services,Undefined,Units,Percentage (%),5.678874295
2000,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.009912375
2001,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.011133081
2002,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.011516667
2003,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.012531336
2004,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.013656773
2005,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.018676577
2006,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.016306991
2007,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.014565971
2008,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.0163501819999999
2009,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.0239265429999999
2010,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.031507354
2011,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.029205591
2012,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.030146985
2013,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.15552143
2014,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.204720382
2015,Percentage (%) of gross domestic product (GDP),Health,Public health services,Undefined,Units,Percentage (%),0.219829441999999
2000,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.0579703009999999
2001,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.078998209
2002,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.089856029
2003,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.097731828
2004,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.0915372909999999
2005,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.095829335
2006,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.103840588
2007,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.110724139
2008,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.138176189
2009,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.154120348
2010,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.190100237
2011,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.11069208
2012,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.080638911
2013,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.072204384
2014,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.0833403779999999
2015,Percentage (%) of gross domestic product (GDP),Health,Research and development - health,Undefined,Units,Percentage (%),0.16047761
2000,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.046280535
2001,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.048665564
2002,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.043594163
2003,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.049873459
2004,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.059179351
2005,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.068082984
2006,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.059753473
2007,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.059401851
2008,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.046763807
2009,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.088009103
2010,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.067532522
2011,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.0762236999999999
2012,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.186580773
2013,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.224766159
2014,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.271045883999999
2015,Percentage (%) of gross domestic product (GDP),Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.282834508
2000,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),3.45121539399999
2001,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),3.761181413
2002,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),4.25726282
2003,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),4.234898953
2004,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),4.376134604
2005,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),4.607863495
2006,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),4.912073288
2007,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),5.022699587
2008,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),5.357657373
2009,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),5.865165281
2010,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),6.01995817799999
2011,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),5.659407294
2012,Percentage (%) of gross domestic product (GDP),Education,,Undefined,Units,Percentage (%),5.469540717
