Year,Country,Country of birth,Region,Ethnic group,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,England,Born in UK,,Black Other,Undefined,Units,"Rate per 100,000 population",E92000001,39.5
2015,England,Born in UK,,Indian,Undefined,Units,"Rate per 100,000 population",E92000001,19.4
2015,England,Born in UK,,Pakistani,Undefined,Units,"Rate per 100,000 population",E92000001,28.5
2015,England,Born in UK,,Bangledeshi,Undefined,Units,"Rate per 100,000 population",E92000001,14.0
2015,England,Born in UK,,Chinese,Undefined,Units,"Rate per 100,000 population",E92000001,9.8
2015,England,Born in UK,,Mixed/Other,Undefined,Units,"Rate per 100,000 population",E92000001,7.2
2015,England,Not born in UK,,White,Undefined,Units,"Rate per 100,000 population",E92000001,9.1
2015,England,Not born in UK,,Black Caribbean,Undefined,Units,"Rate per 100,000 population",E92000001,27.3
2015,England,Not born in UK,,Black African,Undefined,Units,"Rate per 100,000 population",E92000001,132.6
2015,England,Not born in UK,,Black Other,Undefined,Units,"Rate per 100,000 population",E92000001,119.2
2015,England,Not born in UK,,Indian,Undefined,Units,"Rate per 100,000 population",E92000001,171.6
2015,England,Not born in UK,,Pakistani,Undefined,Units,"Rate per 100,000 population",E92000001,164.8
2015,England,Not born in UK,,Bangledeshi,Undefined,Units,"Rate per 100,000 population",E92000001,112.0
2015,England,Not born in UK,,Chinese,Undefined,Units,"Rate per 100,000 population",E92000001,37.9
2015,England,Not born in UK,,Mixed/Other,Undefined,Units,"Rate per 100,000 population",E92000001,54.2
2016,England,Born in UK,,White,Undefined,Units,"Rate per 100,000 population",E92000001,2.1
2016,England,Born in UK,,Black Caribbean,Undefined,Units,"Rate per 100,000 population",E92000001,18.6
2016,England,Born in UK,,Black African,Undefined,Units,"Rate per 100,000 population",E92000001,18.8
2016,England,Born in UK,,Black Other,Undefined,Units,"Rate per 100,000 population",E92000001,28.9
2016,England,Born in UK,,Indian,Undefined,Units,"Rate per 100,000 population",E92000001,19.3
2016,England,Born in UK,,Pakistani,Undefined,Units,"Rate per 100,000 population",E92000001,20.5
2016,England,Born in UK,,Bangledeshi,Undefined,Units,"Rate per 100,000 population",E92000001,12.6
2016,England,Born in UK,,Chinese,Undefined,Units,"Rate per 100,000 population",E92000001,6.5
2016,England,Born in UK,,Mixed/Other,Undefined,Units,"Rate per 100,000 population",E92000001,5.4
2016,England,Not born in UK,,White,Undefined,Units,"Rate per 100,000 population",E92000001,11.0
2016,England,Not born in UK,,Black Caribbean,Undefined,Units,"Rate per 100,000 population",E92000001,27.6
2016,England,Not born in UK,,Black African,Undefined,Units,"Rate per 100,000 population",E92000001,127.4
2016,England,Not born in UK,,Black Other,Undefined,Units,"Rate per 100,000 population",E92000001,84.4
2016,England,Not born in UK,,Indian,Undefined,Units,"Rate per 100,000 population",E92000001,131.3
2016,England,Not born in UK,,Pakistani,Undefined,Units,"Rate per 100,000 population",E92000001,134.2
2016,England,Not born in UK,,Bangledeshi,Undefined,Units,"Rate per 100,000 population",E92000001,75.2
2016,England,Not born in UK,,Chinese,Undefined,Units,"Rate per 100,000 population",E92000001,25.3
2016,England,Not born in UK,,Mixed/Other,Undefined,Units,"Rate per 100,000 population",E92000001,45.3
2017,England,Born in UK,,White,Undefined,Units,"Rate per 100,000 population",E92000001,2.2
2017,England,Born in UK,,Black Caribbean,Undefined,Units,"Rate per 100,000 population",E92000001,18.0
2017,England,Born in UK,,Black African,Undefined,Units,"Rate per 100,000 population",E92000001,20.4
2017,England,Born in UK,,Black Other,Undefined,Units,"Rate per 100,000 population",E92000001,19.2
2017,England,Born in UK,,Indian,Undefined,Units,"Rate per 100,000 population",E92000001,16.0
2017,England,Born in UK,,Pakistani,Undefined,Units,"Rate per 100,000 population",E92000001,18.3
2017,England,Born in UK,,Bangledeshi,Undefined,Units,"Rate per 100,000 population",E92000001,10.5
2017,England,Born in UK,,Chinese,Undefined,Units,"Rate per 100,000 population",E92000001,2.8
2017,England,Born in UK,,Mixed/Other,Undefined,Units,"Rate per 100,000 population",E92000001,4.9
2017,England,Not born in UK,,White,Undefined,Units,"Rate per 100,000 population",E92000001,10.1
2017,England,Not born in UK,,Black Caribbean,Undefined,Units,"Rate per 100,000 population",E92000001,22.4
2017,England,Not born in UK,,Black African,Undefined,Units,"Rate per 100,000 population",E92000001,93.1
2017,England,Not born in UK,,Black Other,Undefined,Units,"Rate per 100,000 population",E92000001,56.2
2017,England,Not born in UK,,Indian,Undefined,Units,"Rate per 100,000 population",E92000001,105.1
2017,England,Not born in UK,,Pakistani,Undefined,Units,"Rate per 100,000 population",E92000001,103.8
2017,England,Not born in UK,,Bangledeshi,Undefined,Units,"Rate per 100,000 population",E92000001,53.9
2017,England,Not born in UK,,Chinese,Undefined,Units,"Rate per 100,000 population",E92000001,25.5
2017,England,Not born in UK,,Mixed/Other,Undefined,Units,"Rate per 100,000 population",E92000001,39.8
