Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnicity,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,"Rate per 100,000 population",Male,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.6783836440000001
2015,"Rate per 100,000 population",Male,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.988174516
2015,"Rate per 100,000 population",Male,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.816638426
2015,"Rate per 100,000 population",Male,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.3091190669999997
2015,"Rate per 100,000 population",Male,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.748189327
2015,"Rate per 100,000 population",Male,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.0055584889999998
2015,"Rate per 100,000 population",Male,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.680853017
2015,"Rate per 100,000 population",Male,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.828587604
2015,"Rate per 100,000 population",Male,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.5906865739999905
2015,"Rate per 100,000 population",Male,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.082422879
2015,"Rate per 100,000 population",Male,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.0853573239999905
2015,"Rate per 100,000 population",Male,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.9734196789999996
2015,"Rate per 100,000 population",Male,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.332877061
2015,"Rate per 100,000 population",Male,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.595488869
2015,"Rate per 100,000 population",Male,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.571864823
2015,"Rate per 100,000 population",Female,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.322815828
2015,"Rate per 100,000 population",Female,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.356531115
2015,"Rate per 100,000 population",Female,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.621596757999999
2015,"Rate per 100,000 population",Female,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.558253579
2015,"Rate per 100,000 population",Female,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.290597353
2015,"Rate per 100,000 population",Female,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.423852375
2015,"Rate per 100,000 population",Female,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.808292922
2015,"Rate per 100,000 population",Female,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.543747301
2015,"Rate per 100,000 population",Female,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.000625561
2015,"Rate per 100,000 population",Female,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.8886837440000002
2015,"Rate per 100,000 population",Female,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.001389049
2015,"Rate per 100,000 population",Female,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.1613284740000003
2015,"Rate per 100,000 population",Female,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.899956301
2015,"Rate per 100,000 population",Female,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.839349605
2015,"Rate per 100,000 population",Female,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.914154936
2015,"Rate per 100,000 population",Female,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.31116311
2016,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.4570416059999998
2016,"Rate per 100,000 population",,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.622771412999999
2016,"Rate per 100,000 population",,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.569665651
2016,"Rate per 100,000 population",,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.489629695
2016,"Rate per 100,000 population",,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.302240821
2016,"Rate per 100,000 population",,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.891565585
2016,"Rate per 100,000 population",,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.369804072
2016,"Rate per 100,000 population",,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.493518729
2016,"Rate per 100,000 population",,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.282771034
2016,"Rate per 100,000 population",,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.456087771
2016,"Rate per 100,000 population",,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.134962581
2016,"Rate per 100,000 population",,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.626957883
2016,"Rate per 100,000 population",,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.8524461569999997
2016,"Rate per 100,000 population",,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.895743716
2016,"Rate per 100,000 population",,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.852464047
2016,"Rate per 100,000 population",,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.69702875
2016,"Rate per 100,000 population",Male,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.224444103
2016,"Rate per 100,000 population",Male,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.971874912
2016,"Rate per 100,000 population",Male,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.483821493
2016,"Rate per 100,000 population",Male,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.56197906
2016,"Rate per 100,000 population",Male,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.835688846
2016,"Rate per 100,000 population",Male,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.537902189
2016,"Rate per 100,000 population",Male,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.824439753
2016,"Rate per 100,000 population",Male,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.63791523
2016,"Rate per 100,000 population",Male,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,6.057270046
2016,"Rate per 100,000 population",Male,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.896899004
2016,"Rate per 100,000 population",Male,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.92897092799999
2016,"Rate per 100,000 population",Male,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.171464734
2016,"Rate per 100,000 population",Male,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.9857052680000002
2016,"Rate per 100,000 population",Male,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.1371310340000003
2016,"Rate per 100,000 population",Male,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.963690959
2016,"Rate per 100,000 population",Male,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.806464172
2016,"Rate per 100,000 population",Female,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.71022994
2016,"Rate per 100,000 population",Female,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.255566755
2016,"Rate per 100,000 population",Female,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.659704919
2016,"Rate per 100,000 population",Female,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.413672931
2016,"Rate per 100,000 population",Female,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.7397327230000001
2016,"Rate per 100,000 population",Female,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.21439162
2016,"Rate per 100,000 population",Female,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.907230282
2016,"Rate per 100,000 population",Female,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.354113973
2016,"Rate per 100,000 population",Female,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.5245404380000003
2016,"Rate per 100,000 population",Female,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.0401186410000003
2016,"Rate per 100,000 population",Female,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.390922691
2016,"Rate per 100,000 population",Female,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.1274522609999997
2016,"Rate per 100,000 population",Female,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.7479869019999998
2016,"Rate per 100,000 population",Female,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.6639488830000002
2016,"Rate per 100,000 population",Female,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.747677127
2016,"Rate per 100,000 population",Female,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.611137012
2017,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.692298357
2017,"Rate per 100,000 population",,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.9846642329999999
2017,"Rate per 100,000 population",,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.288457415
2017,"Rate per 100,000 population",,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.6339055219999998
2017,"Rate per 100,000 population",,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.024709555
2017,"Rate per 100,000 population",,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.780924474
2017,"Rate per 100,000 population",,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.280501842
2017,"Rate per 100,000 population",,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.821554654
2017,"Rate per 100,000 population",,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.783100377
2017,"Rate per 100,000 population",,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.828339
2017,"Rate per 100,000 population",,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.480941898
2017,"Rate per 100,000 population",,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.26296176
2017,"Rate per 100,000 population",,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.7282105810000004
2017,"Rate per 100,000 population",,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.556504303
2017,"Rate per 100,000 population",,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.3818524769999998
2017,"Rate per 100,000 population",,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.6693500170000001
2017,"Rate per 100,000 population",Male,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.64620728
2017,"Rate per 100,000 population",Male,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.9846774340000001
2017,"Rate per 100,000 population",Male,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.3299843059999998
2017,"Rate per 100,000 population",Male,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.142973998
2017,"Rate per 100,000 population",Male,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.7344904430000003
2017,"Rate per 100,000 population",Male,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.3820377660000003
2017,"Rate per 100,000 population",Male,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.358308767
2017,"Rate per 100,000 population",Male,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.811070182
2017,"Rate per 100,000 population",Male,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.690989611
2017,"Rate per 100,000 population",Male,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,7.051934018
2017,"Rate per 100,000 population",Male,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,6.296924839
2017,"Rate per 100,000 population",Male,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,6.00394433
2017,"Rate per 100,000 population",Male,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.9907501530000005
2017,"Rate per 100,000 population",Male,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.629235076
2017,"Rate per 100,000 population",Male,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.545600567
2017,"Rate per 100,000 population",Male,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.848464505
2017,"Rate per 100,000 population",Female,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.7633823080000002
2017,"Rate per 100,000 population",Female,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.984650338
2017,"Rate per 100,000 population",Female,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.244921963
2017,"Rate per 100,000 population",Female,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.098806312
2017,"Rate per 100,000 population",Female,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.275934053
2017,"Rate per 100,000 population",Female,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.147627945
2017,"Rate per 100,000 population",Female,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.180180822
2017,"Rate per 100,000 population",Female,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.8390757769999997
2017,"Rate per 100,000 population",Female,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.90163977
2017,"Rate per 100,000 population",Female,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.63963807599999
2017,"Rate per 100,000 population",Female,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.715678777
2017,"Rate per 100,000 population",Female,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.574244807
2017,"Rate per 100,000 population",Female,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.49941641
2017,"Rate per 100,000 population",Female,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.525713448
2017,"Rate per 100,000 population",Female,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.22808702
2017,"Rate per 100,000 population",Female,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.5269586789999989
2014,"Rate per 100,000 population",,,England,London,,,,,,Undefined,Units,"Rate per 100,000 population",E12000007,9.122422916
2014,"Rate per 100,000 population",,,England,South East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000008,1.4987595790000001
2014,"Rate per 100,000 population",,,England,West Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.012798246
2014,"Rate per 100,000 population",,,England,North West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.696334767
2014,"Rate per 100,000 population",,,England,East of England,,,,,,Undefined,Units,"Rate per 100,000 population",E12000006,1.8779342719999998
2014,"Rate per 100,000 population",,,England,Yorkshire and The Humber,,,,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.809661991
2014,"Rate per 100,000 population",,,England,South West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000009,1.087902925
2014,"Rate per 100,000 population",,,England,East Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000004,1.03506967
2014,"Rate per 100,000 population",,,England,North East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.38186361700000004
2014,"Rate per 100,000 population",,,England,,,,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.715559352
2014,"Rate per 100,000 population",,,Scotland,,,,,,,Undefined,Units,"Rate per 100,000 population",S92000003,1.421198295
2014,"Rate per 100,000 population",,,Wales,,,,,,,Undefined,Units,"Rate per 100,000 population",W92000004,1.067257949
2014,"Rate per 100,000 population",,,Northern Ireland,,,,,,,Undefined,Units,"Rate per 100,000 population",N92000002,0.108666241
2015,"Rate per 100,000 population",,,England,London,,,,,,Undefined,Units,"Rate per 100,000 population",E12000007,7.857453562000001
2015,"Rate per 100,000 population",,,England,South East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000008,1.340873212
2015,"Rate per 100,000 population",,,England,West Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.119883955
2015,"Rate per 100,000 population",,,England,North West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.5888107580000002
2015,"Rate per 100,000 population",,,England,East of England,,,,,,Undefined,Units,"Rate per 100,000 population",E12000006,1.8927019059999999
2015,"Rate per 100,000 population",,,England,Yorkshire and The Humber,,,,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.2615461620000001
2015,"Rate per 100,000 population",,,England,South West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000009,0.950360132
2015,"Rate per 100,000 population",,,England,East Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000004,0.833792097
2015,"Rate per 100,000 population",,,England,North East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.304810791
2015,"Rate per 100,000 population",,,England,,,,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.407535004
2015,"Rate per 100,000 population",,,Scotland,,,,,,,Undefined,Units,"Rate per 100,000 population",S92000003,0.9119672440000001
2015,"Rate per 100,000 population",,,Wales,,,,,,,Undefined,Units,"Rate per 100,000 population",W92000004,0.677619142999999
2015,"Rate per 100,000 population",,,Northern Ireland,,,,,,,Undefined,Units,"Rate per 100,000 population",N92000002,0.594074057
2016,"Rate per 100,000 population",,,England,London,,,,,,Undefined,Units,"Rate per 100,000 population",E12000007,9.612688475
2016,"Rate per 100,000 population",,,England,South East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000008,1.5614017930000001
2016,"Rate per 100,000 population",,,England,West Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.030710888
2016,"Rate per 100,000 population",,,England,North West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.481181861
2016,"Rate per 100,000 population",,,England,East of England,,,,,,Undefined,Units,"Rate per 100,000 population",E12000006,1.990535168
2016,"Rate per 100,000 population",,,England,Yorkshire and The Humber,,,,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.2533707379999999
2016,"Rate per 100,000 population",,,England,South West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000009,1.178182311
2016,"Rate per 100,000 population",,,England,East Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000004,0.9099778009999999
2016,"Rate per 100,000 population",,,England,North East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.834411430999999
2016,"Rate per 100,000 population",,,England,,,,,,,Undefined,Units,"Rate per 100,000 population",E92000001,2.7665161510000003
2016,"Rate per 100,000 population",,,Scotland,,,,,,,Undefined,Units,"Rate per 100,000 population",S92000003,1.073140045
2016,"Rate per 100,000 population",,,Wales,,,,,,,Undefined,Units,"Rate per 100,000 population",W92000004,0.8030451470000001
2016,"Rate per 100,000 population",,,Northern Ireland,,,,,,,Undefined,Units,"Rate per 100,000 population",N92000002,0.32221045
2017,"Rate per 100,000 population",,,England,London,,,,,,Undefined,Units,"Rate per 100,000 population",E12000007,10.44759088
2017,"Rate per 100,000 population",,,England,South East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000008,1.706893371
2017,"Rate per 100,000 population",,,England,West Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.7471093069999997
2017,"Rate per 100,000 population",,,England,North West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.763418895
2017,"Rate per 100,000 population",,,England,East of England,,,,,,Undefined,Units,"Rate per 100,000 population",E12000006,1.8481195869999998
2017,"Rate per 100,000 population",,,England,Yorkshire and The Humber,,,,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.449506709
2017,"Rate per 100,000 population",,,England,South West,,,,,,Undefined,Units,"Rate per 100,000 population",E12000009,1.313111181
2017,"Rate per 100,000 population",,,England,East Midlands,,,,,,Undefined,Units,"Rate per 100,000 population",E12000004,1.04785205
2017,"Rate per 100,000 population",,,England,North East,,,,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.983088236
2017,"Rate per 100,000 population",,,England,,,,,,,Undefined,Units,"Rate per 100,000 population",E92000001,3.070869299
2017,"Rate per 100,000 population",,,Scotland,,,,,,,Undefined,Units,"Rate per 100,000 population",S92000003,0.921692966
2017,"Rate per 100,000 population",,,Wales,,,,,,,Undefined,Units,"Rate per 100,000 population",W92000004,0.767959452
2017,"Rate per 100,000 population",,,Northern Ireland,,,,,,,Undefined,Units,"Rate per 100,000 population",N92000002,0.5345209679999989
2014,Number of cases,,,,,,,Africa,,,Undefined,Units,Number,,403.0
2014,Number of cases,,,,,,,United Kingdom,,,Undefined,Units,Number,,189.0
2014,Number of cases,,,,,,,Indian subcontinent,,,Undefined,Units,Number,,46.0
2014,Number of cases,,,,,,,Europe (non UK),,,Undefined,Units,Number,,10.0
2014,Number of cases,,,,,,,Other,,,Undefined,Units,Number,,9.0
2015,Number of cases,,,,,,,Africa,,,Undefined,Units,Number,,345.0
2015,Number of cases,,,,,,,United Kingdom,,,Undefined,Units,Number,,130.0
2015,Number of cases,,,,,,,Indian subcontinent,,,Undefined,Units,Number,,37.0
2015,Number of cases,,,,,,,Europe (non UK),,,Undefined,Units,Number,,11.0
2015,Number of cases,,,,,,,Other,,,Undefined,Units,Number,,8.0
2016,Number of cases,,,,,,,Africa,,,Undefined,Units,Number,,465.0
2016,Number of cases,,,,,,,United Kingdom,,,Undefined,Units,Number,,162.0
2016,Number of cases,,,,,,,Indian subcontinent,,,Undefined,Units,Number,,35.0
2016,Number of cases,,,,,,,Europe (non UK),,,Undefined,Units,Number,,15.0
2016,Number of cases,,,,,,,Other,,,Undefined,Units,Number,,16.0
2017,Number of cases,,,,,,,Africa,,,Undefined,Units,Number,,525.0
2017,Number of cases,,,,,,,United Kingdom,,,Undefined,Units,Number,,199.0
2017,Number of cases,,,,,,,Indian subcontinent,,,Undefined,Units,Number,,45.0
2017,Number of cases,,,,,,,Europe (non UK),,,Undefined,Units,Number,,22.0
2017,Number of cases,,,,,,,Other,,,Undefined,Units,Number,,13.0
2014,Number of cases,,,,,,,,Black African/African descent,,Undefined,Units,Number,,680.0
2014,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Number,,90.0
2014,Number of cases,,,,,,,,Other/mixed,,Undefined,Units,Number,,57.0
2014,Number of cases,,,,,,,,White British,,Undefined,Units,Number,,145.0
2015,Number of cases,,,,,,,,Black African/African descent,,Undefined,Units,Number,,518.0
2015,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Number,,72.0
2015,Number of cases,,,,,,,,Other/mixed,,Undefined,Units,Number,,42.0
2015,Number of cases,,,,,,,,White British,,Undefined,Units,Number,,93.0
2016,Number of cases,,,,,,,,Black African/African descent,,Undefined,Units,Number,,763.0
2016,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Number,,80.0
2016,Number of cases,,,,,,,,Other/mixed,,Undefined,Units,Number,,63.0
2016,Number of cases,,,,,,,,White British,,Undefined,Units,Number,,105.0
2017,Number of cases,,,,,,,,Black African/African descent,,Undefined,Units,Number,,900.0
2017,Number of cases,,,,,,,,Indian/Pakistani/Bangladesh (ISC)/ISC descent,,Undefined,Units,Number,,84.0
2017,Number of cases,,,,,,,,Other/mixed,,Undefined,Units,Number,,77.0
2017,Number of cases,,,,,,,,White British,,Undefined,Units,Number,,131.0
2014,Number of cases,,,,,,,,,Western Africa,Undefined,Units,Number,,619.0
2014,Number of cases,,,,,,,,,Eastern Africa,Undefined,Units,Number,,127.0
2014,Number of cases,,,,,,,,,Middle Africa,Undefined,Units,Number,,76.0
2014,Number of cases,,,,,,,,,Northern Africa,Undefined,Units,Number,,14.0
2014,Number of cases,,,,,,,,,Southern Africa,Undefined,Units,Number,,4.0
2014,Number of cases,,,,,,,,,Africa unspecified,Undefined,Units,Number,,8.0
2014,Number of cases,,,,,,,,,Southern Asia,Undefined,Units,Number,,90.0
2014,Number of cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Number,,3.0
2014,Number of cases,,,,,,,,,Western Asia,Undefined,Units,Number,,1.0
2014,Number of cases,,,,,,,,,Caribbean,Undefined,Units,Number,,0.0
2014,Number of cases,,,,,,,,,Central America,Undefined,Units,Number,,1.0
2014,Number of cases,,,,,,,,,South America,Undefined,Units,Number,,6.0
2014,Number of cases,,,,,,,,,Oceania,Undefined,Units,Number,,1.0
2014,Number of cases,,,,,,,,,Not stated,Undefined,Units,Number,,22.0
2015,Number of cases,,,,,,,,,Western Africa,Undefined,Units,Number,,473.0
2015,Number of cases,,,,,,,,,Eastern Africa,Undefined,Units,Number,,77.0
2015,Number of cases,,,,,,,,,Middle Africa,Undefined,Units,Number,,71.0
2015,Number of cases,,,,,,,,,Northern Africa,Undefined,Units,Number,,9.0
2015,Number of cases,,,,,,,,,Southern Africa,Undefined,Units,Number,,1.0
2015,Number of cases,,,,,,,,,Africa unspecified,Undefined,Units,Number,,5.0
2015,Number of cases,,,,,,,,,Southern Asia,Undefined,Units,Number,,78.0
2015,Number of cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Number,,1.0
2015,Number of cases,,,,,,,,,Western Asia,Undefined,Units,Number,,1.0
2015,Number of cases,,,,,,,,,Caribbean,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,,,,,Central America,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,,,,,South America,Undefined,Units,Number,,7.0
2015,Number of cases,,,,,,,,,Oceania,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,,,,,Not stated,Undefined,Units,Number,,2.0
2016,Number of cases,,,,,,,,,Western Africa,Undefined,Units,Number,,621.0
2016,Number of cases,,,,,,,,,Eastern Africa,Undefined,Units,Number,,142.0
2016,Number of cases,,,,,,,,,Middle Africa,Undefined,Units,Number,,113.0
2016,Number of cases,,,,,,,,,Northern Africa,Undefined,Units,Number,,17.0
2016,Number of cases,,,,,,,,,Southern Africa,Undefined,Units,Number,,3.0
2016,Number of cases,,,,,,,,,Africa unspecified,Undefined,Units,Number,,6.0
2016,Number of cases,,,,,,,,,Southern Asia,Undefined,Units,Number,,82.0
2016,Number of cases,,,,,,,,,South-Eastern Asia,Undefined,Units,Number,,2.0
2016,Number of cases,,,,,,,,,Western Asia,Undefined,Units,Number,,0.0
2016,Number of cases,,,,,,,,,Caribbean,Undefined,Units,Number,,2.0
2016,Number of cases,,,,,,,,,Central America,Undefined,Units,Number,,0.0
2016,Number of cases,,,,,,,,,South America,Undefined,Units,Number,,2.0
2016,Number of cases,,,,,,,,,Oceania,Undefined,Units,Number,,2.0
2016,Number of cases,,,,,,,,,Not stated,Undefined,Units,Number,,19.0
2017,Number of cases,,,,,,,,,Western Africa,Undefined,Units,Number,,797.0
2017,Number of cases,,,,,,,,,Eastern Africa,Undefined,Units,Number,,148.0
2017,Number of cases,,,,,,,,,Middle Africa,Undefined,Units,Number,,91.0
2017,Number of cases,,,,,,,,,Northern Africa,Undefined,Units,Number,,14.0
2017,Number of cases,,,,,,,,,Southern Africa,Undefined,Units,Number,,7.0
2017,Number of cases,,,,,,,,,Africa unspecified,Undefined,Units,Number,,11.0
2017,Number of cases,,,,,,,,,Southern Asia,Undefined,Units,Number,,87.0
