Year,Region,Local authority,Age,Main method of contraception,Type of contraception,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2019/20,South East,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,5.81
2019/20,South West,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,3.915
2019/20,North East,County Durham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.36
2019/20,North East,Gateshead,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.215
2019/20,North East,Hartlepool,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.235
2019/20,North East,Middlesbrough,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.175
2019/20,North East,Newcastle upon Tyne,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.56
2019/20,North East,North Tyneside,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.355
2019/20,North East,Northumberland,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.275
2019/20,North East,Redcar and Cleveland,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.245
2019/20,North East,South Tyneside,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.2
2019/20,North East,Stockton-on-Tees,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.27
2019/20,North East,Sunderland,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.38
2019/20,North West,Blackburn with Darwen,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.275
2019/20,North West,Blackpool,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.16
2019/20,North West,Bolton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.56
2019/20,North West,Bury,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.21
2019/20,North West,Cheshire East,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.325
2019/20,North West,Cheshire West and Chester,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.26
2019/20,North West,Cumbria,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.23
2019/20,North West,Halton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.13
2019/20,North West,Knowsley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.185
2019/20,North West,Lancashire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,1.435
2019/20,North West,Liverpool,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,1.445
2019/20,North West,Manchester,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,1.17
2019/20,North West,Oldham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.5
2019/20,North West,Rochdale,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.305
2019/20,North West,Salford,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.5
2019/20,North West,Sefton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.57
2019/20,North West,St. Helens,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.26
2019/20,North West,Stockport,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.2
2019/20,North West,Tameside,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.195
2019/20,North West,Trafford,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.21
2019/20,North West,Warrington,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.175
2019/20,North West,Wigan,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.13
2019/20,North West,Wirral,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.37
2019/20,Yorkshire and The Humber,Barnsley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.105
2019/20,Yorkshire and The Humber,Bradford,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.51
2019/20,Yorkshire and The Humber,Calderdale,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.19
2019/20,Yorkshire and The Humber,Doncaster,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.46
2019/20,Yorkshire and The Humber,East Riding of Yorkshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.225
2019/20,Yorkshire and The Humber,"Kingston upon Hull, City of",,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.435
2019/20,Yorkshire and The Humber,Kirklees,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.545
2019/20,Yorkshire and The Humber,Leeds,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.71
2019/20,Yorkshire and The Humber,North East Lincolnshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.17
2019/20,Yorkshire and The Humber,North Lincolnshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.08
2019/20,Yorkshire and The Humber,North Yorkshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.26
2019/20,Yorkshire and The Humber,Rotherham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.205
2019/20,Yorkshire and The Humber,Sheffield,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.17
2019/20,Yorkshire and The Humber,Wakefield,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.095
2019/20,Yorkshire and The Humber,York,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.295
2019/20,East Midlands,Derby,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.32
2019/20,East Midlands,Derbyshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.545
2019/20,East Midlands,Leicester,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.495
2019/20,East Midlands,Leicestershire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.38
2019/20,East Midlands,Lincolnshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.41
2019/20,East Midlands,Northamptonshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.34
2019/20,East Midlands,Nottingham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.72
2019/20,East Midlands,Nottinghamshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.82
2019/20,West Midlands,Birmingham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,1.47
2019/20,West Midlands,Coventry,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.35
2019/20,West Midlands,Dudley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.235
2019/20,West Midlands,"Herefordshire, County of",,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.055
2019/20,West Midlands,Sandwell,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.39
2019/20,West Midlands,Shropshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.08
2019/20,West Midlands,Solihull,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.19
2019/20,West Midlands,Staffordshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.41
2019/20,West Midlands,Stoke-on-Trent,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.23
2019/20,West Midlands,Telford and Wrekin,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.075
2019/20,West Midlands,Walsall,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.29
2019/20,West Midlands,Warwickshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.365
2019/20,West Midlands,Wolverhampton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.405
2019/20,West Midlands,Worcestershire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.235
2019/20,East of England,Bedford,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.14
2019/20,East of England,Cambridgeshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.43
2019/20,East of England,Central Bedfordshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.09
2019/20,East of England,Essex,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.815
2019/20,East of England,Hertfordshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.705
2019/20,East of England,Luton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.08
2019/20,East of England,Norfolk,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.535
2019/20,East of England,Peterborough,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.205
2019/20,East of England,Southend-on-Sea,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.115
2019/20,East of England,Suffolk,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.525
2019/20,East of England,Thurrock,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.22
2019/20,London,Barking and Dagenham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.39
2019/20,London,Barnet,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.585
2019/20,London,Bexley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.195
2019/20,London,Brent,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.65
2019/20,London,Bromley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.29
2019/20,London,Camden,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.465
2019/20,London,Croydon,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.515
2019/20,London,Ealing,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.775
2019/20,London,Enfield,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.705
2019/20,London,Greenwich,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.64
2019/20,London,Hackney,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,1.315
2019/20,London,Hammersmith and Fulham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.515
2019/20,London,Haringey,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.685
2019/20,London,Harrow,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.435
2019/20,London,Havering,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.3
2019/20,London,Hillingdon,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.485
2019/20,London,Hounslow,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.515
2019/20,London,Islington,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.64
2019/20,London,Kensington and Chelsea,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.29
2019/20,London,Kingston upon Thames,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.255
2019/20,London,Lambeth,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.985
2019/20,London,Lewisham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,1.075
2019/20,London,Merton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.37
2019/20,London,Newham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.125
2019/20,London,Redbridge,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.355
2019/20,London,Richmond upon Thames,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.19
2019/20,London,Southwark,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,1.07
2019/20,London,Sutton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.245
2019/20,London,Tower Hamlets,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.28
2019/20,London,Waltham Forest,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.18
2019/20,London,Wandsworth,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.765
2019/20,London,Westminster,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,0.46
2019/20,South East,Bracknell Forest,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.075
2019/20,South East,Brighton and Hove,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.28
2019/20,South East,Buckinghamshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.585
2019/20,South East,East Sussex,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.485
2019/20,South East,Hampshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.51
2019/20,South East,Isle of Wight,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.0
2019/20,South East,Kent,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.97
2019/20,South East,Medway,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.335
2019/20,South East,Milton Keynes,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.05
2019/20,South East,Oxfordshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.625
2019/20,South East,Portsmouth,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.095
2019/20,South East,Reading,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.135
2019/20,South East,Slough,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.285
2019/20,South East,Southampton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.095
2019/20,South East,Surrey,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.635
2019/20,South East,West Berkshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.035
2019/20,South East,West Sussex,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.41
2019/20,South East,Windsor and Maidenhead,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.125
2019/20,South East,Wokingham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,0.08
2019/20,South West,Bath and North East Somerset,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.115
2019/20,South West,"Bournemouth, Christchurch and Poole",,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.245
2019/20,South West,"Bristol, City of",,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.68
2019/20,South West,Cornwall,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.135
2019/20,South West,Devon,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.85
2019/20,South West,Dorset,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.19
2019/20,South West,Gloucestershire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.37
2019/20,South West,North Somerset,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.14
2019/20,South West,Plymouth,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.36
2019/20,South West,Somerset,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.32
2019/20,South West,South Gloucestershire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.14
2019/20,South West,Swindon,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.185
2019/20,South West,Torbay,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.145
2019/20,South West,Wiltshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,0.035
2020/21,,,15 and under,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,0.084
2020/21,,,16 to 17,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,0.644
2020/21,,,18 to 19,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,1.77
2020/21,,,20 to 24,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,9.033
2020/21,,,25 to 34,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,18.303
2020/21,,,35 to 44,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,9.344
2020/21,,,45 and over,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,2.128
2020/21,,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,,41.306
2020/21,North East,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,2.075
2020/21,North West,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,6.525
2020/21,Yorkshire and The Humber,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,3.22
2020/21,East Midlands,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,2.665
2020/21,West Midlands,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,2.6
2020/21,East of England,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,2.685
2020/21,London,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000007,11.355
2020/21,South East,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000008,5.245
2020/21,South West,,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000009,3.37
2020/21,North East,County Durham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.045
2020/21,North East,Darlington,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.0
2020/21,North East,Gateshead,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.19
2020/21,North East,Hartlepool,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.065
2020/21,North East,Middlesbrough,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.115
2020/21,North East,Newcastle upon Tyne,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.43
2020/21,North East,North Tyneside,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.24
2020/21,North East,Northumberland,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.23
2020/21,North East,Redcar and Cleveland,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.105
2020/21,North East,South Tyneside,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.175
2020/21,North East,Stockton-on-Tees,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.125
2020/21,North East,Sunderland,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000001,0.36
2020/21,North West,Blackburn with Darwen,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.15
2020/21,North West,Blackpool,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.12
2020/21,North West,Bolton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.23
2020/21,North West,Bury,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.125
2020/21,North West,Cheshire East,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.3
2020/21,North West,Cheshire West and Chester,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.155
2020/21,North West,Cumbria,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.115
2020/21,North West,Halton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.095
2020/21,North West,Knowsley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.175
2020/21,North West,Lancashire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,1.005
2020/21,North West,Liverpool,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.925
2020/21,North West,Manchester,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.875
2020/21,North West,Oldham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.22
2020/21,North West,Rochdale,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.215
2020/21,North West,Salford,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.315
2020/21,North West,Sefton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.395
2020/21,North West,St. Helens,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.19
2020/21,North West,Stockport,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.165
2020/21,North West,Tameside,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.145
2020/21,North West,Trafford,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.165
2020/21,North West,Warrington,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.115
2020/21,North West,Wigan,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.135
2020/21,North West,Wirral,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000002,0.2
2020/21,Yorkshire and The Humber,Barnsley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.1
2020/21,Yorkshire and The Humber,Bradford,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.41
2020/21,Yorkshire and The Humber,Calderdale,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.185
2020/21,Yorkshire and The Humber,Doncaster,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.255
2020/21,Yorkshire and The Humber,East Riding of Yorkshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.22
2020/21,Yorkshire and The Humber,"Kingston upon Hull, City of",,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.345
2020/21,Yorkshire and The Humber,Kirklees,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.37
2020/21,Yorkshire and The Humber,Leeds,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.495
2020/21,Yorkshire and The Humber,North East Lincolnshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.07
2020/21,Yorkshire and The Humber,North Lincolnshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.035
2020/21,Yorkshire and The Humber,North Yorkshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.22
2020/21,Yorkshire and The Humber,Rotherham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.18
2020/21,Yorkshire and The Humber,Sheffield,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.03
2020/21,Yorkshire and The Humber,Wakefield,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.095
2020/21,Yorkshire and The Humber,York,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000003,0.205
2020/21,East Midlands,Derby,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.145
2020/21,East Midlands,Derbyshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.29
2020/21,East Midlands,Leicester,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.225
2020/21,East Midlands,Leicestershire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.225
2020/21,East Midlands,Lincolnshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.305
2020/21,East Midlands,Northamptonshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.29
2020/21,East Midlands,Nottingham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.585
2020/21,East Midlands,Nottinghamshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000004,0.6
2020/21,West Midlands,Birmingham,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.465
2020/21,West Midlands,Coventry,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.255
2020/21,West Midlands,Dudley,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.205
2020/21,West Midlands,"Herefordshire, County of",,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.095
2020/21,West Midlands,Sandwell,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.215
2020/21,West Midlands,Shropshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.035
2020/21,West Midlands,Solihull,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.06
2020/21,West Midlands,Staffordshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.215
2020/21,West Midlands,Stoke-on-Trent,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.115
2020/21,West Midlands,Telford and Wrekin,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.03
2020/21,West Midlands,Walsall,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.245
2020/21,West Midlands,Warwickshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.265
2020/21,West Midlands,Wolverhampton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.225
2020/21,West Midlands,Worcestershire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000005,0.185
2020/21,East of England,Bedford,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.135
2020/21,East of England,Cambridgeshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.31
2020/21,East of England,Central Bedfordshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.105
2020/21,East of England,Essex,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.575
2020/21,East of England,Hertfordshire,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.405
2020/21,East of England,Luton,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.04
2020/21,East of England,Norfolk,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.47
2020/21,East of England,Peterborough,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.175
2020/21,East of England,Southend-on-Sea,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.07
2020/21,East of England,Suffolk,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.305
2020/21,East of England,Thurrock,,Long acting reversible contraceptives,IU device,Normal value,Thousands,Number,E12000006,0.105
