Year,Series,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2010,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.0
2011,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.3
2012,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.1
2013,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),6.6
2014,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),8.0
2015,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),9.1
2016,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),8.3
2017,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),7.5
2018,Material footprint per capita,Tonnes,Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),7.5
1990,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),7.9
1991,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),7.6
1992,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),6.1
1993,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),5.7
1994,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),5.2
1995,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),4.8
1996,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),6.3
1997,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),7.3
1998,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),9.2
1999,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),9.6
2000,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),8.1
2001,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),8.4
2002,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),7.2
2003,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),6.2
2004,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),7.7
2005,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),6.6
2006,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),6.7
2007,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),6.2
2008,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),5.6
2009,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),5.1
2010,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),4.4
2011,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),4.1
2012,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),4.0
2013,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),4.4
2014,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),4.0
2015,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),4.1
2016,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.3
2017,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),2.7
2018,Material footprint per capita,Tonnes,Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),2.7
1990,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),183.0
1991,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),185.0
1992,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),181.0
1993,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),170.0
1994,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),163.0
1995,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),152.0
1996,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),165.0
1997,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),177.0
1998,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),182.0
1999,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),179.0
2000,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),171.0
2001,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),161.0
2002,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),169.0
2003,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),162.0
2004,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),169.0
2005,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),160.0
2006,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),151.0
2007,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),144.0
2008,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),143.0
2009,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),142.0
2010,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),136.0
2011,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),140.0
2012,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),136.0
2013,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),136.0
2014,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),141.0
2015,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),138.0
2016,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),124.0
2017,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),119.0
2018,Material footprint per GDP,Tonnes per £m,Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),115.0
1990,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),33.0
1991,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),33.0
1992,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),30.0
1993,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),29.0
1994,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),29.0
1995,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),27.0
1996,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),28.0
1997,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),34.0
1998,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),40.0
1999,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),42.0
2000,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),42.0
2001,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),45.0
2002,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),41.0
2003,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),37.0
2004,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),38.0
2005,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),36.0
2006,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),35.0
2007,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),36.0
2008,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),30.0
2009,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),27.0
2010,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),27.0
2011,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),26.0
2012,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),27.0
2013,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),28.0
2014,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),27.0
2015,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),26.0
2016,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),25.0
2017,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),21.0
2018,Material footprint per GDP,Tonnes per £m,Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),23.0
1990,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),303.0
1991,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),302.0
1992,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),295.0
1993,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),287.0
1994,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),293.0
1995,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),264.0
1996,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),229.0
1997,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),294.0
1998,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),314.0
1999,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),322.0
2000,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),350.0
2001,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),367.0
2002,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),345.0
2003,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),349.0
2004,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),365.0
2005,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),342.0
2006,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),324.0
2007,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),306.0
2008,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),255.0
2009,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),217.0
2010,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),203.0
2011,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),212.0
2012,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),203.0
2013,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),218.0
2014,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),259.0
2015,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),291.0
2016,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),262.0
2017,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),235.0
2018,Material footprint per GDP,Tonnes per £m,Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),232.0
1990,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),370.0
1991,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),360.0
1992,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),290.0
1993,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),266.0
1994,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),234.0
1995,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),213.0
1996,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),272.0
1997,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),300.0
1998,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),366.0
1999,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),371.0
2000,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),302.0
2001,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),308.0
2002,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),256.0
2003,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),217.0
2004,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),265.0
2005,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),220.0
2006,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),220.0
2007,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),201.0
2008,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),184.0
2009,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),174.0
2010,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),150.0
2011,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),138.0
2012,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),135.0
2013,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),147.0
2014,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),130.0
2015,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),130.0
2016,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),104.0
2017,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),83.0
2018,Material footprint per GDP,Tonnes per £m,Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),83.0
