Year,Units,Urbanisation,Household composition,Age of oldest person,Age of youngest person,Income quintile,Living in poverty,Economic activity,Disability status,Ethnicity of household reference person (HRP),Length of residence,Sub-national area,Decent homes criteria,Value
2008,Percentage (%),,,,,,,Working household,,,,,Minimum standard,21.5568779508
2008,Percentage (%),,,,,,,,Long-term illness/disability,,,,Minimum standard,20.2589174134
2008,Percentage (%),,,,,,,,No long-term illness/disability,,,,Minimum standard,21.7140273181
2008,Percentage (%),,,,,,,,,White,,,Minimum standard,21.6028893894
2008,Percentage (%),,,,,,,,,Black,,,Minimum standard,13.9063176379
2008,Percentage (%),,,,,,,,,Asian,,,Minimum standard,20.2053756457
2008,Percentage (%),,,,,,,,,Other,,,Minimum standard,19.6932552133
2008,Percentage (%),,,,,,,,,All minority,,,Minimum standard,18.0920763075
2008,Percentage (%),,,,,,,,,,Less than 1 year,,Minimum standard,21.6889889668
2008,Percentage (%),,,,,,,,,,1-4 years,,Minimum standard,18.2067695361
2008,Percentage (%),,,,,,,,,,5-9 years,,Minimum standard,19.895472761
2008,Percentage (%),,,,,,,,,,10-19 years,,Minimum standard,19.4055077688
2008,Percentage (%),,,,,,,,,,20-29 years,,Minimum standard,24.6958400276
2008,Percentage (%),,,,,,,,,,30 or more years,,Minimum standard,28.1382667517
2008,Percentage (%),,,,,,,,,,,North,Minimum standard,22.6241817117
2008,Percentage (%),,,,,,,,,,,South East,Minimum standard,18.6688232886
2008,Percentage (%),,,,,,,,,,,Rest of England,Minimum standard,23.4486689546
2009,Percentage (%),,,,,,,,,,,,Minimum standard,20.19868815777138
2009,Percentage (%),City centre,,,,,,,,,,,Minimum standard,25.76934396556189
2009,Percentage (%),Other urban centre,,,,,,,,,,,Minimum standard,20.93275084704423
2009,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,16.39980140981614
2009,Percentage (%),Rural residential,,,,,,,,,,,Minimum standard,23.94717278516355
2009,Percentage (%),Village centre,,,,,,,,,,,Minimum standard,31.25638913542663
2009,Percentage (%),Rural,,,,,,,,,,,Minimum standard,55.66526552203249
2009,Percentage (%),All city and urban centres,,,,,,,,,,,Minimum standard,21.70903047936045
2009,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,16.39980140981614
2009,Percentage (%),All rural areas,,,,,,,,,,,Minimum standard,30.76905552667711
2009,Percentage (%),,Couple under 60,,,,,,,,,,Minimum standard,20.3955147141
2009,Percentage (%),,Couple 60 or over,,,,,,,,,,Minimum standard,20.5309183095
2009,Percentage (%),,Couple with children,,,,,,,,,,Minimum standard,18.2366190532
2009,Percentage (%),,Lone parent,,,,,,,,,,Minimum standard,15.9764866456
2009,Percentage (%),,Multi-person household,,,,,,,,,,Minimum standard,22.5129559971
2009,Percentage (%),,One person under 60,,,,,,,,,,Minimum standard,21.29952534
2009,Percentage (%),,One person 60 or over,,,,,,,,,,Minimum standard,19.852397563
2009,Percentage (%),,,59 and under,,,,,,,,,Minimum standard,19.4336559595
2009,Percentage (%),,,60 and over,,,,,,,,,Minimum standard,20.438326482
2009,Percentage (%),,,75 and over,,,,,,,,,Minimum standard,20.6373834089
2009,Percentage (%),,,,4 and under,,,,,,,,Minimum standard,19.8380358443
2009,Percentage (%),,,,15 and under,,,,,,,,Minimum standard,18.0747312456
2009,Percentage (%),,,,16 and over,,,,,,,,Minimum standard,20.4775619372
2009,Percentage (%),,,,,1st quintile (lowest),,,,,,,Minimum standard,21.5471101869
2009,Percentage (%),,,,,2nd quintile,,,,,,,Minimum standard,19.7351198851
2009,Percentage (%),,,,,3rd quintile,,,,,,,Minimum standard,20.9972843549
2009,Percentage (%),,,,,4th quintile,,,,,,,Minimum standard,17.0456026195
2009,Percentage (%),,,,,5th quintile (highest),,,,,,,Minimum standard,19.5497171063
2009,Percentage (%),,,,,,In poverty,,,,,,Minimum standard,21.6403737271
2009,Percentage (%),,,,,,Not in poverty,,,,,,Minimum standard,19.4042292083
2009,Percentage (%),,,,,,,Workless household,,,,,Minimum standard,17.8408047209
2009,Percentage (%),,,,,,,Working household,,,,,Minimum standard,20.1272727745
2009,Percentage (%),,,,,,,,Long-term illness/disability,,,,Minimum standard,19.7650037558
2009,Percentage (%),,,,,,,,No long-term illness/disability,,,,Minimum standard,19.8018435097
2009,Percentage (%),,,,,,,,,White,,,Minimum standard,20.183942744
2009,Percentage (%),,,,,,,,,Black,,,Minimum standard,11.2975048964
2009,Percentage (%),,,,,,,,,Asian,,,Minimum standard,21.0396804932
2009,Percentage (%),,,,,,,,,Other,,,Minimum standard,13.3621483494
2009,Percentage (%),,,,,,,,,All minority,,,Minimum standard,15.9979853539
2009,Percentage (%),,,,,,,,,,Less than 1 year,,Minimum standard,22.0261186616
2009,Percentage (%),,,,,,,,,,1-4 years,,Minimum standard,17.3074635161
2009,Percentage (%),,,,,,,,,,5-9 years,,Minimum standard,17.6836760935
2009,Percentage (%),,,,,,,,,,10-19 years,,Minimum standard,17.8262114807
2009,Percentage (%),,,,,,,,,,20-29 years,,Minimum standard,21.9645982662
2009,Percentage (%),,,,,,,,,,30 or more years,,Minimum standard,27.1154544763
2009,Percentage (%),,,,,,,,,,,North,Minimum standard,20.1152288421
2009,Percentage (%),,,,,,,,,,,South East,Minimum standard,16.9389475085
2009,Percentage (%),,,,,,,,,,,Rest of England,Minimum standard,22.643345684
2010,Percentage (%),,,,,,,,,,,,Minimum standard,17.048
2010,Percentage (%),City centre,,,,,,,,,,,Minimum standard,20.73
2010,Percentage (%),Other urban centre,,,,,,,,,,,Minimum standard,17.652
2010,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,14.274
2010,Percentage (%),Rural residential,,,,,,,,,,,Minimum standard,18.63
2010,Percentage (%),Village centre,,,,,,,,,,,Minimum standard,25.197
2010,Percentage (%),Rural,,,,,,,,,,,Minimum standard,49.472
2010,Percentage (%),All city and urban centres,,,,,,,,,,,Minimum standard,18.161
2010,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,14.274
2010,Percentage (%),All rural areas,,,,,,,,,,,Minimum standard,25.34
2010,Percentage (%),,Couple under 60,,,,,,,,,,Minimum standard,17.888
2010,Percentage (%),,Couple 60 or over,,,,,,,,,,Minimum standard,16.495
2010,Percentage (%),,Couple with children,,,,,,,,,,Minimum standard,14.645
2010,Percentage (%),,Lone parent,,,,,,,,,,Minimum standard,14.485
2010,Percentage (%),,Multi-person household,,,,,,,,,,Minimum standard,18.066
2010,Percentage (%),,One person under 60,,,,,,,,,,Minimum standard,18.936
2010,Percentage (%),,One person 60 or over,,,,,,,,,,Minimum standard,16.989
2010,Percentage (%),,,59 and under,,,,,,,,,Minimum standard,16.385
2010,Percentage (%),,,60 and over,,,,,,,,,Minimum standard,17.161
2010,Percentage (%),,,75 and over,,,,,,,,,Minimum standard,17.443
2010,Percentage (%),,,,4 and under,,,,,,,,Minimum standard,15.65
2010,Percentage (%),,,,15 and under,,,,,,,,Minimum standard,14.488
2010,Percentage (%),,,,16 and over,,,,,,,,Minimum standard,17.54
2010,Percentage (%),,,,,1st quintile (lowest),,,,,,,Minimum standard,18.038
2010,Percentage (%),,,,,2nd quintile,,,,,,,Minimum standard,17.315
2010,Percentage (%),,,,,3rd quintile,,,,,,,Minimum standard,17.084
2010,Percentage (%),,,,,4th quintile,,,,,,,Minimum standard,14.183
2010,Percentage (%),,,,,5th quintile (highest),,,,,,,Minimum standard,16.582
2010,Percentage (%),,,,,,In poverty,,,,,,Minimum standard,18.255
2010,Percentage (%),,,,,,Not in poverty,,,,,,Minimum standard,16.355
2010,Percentage (%),,,,,,,Workless household,,,,,Minimum standard,15.086
2010,Percentage (%),,,,,,,Working household,,,,,Minimum standard,17.213
2010,Percentage (%),,,,,,,,Long-term illness/disability,,,,Minimum standard,16.662
2010,Percentage (%),,,,,,,,No long-term illness/disability,,,,Minimum standard,16.681
2010,Percentage (%),,,,,,,,,White,,,Minimum standard,17.042
2010,Percentage (%),,,,,,,,,Black,,,Minimum standard,11.722
2010,Percentage (%),,,,,,,,,Asian,,,Minimum standard,15.609
2010,Percentage (%),,,,,,,,,Other,,,Minimum standard,11.161
2010,Percentage (%),,,,,,,,,All minority,,,Minimum standard,13.233
2010,Percentage (%),,,,,,,,,,Less than 1 year,,Minimum standard,16.95
2010,Percentage (%),,,,,,,,,,1-4 years,,Minimum standard,15.196
2010,Percentage (%),,,,,,,,,,5-9 years,,Minimum standard,13.606
2010,Percentage (%),,,,,,,,,,10-19 years,,Minimum standard,15.25
2010,Percentage (%),,,,,,,,,,20-29 years,,Minimum standard,19.166
2010,Percentage (%),,,,,,,,,,30 or more years,,Minimum standard,23.183
2010,Percentage (%),,,,,,,,,,,North,Minimum standard,16.422
2010,Percentage (%),,,,,,,,,,,South East,Minimum standard,14.0
2010,Percentage (%),,,,,,,,,,,Rest of England,Minimum standard,19.733
2011,Percentage (%),,,,,,,,,,,,Minimum standard,14.718
2011,Percentage (%),City centre,,,,,,,,,,,Minimum standard,17.862
2011,Percentage (%),Other urban centre,,,,,,,,,,,Minimum standard,17.471
2011,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,11.745
2011,Percentage (%),Rural residential,,,,,,,,,,,Minimum standard,15.905
2011,Percentage (%),Village centre,,,,,,,,,,,Minimum standard,22.764
2011,Percentage (%),Rural,,,,,,,,,,,Minimum standard,43.298
2011,Percentage (%),All city and urban centres,,,,,,,,,,,Minimum standard,17.535
2011,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,11.745
2011,Percentage (%),All rural areas,,,,,,,,,,,Minimum standard,22.172
2011,Percentage (%),,Couple under 60,,,,,,,,,,Minimum standard,14.805
2011,Percentage (%),,Couple 60 or over,,,,,,,,,,Minimum standard,14.573
2011,Percentage (%),,Couple with children,,,,,,,,,,Minimum standard,13.575
2011,Percentage (%),,Lone parent,,,,,,,,,,Minimum standard,13.554
2011,Percentage (%),,Multi-person household,,,,,,,,,,Minimum standard,16.419
2011,Percentage (%),,One person under 60,,,,,,,,,,Minimum standard,15.966
2011,Percentage (%),,One person 60 or over,,,,,,,,,,Minimum standard,13.694
2011,Percentage (%),,,59 and under,,,,,,,,,Minimum standard,14.477
2011,Percentage (%),,,60 and over,,,,,,,,,Minimum standard,14.533
2011,Percentage (%),,,75 and over,,,,,,,,,Minimum standard,15.276
2011,Percentage (%),,,,4 and under,,,,,,,,Minimum standard,14.854
2011,Percentage (%),,,,15 and under,,,,,,,,Minimum standard,13.589
2011,Percentage (%),,,,16 and over,,,,,,,,Minimum standard,14.862
2011,Percentage (%),,,,,1st quintile (lowest),,,,,,,Minimum standard,15.636
2011,Percentage (%),,,,,2nd quintile,,,,,,,Minimum standard,15.514
2011,Percentage (%),,,,,3rd quintile,,,,,,,Minimum standard,15.065
2011,Percentage (%),,,,,4th quintile,,,,,,,Minimum standard,12.061
2011,Percentage (%),,,,,5th quintile (highest),,,,,,,Minimum standard,14.17
2011,Percentage (%),,,,,,In poverty,,,,,,Minimum standard,15.288
2011,Percentage (%),,,,,,Not in poverty,,,,,,Minimum standard,14.358
2011,Percentage (%),,,,,,,Workless household,,,,,Minimum standard,12.964
2011,Percentage (%),,,,,,,Working household,,,,,Minimum standard,15.241
2011,Percentage (%),,,,,,,,Long-term illness/disability,,,,Minimum standard,14.037
2011,Percentage (%),,,,,,,,No long-term illness/disability,,,,Minimum standard,14.693
2011,Percentage (%),,,,,,,,,White,,,Minimum standard,14.555
2011,Percentage (%),,,,,,,,,Black,,,Minimum standard,13.394
2011,Percentage (%),,,,,,,,,Asian,,,Minimum standard,14.698
2011,Percentage (%),,,,,,,,,Other,,,Minimum standard,13.623
2011,Percentage (%),,,,,,,,,All minority,,,Minimum standard,14.005
2011,Percentage (%),,,,,,,,,,Less than 1 year,,Minimum standard,14.228
2011,Percentage (%),,,,,,,,,,1-4 years,,Minimum standard,13.545
2011,Percentage (%),,,,,,,,,,5-9 years,,Minimum standard,11.584
2011,Percentage (%),,,,,,,,,,10-19 years,,Minimum standard,13.451
2011,Percentage (%),,,,,,,,,,20-29 years,,Minimum standard,16.676
2011,Percentage (%),,,,,,,,,,30 or more years,,Minimum standard,19.838
2011,Percentage (%),,,,,,,,,,,North,Minimum standard,14.374
2011,Percentage (%),,,,,,,,,,,South East,Minimum standard,11.341
2011,Percentage (%),,,,,,,,,,,Rest of England,Minimum standard,17.454
2012,Percentage (%),,,,,,,,,,,,Minimum standard,13.377
2012,Percentage (%),City centre,,,,,,,,,,,Minimum standard,17.574
2012,Percentage (%),Other urban centre,,,,,,,,,,,Minimum standard,17.656
2012,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,9.943
2012,Percentage (%),Rural residential,,,,,,,,,,,Minimum standard,14.315
2012,Percentage (%),Village centre,,,,,,,,,,,Minimum standard,23.888
2012,Percentage (%),Rural,,,,,,,,,,,Minimum standard,37.569
2012,Percentage (%),All city and urban centres,,,,,,,,,,,Minimum standard,17.643
2012,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,9.943
2012,Percentage (%),All rural areas,,,,,,,,,,,Minimum standard,20.719
2012,Percentage (%),,Couple under 60,,,,,,,,,,Minimum standard,13.082
2012,Percentage (%),,Couple 60 or over,,,,,,,,,,Minimum standard,13.089
2012,Percentage (%),,Couple with children,,,,,,,,,,Minimum standard,12.929
2012,Percentage (%),,Lone parent,,,,,,,,,,Minimum standard,12.74
2012,Percentage (%),,Multi-person household,,,,,,,,,,Minimum standard,18.3
2012,Percentage (%),,One person under 60,,,,,,,,,,Minimum standard,13.436
2012,Percentage (%),,One person 60 or over,,,,,,,,,,Minimum standard,11.832
2012,Percentage (%),,,59 and under,,,,,,,,,Minimum standard,13.323
2012,Percentage (%),,,60 and over,,,,,,,,,Minimum standard,13.198
2012,Percentage (%),,,75 and over,,,,,,,,,Minimum standard,13.223
2012,Percentage (%),,,,4 and under,,,,,,,,Minimum standard,13.299
2012,Percentage (%),,,,15 and under,,,,,,,,Minimum standard,13.385
2012,Percentage (%),,,,16 and over,,,,,,,,Minimum standard,13.231
2012,Percentage (%),,,,,1st quintile (lowest),,,,,,,Minimum standard,14.915
2012,Percentage (%),,,,,2nd quintile,,,,,,,Minimum standard,14.786
2012,Percentage (%),,,,,3rd quintile,,,,,,,Minimum standard,12.783
2012,Percentage (%),,,,,4th quintile,,,,,,,Minimum standard,11.073
2012,Percentage (%),,,,,5th quintile (highest),,,,,,,Minimum standard,12.991
2012,Percentage (%),,,,,,In poverty,,,,,,Minimum standard,15.25
2012,Percentage (%),,,,,,Not in poverty,,,,,,Minimum standard,12.974
2012,Percentage (%),,,,,,,Workless household,,,,,Minimum standard,12.796
2012,Percentage (%),,,,,,,Working household,,,,,Minimum standard,13.895
2012,Percentage (%),,,,,,,,Long-term illness/disability,,,,Minimum standard,12.85
2012,Percentage (%),,,,,,,,No long-term illness/disability,,,,Minimum standard,13.451
2012,Percentage (%),,,,,,,,,White,,,Minimum standard,13.021
2012,Percentage (%),,,,,,,,,Black,,,Minimum standard,14.977
2012,Percentage (%),,,,,,,,,Asian,,,Minimum standard,16.108
2012,Percentage (%),,,,,,,,,Other,,,Minimum standard,14.647
2012,Percentage (%),,,,,,,,,All minority,,,Minimum standard,15.416
2012,Percentage (%),,,,,,,,,,Less than 1 year,,Minimum standard,13.348
2012,Percentage (%),,,,,,,,,,1-4 years,,Minimum standard,12.499
2012,Percentage (%),,,,,,,,,,5-9 years,,Minimum standard,10.845
2012,Percentage (%),,,,,,,,,,10-19 years,,Minimum standard,12.371
2012,Percentage (%),,,,,,,,,,20-29 years,,Minimum standard,14.822
2012,Percentage (%),,,,,,,,,,30 or more years,,Minimum standard,18.049
2012,Percentage (%),,,,,,,,,,,North,Minimum standard,12.866
2012,Percentage (%),,,,,,,,,,,South East,Minimum standard,10.017
2012,Percentage (%),,,,,,,,,,,Rest of England,Minimum standard,16.234
2013,Percentage (%),,,,,,,,,,,,Minimum standard,11.90081733374879
2013,Percentage (%),City centre,,,,,,,,,,,Minimum standard,17.53106556557113
2013,Percentage (%),Other urban centre,,,,,,,,,,,Minimum standard,15.92357134854185
2013,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,8.871695401484295
2013,Percentage (%),Rural residential,,,,,,,,,,,Minimum standard,10.96688213730195
2013,Percentage (%),Village centre,,,,,,,,,,,Minimum standard,22.74262174411045
2013,Percentage (%),Rural,,,,,,,,,,,Minimum standard,32.51329386682181
2013,Percentage (%),All city and urban centres,,,,,,,,,,,Minimum standard,16.15520890912081
2013,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,8.871695401484295
2013,Percentage (%),All rural areas,,,,,,,,,,,Minimum standard,17.081966264642
2013,Percentage (%),,Couple under 60,,,,,,,,,,Minimum standard,11.548947054
2013,Percentage (%),,Couple 60 or over,,,,,,,,,,Minimum standard,10.1446005077
2013,Percentage (%),,Couple with children,,,,,,,,,,Minimum standard,11.5832776691
2013,Percentage (%),,Lone parent,,,,,,,,,,Minimum standard,11.7178406791
2013,Percentage (%),,Multi-person household,,,,,,,,,,Minimum standard,15.4461829995
2013,Percentage (%),,One person under 60,,,,,,,,,,Minimum standard,11.3520648825
2013,Percentage (%),,One person 60 or over,,,,,,,,,,Minimum standard,11.4296680427
2013,Percentage (%),,,59 and under,,,,,,,,,Minimum standard,11.8236759556
2013,Percentage (%),,,60 and over,,,,,,,,,Minimum standard,11.2214306977
2013,Percentage (%),,,75 and over,,,,,,,,,Minimum standard,11.5261211263
2013,Percentage (%),,,,4 and under,,,,,,,,Minimum standard,10.8311394171
2013,Percentage (%),,,,15 and under,,,,,,,,Minimum standard,12.0263182526
2013,Percentage (%),,,,16 and over,,,,,,,,Minimum standard,11.4393185641
2013,Percentage (%),,,,,1st quintile (lowest),,,,,,,Minimum standard,13.4017109361
2013,Percentage (%),,,,,2nd quintile,,,,,,,Minimum standard,12.478845347
2013,Percentage (%),,,,,3rd quintile,,,,,,,Minimum standard,11.2497606499
2013,Percentage (%),,,,,4th quintile,,,,,,,Minimum standard,10.3123113444
2013,Percentage (%),,,,,5th quintile (highest),,,,,,,Minimum standard,10.7339940403
2013,Percentage (%),,,,,,In poverty,,,,,,Minimum standard,13.9948043043
2013,Percentage (%),,,,,,Not in poverty,,,,,,Minimum standard,11.2349448484
2013,Percentage (%),,,,,,,Workless household,,,,,Minimum standard,12.6053165081
2013,Percentage (%),,,,,,,Working household,,,,,Minimum standard,11.8236630732
2013,Percentage (%),,,,,,,,Long-term illness/disability,,,,Minimum standard,10.9989386387
2013,Percentage (%),,,,,,,,No long-term illness/disability,,,,Minimum standard,11.8430445177
2013,Percentage (%),,,,,,,,,White,,,Minimum standard,11.4265542879
2013,Percentage (%),,,,,,,,,Black,,,Minimum standard,15.2087975486
2013,Percentage (%),,,,,,,,,Asian,,,Minimum standard,12.7928562198
2013,Percentage (%),,,,,,,,,Other,,,Minimum standard,10.9453714565
2013,Percentage (%),,,,,,,,,All minority,,,Minimum standard,13.0235144815
2013,Percentage (%),,,,,,,,,,Less than 1 year,,Minimum standard,10.4028198697
2013,Percentage (%),,,,,,,,,,1-4 years,,Minimum standard,11.1854951638
2013,Percentage (%),,,,,,,,,,5-9 years,,Minimum standard,9.61885612669
2013,Percentage (%),,,,,,,,,,10-19 years,,Minimum standard,10.9619851752
2013,Percentage (%),,,,,,,,,,20-29 years,,Minimum standard,13.1411353802
2013,Percentage (%),,,,,,,,,,30 or more years,,Minimum standard,15.3994981359
2013,Percentage (%),,,,,,,,,,,North,Minimum standard,11.1919042254
2013,Percentage (%),,,,,,,,,,,South East,Minimum standard,10.0132972792
2013,Percentage (%),,,,,,,,,,,Rest of England,Minimum standard,13.829216327
2014,Percentage (%),,,,,,,,,,,,Minimum standard,11.44202903852733
2014,Percentage (%),City centre,,,,,,,,,,,Minimum standard,16.3456896370773
2014,Percentage (%),Other urban centre,,,,,,,,,,,Minimum standard,14.44155154926554
2014,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,8.614170468880186
2014,Percentage (%),Rural residential,,,,,,,,,,,Minimum standard,11.64970144482382
2014,Percentage (%),Village centre,,,,,,,,,,,Minimum standard,22.32060597092627
2014,Percentage (%),Rural,,,,,,,,,,,Minimum standard,32.4850955093972
2014,Percentage (%),All city and urban centres,,,,,,,,,,,Minimum standard,14.72678736083502
2014,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,8.614170468880186
2014,Percentage (%),All rural areas,,,,,,,,,,,Minimum standard,17.11022137625366
2014,Percentage (%),,Couple under 60,,,,,,,,,,Minimum standard,12.9214779687
2014,Percentage (%),,Couple 60 or over,,,,,,,,,,Minimum standard,9.10378706886
2014,Percentage (%),,Couple with children,,,,,,,,,,Minimum standard,11.5255269956
2014,Percentage (%),,Lone parent,,,,,,,,,,Minimum standard,10.4200419305
2014,Percentage (%),,Multi-person household,,,,,,,,,,Minimum standard,11.2815975056
2014,Percentage (%),,One person under 60,,,,,,,,,,Minimum standard,11.1619754906
2014,Percentage (%),,One person 60 or over,,,,,,,,,,Minimum standard,11.4365190797
2014,Percentage (%),,,59 and under,,,,,,,,,Minimum standard,11.4711556587
2014,Percentage (%),,,60 and over,,,,,,,,,Minimum standard,10.7903741178
2014,Percentage (%),,,75 and over,,,,,,,,,Minimum standard,10.9019600604
2014,Percentage (%),,,,4 and under,,,,,,,,Minimum standard,11.3201093268
2014,Percentage (%),,,,15 and under,,,,,,,,Minimum standard,11.2503775596
2014,Percentage (%),,,,16 and over,,,,,,,,Minimum standard,11.1926370846
2014,Percentage (%),,,,,1st quintile (lowest),,,,,,,Minimum standard,13.2507007446
2014,Percentage (%),,,,,2nd quintile,,,,,,,Minimum standard,10.7659732851
2014,Percentage (%),,,,,3rd quintile,,,,,,,Minimum standard,11.0794941701
2014,Percentage (%),,,,,4th quintile,,,,,,,Minimum standard,10.9891630467
2014,Percentage (%),,,,,5th quintile (highest),,,,,,,Minimum standard,10.1575446637
2014,Percentage (%),,,,,,In poverty,,,,,,Minimum standard,13.08126113
2014,Percentage (%),,,,,,Not in poverty,,,,,,Minimum standard,10.922419479
2014,Percentage (%),,,,,,,Workless household,,,,,Minimum standard,12.0536471291
2014,Percentage (%),,,,,,,Working household,,,,,Minimum standard,11.2803084498
2014,Percentage (%),,,,,,,,Long-term illness/disability,,,,Minimum standard,10.9431505462
2014,Percentage (%),,,,,,,,No long-term illness/disability,,,,Minimum standard,11.3468071432
2014,Percentage (%),,,,,,,,,White,,,Minimum standard,11.3165130862
2014,Percentage (%),,,,,,,,,Black,,,Minimum standard,11.6529829828
2014,Percentage (%),,,,,,,,,Asian,,,Minimum standard,9.20177796966
2014,Percentage (%),,,,,,,,,Other,,,Minimum standard,10.5104147856
2014,Percentage (%),,,,,,,,,All minority,,,Minimum standard,10.26229781
2014,Percentage (%),,,,,,,,,,Less than 1 year,,Minimum standard,10.8755386627
2014,Percentage (%),,,,,,,,,,1-4 years,,Minimum standard,11.0891727872
2014,Percentage (%),,,,,,,,,,5-9 years,,Minimum standard,9.23951092326
2014,Percentage (%),,,,,,,,,,10-19 years,,Minimum standard,11.231558902
2014,Percentage (%),,,,,,,,,,20-29 years,,Minimum standard,12.2213641494
2014,Percentage (%),,,,,,,,,,30 or more years,,Minimum standard,13.2486570718
2014,Percentage (%),,,,,,,,,,,North,Minimum standard,11.9099944311
2014,Percentage (%),,,,,,,,,,,South East,Minimum standard,8.41624456355
2014,Percentage (%),,,,,,,,,,,Rest of England,Minimum standard,13.3766665965
2015,Percentage (%),,,,,,,,,,,,Minimum standard,12.19576084578356
2015,Percentage (%),City centre,,,,,,,,,,,Minimum standard,16.36041117074502
2015,Percentage (%),Other urban centre,,,,,,,,,,,Minimum standard,13.75757829913541
2015,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,9.3221348722128
2015,Percentage (%),Rural residential,,,,,,,,,,,Minimum standard,15.1103462575817
2015,Percentage (%),Village centre,,,,,,,,,,,Minimum standard,22.32299556440164
2015,Percentage (%),Rural,,,,,,,,,,,Minimum standard,35.76409390804301
2015,Percentage (%),All city and urban centres,,,,,,,,,,,Minimum standard,14.20763352374933
2015,Percentage (%),Suburban residential,,,,,,,,,,,Minimum standard,9.3221348722128
2015,Percentage (%),All rural areas,,,,,,,,,,,Minimum standard,19.91930101550898
2015,Percentage (%),,Couple under 60,,,,,,,,,,Minimum standard,12.3654253553
2015,Percentage (%),,Couple 60 or over,,,,,,,,,,Minimum standard,11.4097030195
2015,Percentage (%),,Couple with children,,,,,,,,,,Minimum standard,12.5882344544
2015,Percentage (%),,Lone parent,,,,,,,,,,Minimum standard,11.0616445043
2015,Percentage (%),,Multi-person household,,,,,,,,,,Minimum standard,13.6408414518
2015,Percentage (%),,One person under 60,,,,,,,,,,Minimum standard,11.0458526841
2015,Percentage (%),,One person 60 or over,,,,,,,,,,Minimum standard,10.6805485868
2015,Percentage (%),,,59 and under,,,,,,,,,Minimum standard,11.975810223
2015,Percentage (%),,,60 and over,,,,,,,,,Minimum standard,11.6618903301
2015,Percentage (%),,,75 and over,,,,,,,,,Minimum standard,11.4136324438
2015,Percentage (%),,,,4 and under,,,,,,,,Minimum standard,12.8450793818
2015,Percentage (%),,,,15 and under,,,,,,,,Minimum standard,11.9335117825
2015,Percentage (%),,,,16 and over,,,,,,,,Minimum standard,11.8235590942
2015,Percentage (%),,,,,1st quintile (lowest),,,,,,,Minimum standard,15.1511833403
2015,Percentage (%),,,,,2nd quintile,,,,,,,Minimum standard,10.7693461468
2015,Percentage (%),,,,,3rd quintile,,,,,,,Minimum standard,11.9861885539
2015,Percentage (%),,,,,4th quintile,,,,,,,Minimum standard,11.5647486676
2015,Percentage (%),,,,,5th quintile (highest),,,,,,,Minimum standard,10.136153954
2015,Percentage (%),,,,,,In poverty,,,,,,Minimum standard,15.6672939036
2015,Percentage (%),,,,,,Not in poverty,,,,,,Minimum standard,11.2301846443
2015,Percentage (%),,,,,,,Workless household,,,,,Minimum standard,13.041910637
2015,Percentage (%),,,,,,,Working household,,,,,Minimum standard,11.8216610948
2015,Percentage (%),,,,,,,,Long-term illness/disability,,,,Minimum standard,11.7630609275
2015,Percentage (%),,,,,,,,No long-term illness/disability,,,,Minimum standard,11.87826405
2015,Percentage (%),,,,,,,,,White,,,Minimum standard,12.1079160049
2015,Percentage (%),,,,,,,,,Black,,,Minimum standard,8.18090960881
2015,Percentage (%),,,,,,,,,Asian,,,Minimum standard,10.9979475242
2015,Percentage (%),,,,,,,,,Other,,,Minimum standard,9.42339775575
2015,Percentage (%),,,,,,,,,All minority,,,Minimum standard,9.77334410816
2015,Percentage (%),,,,,,,,,,Less than 1 year,,Minimum standard,13.5364176611
2015,Percentage (%),,,,,,,,,,1-4 years,,Minimum standard,11.1988713974
2015,Percentage (%),,,,,,,,,,5-9 years,,Minimum standard,9.70795034559
2015,Percentage (%),,,,,,,,,,10-19 years,,Minimum standard,10.588681748
2015,Percentage (%),,,,,,,,,,20-29 years,,Minimum standard,12.2869530216
2015,Percentage (%),,,,,,,,,,30 or more years,,Minimum standard,15.8835453482
2015,Percentage (%),,,,,,,,,,,North,Minimum standard,14.5232134815
2015,Percentage (%),,,,,,,,,,,South East,Minimum standard,7.24960456551
2015,Percentage (%),,,,,,,,,,,Rest of England,Minimum standard,14.2830271773
2008,Percentage (%),,,,,,,,,,,,Repair,6.371651786617567
2008,Percentage (%),City centre,,,,,,,,,,,Repair,11.88138629659388
2008,Percentage (%),Other urban centre,,,,,,,,,,,Repair,8.509467924324746
2008,Percentage (%),Suburban residential,,,,,,,,,,,Repair,5.315992209032293
2008,Percentage (%),Rural residential,,,,,,,,,,,Repair,4.577005265162861
2008,Percentage (%),Village centre,,,,,,,,,,,Repair,9.148174746383594
2008,Percentage (%),Rural,,,,,,,,,,,Repair,11.28995613345218
