Year,Series,Region,Local authority,Sex,Unit measure,Observation status,GeoCode,Value
2012 to 2013,All state-funded schools,South West,Wiltshire,,Percentage (%),Normal value,E12000009,97.6072
2012 to 2013,All state-funded schools,South West,,,Percentage (%),Normal value,E12000009,97.7832
2012 to 2013,All state-funded schools,West Midlands,Birmingham,,Percentage (%),Normal value,E12000005,97.3736
2012 to 2013,All state-funded schools,West Midlands,Coventry,,Percentage (%),Normal value,E12000005,95.2056
2012 to 2013,All state-funded schools,West Midlands,Dudley,,Percentage (%),Normal value,E12000005,99.0569
2012 to 2013,All state-funded schools,West Midlands,"Herefordshire, County of",,Percentage (%),Normal value,E12000005,96.7774
2012 to 2013,All state-funded schools,West Midlands,Sandwell,,Percentage (%),Normal value,E12000005,96.2928
2012 to 2013,All state-funded schools,West Midlands,Shropshire,,Percentage (%),Normal value,E12000005,98.6123
2012 to 2013,All state-funded schools,West Midlands,Solihull,,Percentage (%),Normal value,E12000005,95.2081
2012 to 2013,All state-funded schools,West Midlands,Staffordshire,,Percentage (%),Normal value,E12000005,96.3222
2012 to 2013,All state-funded schools,West Midlands,Stoke-on-Trent,,Percentage (%),Normal value,E12000005,95.9495
2012 to 2013,All state-funded schools,West Midlands,Telford and Wrekin,,Percentage (%),Normal value,E12000005,98.1974
2012 to 2013,All state-funded schools,West Midlands,Walsall,,Percentage (%),Normal value,E12000005,96.571
2012 to 2013,All state-funded schools,West Midlands,Warwickshire,,Percentage (%),Normal value,E12000005,96.6666
2012 to 2013,All state-funded schools,West Midlands,Wolverhampton,,Percentage (%),Normal value,E12000005,95.6837
2012 to 2013,All state-funded schools,West Midlands,Worcestershire,,Percentage (%),Normal value,E12000005,97.7658
2012 to 2013,All state-funded schools,West Midlands,,,Percentage (%),Normal value,E12000005,96.885
2012 to 2013,All state-funded schools,Yorkshire and The Humber,Barnsley,,Percentage (%),Normal value,E12000003,97.0525
2012 to 2013,All state-funded schools,Yorkshire and The Humber,Bradford,,Percentage (%),Normal value,E12000003,97.2623
2012 to 2013,All state-funded schools,Yorkshire and The Humber,Calderdale,,Percentage (%),Normal value,E12000003,96.9088
2012 to 2013,All state-funded schools,Yorkshire and The Humber,Doncaster,,Percentage (%),Normal value,E12000003,97.6712
2012 to 2013,All state-funded schools,Yorkshire and The Humber,East Riding of Yorkshire,,Percentage (%),Normal value,E12000003,96.5829
2012 to 2013,All state-funded schools,Yorkshire and The Humber,"Kingston Upon Hull, City of",,Percentage (%),Normal value,E12000003,95.8064
2012 to 2013,All state-funded schools,Yorkshire and The Humber,Kirklees,,Percentage (%),Normal value,E12000003,98.1554
2012 to 2013,All state-funded schools,Yorkshire and The Humber,Leeds,,Percentage (%),Normal value,E12000003,97.0606
2012 to 2013,All state-funded schools,Yorkshire and The Humber,North East Lincolnshire,,Percentage (%),Normal value,E12000003,94.3995
2012 to 2013,All state-funded schools,Yorkshire and The Humber,North Lincolnshire,,Percentage (%),Normal value,E12000003,96.2804
2012 to 2013,All state-funded schools,Yorkshire and The Humber,North Yorkshire,,Percentage (%),Normal value,E12000003,97.5595
2012 to 2013,All state-funded schools,Yorkshire and The Humber,Rotherham,,Percentage (%),Normal value,E12000003,96.9535
2012 to 2013,All state-funded schools,Yorkshire and The Humber,Sheffield,,Percentage (%),Normal value,E12000003,97.6931
2012 to 2013,All state-funded schools,Yorkshire and The Humber,Wakefield,,Percentage (%),Normal value,E12000003,97.9125
2012 to 2013,All state-funded schools,Yorkshire and The Humber,York,,Percentage (%),Normal value,E12000003,97.5316
2012 to 2013,All state-funded schools,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,97.1987
2012 to 2013,All state-funded schools,,,Female,Percentage (%),Normal value,,97.018
2012 to 2013,All state-funded schools,,,Gender unclassified,Percentage (%),Normal value,,91.9937
2012 to 2013,All state-funded schools,,,Male,Percentage (%),Normal value,,95.8718
2012 to 2013,All state-funded schools,,,,Percentage (%),Normal value,,96.7255
2012 to 2013,Nursery,East Midlands,,,Percentage (%),Normal value,E12000004,97.1962
2012 to 2013,Nursery,East of England,,,Percentage (%),Normal value,E12000006,98.2558
2012 to 2013,Nursery,Inner London,,,Percentage (%),Normal value,E13000001,92.6229
2012 to 2013,Nursery,North East,,,Percentage (%),Normal value,E12000001,99.0291
2012 to 2013,Nursery,North West,,,Percentage (%),Normal value,E12000002,100.0
2012 to 2013,Nursery,Outer London,,,Percentage (%),Normal value,E13000002,97.183
2012 to 2013,Nursery,South East,,,Percentage (%),Normal value,E12000008,97.8835
2012 to 2013,Nursery,South West,,,Percentage (%),Normal value,E12000009,98.0392
2012 to 2013,Nursery,West Midlands,,,Percentage (%),Normal value,E12000005,98.895
2012 to 2013,Nursery,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,97.6562
2012 to 2013,Nursery,,,Female,Percentage (%),Normal value,,97.4342
2012 to 2013,Nursery,,,Gender unclassified,Percentage (%),Normal value,,100.0
2012 to 2013,Nursery,,,Male,Percentage (%),Normal value,,98.305
2012 to 2013,Nursery,,,,Percentage (%),Normal value,,97.4779
2012 to 2013,Primary,,,Female,Percentage (%),Normal value,,98.2321339923026
2012 to 2013,Primary,,,Gender unclassified,Percentage (%),Normal value,,98.9631336055909
2012 to 2013,Primary,,,Male,Percentage (%),Normal value,,96.9062390985337
2012 to 2013,Primary,,,,Percentage (%),Normal value,,98.0572902255668
2012 to 2013,Primary,East Midlands,,,Percentage (%),Normal value,E12000004,98.0227105014164
2012 to 2013,Primary,East of England,,,Percentage (%),Normal value,E12000006,97.445501766074
2012 to 2013,Primary,Inner London,,,Percentage (%),Normal value,E13000001,95.6833671857753
2012 to 2013,Primary,North East,,,Percentage (%),Normal value,E12000001,99.0200389182474
2012 to 2013,Primary,North West,,,Percentage (%),Normal value,E12000002,99.2138486420542
2012 to 2013,Primary,Outer London,,,Percentage (%),Normal value,E13000002,96.3348289341381
2012 to 2013,Primary,South East,,,Percentage (%),Normal value,E12000008,97.8795918898971
2012 to 2013,Primary,South West,,,Percentage (%),Normal value,E12000009,98.9364596687347
2012 to 2013,Primary,West Midlands,,,Percentage (%),Normal value,E12000005,98.6656316449046
2012 to 2013,Primary,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,98.637901908239
2012 to 2013,Secondary,East Midlands,,,Percentage (%),Normal value,E12000004,95.5855
2012 to 2013,Secondary,East of England,,,Percentage (%),Normal value,E12000006,94.6706
2012 to 2013,Secondary,Inner London,,,Percentage (%),Normal value,E13000001,93.87
2012 to 2013,Secondary,North East,,,Percentage (%),Normal value,E12000001,97.4961
2012 to 2013,Secondary,North West,,,Percentage (%),Normal value,E12000002,97.7537
2012 to 2013,Secondary,Outer London,,,Percentage (%),Normal value,E13000002,95.1388
2012 to 2013,Secondary,South East,,,Percentage (%),Normal value,E12000008,95.7559
2012 to 2013,Secondary,South West,,,Percentage (%),Normal value,E12000009,97.2319
2012 to 2013,Secondary,West Midlands,,,Percentage (%),Normal value,E12000005,96.1929
2012 to 2013,Secondary,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,96.5099
2012 to 2013,Secondary,,,Female,Percentage (%),Normal value,,95.9531
2012 to 2013,Secondary,,,Gender unclassified,Percentage (%),Normal value,,85.0118
2012 to 2013,Secondary,,,Male,Percentage (%),Normal value,,96.3051
2012 to 2013,Secondary,,,,Percentage (%),Normal value,,96.0714
2013 to 2014,All state-funded schools,East Midlands,Derby,,Percentage (%),Normal value,E12000004,96.1515
2013 to 2014,All state-funded schools,East Midlands,Derbyshire,,Percentage (%),Normal value,E12000004,98.8484
2013 to 2014,All state-funded schools,East Midlands,Leicester,,Percentage (%),Normal value,E12000004,96.6409
2013 to 2014,All state-funded schools,East Midlands,Leicestershire,,Percentage (%),Normal value,E12000004,97.2051
2013 to 2014,All state-funded schools,East Midlands,Lincolnshire,,Percentage (%),Normal value,E12000004,95.8919
2013 to 2014,All state-funded schools,East Midlands,Northamptonshire,,Percentage (%),Normal value,E12000004,95.9604
2013 to 2014,All state-funded schools,East Midlands,Nottingham,,Percentage (%),Normal value,E12000004,96.799
2013 to 2014,All state-funded schools,East Midlands,Nottinghamshire,,Percentage (%),Normal value,E12000004,97.7735
2013 to 2014,All state-funded schools,East Midlands,Rutland,,Percentage (%),Normal value,E12000004,94.8126
2013 to 2014,All state-funded schools,East Midlands,,,Percentage (%),Normal value,E12000004,97.0046
2013 to 2014,All state-funded schools,East of England,Bedford,,Percentage (%),Normal value,E12000006,94.7361
2013 to 2014,All state-funded schools,East of England,Cambridgeshire,,Percentage (%),Normal value,E12000006,95.5627
2013 to 2014,All state-funded schools,East of England,Central Bedfordshire,,Percentage (%),Normal value,E12000006,95.5145
2013 to 2014,All state-funded schools,East of England,Essex,,Percentage (%),Normal value,E12000006,96.355
2013 to 2014,All state-funded schools,East of England,Hertfordshire,,Percentage (%),Normal value,E12000006,95.833
2013 to 2014,All state-funded schools,East of England,Luton,,Percentage (%),Normal value,E12000006,93.802
2013 to 2014,All state-funded schools,East of England,Norfolk,,Percentage (%),Normal value,E12000006,95.9725
2013 to 2014,All state-funded schools,East of England,Peterborough,,Percentage (%),Normal value,E12000006,95.8942
2013 to 2014,All state-funded schools,East of England,Southend-on-Sea,,Percentage (%),Normal value,E12000006,91.9166
2013 to 2014,All state-funded schools,East of England,Suffolk,,Percentage (%),Normal value,E12000006,95.9693
2013 to 2014,All state-funded schools,East of England,Thurrock,,Percentage (%),Normal value,E12000006,92.4515
2013 to 2014,All state-funded schools,East of England,,,Percentage (%),Normal value,E12000006,95.6144
2013 to 2014,All state-funded schools,Inner London,Camden,,Percentage (%),Normal value,E13000001,97.154
2013 to 2014,All state-funded schools,Inner London,City of London,,Percentage (%),Normal value,E13000001,73.6842
2013 to 2014,All state-funded schools,Inner London,Hackney,,Percentage (%),Normal value,E13000001,91.796
2013 to 2014,All state-funded schools,Inner London,Hammersmith and Fulham,,Percentage (%),Normal value,E13000001,91.7616
2013 to 2014,All state-funded schools,Inner London,Haringey,,Percentage (%),Normal value,E13000001,95.4518
2013 to 2014,All state-funded schools,Inner London,Islington,,Percentage (%),Normal value,E13000001,96.0378
2013 to 2014,All state-funded schools,Inner London,Kensington and Chelsea,,Percentage (%),Normal value,E13000001,90.5973
2013 to 2014,All state-funded schools,Inner London,Lambeth,,Percentage (%),Normal value,E13000001,94.463
2013 to 2014,All state-funded schools,Inner London,Lewisham,,Percentage (%),Normal value,E13000001,95.5989
2013 to 2014,All state-funded schools,Inner London,Newham,,Percentage (%),Normal value,E13000001,95.042
2013 to 2014,All state-funded schools,Inner London,Southwark,,Percentage (%),Normal value,E13000001,93.8122
2013 to 2014,All state-funded schools,Inner London,Tower Hamlets,,Percentage (%),Normal value,E13000001,94.534
2013 to 2014,All state-funded schools,Inner London,Wandsworth,,Percentage (%),Normal value,E13000001,93.5004
2013 to 2014,All state-funded schools,Inner London,Westminster,,Percentage (%),Normal value,E13000001,91.4268
2013 to 2014,All state-funded schools,Inner London,,,Percentage (%),Normal value,E13000001,94.152
2013 to 2014,All state-funded schools,North East,County Durham,,Percentage (%),Normal value,E12000001,97.8792
2013 to 2014,All state-funded schools,North East,Darlington,,Percentage (%),Normal value,E12000001,97.1984
2013 to 2014,All state-funded schools,North East,Gateshead,,Percentage (%),Normal value,E12000001,98.9361
2013 to 2014,All state-funded schools,North East,Hartlepool,,Percentage (%),Normal value,E12000001,96.8186
2013 to 2014,All state-funded schools,North East,Middlesbrough,,Percentage (%),Normal value,E12000001,97.601
2013 to 2014,All state-funded schools,North East,Newcastle Upon Tyne,,Percentage (%),Normal value,E12000001,99.356
2013 to 2014,All state-funded schools,North East,North Tyneside,,Percentage (%),Normal value,E12000001,99.242
2013 to 2014,All state-funded schools,North East,Northumberland,,Percentage (%),Normal value,E12000001,99.3393
2013 to 2014,All state-funded schools,North East,Redcar and Cleveland,,Percentage (%),Normal value,E12000001,98.9614
2013 to 2014,All state-funded schools,North East,South Tyneside,,Percentage (%),Normal value,E12000001,98.3358
2013 to 2014,All state-funded schools,North East,Stockton-on-Tees,,Percentage (%),Normal value,E12000001,97.1951
2013 to 2014,All state-funded schools,North East,Sunderland,,Percentage (%),Normal value,E12000001,98.2248
2013 to 2014,All state-funded schools,North East,,,Percentage (%),Normal value,E12000001,98.3784
2013 to 2014,All state-funded schools,North West,Blackburn with Darwen,,Percentage (%),Normal value,E12000002,98.9055
2013 to 2014,All state-funded schools,North West,Blackpool,,Percentage (%),Normal value,E12000002,99.2138
2013 to 2014,All state-funded schools,North West,Bolton,,Percentage (%),Normal value,E12000002,98.1443
2013 to 2014,All state-funded schools,North West,Bury,,Percentage (%),Normal value,E12000002,99.289
2013 to 2014,All state-funded schools,North West,Cheshire East,,Percentage (%),Normal value,E12000002,99.1008
2013 to 2014,All state-funded schools,North West,Cheshire West and Chester,,Percentage (%),Normal value,E12000002,98.7574
2013 to 2014,All state-funded schools,North West,Cumbria,,Percentage (%),Normal value,E12000002,97.9025
2013 to 2014,All state-funded schools,North West,Halton,,Percentage (%),Normal value,E12000002,98.2968
2013 to 2014,All state-funded schools,North West,Knowsley,,Percentage (%),Normal value,E12000002,98.8764
2013 to 2014,All state-funded schools,North West,Lancashire,,Percentage (%),Normal value,E12000002,97.9551
2013 to 2014,All state-funded schools,North West,Liverpool,,Percentage (%),Normal value,E12000002,97.9341
2013 to 2014,All state-funded schools,North West,Manchester,,Percentage (%),Normal value,E12000002,97.7449
2013 to 2014,All state-funded schools,North West,Oldham,,Percentage (%),Normal value,E12000002,97.7898
2013 to 2014,All state-funded schools,North West,Rochdale,,Percentage (%),Normal value,E12000002,97.4038
2013 to 2014,All state-funded schools,North West,Salford,,Percentage (%),Normal value,E12000002,98.8432
2013 to 2014,All state-funded schools,North West,Sefton,,Percentage (%),Normal value,E12000002,98.6925
2013 to 2014,All state-funded schools,North West,St. Helens,,Percentage (%),Normal value,E12000002,99.3055
2013 to 2014,All state-funded schools,North West,Stockport,,Percentage (%),Normal value,E12000002,98.8362
2013 to 2014,All state-funded schools,North West,Tameside,,Percentage (%),Normal value,E12000002,97.4113
2013 to 2014,All state-funded schools,North West,Trafford,,Percentage (%),Normal value,E12000002,97.6912
2013 to 2014,All state-funded schools,North West,Warrington,,Percentage (%),Normal value,E12000002,98.1471
2013 to 2014,All state-funded schools,North West,Wigan,,Percentage (%),Normal value,E12000002,98.6202
2013 to 2014,All state-funded schools,North West,Wirral,,Percentage (%),Normal value,E12000002,98.8277
2013 to 2014,All state-funded schools,North West,,,Percentage (%),Normal value,E12000002,98.2895
2013 to 2014,All state-funded schools,Outer London,Barking and Dagenham,,Percentage (%),Normal value,E13000002,94.3286
2013 to 2014,All state-funded schools,Outer London,Barnet,,Percentage (%),Normal value,E13000002,95.0704
2013 to 2014,All state-funded schools,Outer London,Bexley,,Percentage (%),Normal value,E13000002,98.16
2013 to 2014,All state-funded schools,Outer London,Brent,,Percentage (%),Normal value,E13000002,95.4087
2013 to 2014,All state-funded schools,Outer London,Bromley,,Percentage (%),Normal value,E13000002,96.0863
2013 to 2014,All state-funded schools,Outer London,Croydon,,Percentage (%),Normal value,E13000002,93.4289
2013 to 2014,All state-funded schools,Outer London,Ealing,,Percentage (%),Normal value,E13000002,97.0309
2013 to 2014,All state-funded schools,Outer London,Enfield,,Percentage (%),Normal value,E13000002,94.165
2013 to 2014,All state-funded schools,Outer London,Greenwich,,Percentage (%),Normal value,E13000002,93.5993
2013 to 2014,All state-funded schools,Outer London,Harrow,,Percentage (%),Normal value,E13000002,94.0453
2013 to 2014,All state-funded schools,Outer London,Havering,,Percentage (%),Normal value,E13000002,94.2395
2013 to 2014,All state-funded schools,Outer London,Hillingdon,,Percentage (%),Normal value,E13000002,95.5585
2013 to 2014,All state-funded schools,Outer London,Hounslow,,Percentage (%),Normal value,E13000002,95.3479
2013 to 2014,All state-funded schools,Outer London,Kingston Upon Thames,,Percentage (%),Normal value,E13000002,95.2569
2013 to 2014,All state-funded schools,Outer London,Merton,,Percentage (%),Normal value,E13000002,95.1421
2013 to 2014,All state-funded schools,Outer London,Redbridge,,Percentage (%),Normal value,E13000002,93.4717
2013 to 2014,All state-funded schools,Outer London,Richmond Upon Thames,,Percentage (%),Normal value,E13000002,96.9965
2013 to 2014,All state-funded schools,Outer London,Sutton,,Percentage (%),Normal value,E13000002,96.8268
2013 to 2014,All state-funded schools,Outer London,Waltham Forest,,Percentage (%),Normal value,E13000002,94.9329
2013 to 2014,All state-funded schools,Outer London,,,Percentage (%),Normal value,E13000002,95.1182
2013 to 2014,All state-funded schools,South East,Bracknell Forest,,Percentage (%),Normal value,E12000008,95.5332
2013 to 2014,All state-funded schools,South East,Brighton and Hove,,Percentage (%),Normal value,E12000008,97.8434
2013 to 2014,All state-funded schools,South East,Buckinghamshire,,Percentage (%),Normal value,E12000008,96.1364
2013 to 2014,All state-funded schools,South East,East Sussex,,Percentage (%),Normal value,E12000008,96.6562
2013 to 2014,All state-funded schools,South East,Hampshire,,Percentage (%),Normal value,E12000008,98.1871
2013 to 2014,All state-funded schools,South East,Isle of Wight,,Percentage (%),Normal value,E12000008,95.7968
2013 to 2014,All state-funded schools,South East,Kent,,Percentage (%),Normal value,E12000008,95.037
2013 to 2014,All state-funded schools,South East,Medway,,Percentage (%),Normal value,E12000008,94.1151
2013 to 2014,All state-funded schools,South East,Milton Keynes,,Percentage (%),Normal value,E12000008,96.273
2013 to 2014,All state-funded schools,South East,Oxfordshire,,Percentage (%),Normal value,E12000008,97.1136
2013 to 2014,All state-funded schools,South East,Portsmouth,,Percentage (%),Normal value,E12000008,96.7984
2013 to 2014,All state-funded schools,South East,Reading,,Percentage (%),Normal value,E12000008,95.7435
2013 to 2014,All state-funded schools,South East,Slough,,Percentage (%),Normal value,E12000008,91.7193
2013 to 2014,All state-funded schools,South East,Southampton,,Percentage (%),Normal value,E12000008,97.8239
2013 to 2014,All state-funded schools,South East,Surrey,,Percentage (%),Normal value,E12000008,97.7127
2013 to 2014,All state-funded schools,South East,West Berkshire,,Percentage (%),Normal value,E12000008,96.9009
2013 to 2014,All state-funded schools,South East,West Sussex,,Percentage (%),Normal value,E12000008,98.1565
2013 to 2014,All state-funded schools,South East,Windsor and Maidenhead,,Percentage (%),Normal value,E12000008,96.5667
2013 to 2014,All state-funded schools,South East,Wokingham,,Percentage (%),Normal value,E12000008,97.5985
2013 to 2014,All state-funded schools,South East,,,Percentage (%),Normal value,E12000008,96.6741
2013 to 2014,All state-funded schools,South West,Bath and North East Somerset,,Percentage (%),Normal value,E12000009,97.3348
2013 to 2014,All state-funded schools,South West,Bournemouth,,Percentage (%),Normal value,E12000009,95.4829
2013 to 2014,All state-funded schools,South West,"Bristol, City of",,Percentage (%),Normal value,E12000009,98.0099
2013 to 2014,All state-funded schools,South West,Cornwall,,Percentage (%),Normal value,E12000009,96.5641
2013 to 2014,All state-funded schools,South West,Devon,,Percentage (%),Normal value,E12000009,98.6313
2013 to 2014,All state-funded schools,South West,Dorset,,Percentage (%),Normal value,E12000009,97.8851
2013 to 2014,All state-funded schools,South West,Gloucestershire,,Percentage (%),Normal value,E12000009,98.2533
2013 to 2014,All state-funded schools,South West,Isles of Scilly,,Percentage (%),Normal value,E12000009,96.6666
2013 to 2014,All state-funded schools,South West,North Somerset,,Percentage (%),Normal value,E12000009,99.3103
2013 to 2014,All state-funded schools,South West,Plymouth,,Percentage (%),Normal value,E12000009,97.12
2013 to 2014,All state-funded schools,South West,Poole,,Percentage (%),Normal value,E12000009,97.066
2013 to 2014,All state-funded schools,South West,Somerset,,Percentage (%),Normal value,E12000009,97.5853
2013 to 2014,All state-funded schools,South West,South Gloucestershire,,Percentage (%),Normal value,E12000009,99.2946
2013 to 2014,All state-funded schools,South West,Swindon,,Percentage (%),Normal value,E12000009,97.4266
2013 to 2014,All state-funded schools,South West,Torbay,,Percentage (%),Normal value,E12000009,97.2067
2013 to 2014,All state-funded schools,South West,Wiltshire,,Percentage (%),Normal value,E12000009,97.666
2013 to 2014,All state-funded schools,South West,,,Percentage (%),Normal value,E12000009,97.7995
2013 to 2014,All state-funded schools,West Midlands,Birmingham,,Percentage (%),Normal value,E12000005,97.3121
2013 to 2014,All state-funded schools,West Midlands,Coventry,,Percentage (%),Normal value,E12000005,95.8361
2013 to 2014,All state-funded schools,West Midlands,Dudley,,Percentage (%),Normal value,E12000005,99.1859
2013 to 2014,All state-funded schools,West Midlands,"Herefordshire, County of",,Percentage (%),Normal value,E12000005,97.7564
2013 to 2014,All state-funded schools,West Midlands,Sandwell,,Percentage (%),Normal value,E12000005,96.5102
2013 to 2014,All state-funded schools,West Midlands,Shropshire,,Percentage (%),Normal value,E12000005,98.5287
2013 to 2014,All state-funded schools,West Midlands,Solihull,,Percentage (%),Normal value,E12000005,95.4278
2013 to 2014,All state-funded schools,West Midlands,Staffordshire,,Percentage (%),Normal value,E12000005,97.6969
2013 to 2014,All state-funded schools,West Midlands,Stoke-on-Trent,,Percentage (%),Normal value,E12000005,96.7142
2013 to 2014,All state-funded schools,West Midlands,Telford and Wrekin,,Percentage (%),Normal value,E12000005,98.3965
2013 to 2014,All state-funded schools,West Midlands,Walsall,,Percentage (%),Normal value,E12000005,97.1952
2013 to 2014,All state-funded schools,West Midlands,Warwickshire,,Percentage (%),Normal value,E12000005,96.8987
2013 to 2014,All state-funded schools,West Midlands,Wolverhampton,,Percentage (%),Normal value,E12000005,94.7109
2013 to 2014,All state-funded schools,West Midlands,Worcestershire,,Percentage (%),Normal value,E12000005,98.1821
2013 to 2014,All state-funded schools,West Midlands,,,Percentage (%),Normal value,E12000005,97.2312
2013 to 2014,All state-funded schools,Yorkshire and The Humber,Barnsley,,Percentage (%),Normal value,E12000003,97.3247
2013 to 2014,All state-funded schools,Yorkshire and The Humber,Bradford,,Percentage (%),Normal value,E12000003,97.23
2013 to 2014,All state-funded schools,Yorkshire and The Humber,Calderdale,,Percentage (%),Normal value,E12000003,96.1577
2013 to 2014,All state-funded schools,Yorkshire and The Humber,Doncaster,,Percentage (%),Normal value,E12000003,97.8314
2013 to 2014,All state-funded schools,Yorkshire and The Humber,East Riding of Yorkshire,,Percentage (%),Normal value,E12000003,97.6579
2013 to 2014,All state-funded schools,Yorkshire and The Humber,"Kingston Upon Hull, City of",,Percentage (%),Normal value,E12000003,96.5645
2013 to 2014,All state-funded schools,Yorkshire and The Humber,Kirklees,,Percentage (%),Normal value,E12000003,98.5988
2013 to 2014,All state-funded schools,Yorkshire and The Humber,Leeds,,Percentage (%),Normal value,E12000003,97.7347
2013 to 2014,All state-funded schools,Yorkshire and The Humber,North East Lincolnshire,,Percentage (%),Normal value,E12000003,96.6331
2013 to 2014,All state-funded schools,Yorkshire and The Humber,North Lincolnshire,,Percentage (%),Normal value,E12000003,97.443
2013 to 2014,All state-funded schools,Yorkshire and The Humber,North Yorkshire,,Percentage (%),Normal value,E12000003,97.6394
2013 to 2014,All state-funded schools,Yorkshire and The Humber,Rotherham,,Percentage (%),Normal value,E12000003,97.6303
2013 to 2014,All state-funded schools,Yorkshire and The Humber,Sheffield,,Percentage (%),Normal value,E12000003,98.7085
2013 to 2014,All state-funded schools,Yorkshire and The Humber,Wakefield,,Percentage (%),Normal value,E12000003,97.7044
2013 to 2014,All state-funded schools,Yorkshire and The Humber,York,,Percentage (%),Normal value,E12000003,99.5821
2013 to 2014,All state-funded schools,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,97.7037
2013 to 2014,All state-funded schools,,,Female,Percentage (%),Normal value,,97.1663
2013 to 2014,All state-funded schools,,,Gender unclassified,Percentage (%),Normal value,,88.4256
2013 to 2014,All state-funded schools,,,Male,Percentage (%),Normal value,,95.9026
2013 to 2014,All state-funded schools,,,,Percentage (%),Normal value,,96.8466
2013 to 2014,Nursery,East Midlands,,,Percentage (%),Normal value,E12000004,97.0873
2013 to 2014,Nursery,East of England,,,Percentage (%),Normal value,E12000006,96.9512
2013 to 2014,Nursery,Inner London,,,Percentage (%),Normal value,E13000001,95.8158
2013 to 2014,Nursery,North East,,,Percentage (%),Normal value,E12000001,100.0
2013 to 2014,Nursery,North West,,,Percentage (%),Normal value,E12000002,100.0
2013 to 2014,Nursery,Outer London,,,Percentage (%),Normal value,E13000002,97.2868
2013 to 2014,Nursery,South East,,,Percentage (%),Normal value,E12000008,98.2658
2013 to 2014,Nursery,South West,,,Percentage (%),Normal value,E12000009,97.0873
2013 to 2014,Nursery,West Midlands,,,Percentage (%),Normal value,E12000005,98.4375
2013 to 2014,Nursery,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,96.4912
2013 to 2014,Nursery,,,Female,Percentage (%),Normal value,,97.6673
2013 to 2014,Nursery,,,Gender unclassified,Percentage (%),Normal value,,100.0
2013 to 2014,Nursery,,,Male,Percentage (%),Normal value,,100.0
2013 to 2014,Nursery,,,,Percentage (%),Normal value,,97.7626
2013 to 2014,Primary,,,Female,Percentage (%),Normal value,,98.4646665757552
2013 to 2014,Primary,,,Gender unclassified,Percentage (%),Normal value,,95.8735988094501
2013 to 2014,Primary,,,Male,Percentage (%),Normal value,,97.2721412860966
2013 to 2014,Primary,,,,Percentage (%),Normal value,,98.3029480499692
2013 to 2014,Primary,East Midlands,,,Percentage (%),Normal value,E12000004,98.7015112805155
2013 to 2014,Primary,East of England,,,Percentage (%),Normal value,E12000006,97.6033978709406
2013 to 2014,Primary,Inner London,,,Percentage (%),Normal value,E13000001,95.3447182178755
2013 to 2014,Primary,North East,,,Percentage (%),Normal value,E12000001,99.3463502563147
2013 to 2014,Primary,North West,,,Percentage (%),Normal value,E12000002,99.2413936298825
2013 to 2014,Primary,Outer London,,,Percentage (%),Normal value,E13000002,96.5823930571974
2013 to 2014,Primary,South East,,,Percentage (%),Normal value,E12000008,98.2919716396987
2013 to 2014,Primary,South West,,,Percentage (%),Normal value,E12000009,99.1207292613414
2013 to 2014,Primary,West Midlands,,,Percentage (%),Normal value,E12000005,99.0553357637721
2013 to 2014,Primary,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,98.9607035107613
2013 to 2014,Secondary,East Midlands,,,Percentage (%),Normal value,E12000004,95.7962
2013 to 2014,Secondary,East of England,,,Percentage (%),Normal value,E12000006,94.5955
2013 to 2014,Secondary,Inner London,,,Percentage (%),Normal value,E13000001,93.4229
2013 to 2014,Secondary,North East,,,Percentage (%),Normal value,E12000001,98.1954
2013 to 2014,Secondary,North West,,,Percentage (%),Normal value,E12000002,97.8997
2013 to 2014,Secondary,Outer London,,,Percentage (%),Normal value,E13000002,94.4825
2013 to 2014,Secondary,South East,,,Percentage (%),Normal value,E12000008,95.8863
2013 to 2014,Secondary,South West,,,Percentage (%),Normal value,E12000009,97.1422
2013 to 2014,Secondary,West Midlands,,,Percentage (%),Normal value,E12000005,96.3868
2013 to 2014,Secondary,Yorkshire and The Humber,,,Percentage (%),Normal value,E12000003,96.8344
2013 to 2014,Secondary,,,Female,Percentage (%),Normal value,,96.0223
2013 to 2014,Secondary,,,Gender unclassified,Percentage (%),Normal value,,84.0231
2013 to 2014,Secondary,,,Male,Percentage (%),Normal value,,96.2771
2013 to 2014,Secondary,,,,Percentage (%),Normal value,,96.1069
2014 to 2015,All state-funded schools,East Midlands,Derby,,Percentage (%),Normal value,E12000004,95.8004
2014 to 2015,All state-funded schools,East Midlands,Derbyshire,,Percentage (%),Normal value,E12000004,98.4179
2014 to 2015,All state-funded schools,East Midlands,Leicester,,Percentage (%),Normal value,E12000004,96.875
2014 to 2015,All state-funded schools,East Midlands,Leicestershire,,Percentage (%),Normal value,E12000004,97.2801
2014 to 2015,All state-funded schools,East Midlands,Lincolnshire,,Percentage (%),Normal value,E12000004,96.0384
2014 to 2015,All state-funded schools,East Midlands,Northamptonshire,,Percentage (%),Normal value,E12000004,95.8718
