Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,GeoCode,Value
2012/13,Number of people in treatment,Essex,,Units,Count,,1880.0
2013/14,Number of people in treatment,Essex,,Units,Count,,2040.0
2014/15,Number of people in treatment,Essex,,Units,Count,,2205.0
2015/16,Number of people in treatment,Essex,,Units,Count,,2210.0
2016/17,Number of people in treatment,Essex,,Units,Count,,2125.0
2017/18,Number of people in treatment,Essex,,Units,Count,,1840.0
2018/19,Number of people in treatment,Essex,,Units,Count,,1807.0
2018/19,Number of people in treatment,Essex,,Units,Count,,1805.0
2010/11,Estimated prevalence,Gateshead,,Units,Number,E08000037,2893.0
2011/12,Estimated prevalence,Gateshead,,Units,Number,E08000037,2889.0
2012/13,Estimated prevalence,Gateshead,,Units,Number,E08000037,2891.0
2013/14,Estimated prevalence,Gateshead,,Units,Number,E08000037,3016.0
2014/15,Estimated prevalence,Gateshead,,Units,Number,E08000037,3007.0
2015/16,Estimated prevalence,Gateshead,,Units,Number,E08000037,3080.0
2016/17,Estimated prevalence,Gateshead,,Units,Number,E08000037,3152.0
2017/18,Estimated prevalence,Gateshead,,Units,Number,E08000037,3227.0
2018/19,Estimated prevalence,Gateshead,,Units,Number,E08000037,3153.0
2010/11,Met need (%),Gateshead,,Units,Percentage (%),E08000037,25.4061527825786
2011/12,Met need (%),Gateshead,,Units,Percentage (%),E08000037,24.5759778470059
2012/13,Met need (%),Gateshead,,Units,Percentage (%),E08000037,24.3860255966793
2013/14,Met need (%),Gateshead,,Units,Percentage (%),E08000037,25.3647214854111
2014/15,Met need (%),Gateshead,,Units,Percentage (%),E08000037,23.9441303624875
2015/16,Met need (%),Gateshead,,Units,Percentage (%),E08000037,27.5974025974026
2016/17,Met need (%),Gateshead,,Units,Percentage (%),E08000037,24.1116751269036
2017/18,Met need (%),Gateshead,,Units,Percentage (%),E08000037,20.7623179423613
2018/19,Met need (%),Gateshead,,Units,Percentage (%),E08000037,20.17126546
2010/11,Number of people in treatment,Gateshead,,Units,Count,E08000037,735.0
2011/12,Number of people in treatment,Gateshead,,Units,Count,E08000037,710.0
2012/13,Number of people in treatment,Gateshead,,Units,Count,E08000037,705.0
2013/14,Number of people in treatment,Gateshead,,Units,Count,E08000037,765.0
2014/15,Number of people in treatment,Gateshead,,Units,Count,E08000037,720.0
2015/16,Number of people in treatment,Gateshead,,Units,Count,E08000037,850.0
2016/17,Number of people in treatment,Gateshead,,Units,Count,E08000037,760.0
2017/18,Number of people in treatment,Gateshead,,Units,Count,E08000037,670.0
2018/19,Number of people in treatment,Gateshead,,Units,Count,E08000037,636.0
2018/19,Number of people in treatment,Gateshead,,Units,Count,E08000037,635.0
2010/11,Estimated prevalence,Gloucestershire,,Units,Number,,5171.0
2011/12,Estimated prevalence,Gloucestershire,,Units,Number,,5146.0
2012/13,Estimated prevalence,Gloucestershire,,Units,Number,,5127.0
2013/14,Estimated prevalence,Gloucestershire,,Units,Number,,5194.0
2014/15,Estimated prevalence,Gloucestershire,,Units,Number,,5194.0
2015/16,Estimated prevalence,Gloucestershire,,Units,Number,,5478.0
2016/17,Estimated prevalence,Gloucestershire,,Units,Number,,5297.0
2017/18,Estimated prevalence,Gloucestershire,,Units,Number,,5367.0
2018/19,Estimated prevalence,Gloucestershire,,Units,Number,,5380.666667
2010/11,Met need (%),Gloucestershire,,Units,Percentage (%),,18.8551537420228
2011/12,Met need (%),Gloucestershire,,Units,Percentage (%),,9.81344733773805
2012/13,Met need (%),Gloucestershire,,Units,Percentage (%),,11.2151355568559
2013/14,Met need (%),Gloucestershire,,Units,Percentage (%),,16.0762418174817
2014/15,Met need (%),Gloucestershire,,Units,Percentage (%),,17.0388910281094
2015/16,Met need (%),Gloucestershire,,Units,Percentage (%),,19.9890470974808
2016/17,Met need (%),Gloucestershire,,Units,Percentage (%),,22.182367377761
2017/18,Met need (%),Gloucestershire,,Units,Percentage (%),,18.0734115893423
2018/19,Met need (%),Gloucestershire,,Units,Percentage (%),,19.06826911
2010/11,Number of people in treatment,Gloucestershire,,Units,Count,,975.0
2011/12,Number of people in treatment,Gloucestershire,,Units,Count,,505.0
2012/13,Number of people in treatment,Gloucestershire,,Units,Count,,575.0
2013/14,Number of people in treatment,Gloucestershire,,Units,Count,,835.0
2014/15,Number of people in treatment,Gloucestershire,,Units,Count,,885.0
2015/16,Number of people in treatment,Gloucestershire,,Units,Count,,1095.0
2016/17,Number of people in treatment,Gloucestershire,,Units,Count,,1175.0
2017/18,Number of people in treatment,Gloucestershire,,Units,Count,,970.0
2018/19,Number of people in treatment,Gloucestershire,,Units,Count,,1026.0
2018/19,Number of people in treatment,Gloucestershire,,Units,Count,,1025.0
2010/11,Estimated prevalence,Greenwich,,Units,Number,E09000011,2945.0
2011/12,Estimated prevalence,Greenwich,,Units,Number,E09000011,2908.0
2012/13,Estimated prevalence,Greenwich,,Units,Number,E09000011,2882.0
2013/14,Estimated prevalence,Greenwich,,Units,Number,E09000011,2945.0
2014/15,Estimated prevalence,Greenwich,,Units,Number,E09000011,2914.0
2015/16,Estimated prevalence,Greenwich,,Units,Number,E09000011,3047.0
2016/17,Estimated prevalence,Greenwich,,Units,Number,E09000011,3019.0
2017/18,Estimated prevalence,Greenwich,,Units,Number,E09000011,2981.0
2018/19,Estimated prevalence,Greenwich,,Units,Number,E09000011,3015.666667
2010/11,Met need (%),Greenwich,,Units,Percentage (%),E09000011,17.1477079796265
2011/12,Met need (%),Greenwich,,Units,Percentage (%),E09000011,16.5061898211829
2012/13,Met need (%),Greenwich,,Units,Percentage (%),E09000011,14.0527411519778
2013/14,Met need (%),Greenwich,,Units,Percentage (%),E09000011,14.7707979626486
2014/15,Met need (%),Greenwich,,Units,Percentage (%),E09000011,18.1880576527111
2015/16,Met need (%),Greenwich,,Units,Percentage (%),E09000011,21.0042664916311
2016/17,Met need (%),Greenwich,,Units,Percentage (%),E09000011,23.8489566081484
2017/18,Met need (%),Greenwich,,Units,Percentage (%),E09000011,21.8047635021805
2018/19,Met need (%),Greenwich,,Units,Percentage (%),E09000011,20.65878192
2010/11,Number of people in treatment,Greenwich,,Units,Count,E09000011,505.0
2011/12,Number of people in treatment,Greenwich,,Units,Count,E09000011,480.0
2012/13,Number of people in treatment,Greenwich,,Units,Count,E09000011,405.0
2013/14,Number of people in treatment,Greenwich,,Units,Count,E09000011,435.0
2014/15,Number of people in treatment,Greenwich,,Units,Count,E09000011,530.0
2015/16,Number of people in treatment,Greenwich,,Units,Count,E09000011,640.0
2016/17,Number of people in treatment,Greenwich,,Units,Count,E09000011,720.0
2017/18,Number of people in treatment,Greenwich,,Units,Count,E09000011,650.0
2018/19,Number of people in treatment,Greenwich,,Units,Count,E09000011,623.0
2018/19,Number of people in treatment,Greenwich,,Units,Count,E09000011,625.0
2010/11,Estimated prevalence,Hackney,,Units,Number,E09000012,3594.0
2011/12,Estimated prevalence,Hackney,,Units,Number,E09000012,3588.0
2012/13,Estimated prevalence,Hackney,,Units,Number,E09000012,3581.0
2013/14,Estimated prevalence,Hackney,,Units,Number,E09000012,3724.0
2014/15,Estimated prevalence,Hackney,,Units,Number,E09000012,3716.0
2015/16,Estimated prevalence,Hackney,,Units,Number,E09000012,3623.0
2016/17,Estimated prevalence,Hackney,,Units,Number,E09000012,3726.0
2017/18,Estimated prevalence,Hackney,,Units,Number,E09000012,3654.0
2018/19,Estimated prevalence,Hackney,,Units,Number,E09000012,3667.666667
2010/11,Met need (%),Hackney,,Units,Percentage (%),E09000012,22.6766833611575
2011/12,Met need (%),Hackney,,Units,Percentage (%),E09000012,13.3779264214047
2012/13,Met need (%),Hackney,,Units,Percentage (%),E09000012,14.102206087685
2013/14,Met need (%),Hackney,,Units,Percentage (%),E09000012,15.843179377014
2014/15,Met need (%),Hackney,,Units,Percentage (%),E09000012,16.8191603875135
2015/16,Met need (%),Hackney,,Units,Percentage (%),E09000012,16.9748826939001
2016/17,Met need (%),Hackney,,Units,Percentage (%),E09000012,19.3236714975845
2017/18,Met need (%),Hackney,,Units,Percentage (%),E09000012,17.2413793103448
2018/19,Met need (%),Hackney,,Units,Percentage (%),E09000012,17.5315823
2010/11,Number of people in treatment,Hackney,,Units,Count,E09000012,815.0
2011/12,Number of people in treatment,Hackney,,Units,Count,E09000012,480.0
2012/13,Number of people in treatment,Hackney,,Units,Count,E09000012,505.0
2013/14,Number of people in treatment,Hackney,,Units,Count,E09000012,590.0
2014/15,Number of people in treatment,Hackney,,Units,Count,E09000012,625.0
2015/16,Number of people in treatment,Hackney,,Units,Count,E09000012,615.0
2016/17,Number of people in treatment,Hackney,,Units,Count,E09000012,720.0
2017/18,Number of people in treatment,Hackney,,Units,Count,E09000012,630.0
2018/19,Number of people in treatment,Hackney,,Units,Count,E09000012,643.0
2018/19,Number of people in treatment,Hackney,,Units,Count,E09000012,645.0
2010/11,Estimated prevalence,Halton,,Units,Number,E06000006,1846.0
2011/12,Estimated prevalence,Halton,,Units,Number,E06000006,1851.0
2012/13,Estimated prevalence,Halton,,Units,Number,E06000006,1843.0
2013/14,Estimated prevalence,Halton,,Units,Number,E06000006,1932.0
2014/15,Estimated prevalence,Halton,,Units,Number,E06000006,1889.0
2015/16,Estimated prevalence,Halton,,Units,Number,E06000006,1962.0
2016/17,Estimated prevalence,Halton,,Units,Number,E06000006,2048.0
2017/18,Estimated prevalence,Halton,,Units,Number,E06000006,2001.0
2018/19,Estimated prevalence,Halton,,Units,Number,E06000006,2003.666667
2010/11,Met need (%),Halton,,Units,Percentage (%),E06000006,24.6478873239437
2011/12,Met need (%),Halton,,Units,Percentage (%),E06000006,24.3111831442464
2012/13,Met need (%),Halton,,Units,Percentage (%),E06000006,30.1139446554531
2013/14,Met need (%),Halton,,Units,Percentage (%),E06000006,30.7971014492754
2014/15,Met need (%),Halton,,Units,Percentage (%),E06000006,24.0868184224457
2015/16,Met need (%),Halton,,Units,Percentage (%),E06000006,20.8970438328237
2016/17,Met need (%),Halton,,Units,Percentage (%),E06000006,18.798828125
2017/18,Met need (%),Halton,,Units,Percentage (%),E06000006,19.7401299350325
2018/19,Met need (%),Halton,,Units,Percentage (%),E06000006,19.66394943
2010/11,Number of people in treatment,Halton,,Units,Count,E06000006,455.0
2011/12,Number of people in treatment,Halton,,Units,Count,E06000006,450.0
2012/13,Number of people in treatment,Halton,,Units,Count,E06000006,555.0
2013/14,Number of people in treatment,Halton,,Units,Count,E06000006,595.0
2014/15,Number of people in treatment,Halton,,Units,Count,E06000006,455.0
2015/16,Number of people in treatment,Halton,,Units,Count,E06000006,410.0
2016/17,Number of people in treatment,Halton,,Units,Count,E06000006,385.0
2017/18,Number of people in treatment,Halton,,Units,Count,E06000006,395.0
2018/19,Number of people in treatment,Halton,,Units,Count,E06000006,394.0
2018/19,Number of people in treatment,Halton,,Units,Count,E06000006,395.0
2010/11,Estimated prevalence,Hammersmith and Fulham,,Units,Number,E09000013,2528.0
2011/12,Estimated prevalence,Hammersmith and Fulham,,Units,Number,E09000013,2507.0
2012/13,Estimated prevalence,Hammersmith and Fulham,,Units,Number,E09000013,2508.0
2013/14,Estimated prevalence,Hammersmith and Fulham,,Units,Number,E09000013,2607.0
2014/15,Estimated prevalence,Hammersmith and Fulham,,Units,Number,E09000013,2583.0
2015/16,Estimated prevalence,Hammersmith and Fulham,,Units,Number,E09000013,2451.0
2016/17,Estimated prevalence,Hammersmith and Fulham,,Units,Number,E09000013,2428.0
2017/18,Estimated prevalence,Hammersmith and Fulham,,Units,Number,E09000013,2524.0
2018/19,Estimated prevalence,Hammersmith and Fulham,,Units,Number,E09000013,2467.666667
2010/11,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),E09000013,21.1629746835443
2011/12,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),E09000013,14.7586757080176
2012/13,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),E09000013,17.1451355661882
2013/14,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),E09000013,19.5627157652474
2014/15,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),E09000013,19.5509097948122
2015/16,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),E09000013,21.6238270093839
2016/17,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),E09000013,22.0345963756178
2017/18,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),E09000013,26.148969889065
2018/19,Met need (%),Hammersmith and Fulham,,Units,Percentage (%),E09000013,24.51708767
2010/11,Number of people in treatment,Hammersmith and Fulham,,Units,Count,E09000013,535.0
2011/12,Number of people in treatment,Hammersmith and Fulham,,Units,Count,E09000013,370.0
2012/13,Number of people in treatment,Hammersmith and Fulham,,Units,Count,E09000013,430.0
2013/14,Number of people in treatment,Hammersmith and Fulham,,Units,Count,E09000013,510.0
2014/15,Number of people in treatment,Hammersmith and Fulham,,Units,Count,E09000013,505.0
2015/16,Number of people in treatment,Hammersmith and Fulham,,Units,Count,E09000013,530.0
2016/17,Number of people in treatment,Hammersmith and Fulham,,Units,Count,E09000013,535.0
2017/18,Number of people in treatment,Hammersmith and Fulham,,Units,Count,E09000013,660.0
2018/19,Number of people in treatment,Hammersmith and Fulham,,Units,Count,E09000013,605.0
2010/11,Estimated prevalence,Hampshire,,Units,Number,,9871.0
2011/12,Estimated prevalence,Hampshire,,Units,Number,,9868.0
2012/13,Estimated prevalence,Hampshire,,Units,Number,,9806.0
2013/14,Estimated prevalence,Hampshire,,Units,Number,,10033.0
2014/15,Estimated prevalence,Hampshire,,Units,Number,,9980.0
2015/16,Estimated prevalence,Hampshire,,Units,Number,,10076.0
2016/17,Estimated prevalence,Hampshire,,Units,Number,,10060.0
2017/18,Estimated prevalence,Hampshire,,Units,Number,,10469.0
2018/19,Estimated prevalence,Hampshire,,Units,Number,,10201.66667
2010/11,Met need (%),Hampshire,,Units,Percentage (%),,13.7270793232702
2011/12,Met need (%),Hampshire,,Units,Percentage (%),,17.6834211593028
2012/13,Met need (%),Hampshire,,Units,Percentage (%),,17.1833571282888
2013/14,Met need (%),Hampshire,,Units,Percentage (%),,12.0602013355925
2014/15,Met need (%),Hampshire,,Units,Percentage (%),,13.376753507014
2015/16,Met need (%),Hampshire,,Units,Percentage (%),,7.14569273521239
2016/17,Met need (%),Hampshire,,Units,Percentage (%),,10.337972166998
2017/18,Met need (%),Hampshire,,Units,Percentage (%),,11.5101728913936
2018/19,Met need (%),Hampshire,,Units,Percentage (%),,13.98791047
2010/11,Number of people in treatment,Hampshire,,Units,Count,,1355.0
2011/12,Number of people in treatment,Hampshire,,Units,Count,,1745.0
2012/13,Number of people in treatment,Hampshire,,Units,Count,,1685.0
2013/14,Number of people in treatment,Hampshire,,Units,Count,,1210.0
2014/15,Number of people in treatment,Hampshire,,Units,Count,,1335.0
2015/16,Number of people in treatment,Hampshire,,Units,Count,,720.0
2016/17,Number of people in treatment,Hampshire,,Units,Count,,1040.0
2017/18,Number of people in treatment,Hampshire,,Units,Count,,1205.0
2018/19,Number of people in treatment,Hampshire,,Units,Count,,1427.000003
2018/19,Number of people in treatment,Hampshire,,Units,Count,,1425.0
2010/11,Estimated prevalence,Haringey,,Units,Number,E09000014,3130.0
2011/12,Estimated prevalence,Haringey,,Units,Number,E09000014,3156.0
2012/13,Estimated prevalence,Haringey,,Units,Number,E09000014,3121.0
2013/14,Estimated prevalence,Haringey,,Units,Number,E09000014,3198.0
2014/15,Estimated prevalence,Haringey,,Units,Number,E09000014,3195.0
2015/16,Estimated prevalence,Haringey,,Units,Number,E09000014,3256.0
2016/17,Estimated prevalence,Haringey,,Units,Number,E09000014,3316.0
2017/18,Estimated prevalence,Haringey,,Units,Number,E09000014,3055.0
2018/19,Estimated prevalence,Haringey,,Units,Number,E09000014,3209.0
2010/11,Met need (%),Haringey,,Units,Percentage (%),E09000014,23.961661341853
2011/12,Met need (%),Haringey,,Units,Percentage (%),E09000014,25.6653992395437
2012/13,Met need (%),Haringey,,Units,Percentage (%),E09000014,23.3899391220763
2013/14,Met need (%),Haringey,,Units,Percentage (%),E09000014,25.4846779237023
2014/15,Met need (%),Haringey,,Units,Percentage (%),E09000014,25.0391236306729
2015/16,Met need (%),Haringey,,Units,Percentage (%),E09000014,25.0307125307125
2016/17,Met need (%),Haringey,,Units,Percentage (%),E09000014,23.6731001206273
2017/18,Met need (%),Haringey,,Units,Percentage (%),E09000014,22.9132569558101
2018/19,Met need (%),Haringey,,Units,Percentage (%),E09000014,18.44811468
2010/11,Number of people in treatment,Haringey,,Units,Count,E09000014,750.0
2011/12,Number of people in treatment,Haringey,,Units,Count,E09000014,810.0
2012/13,Number of people in treatment,Haringey,,Units,Count,E09000014,730.0
2013/14,Number of people in treatment,Haringey,,Units,Count,E09000014,815.0
2014/15,Number of people in treatment,Haringey,,Units,Count,E09000014,800.0
2015/16,Number of people in treatment,Haringey,,Units,Count,E09000014,815.0
2016/17,Number of people in treatment,Haringey,,Units,Count,E09000014,785.0
2017/18,Number of people in treatment,Haringey,,Units,Count,E09000014,700.0
2018/19,Number of people in treatment,Haringey,,Units,Count,E09000014,592.0
2018/19,Number of people in treatment,Haringey,,Units,Count,E09000014,595.0
2010/11,Estimated prevalence,Harrow,,Units,Number,E09000015,1582.0
2011/12,Estimated prevalence,Harrow,,Units,Number,E09000015,1578.0
2012/13,Estimated prevalence,Harrow,,Units,Number,E09000015,1577.0
2013/14,Estimated prevalence,Harrow,,Units,Number,E09000015,1615.0
2014/15,Estimated prevalence,Harrow,,Units,Number,E09000015,1607.0
2015/16,Estimated prevalence,Harrow,,Units,Number,E09000015,1596.0
2016/17,Estimated prevalence,Harrow,,Units,Number,E09000015,1583.0
2017/18,Estimated prevalence,Harrow,,Units,Number,E09000015,1674.0
2018/19,Estimated prevalence,Harrow,,Units,Number,E09000015,1617.666667
2010/11,Met need (%),Harrow,,Units,Percentage (%),E09000015,24.0202275600506
2011/12,Met need (%),Harrow,,Units,Percentage (%),E09000015,25.6653992395437
2012/13,Met need (%),Harrow,,Units,Percentage (%),E09000015,23.7793278376665
2013/14,Met need (%),Harrow,,Units,Percentage (%),E09000015,28.4829721362229
2014/15,Met need (%),Harrow,,Units,Percentage (%),E09000015,25.2022401991288
2015/16,Met need (%),Harrow,,Units,Percentage (%),E09000015,22.2431077694236
2016/17,Met need (%),Harrow,,Units,Percentage (%),E09000015,25.9001895135818
2017/18,Met need (%),Harrow,,Units,Percentage (%),E09000015,20.0119474313023
2018/19,Met need (%),Harrow,,Units,Percentage (%),E09000015,16.13434989
2010/11,Number of people in treatment,Harrow,,Units,Count,E09000015,380.0
2011/12,Number of people in treatment,Harrow,,Units,Count,E09000015,405.0
2012/13,Number of people in treatment,Harrow,,Units,Count,E09000015,375.0
2013/14,Number of people in treatment,Harrow,,Units,Count,E09000015,460.0
2014/15,Number of people in treatment,Harrow,,Units,Count,E09000015,405.0
2015/16,Number of people in treatment,Harrow,,Units,Count,E09000015,355.0
2016/17,Number of people in treatment,Harrow,,Units,Count,E09000015,410.0
2017/18,Number of people in treatment,Harrow,,Units,Count,E09000015,335.0
2018/19,Number of people in treatment,Harrow,,Units,Count,E09000015,261.0
2018/19,Number of people in treatment,Harrow,,Units,Count,E09000015,265.0
2010/11,Estimated prevalence,Hartlepool,,Units,Number,E06000001,1187.0
2011/12,Estimated prevalence,Hartlepool,,Units,Number,E06000001,1194.0
2012/13,Estimated prevalence,Hartlepool,,Units,Number,E06000001,1192.0
2013/14,Estimated prevalence,Hartlepool,,Units,Number,E06000001,1227.0
2014/15,Estimated prevalence,Hartlepool,,Units,Number,E06000001,1226.0
2015/16,Estimated prevalence,Hartlepool,,Units,Number,E06000001,1178.0
2016/17,Estimated prevalence,Hartlepool,,Units,Number,E06000001,1281.0
2017/18,Estimated prevalence,Hartlepool,,Units,Number,E06000001,1372.0
2018/19,Estimated prevalence,Hartlepool,,Units,Number,E06000001,1277.0
2010/11,Met need (%),Hartlepool,,Units,Percentage (%),E06000001,36.2257792754844
2011/12,Met need (%),Hartlepool,,Units,Percentage (%),E06000001,39.3634840871022
2012/13,Met need (%),Hartlepool,,Units,Percentage (%),E06000001,39.010067114094
2013/14,Met need (%),Hartlepool,,Units,Percentage (%),E06000001,38.7123064384678
2014/15,Met need (%),Hartlepool,,Units,Percentage (%),E06000001,34.257748776509
2015/16,Met need (%),Hartlepool,,Units,Percentage (%),E06000001,33.955857385399
2016/17,Met need (%),Hartlepool,,Units,Percentage (%),E06000001,27.7127244340359
2017/18,Met need (%),Hartlepool,,Units,Percentage (%),E06000001,23.3236151603499
2018/19,Met need (%),Hartlepool,,Units,Percentage (%),E06000001,26.93813626
2010/11,Number of people in treatment,Hartlepool,,Units,Count,E06000001,430.0
2011/12,Number of people in treatment,Hartlepool,,Units,Count,E06000001,470.0
2012/13,Number of people in treatment,Hartlepool,,Units,Count,E06000001,465.0
2013/14,Number of people in treatment,Hartlepool,,Units,Count,E06000001,475.0
2014/15,Number of people in treatment,Hartlepool,,Units,Count,E06000001,420.0
2015/16,Number of people in treatment,Hartlepool,,Units,Count,E06000001,400.0
2016/17,Number of people in treatment,Hartlepool,,Units,Count,E06000001,355.0
2017/18,Number of people in treatment,Hartlepool,,Units,Count,E06000001,320.0
2018/19,Number of people in treatment,Hartlepool,,Units,Count,E06000001,344.0
2018/19,Number of people in treatment,Hartlepool,,Units,Count,E06000001,345.0
2010/11,Estimated prevalence,Havering,,Units,Number,E09000016,2158.0
2011/12,Estimated prevalence,Havering,,Units,Number,E09000016,2156.0
2012/13,Estimated prevalence,Havering,,Units,Number,E09000016,2146.0
2013/14,Estimated prevalence,Havering,,Units,Number,E09000016,2186.0
2014/15,Estimated prevalence,Havering,,Units,Number,E09000016,2189.0
2015/16,Estimated prevalence,Havering,,Units,Number,E09000016,2257.0
2016/17,Estimated prevalence,Havering,,Units,Number,E09000016,2203.0
2017/18,Estimated prevalence,Havering,,Units,Number,E09000016,2231.0
2018/19,Estimated prevalence,Havering,,Units,Number,E09000016,2230.333333
2010/11,Met need (%),Havering,,Units,Percentage (%),E09000016,13.4383688600556
2011/12,Met need (%),Havering,,Units,Percentage (%),E09000016,14.6103896103896
2012/13,Met need (%),Havering,,Units,Percentage (%),E09000016,17.4743709226468
2013/14,Met need (%),Havering,,Units,Percentage (%),E09000016,20.5855443732845
2014/15,Met need (%),Havering,,Units,Percentage (%),E09000016,19.4152581087254
2015/16,Met need (%),Havering,,Units,Percentage (%),E09000016,19.9379707576429
2016/17,Met need (%),Havering,,Units,Percentage (%),E09000016,20.6536541080345
2017/18,Met need (%),Havering,,Units,Percentage (%),E09000016,23.307933662035
2018/19,Met need (%),Havering,,Units,Percentage (%),E09000016,21.0282469
2010/11,Number of people in treatment,Havering,,Units,Count,E09000016,290.0
2011/12,Number of people in treatment,Havering,,Units,Count,E09000016,315.0
2012/13,Number of people in treatment,Havering,,Units,Count,E09000016,375.0
2013/14,Number of people in treatment,Havering,,Units,Count,E09000016,450.0
2014/15,Number of people in treatment,Havering,,Units,Count,E09000016,425.0
2015/16,Number of people in treatment,Havering,,Units,Count,E09000016,450.0
2016/17,Number of people in treatment,Havering,,Units,Count,E09000016,455.0
2017/18,Number of people in treatment,Havering,,Units,Count,E09000016,520.0
2018/19,Number of people in treatment,Havering,,Units,Count,E09000016,469.0
2018/19,Number of people in treatment,Havering,,Units,Count,E09000016,470.0
2010/11,Estimated prevalence,"Herefordshire, County of",,Units,Number,,1678.0
2011/12,Estimated prevalence,"Herefordshire, County of",,Units,Number,,1677.0
2012/13,Estimated prevalence,"Herefordshire, County of",,Units,Number,,1681.0
2013/14,Estimated prevalence,"Herefordshire, County of",,Units,Number,,1693.0
2014/15,Estimated prevalence,"Herefordshire, County of",,Units,Number,,1695.0
2015/16,Estimated prevalence,"Herefordshire, County of",,Units,Number,,1654.0
2016/17,Estimated prevalence,"Herefordshire, County of",,Units,Number,,1716.0
2017/18,Estimated prevalence,"Herefordshire, County of",,Units,Number,,1713.0
2018/19,Estimated prevalence,"Herefordshire, County of",,Units,Number,,1694.333333
2010/11,Met need (%),"Herefordshire, County of",,Units,Percentage (%),,6.25744934445769
2011/12,Met need (%),"Herefordshire, County of",,Units,Percentage (%),,5.66487775790101
2012/13,Met need (%),"Herefordshire, County of",,Units,Percentage (%),,16.0618679357525
2013/14,Met need (%),"Herefordshire, County of",,Units,Percentage (%),,19.1966922622563
2014/15,Met need (%),"Herefordshire, County of",,Units,Percentage (%),,19.4690265486726
2015/16,Met need (%),"Herefordshire, County of",,Units,Percentage (%),,19.0447400241838
2016/17,Met need (%),"Herefordshire, County of",,Units,Percentage (%),,15.7342657342657
2017/18,Met need (%),"Herefordshire, County of",,Units,Percentage (%),,18.6806771745476
2018/19,Met need (%),"Herefordshire, County of",,Units,Percentage (%),,20.65709227
2010/11,Number of people in treatment,"Herefordshire, County of",,Units,Count,,105.0
2011/12,Number of people in treatment,"Herefordshire, County of",,Units,Count,,95.0
2012/13,Number of people in treatment,"Herefordshire, County of",,Units,Count,,270.0
2013/14,Number of people in treatment,"Herefordshire, County of",,Units,Count,,325.0
2014/15,Number of people in treatment,"Herefordshire, County of",,Units,Count,,330.0
2015/16,Number of people in treatment,"Herefordshire, County of",,Units,Count,,315.0
2016/17,Number of people in treatment,"Herefordshire, County of",,Units,Count,,270.0
2017/18,Number of people in treatment,"Herefordshire, County of",,Units,Count,,320.0
2018/19,Number of people in treatment,"Herefordshire, County of",,Units,Count,,350.0
2010/11,Estimated prevalence,Hertfordshire,,Units,Number,,8684.0
2011/12,Estimated prevalence,Hertfordshire,,Units,Number,,8689.0
2012/13,Estimated prevalence,Hertfordshire,,Units,Number,,8563.0
2013/14,Estimated prevalence,Hertfordshire,,Units,Number,,8636.0
2014/15,Estimated prevalence,Hertfordshire,,Units,Number,,8661.0
2015/16,Estimated prevalence,Hertfordshire,,Units,Number,,8687.0
2016/17,Estimated prevalence,Hertfordshire,,Units,Number,,8668.0
2017/18,Estimated prevalence,Hertfordshire,,Units,Number,,8637.0
2018/19,Estimated prevalence,Hertfordshire,,Units,Number,,8664.0
2010/11,Met need (%),Hertfordshire,,Units,Percentage (%),,23.4914785812989
2011/12,Met need (%),Hertfordshire,,Units,Percentage (%),,22.4997122798941
2012/13,Met need (%),Hertfordshire,,Units,Percentage (%),,17.575616022422
2013/14,Met need (%),Hertfordshire,,Units,Percentage (%),,22.3483094025012
2014/15,Met need (%),Hertfordshire,,Units,Percentage (%),,20.9560096986491
2015/16,Met need (%),Hertfordshire,,Units,Percentage (%),,19.2816852768505
2016/17,Met need (%),Hertfordshire,,Units,Percentage (%),,17.4780802953392
2017/18,Met need (%),Hertfordshire,,Units,Percentage (%),,19.4511983327544
2018/19,Met need (%),Hertfordshire,,Units,Percentage (%),,20.16389658
2010/11,Number of people in treatment,Hertfordshire,,Units,Count,,2040.0
2011/12,Number of people in treatment,Hertfordshire,,Units,Count,,1955.0
2012/13,Number of people in treatment,Hertfordshire,,Units,Count,,1505.0
2013/14,Number of people in treatment,Hertfordshire,,Units,Count,,1930.0
2014/15,Number of people in treatment,Hertfordshire,,Units,Count,,1815.0
2015/16,Number of people in treatment,Hertfordshire,,Units,Count,,1675.0
2016/17,Number of people in treatment,Hertfordshire,,Units,Count,,1515.0
2017/18,Number of people in treatment,Hertfordshire,,Units,Count,,1680.0
2018/19,Number of people in treatment,Hertfordshire,,Units,Count,,1747.0
2018/19,Number of people in treatment,Hertfordshire,,Units,Count,,1745.0
2010/11,Estimated prevalence,Hillingdon,,Units,Number,E09000017,2722.0
2011/12,Estimated prevalence,Hillingdon,,Units,Number,E09000017,2729.0
2012/13,Estimated prevalence,Hillingdon,,Units,Number,E09000017,2713.0
2013/14,Estimated prevalence,Hillingdon,,Units,Number,E09000017,2789.0
