Year,Region,Local Authority,Gender,Ethnicity,Free School Meals,Learning category,Learning sub-category (higher),Observation status,Unit multiplier,Unit measure,GeoCode,Value
2012/13,London,Islington,,,,,,Normal value,Units,Percentage (%),E09000019,38.0
2012/13,London,Kensington and Chelsea,,,,,,Normal value,Units,Percentage (%),E09000020,44.8
2012/13,South East,Kent,,,,,,Normal value,Units,Percentage (%),,61.9
2012/13,Yorkshire and The Humber,"Kingston upon Hull, City of",,,,,,Normal value,Units,Percentage (%),,35.4
2012/13,London,Kingston upon Thames,,,,,,Normal value,Units,Percentage (%),E09000021,56.0
2012/13,Yorkshire and The Humber,Kirklees,,,,,,Normal value,Units,Percentage (%),E08000034,50.8
2012/13,North West,Knowsley,,,,,,Normal value,Units,Percentage (%),E08000011,51.5
2012/13,London,Lambeth,,,,,,Normal value,Units,Percentage (%),E09000022,42.8
2012/13,North West,Lancashire,,,,,,Normal value,Units,Percentage (%),,56.4
2012/13,Yorkshire and The Humber,Leeds,,,,,,Normal value,Units,Percentage (%),E08000035,46.6
2012/13,East Midlands,Leicester,,,,,,Normal value,Units,Percentage (%),E06000016,22.4
2012/13,East Midlands,Leicestershire,,,,,,Normal value,Units,Percentage (%),,43.8
2012/13,London,Lewisham,,,,,,Normal value,Units,Percentage (%),E09000023,66.2
2012/13,East Midlands,Lincolnshire,,,,,,Normal value,Units,Percentage (%),,62.4
2012/13,North West,Liverpool,,,,,,Normal value,Units,Percentage (%),E08000012,49.1
2012/13,East of England,Luton,,,,,,Normal value,Units,Percentage (%),E06000032,43.6
2012/13,North West,Manchester,,,,,,Normal value,Units,Percentage (%),E08000003,43.6
2012/13,South East,Medway,,,,,,Normal value,Units,Percentage (%),E06000035,52.9
2012/13,London,Merton,,,,,,Normal value,Units,Percentage (%),E09000024,42.5
2012/13,North East,Middlesbrough,,,,,,Normal value,Units,Percentage (%),E06000002,35.6
2012/13,South East,Milton Keynes,,,,,,Normal value,Units,Percentage (%),E06000042,46.0
2012/13,North East,Newcastle upon Tyne,,,,,,Normal value,Units,Percentage (%),E08000021,40.7
2012/13,London,Newham,,,,,,Normal value,Units,Percentage (%),E09000025,51.2
2012/13,East of England,Norfolk,,,,,,Normal value,Units,Percentage (%),,43.1
2012/13,Yorkshire and The Humber,North East Lincolnshire,,,,,,Normal value,Units,Percentage (%),E06000012,47.3
2012/13,Yorkshire and The Humber,North Lincolnshire,,,,,,Normal value,Units,Percentage (%),E06000013,49.5
2012/13,South West,North Somerset,,,,,,Normal value,Units,Percentage (%),E06000024,62.3
2012/13,North East,North Tyneside,,,,,,Normal value,Units,Percentage (%),E08000022,46.0
2012/13,Yorkshire and The Humber,North Yorkshire,,,,,,Normal value,Units,Percentage (%),,41.2
2012/13,East Midlands,Northamptonshire,,,,,,Normal value,Units,Percentage (%),,47.1
2012/13,North East,Northumberland,,,,,,Normal value,Units,Percentage (%),E06000057,47.2
2012/13,East Midlands,Nottingham,,,,,,Normal value,Units,Percentage (%),E06000018,37.0
2012/13,East Midlands,Nottinghamshire,,,,,,Normal value,Units,Percentage (%),,53.9
2012/13,North West,Oldham,,,,,,Normal value,Units,Percentage (%),E08000004,37.3
2012/13,South East,Oxfordshire,,,,,,Normal value,Units,Percentage (%),,45.5
2012/13,East of England,Peterborough,,,,,,Normal value,Units,Percentage (%),E06000031,43.0
2012/13,South West,Plymouth,,,,,,Normal value,Units,Percentage (%),E06000026,55.6
2012/13,South West,Poole,,,,,,Normal value,Units,Percentage (%),E06000029,46.2
2012/13,South East,Portsmouth,,,,,,Normal value,Units,Percentage (%),E06000044,52.3
2012/13,South East,Reading,,,,,,Normal value,Units,Percentage (%),E06000038,46.1
2012/13,London,Redbridge,,,,,,Normal value,Units,Percentage (%),E09000026,56.7
2012/13,North East,Redcar and Cleveland,,,,,,Normal value,Units,Percentage (%),E06000003,46.0
2012/13,London,Richmond upon Thames,,,,,,Normal value,Units,Percentage (%),E09000027,40.6
2012/13,North West,Rochdale,,,,,,Normal value,Units,Percentage (%),E08000005,38.3
2012/13,Yorkshire and The Humber,Rotherham,,,,,,Normal value,Units,Percentage (%),E08000018,53.2
2012/13,East Midlands,Rutland,,,,,,Normal value,Units,Percentage (%),E06000017,56.5
2012/13,North West,Salford,,,,,,Normal value,Units,Percentage (%),E08000006,49.3
2012/13,West Midlands,Sandwell,,,,,,Normal value,Units,Percentage (%),E08000028,42.0
2012/13,North West,Sefton,,,,,,Normal value,Units,Percentage (%),E08000014,49.0
2012/13,Yorkshire and The Humber,Sheffield,,,,,,Normal value,Units,Percentage (%),E08000019,47.7
2012/13,West Midlands,Shropshire,,,,,,Normal value,Units,Percentage (%),E06000051,50.4
2012/13,South East,Slough,,,,,,Normal value,Units,Percentage (%),E06000039,47.9
2012/13,West Midlands,Solihull,,,,,,Normal value,Units,Percentage (%),E08000029,52.6
2012/13,South West,Somerset,,,,,,Normal value,Units,Percentage (%),,50.8
2012/13,South West,South Gloucestershire,,,,,,Normal value,Units,Percentage (%),E06000025,62.0
2012/13,North East,South Tyneside,,,,,,Normal value,Units,Percentage (%),E08000023,45.9
2012/13,South East,Southampton,,,,,,Normal value,Units,Percentage (%),E06000045,48.7
2012/13,East of England,Southend-on-Sea,,,,,,Normal value,Units,Percentage (%),E06000033,43.9
2012/13,London,Southwark,,,,,,Normal value,Units,Percentage (%),E09000028,55.9
2012/13,North West,St. Helens,,,,,,Normal value,Units,Percentage (%),E08000013,53.3
2012/13,West Midlands,Staffordshire,,,,,,Normal value,Units,Percentage (%),,51.6
2012/13,North West,Stockport,,,,,,Normal value,Units,Percentage (%),E08000007,51.9
2012/13,North East,Stockton-on-Tees,,,,,,Normal value,Units,Percentage (%),E06000004,38.3
2012/13,West Midlands,Stoke-on-Trent,,,,,,Normal value,Units,Percentage (%),E06000021,48.4
2012/13,East of England,Suffolk,,,,,,Normal value,Units,Percentage (%),,46.4
2012/13,North East,Sunderland,,,,,,Normal value,Units,Percentage (%),E08000024,50.2
2012/13,South East,Surrey,,,,,,Normal value,Units,Percentage (%),,49.7
2012/13,London,Sutton,,,,,,Normal value,Units,Percentage (%),E09000029,38.9
2012/13,South West,Swindon,,,,,,Normal value,Units,Percentage (%),E06000030,53.5
2012/13,North West,Tameside,,,,,,Normal value,Units,Percentage (%),E08000008,38.8
2012/13,West Midlands,Telford and Wrekin,,,,,,Normal value,Units,Percentage (%),E06000020,42.6
2012/13,East of England,Thurrock,,,,,,Normal value,Units,Percentage (%),E06000034,50.9
2012/13,South West,Torbay,,,,,,Normal value,Units,Percentage (%),E06000027,46.0
2012/13,London,Tower Hamlets,,,,,,Normal value,Units,Percentage (%),E09000030,41.7
2012/13,North West,Trafford,,,,,,Normal value,Units,Percentage (%),E08000009,59.0
2012/13,Yorkshire and The Humber,Wakefield,,,,,,Normal value,Units,Percentage (%),E08000036,54.4
2012/13,West Midlands,Walsall,,,,,,Normal value,Units,Percentage (%),E08000030,43.1
2012/13,London,Waltham Forest,,,,,,Normal value,Units,Percentage (%),E09000031,52.0
2012/13,London,Wandsworth,,,,,,Normal value,Units,Percentage (%),E09000032,52.3
2012/13,North West,Warrington,,,,,,Normal value,Units,Percentage (%),E06000007,43.0
2012/13,West Midlands,Warwickshire,,,,,,Normal value,Units,Percentage (%),,41.2
2012/13,South East,West Berkshire,,,,,,Normal value,Units,Percentage (%),E06000037,58.7
2012/13,South East,West Sussex,,,,,,Normal value,Units,Percentage (%),,50.1
2012/13,London,Westminster,,,,,,Normal value,Units,Percentage (%),E09000033,46.5
2012/13,North West,Wigan,,,,,,Normal value,Units,Percentage (%),E08000010,34.5
2012/13,South West,Wiltshire,,,,,,Normal value,Units,Percentage (%),E06000054,50.8
2012/13,South East,Windsor and Maidenhead,,,,,,Normal value,Units,Percentage (%),E06000040,54.2
2012/13,North West,Wirral,,,,,,Normal value,Units,Percentage (%),E08000015,43.5
2012/13,South East,Wokingham,,,,,,Normal value,Units,Percentage (%),E06000041,45.3
2012/13,West Midlands,Wolverhampton,,,,,,Normal value,Units,Percentage (%),E08000031,41.5
2012/13,West Midlands,Worcestershire,,,,,,Normal value,Units,Percentage (%),,47.3
2012/13,Yorkshire and The Humber,York,,,,,,Normal value,Units,Percentage (%),E06000014,53.2
2012/13,East Midlands,,,,,,,Normal value,Units,Percentage (%),E12000004,46.9
2012/13,East of England,,,,,,,Normal value,Units,Percentage (%),E12000006,49.4
2012/13,London,,,,,,,Normal value,Units,Percentage (%),E12000007,49.8
2012/13,North East,,,,,,,Normal value,Units,Percentage (%),E12000001,42.1
2012/13,North West,,,,,,,Normal value,Units,Percentage (%),E12000002,47.5
2012/13,South East,,,,,,,Normal value,Units,Percentage (%),E12000008,52.1
2012/13,South West,,,,,,,Normal value,Units,Percentage (%),E12000009,53.3
2012/13,West Midlands,,,,,,,Normal value,Units,Percentage (%),E12000005,47.1
2012/13,Yorkshire and The Humber,,,,,,,Normal value,Units,Percentage (%),E12000003,46.6
2012/13,,,,,,,,Normal value,Units,Percentage (%),,48.9
2012/13,,,,White,,,,Normal value,Units,Percentage (%),,51.0
2012/13,,,,Mixed,,,,Normal value,Units,Percentage (%),,50.0
2012/13,,,,Asian,,,,Normal value,Units,Percentage (%),,43.0
2012/13,,,,Black/African/Caribbean/Black British,,,,Normal value,Units,Percentage (%),,47.0
2012/13,,,,Chinese,,,,Normal value,Units,Percentage (%),,46.0
2012/13,,,,Any other ethnic group,,,,Normal value,Units,Percentage (%),,41.0
2013/14,,,Boys,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,71.4
2013/14,,,Girls,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,83.2
2013/14,London,Barking and Dagenham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000002,74.2
2013/14,London,Barnet,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000003,81.2
2013/14,Yorkshire and The Humber,Barnsley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000016,75.7
2013/14,South West,Bath and North East Somerset,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000022,78.2
2013/14,East of England,Bedford,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000055,74.5
2013/14,London,Bexley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000004,85.6
2013/14,West Midlands,Birmingham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000025,72.2
2013/14,North West,Blackburn with Darwen,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000008,64.0
2013/14,North West,Blackpool,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000009,74.8
2013/14,North West,Bolton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000001,70.3
2013/14,South West,Bournemouth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000028,81.5
2013/14,South East,Bracknell Forest,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000036,82.3
2013/14,Yorkshire and The Humber,Bradford,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000032,71.2
2013/14,London,Brent,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000005,72.8
2013/14,South East,Brighton and Hove,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000043,80.4
2013/14,South West,"Bristol, City of",,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,74.9
2013/14,London,Bromley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000006,81.1
2013/14,South East,Buckinghamshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,79.8
2013/14,North West,Bury,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000002,70.2
2013/14,Yorkshire and The Humber,Calderdale,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000033,74.9
2013/14,East of England,Cambridgeshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,77.0
2013/14,London,Camden,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000007,73.4
2013/14,East of England,Central Bedfordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000056,80.1
2013/14,North West,Cheshire East,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000049,77.8
2013/14,North West,Cheshire West and Chester,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000050,81.2
2013/14,London,City of London,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000001,83.7
2013/14,South West,Cornwall,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000052,79.0
2013/14,North East,County Durham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000047,71.3
2013/14,West Midlands,Coventry,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000026,75.4
2013/14,London,Croydon,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000008,72.7
2013/14,North West,Cumbria,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,76.6
2013/14,North East,Darlington,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000005,70.7
2013/14,East Midlands,Derby,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000015,70.1
2013/14,East Midlands,Derbyshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,77.8
2013/14,South West,Devon,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,84.2
2013/14,Yorkshire and The Humber,Doncaster,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000017,72.7
2013/14,South West,Dorset,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,84.3
2013/14,West Midlands,Dudley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000027,72.6
2013/14,London,Ealing,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000009,78.2
2013/14,Yorkshire and The Humber,East Riding of Yorkshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000011,81.9
2013/14,South East,East Sussex,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,83.4
2013/14,London,Enfield,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000010,73.3
2013/14,East of England,Essex,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,78.1
2013/14,North East,Gateshead,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000037,83.5
2013/14,South West,Gloucestershire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,76.8
2013/14,London,Greenwich,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000011,83.5
2013/14,London,Hackney,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000012,78.3
2013/14,North West,Halton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000006,70.1
2013/14,London,Hammersmith and Fulham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000013,76.5
2013/14,South East,Hampshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,83.7
2013/14,London,Haringey,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000014,74.2
2013/14,London,Harrow,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000015,74.1
2013/14,North East,Hartlepool,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000001,75.7
2013/14,London,Havering,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000016,83.5
2013/14,West Midlands,Herefordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000019,76.9
2013/14,East of England,Hertfordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,81.2
2013/14,London,Hillingdon,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000017,69.4
2013/14,London,Hounslow,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000018,74.5
2013/14,South East,Isle of Wight,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000046,80.1
2013/14,London,Islington,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000019,78.2
2013/14,London,Kensington and Chelsea,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000020,72.9
2013/14,South East,Kent,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,82.5
2013/14,Yorkshire and The Humber,"Kingston upon Hull, City of",,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,68.7
2013/14,London,Kingston upon Thames,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000021,87.1
2013/14,Yorkshire and The Humber,Kirklees,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000034,77.0
2013/14,North West,Knowsley,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000011,78.7
2013/14,London,Lambeth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000022,71.7
2013/14,North West,Lancashire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,78.3
2013/14,Yorkshire and The Humber,Leeds,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000035,72.8
2013/14,East Midlands,Leicester,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000016,65.1
2013/14,East Midlands,Leicestershire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,77.6
2013/14,London,Lewisham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000023,86.4
2013/14,East Midlands,Lincolnshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,81.6
2013/14,North West,Liverpool,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000012,76.6
2013/14,East of England,Luton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000032,69.5
2013/14,North West,Manchester,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000003,67.7
2013/14,South East,Medway,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000035,78.5
2013/14,London,Merton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000024,80.4
2013/14,North East,Middlesbrough,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000002,66.0
2013/14,South East,Milton Keynes,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000042,79.4
2013/14,North East,Newcastle upon Tyne,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000021,74.6
2013/14,London,Newham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000025,78.5
2013/14,East of England,Norfolk,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,75.9
2013/14,Yorkshire and The Humber,North East Lincolnshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000012,75.9
2013/14,Yorkshire and The Humber,North Lincolnshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000013,79.9
2013/14,South West,North Somerset,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000024,85.5
2013/14,North East,North Tyneside,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000022,77.9
2013/14,Yorkshire and The Humber,North Yorkshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,80.2
2013/14,East Midlands,Northamptonshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,74.9
2013/14,North East,Northumberland,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000057,74.4
2013/14,East Midlands,Nottingham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000018,68.2
2013/14,East Midlands,Nottinghamshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,78.3
2013/14,North West,Oldham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000004,65.3
2013/14,South East,Oxfordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,80.1
2013/14,East of England,Peterborough,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000031,74.9
2013/14,South West,Plymouth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000026,75.6
2013/14,South West,Poole,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000029,80.9
2013/14,South East,Portsmouth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000044,79.2
2013/14,South East,Reading,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000038,78.5
2013/14,London,Redbridge,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000026,79.3
2013/14,North East,Redcar and Cleveland,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000003,71.1
2013/14,London,Richmond upon Thames,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000027,88.6
2013/14,North West,Rochdale,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000005,65.2
2013/14,Yorkshire and The Humber,Rotherham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000018,79.0
2013/14,East Midlands,Rutland,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000017,87.3
2013/14,North West,Salford,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000006,72.1
2013/14,West Midlands,Sandwell,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000028,71.1
2013/14,North West,Sefton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000014,77.8
2013/14,Yorkshire and The Humber,Sheffield,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000019,77.0
2013/14,West Midlands,Shropshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000051,82.5
2013/14,South East,Slough,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000039,75.1
2013/14,West Midlands,Solihull,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000029,75.2
2013/14,South West,Somerset,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,78.3
2013/14,South West,South Gloucestershire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000025,83.0
2013/14,North East,South Tyneside,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000023,71.5
2013/14,South East,Southampton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000045,79.9
2013/14,East of England,Southend-on-Sea,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000033,78.7
2013/14,London,Southwark,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000028,77.1
2013/14,North West,St. Helens,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000013,75.3
2013/14,West Midlands,Staffordshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,80.3
2013/14,North West,Stockport,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000007,77.7
2013/14,North East,Stockton-on-Tees,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000004,73.4
2013/14,West Midlands,Stoke-on-Trent,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000021,71.8
2013/14,East of England,Suffolk,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,75.9
2013/14,North East,Sunderland,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000024,76.0
2013/14,South East,Surrey,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,80.0
2013/14,London,Sutton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000029,78.1
2013/14,South West,Swindon,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000030,80.2
2013/14,North West,Tameside,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000008,71.6
2013/14,West Midlands,Telford and Wrekin,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000020,72.9
2013/14,East of England,Thurrock,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000034,80.7
2013/14,South West,Torbay,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000027,76.6
2013/14,London,Tower Hamlets,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000030,72.2
2013/14,North West,Trafford,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000009,83.2
2013/14,Yorkshire and The Humber,Wakefield,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000036,76.9
2013/14,West Midlands,Walsall,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000030,70.3
2013/14,London,Waltham Forest,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000031,77.1
2013/14,London,Wandsworth,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000032,78.0
2013/14,North West,Warrington,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000007,77.0
2013/14,West Midlands,Warwickshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,75.5
2013/14,South East,West Berkshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000037,84.3
2013/14,South East,West Sussex,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,80.2
2013/14,London,Westminster,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E09000033,72.2
2013/14,North West,Wigan,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000010,71.5
2013/14,South West,Wiltshire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000054,79.0
2013/14,South East,Windsor and Maidenhead,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000040,84.1
2013/14,North West,Wirral,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000015,76.2
2013/14,South East,Wokingham,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000041,82.6
2013/14,West Midlands,Wolverhampton,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E08000031,72.0
2013/14,West Midlands,Worcestershire,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),,76.3
2013/14,Yorkshire and The Humber,York,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E06000014,82.8
2013/14,East Midlands,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000004,75.8
2013/14,East of England,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000006,77.7
2013/14,London,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000007,77.6
2013/14,North East,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000001,74.0
2013/14,North West,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000002,74.4
2013/14,South East,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000008,81.2
2013/14,South West,,,,,Prime areas of learning,Communication and Language,Normal value,Units,Percentage (%),E12000009,79.8
