Year,Country,Sex,Cause of death,Observation status,Unit measure,Unit multiplier,GeoCode,Value
2018,,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2019,,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2020,,,"Victim of avalanche, landslide and other earth movements",Normal value,Deaths,,,0
2013,England,Female,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2014,England,Female,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2015,England,Female,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2016,England,Female,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2017,England,Female,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2018,England,Female,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2019,England,Female,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2020,England,Female,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2013,Wales,Female,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2014,Wales,Female,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2015,Wales,Female,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2016,Wales,Female,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2017,Wales,Female,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2018,Wales,Female,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2019,Wales,Female,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2020,Wales,Female,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2013,,Female,Victim of cataclysmic storm,Normal value,Deaths,,,0
2014,,Female,Victim of cataclysmic storm,Normal value,Deaths,,,0
2015,,Female,Victim of cataclysmic storm,Normal value,Deaths,,,0
2016,,Female,Victim of cataclysmic storm,Normal value,Deaths,,,0
2017,,Female,Victim of cataclysmic storm,Normal value,Deaths,,,0
2018,,Female,Victim of cataclysmic storm,Normal value,Deaths,,,0
2019,,Female,Victim of cataclysmic storm,Normal value,Deaths,,,0
2020,,Female,Victim of cataclysmic storm,Normal value,Deaths,,,0
2013,England,Male,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2014,England,Male,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2015,England,Male,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2016,England,Male,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2017,England,Male,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2018,England,Male,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2019,England,Male,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2020,England,Male,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2013,Wales,Male,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2014,Wales,Male,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2015,Wales,Male,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2016,Wales,Male,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2017,Wales,Male,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2018,Wales,Male,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2019,Wales,Male,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2020,Wales,Male,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2013,,Male,Victim of cataclysmic storm,Normal value,Deaths,,,0
2014,,Male,Victim of cataclysmic storm,Normal value,Deaths,,,0
2015,,Male,Victim of cataclysmic storm,Normal value,Deaths,,,0
2016,,Male,Victim of cataclysmic storm,Normal value,Deaths,,,0
2017,,Male,Victim of cataclysmic storm,Normal value,Deaths,,,0
2018,,Male,Victim of cataclysmic storm,Normal value,Deaths,,,0
2019,,Male,Victim of cataclysmic storm,Normal value,Deaths,,,0
2020,,Male,Victim of cataclysmic storm,Normal value,Deaths,,,0
2013,England,,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2014,England,,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2015,England,,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2016,England,,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2017,England,,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2018,England,,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2019,England,,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2020,England,,Victim of cataclysmic storm,Normal value,Deaths,,E92000001,0
2013,Wales,,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2014,Wales,,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2015,Wales,,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2016,Wales,,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2017,Wales,,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2018,Wales,,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2019,Wales,,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2020,Wales,,Victim of cataclysmic storm,Normal value,Deaths,,W92000004,0
2013,,,Victim of cataclysmic storm,Normal value,Deaths,,,0
2014,,,Victim of cataclysmic storm,Normal value,Deaths,,,0
2015,,,Victim of cataclysmic storm,Normal value,Deaths,,,0
2016,,,Victim of cataclysmic storm,Normal value,Deaths,,,0
2017,,,Victim of cataclysmic storm,Normal value,Deaths,,,0
2018,,,Victim of cataclysmic storm,Normal value,Deaths,,,0
2019,,,Victim of cataclysmic storm,Normal value,Deaths,,,0
2020,,,Victim of cataclysmic storm,Normal value,Deaths,,,0
2013,England,Female,Victim of earthquake,Normal value,Deaths,,E92000001,0
2014,England,Female,Victim of earthquake,Normal value,Deaths,,E92000001,0
2015,England,Female,Victim of earthquake,Normal value,Deaths,,E92000001,0
2016,England,Female,Victim of earthquake,Normal value,Deaths,,E92000001,0
2017,England,Female,Victim of earthquake,Normal value,Deaths,,E92000001,0
2018,England,Female,Victim of earthquake,Normal value,Deaths,,E92000001,0
2019,England,Female,Victim of earthquake,Normal value,Deaths,,E92000001,0
2020,England,Female,Victim of earthquake,Normal value,Deaths,,E92000001,0
2013,Wales,Female,Victim of earthquake,Normal value,Deaths,,W92000004,0
2014,Wales,Female,Victim of earthquake,Normal value,Deaths,,W92000004,0
2015,Wales,Female,Victim of earthquake,Normal value,Deaths,,W92000004,0
2016,Wales,Female,Victim of earthquake,Normal value,Deaths,,W92000004,0
2017,Wales,Female,Victim of earthquake,Normal value,Deaths,,W92000004,0
2018,Wales,Female,Victim of earthquake,Normal value,Deaths,,W92000004,0
2019,Wales,Female,Victim of earthquake,Normal value,Deaths,,W92000004,0
2020,Wales,Female,Victim of earthquake,Normal value,Deaths,,W92000004,0
2013,,Female,Victim of earthquake,Normal value,Deaths,,,0
2014,,Female,Victim of earthquake,Normal value,Deaths,,,0
2015,,Female,Victim of earthquake,Normal value,Deaths,,,0
2016,,Female,Victim of earthquake,Normal value,Deaths,,,0
2017,,Female,Victim of earthquake,Normal value,Deaths,,,0
2018,,Female,Victim of earthquake,Normal value,Deaths,,,0
2019,,Female,Victim of earthquake,Normal value,Deaths,,,0
2020,,Female,Victim of earthquake,Normal value,Deaths,,,0
2013,England,Male,Victim of earthquake,Normal value,Deaths,,E92000001,0
2014,England,Male,Victim of earthquake,Normal value,Deaths,,E92000001,0
2015,England,Male,Victim of earthquake,Normal value,Deaths,,E92000001,0
2016,England,Male,Victim of earthquake,Normal value,Deaths,,E92000001,0
2017,England,Male,Victim of earthquake,Normal value,Deaths,,E92000001,0
2018,England,Male,Victim of earthquake,Normal value,Deaths,,E92000001,0
2019,England,Male,Victim of earthquake,Normal value,Deaths,,E92000001,0
2020,England,Male,Victim of earthquake,Normal value,Deaths,,E92000001,0
2013,Wales,Male,Victim of earthquake,Normal value,Deaths,,W92000004,0
2014,Wales,Male,Victim of earthquake,Normal value,Deaths,,W92000004,0
2015,Wales,Male,Victim of earthquake,Normal value,Deaths,,W92000004,0
2016,Wales,Male,Victim of earthquake,Normal value,Deaths,,W92000004,0
2017,Wales,Male,Victim of earthquake,Normal value,Deaths,,W92000004,0
2018,Wales,Male,Victim of earthquake,Normal value,Deaths,,W92000004,0
2019,Wales,Male,Victim of earthquake,Normal value,Deaths,,W92000004,0
2020,Wales,Male,Victim of earthquake,Normal value,Deaths,,W92000004,0
2013,,Male,Victim of earthquake,Normal value,Deaths,,,0
2014,,Male,Victim of earthquake,Normal value,Deaths,,,0
2015,,Male,Victim of earthquake,Normal value,Deaths,,,0
2016,,Male,Victim of earthquake,Normal value,Deaths,,,0
2017,,Male,Victim of earthquake,Normal value,Deaths,,,0
2018,,Male,Victim of earthquake,Normal value,Deaths,,,0
2019,,Male,Victim of earthquake,Normal value,Deaths,,,0
2020,,Male,Victim of earthquake,Normal value,Deaths,,,0
2013,England,,Victim of earthquake,Normal value,Deaths,,E92000001,0
2014,England,,Victim of earthquake,Normal value,Deaths,,E92000001,0
2015,England,,Victim of earthquake,Normal value,Deaths,,E92000001,0
2016,England,,Victim of earthquake,Normal value,Deaths,,E92000001,0
2017,England,,Victim of earthquake,Normal value,Deaths,,E92000001,0
2018,England,,Victim of earthquake,Normal value,Deaths,,E92000001,0
2019,England,,Victim of earthquake,Normal value,Deaths,,E92000001,0
2020,England,,Victim of earthquake,Normal value,Deaths,,E92000001,0
2013,Wales,,Victim of earthquake,Normal value,Deaths,,W92000004,0
2014,Wales,,Victim of earthquake,Normal value,Deaths,,W92000004,0
2015,Wales,,Victim of earthquake,Normal value,Deaths,,W92000004,0
2016,Wales,,Victim of earthquake,Normal value,Deaths,,W92000004,0
2017,Wales,,Victim of earthquake,Normal value,Deaths,,W92000004,0
2018,Wales,,Victim of earthquake,Normal value,Deaths,,W92000004,0
2019,Wales,,Victim of earthquake,Normal value,Deaths,,W92000004,0
2020,Wales,,Victim of earthquake,Normal value,Deaths,,W92000004,0
2013,,,Victim of earthquake,Normal value,Deaths,,,0
2014,,,Victim of earthquake,Normal value,Deaths,,,0
2015,,,Victim of earthquake,Normal value,Deaths,,,0
2016,,,Victim of earthquake,Normal value,Deaths,,,0
2017,,,Victim of earthquake,Normal value,Deaths,,,0
2018,,,Victim of earthquake,Normal value,Deaths,,,0
2019,,,Victim of earthquake,Normal value,Deaths,,,0
2020,,,Victim of earthquake,Normal value,Deaths,,,0
2013,England,Female,Victim of flood,Normal value,Deaths,,E92000001,0
2014,England,Female,Victim of flood,Normal value,Deaths,,E92000001,0
2015,England,Female,Victim of flood,Normal value,Deaths,,E92000001,0
2016,England,Female,Victim of flood,Normal value,Deaths,,E92000001,1
2017,England,Female,Victim of flood,Normal value,Deaths,,E92000001,0
2018,England,Female,Victim of flood,Normal value,Deaths,,E92000001,0
2019,England,Female,Victim of flood,Normal value,Deaths,,E92000001,0
2020,England,Female,Victim of flood,Normal value,Deaths,,E92000001,0
2013,Wales,Female,Victim of flood,Normal value,Deaths,,W92000004,0
2014,Wales,Female,Victim of flood,Normal value,Deaths,,W92000004,0
2015,Wales,Female,Victim of flood,Normal value,Deaths,,W92000004,0
2016,Wales,Female,Victim of flood,Normal value,Deaths,,W92000004,0
2017,Wales,Female,Victim of flood,Normal value,Deaths,,W92000004,0
2018,Wales,Female,Victim of flood,Normal value,Deaths,,W92000004,0
2019,Wales,Female,Victim of flood,Normal value,Deaths,,W92000004,0
2020,Wales,Female,Victim of flood,Normal value,Deaths,,W92000004,0
2013,,Female,Victim of flood,Normal value,Deaths,,,0
2014,,Female,Victim of flood,Normal value,Deaths,,,0
2015,,Female,Victim of flood,Normal value,Deaths,,,0
2016,,Female,Victim of flood,Normal value,Deaths,,,1
2017,,Female,Victim of flood,Normal value,Deaths,,,0
2018,,Female,Victim of flood,Normal value,Deaths,,,0
2019,,Female,Victim of flood,Normal value,Deaths,,,0
2020,,Female,Victim of flood,Normal value,Deaths,,,0
2013,England,Male,Victim of flood,Normal value,Deaths,,E92000001,0
2014,England,Male,Victim of flood,Normal value,Deaths,,E92000001,0
2015,England,Male,Victim of flood,Normal value,Deaths,,E92000001,0
2016,England,Male,Victim of flood,Normal value,Deaths,,E92000001,0
2017,England,Male,Victim of flood,Normal value,Deaths,,E92000001,0
2018,England,Male,Victim of flood,Normal value,Deaths,,E92000001,0
2019,England,Male,Victim of flood,Normal value,Deaths,,E92000001,0
2020,England,Male,Victim of flood,Normal value,Deaths,,E92000001,0
2013,Wales,Male,Victim of flood,Normal value,Deaths,,W92000004,0
2014,Wales,Male,Victim of flood,Normal value,Deaths,,W92000004,0
2015,Wales,Male,Victim of flood,Normal value,Deaths,,W92000004,0
2016,Wales,Male,Victim of flood,Normal value,Deaths,,W92000004,0
2017,Wales,Male,Victim of flood,Normal value,Deaths,,W92000004,0
2018,Wales,Male,Victim of flood,Normal value,Deaths,,W92000004,0
2019,Wales,Male,Victim of flood,Normal value,Deaths,,W92000004,0
2020,Wales,Male,Victim of flood,Normal value,Deaths,,W92000004,0
2013,,Male,Victim of flood,Normal value,Deaths,,,0
2014,,Male,Victim of flood,Normal value,Deaths,,,0
2015,,Male,Victim of flood,Normal value,Deaths,,,0
2016,,Male,Victim of flood,Normal value,Deaths,,,0
2017,,Male,Victim of flood,Normal value,Deaths,,,0
2018,,Male,Victim of flood,Normal value,Deaths,,,0
2019,,Male,Victim of flood,Normal value,Deaths,,,0
2020,,Male,Victim of flood,Normal value,Deaths,,,0
2013,England,,Victim of flood,Normal value,Deaths,,E92000001,0
2014,England,,Victim of flood,Normal value,Deaths,,E92000001,0
2015,England,,Victim of flood,Normal value,Deaths,,E92000001,0
2016,England,,Victim of flood,Normal value,Deaths,,E92000001,1
2017,England,,Victim of flood,Normal value,Deaths,,E92000001,0
2018,England,,Victim of flood,Normal value,Deaths,,E92000001,0
2019,England,,Victim of flood,Normal value,Deaths,,E92000001,0
2020,England,,Victim of flood,Normal value,Deaths,,E92000001,0
2013,Wales,,Victim of flood,Normal value,Deaths,,W92000004,0
2014,Wales,,Victim of flood,Normal value,Deaths,,W92000004,0
2015,Wales,,Victim of flood,Normal value,Deaths,,W92000004,0
2016,Wales,,Victim of flood,Normal value,Deaths,,W92000004,0
2017,Wales,,Victim of flood,Normal value,Deaths,,W92000004,0
2018,Wales,,Victim of flood,Normal value,Deaths,,W92000004,0
2019,Wales,,Victim of flood,Normal value,Deaths,,W92000004,0
2020,Wales,,Victim of flood,Normal value,Deaths,,W92000004,0
2013,,,Victim of flood,Normal value,Deaths,,,0
2014,,,Victim of flood,Normal value,Deaths,,,0
2015,,,Victim of flood,Normal value,Deaths,,,0
2016,,,Victim of flood,Normal value,Deaths,,,1
2017,,,Victim of flood,Normal value,Deaths,,,0
2018,,,Victim of flood,Normal value,Deaths,,,0
2019,,,Victim of flood,Normal value,Deaths,,,0
2020,,,Victim of flood,Normal value,Deaths,,,0
2013,England,Female,Victim of lightning,Normal value,Deaths,,E92000001,1
2014,England,Female,Victim of lightning,Normal value,Deaths,,E92000001,0
2015,England,Female,Victim of lightning,Normal value,Deaths,,E92000001,0
2016,England,Female,Victim of lightning,Normal value,Deaths,,E92000001,0
2017,England,Female,Victim of lightning,Normal value,Deaths,,E92000001,1
2018,England,Female,Victim of lightning,Normal value,Deaths,,E92000001,0
2019,England,Female,Victim of lightning,Normal value,Deaths,,E92000001,0
2020,England,Female,Victim of lightning,Normal value,Deaths,,E92000001,0
2013,Wales,Female,Victim of lightning,Normal value,Deaths,,W92000004,0
2014,Wales,Female,Victim of lightning,Normal value,Deaths,,W92000004,0
2015,Wales,Female,Victim of lightning,Normal value,Deaths,,W92000004,0
2016,Wales,Female,Victim of lightning,Normal value,Deaths,,W92000004,0
2017,Wales,Female,Victim of lightning,Normal value,Deaths,,W92000004,0
2018,Wales,Female,Victim of lightning,Normal value,Deaths,,W92000004,0
2019,Wales,Female,Victim of lightning,Normal value,Deaths,,W92000004,0
2020,Wales,Female,Victim of lightning,Normal value,Deaths,,W92000004,0
2013,,Female,Victim of lightning,Normal value,Deaths,,,1
2014,,Female,Victim of lightning,Normal value,Deaths,,,0
2015,,Female,Victim of lightning,Normal value,Deaths,,,0
2016,,Female,Victim of lightning,Normal value,Deaths,,,0
2017,,Female,Victim of lightning,Normal value,Deaths,,,1
2018,,Female,Victim of lightning,Normal value,Deaths,,,0
2019,,Female,Victim of lightning,Normal value,Deaths,,,0
2020,,Female,Victim of lightning,Normal value,Deaths,,,0
2013,England,Male,Victim of lightning,Normal value,Deaths,,E92000001,0
2014,England,Male,Victim of lightning,Normal value,Deaths,,E92000001,2
2015,England,Male,Victim of lightning,Normal value,Deaths,,E92000001,2
2016,England,Male,Victim of lightning,Normal value,Deaths,,E92000001,0
2017,England,Male,Victim of lightning,Normal value,Deaths,,E92000001,1
2018,England,Male,Victim of lightning,Normal value,Deaths,,E92000001,0
2019,England,Male,Victim of lightning,Normal value,Deaths,,E92000001,0
2020,England,Male,Victim of lightning,Normal value,Deaths,,E92000001,0
2013,Wales,Male,Victim of lightning,Normal value,Deaths,,W92000004,0
2014,Wales,Male,Victim of lightning,Normal value,Deaths,,W92000004,0
2015,Wales,Male,Victim of lightning,Normal value,Deaths,,W92000004,0
2016,Wales,Male,Victim of lightning,Normal value,Deaths,,W92000004,0
2017,Wales,Male,Victim of lightning,Normal value,Deaths,,W92000004,0
2018,Wales,Male,Victim of lightning,Normal value,Deaths,,W92000004,0
2019,Wales,Male,Victim of lightning,Normal value,Deaths,,W92000004,0
2020,Wales,Male,Victim of lightning,Normal value,Deaths,,W92000004,0
2013,,Male,Victim of lightning,Normal value,Deaths,,,0
2014,,Male,Victim of lightning,Normal value,Deaths,,,2
2015,,Male,Victim of lightning,Normal value,Deaths,,,2
2016,,Male,Victim of lightning,Normal value,Deaths,,,0
2017,,Male,Victim of lightning,Normal value,Deaths,,,1
2018,,Male,Victim of lightning,Normal value,Deaths,,,0
2019,,Male,Victim of lightning,Normal value,Deaths,,,0
2020,,Male,Victim of lightning,Normal value,Deaths,,,0
2013,England,,Victim of lightning,Normal value,Deaths,,E92000001,1
2014,England,,Victim of lightning,Normal value,Deaths,,E92000001,2
2015,England,,Victim of lightning,Normal value,Deaths,,E92000001,2
2016,England,,Victim of lightning,Normal value,Deaths,,E92000001,0
2017,England,,Victim of lightning,Normal value,Deaths,,E92000001,2
2018,England,,Victim of lightning,Normal value,Deaths,,E92000001,0
2019,England,,Victim of lightning,Normal value,Deaths,,E92000001,0
2020,England,,Victim of lightning,Normal value,Deaths,,E92000001,0
2013,Wales,,Victim of lightning,Normal value,Deaths,,W92000004,0
2014,Wales,,Victim of lightning,Normal value,Deaths,,W92000004,0
2015,Wales,,Victim of lightning,Normal value,Deaths,,W92000004,0
2016,Wales,,Victim of lightning,Normal value,Deaths,,W92000004,0
2017,Wales,,Victim of lightning,Normal value,Deaths,,W92000004,0
2018,Wales,,Victim of lightning,Normal value,Deaths,,W92000004,0
2019,Wales,,Victim of lightning,Normal value,Deaths,,W92000004,0
2020,Wales,,Victim of lightning,Normal value,Deaths,,W92000004,0
2013,,,Victim of lightning,Normal value,Deaths,,,1
2014,,,Victim of lightning,Normal value,Deaths,,,2
2015,,,Victim of lightning,Normal value,Deaths,,,2
2016,,,Victim of lightning,Normal value,Deaths,,,0
2017,,,Victim of lightning,Normal value,Deaths,,,2
2018,,,Victim of lightning,Normal value,Deaths,,,0
2019,,,Victim of lightning,Normal value,Deaths,,,0
2020,,,Victim of lightning,Normal value,Deaths,,,0
2013,England,Female,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2014,England,Female,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2015,England,Female,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2016,England,Female,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2017,England,Female,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2018,England,Female,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2019,England,Female,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2020,England,Female,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2013,Wales,Female,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2014,Wales,Female,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2015,Wales,Female,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2016,Wales,Female,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2017,Wales,Female,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2018,Wales,Female,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2019,Wales,Female,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2020,Wales,Female,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2013,,Female,Victim of volcanic eruption,Normal value,Deaths,,,0
2014,,Female,Victim of volcanic eruption,Normal value,Deaths,,,0
2015,,Female,Victim of volcanic eruption,Normal value,Deaths,,,0
2016,,Female,Victim of volcanic eruption,Normal value,Deaths,,,0
2017,,Female,Victim of volcanic eruption,Normal value,Deaths,,,0
2018,,Female,Victim of volcanic eruption,Normal value,Deaths,,,0
2019,,Female,Victim of volcanic eruption,Normal value,Deaths,,,0
2020,,Female,Victim of volcanic eruption,Normal value,Deaths,,,0
2013,England,Male,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2014,England,Male,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2015,England,Male,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2016,England,Male,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2017,England,Male,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2018,England,Male,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2019,England,Male,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2020,England,Male,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2013,Wales,Male,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2014,Wales,Male,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2015,Wales,Male,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2016,Wales,Male,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2017,Wales,Male,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2018,Wales,Male,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2019,Wales,Male,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2020,Wales,Male,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2013,,Male,Victim of volcanic eruption,Normal value,Deaths,,,0
2014,,Male,Victim of volcanic eruption,Normal value,Deaths,,,0
2015,,Male,Victim of volcanic eruption,Normal value,Deaths,,,0
2016,,Male,Victim of volcanic eruption,Normal value,Deaths,,,0
2017,,Male,Victim of volcanic eruption,Normal value,Deaths,,,0
2018,,Male,Victim of volcanic eruption,Normal value,Deaths,,,0
2019,,Male,Victim of volcanic eruption,Normal value,Deaths,,,0
2020,,Male,Victim of volcanic eruption,Normal value,Deaths,,,0
2013,England,,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2014,England,,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2015,England,,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2016,England,,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2017,England,,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2018,England,,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2019,England,,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2020,England,,Victim of volcanic eruption,Normal value,Deaths,,E92000001,0
2013,Wales,,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2014,Wales,,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2015,Wales,,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2016,Wales,,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2017,Wales,,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2018,Wales,,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2019,Wales,,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2020,Wales,,Victim of volcanic eruption,Normal value,Deaths,,W92000004,0
2013,,,Victim of volcanic eruption,Normal value,Deaths,,,0
2014,,,Victim of volcanic eruption,Normal value,Deaths,,,0
2015,,,Victim of volcanic eruption,Normal value,Deaths,,,0
2016,,,Victim of volcanic eruption,Normal value,Deaths,,,0
2017,,,Victim of volcanic eruption,Normal value,Deaths,,,0
2018,,,Victim of volcanic eruption,Normal value,Deaths,,,0
2019,,,Victim of volcanic eruption,Normal value,Deaths,,,0
2020,,,Victim of volcanic eruption,Normal value,Deaths,,,0
2013,England,Female,,Normal value,Deaths,,E92000001,38
2014,England,Female,,Normal value,Deaths,,E92000001,30
2015,England,Female,,Normal value,Deaths,,E92000001,20
2016,England,Female,,Normal value,Deaths,,E92000001,20
2017,England,Female,,Normal value,Deaths,,E92000001,18
2018,England,Female,,Normal value,Deaths,,E92000001,26
2019,England,Female,,Normal value,Deaths,,E92000001,17
2020,England,Female,,Normal value,Deaths,,E92000001,17
2013,Wales,Female,,Normal value,Deaths,,W92000004,3
2014,Wales,Female,,Normal value,Deaths,,W92000004,4
2015,Wales,Female,,Normal value,Deaths,,W92000004,1
2016,Wales,Female,,Normal value,Deaths,,W92000004,1
2017,Wales,Female,,Normal value,Deaths,,W92000004,0
2018,Wales,Female,,Normal value,Deaths,,W92000004,2
2019,Wales,Female,,Normal value,Deaths,,W92000004,0
2020,Wales,Female,,Normal value,Deaths,,W92000004,2
2013,,Female,,Normal value,Deaths,,,41
2014,,Female,,Normal value,Deaths,,,34
2015,,Female,,Normal value,Deaths,,,21
2016,,Female,,Normal value,Deaths,,,21
2017,,Female,,Normal value,Deaths,,,18
2018,,Female,,Normal value,Deaths,,,28
2019,,Female,,Normal value,Deaths,,,17
2020,,Female,,Normal value,Deaths,,,19
2013,England,Male,,Normal value,Deaths,,E92000001,53
2014,England,Male,,Normal value,Deaths,,E92000001,34
2015,England,Male,,Normal value,Deaths,,E92000001,16
2016,England,Male,,Normal value,Deaths,,E92000001,28
2017,England,Male,,Normal value,Deaths,,E92000001,45
2018,England,Male,,Normal value,Deaths,,E92000001,27
2019,England,Male,,Normal value,Deaths,,E92000001,24
2020,England,Male,,Normal value,Deaths,,E92000001,29
2013,Wales,Male,,Normal value,Deaths,,W92000004,3
2014,Wales,Male,,Normal value,Deaths,,W92000004,3
2015,Wales,Male,,Normal value,Deaths,,W92000004,2
2016,Wales,Male,,Normal value,Deaths,,W92000004,4
2017,Wales,Male,,Normal value,Deaths,,W92000004,2
2018,Wales,Male,,Normal value,Deaths,,W92000004,2
2019,Wales,Male,,Normal value,Deaths,,W92000004,5
2020,Wales,Male,,Normal value,Deaths,,W92000004,1
2013,,Male,,Normal value,Deaths,,,56
2014,,Male,,Normal value,Deaths,,,37
2015,,Male,,Normal value,Deaths,,,18
2016,,Male,,Normal value,Deaths,,,32
2017,,Male,,Normal value,Deaths,,,47
2018,,Male,,Normal value,Deaths,,,29
2019,,Male,,Normal value,Deaths,,,29
2020,,Male,,Normal value,Deaths,,,30
2013,England,,,Normal value,Deaths,,E92000001,91
2014,England,,,Normal value,Deaths,,E92000001,64
2015,England,,,Normal value,Deaths,,E92000001,36
2016,England,,,Normal value,Deaths,,E92000001,48
2017,England,,,Normal value,Deaths,,E92000001,63
2018,England,,,Normal value,Deaths,,E92000001,53
2019,England,,,Normal value,Deaths,,E92000001,41
2020,England,,,Normal value,Deaths,,E92000001,46
2013,Wales,,,Normal value,Deaths,,W92000004,6
2014,Wales,,,Normal value,Deaths,,W92000004,7
2015,Wales,,,Normal value,Deaths,,W92000004,3
