Year,Series,Water area extent,Quality measure,Water type,Deviation level,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
2011 to 2015,Open water area,,,Permanent,,2060048790 (Central South East England),% change from baseline,Normal value,Units,4.93915181315305
2012 to 2016,Open water area,,,Permanent,,2060048790 (Central South East England),% change from baseline,Normal value,Units,8.58266748617086
2013 to 2017,Open water area,,,Permanent,,2060048790 (Central South East England),% change from baseline,Normal value,Units,10.59864781807
2014 to 2018,Open water area,,,Permanent,,2060048790 (Central South East England),% change from baseline,Normal value,Units,11.5648432698217
2015 to 2019,Open water area,,,Permanent,,2060048790 (Central South East England),% change from baseline,Normal value,Units,11.8303626306084
2016 to 2020,Open water area,,,Permanent,,2060048790 (Central South East England),% change from baseline,Normal value,Units,7.88690842040547
1984 to 1988,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-39.1701492537313
1985 to 1989,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-39.1223880597014
1986 to 1990,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-37.0865671641791
1998 to 2002,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-14.5850746268656
1999 to 2003,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,-10.8477611940298
2009 to 2013,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,0.107462686567173
2010 to 2014,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,7.36119402985075
2011 to 2015,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,12.865671641791
2012 to 2016,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,13.9164179104477
2013 to 2017,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,13.7791044776119
2014 to 2018,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,12.6507462686567
2015 to 2019,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,14.2029850746269
2016 to 2020,Open water area,,,Permanent,,2060048980 (Central South West England),% change from baseline,Normal value,Units,15.8029850746266
1984 to 1988,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,-23.7152531376087
1985 to 1989,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,-18.5555848421564
1986 to 1990,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,-17.3455526043672
1998 to 2002,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,-13.1874860607043
1999 to 2003,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,-6.71884187263032
2009 to 2013,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,-0.927799517446892
2010 to 2014,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,3.68930070355429
2011 to 2015,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,7.65637355284771
2012 to 2016,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,8.75651345268755
2013 to 2017,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,9.10889884633326
2014 to 2018,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,8.74232071531402
2015 to 2019,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,8.59633827375771
2016 to 2020,Open water area,,,Permanent,,2060048990 (South West England),% change from baseline,Normal value,Units,6.74479430668461
1984 to 1988,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,-8.54178718809055
1985 to 1989,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,-8.7477341972309
1986 to 1990,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,-11.5222337922789
1998 to 2002,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,-11.5268618149562
1999 to 2003,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,-5.53434378495121
2009 to 2013,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,-5.08234023680049
2010 to 2014,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,-1.6097805545914
2011 to 2015,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,1.66608816383197
2012 to 2016,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,1.76944733695857
2013 to 2017,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,3.7826372015889
2014 to 2018,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,4.45524316402478
2015 to 2019,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,3.76258243665391
2016 to 2020,Open water area,,,Permanent,,2060049660 (Severn),% change from baseline,Normal value,Units,3.30826487716437
1984 to 1988,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-69.0588235294117
1985 to 1989,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-67.6470588235294
1986 to 1990,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-64.5882352941176
1998 to 2002,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-44.8235294117647
1999 to 2003,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,-26.0
2009 to 2013,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,42.1176470588235
2010 to 2014,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,73.7647058823529
2011 to 2015,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,90.3529411764706
2012 to 2016,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,98.1176470588235
2013 to 2017,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,124.705882352941
2014 to 2018,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,135.176470588235
2015 to 2019,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,140.823529411764
2016 to 2020,Open water area,,,Permanent,,2060049670 (South East Wye),% change from baseline,Normal value,Units,134.941176470587
1984 to 1988,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,-3.9902183995278
1985 to 1989,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,-4.9903027236698
1986 to 1990,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,-4.98861624082975
1998 to 2002,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,-15.1581077662534
1999 to 2003,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,-12.8914748292436
2009 to 2013,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,-4.56193608230033
2010 to 2014,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,-4.67324394974279
2011 to 2015,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,-2.68656716417907
2012 to 2016,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,-4.07454254152962
2013 to 2017,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,2.86027489670293
2014 to 2018,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,2.38131377013239
2015 to 2019,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,1.84332574416057
2016 to 2020,Open water area,,,Permanent,,2060049680 (Wye),% change from baseline,Normal value,Units,1.75225567079836
1984 to 1988,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-5.84242469374837
1985 to 1989,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-4.12238894887737
1986 to 1990,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-5.01117027218227
1998 to 2002,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-9.32978366906203
1999 to 2003,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-4.45116729344301
2009 to 2013,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-1.65878541907135
2010 to 2014,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,-1.73734966675352
2011 to 2015,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,0.684551513571913
2012 to 2016,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,0.0355586997803389
2013 to 2017,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,4.71981233942736
2014 to 2018,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,3.94627099080315
2015 to 2019,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,3.00778195628702
2016 to 2020,Open water area,,,Permanent,,2060049690 (Wales & Dee),% change from baseline,Normal value,Units,2.23926723014466
1984 to 1988,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,-2.61007462686566
1985 to 1989,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,-2.38619402985072
1986 to 1990,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,-5.47201492537311
1998 to 2002,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,-11.2481343283581
1999 to 2003,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,-7.55503731343281
2009 to 2013,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,-0.124999999999967
2010 to 2014,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,1.93563432835822
2011 to 2015,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,5.15951492537317
2012 to 2016,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,3.36567164179106
2013 to 2017,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,2.53451492537314
2014 to 2018,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,2.45708955223881
2015 to 2019,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,0.296641791044788
2016 to 2020,Open water area,,,Permanent,,2060050410 (Mersey),% change from baseline,Normal value,Units,-0.973880597015154
1984 to 1988,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,-24.7031521949332
1985 to 1989,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,-14.1550634951331
1986 to 1990,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,-9.47737381550958
1998 to 2002,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,-15.3820988848063
1999 to 2003,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,-9.56004641268615
2009 to 2013,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,0.95967897892091
2010 to 2014,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,1.74112035067364
2011 to 2015,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,5.56323728485787
2012 to 2016,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,4.93118674659963
2013 to 2017,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,8.01617997808291
2014 to 2018,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,6.96206407529171
2015 to 2019,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,5.77644556178691
2016 to 2020,Open water area,,,Permanent,,2060050420 (North West England),% change from baseline,Normal value,Units,3.86450074131357
1984 to 1988,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-7.94364883603918
1985 to 1989,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-5.37127710488528
1986 to 1990,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-6.52996109904399
1998 to 2002,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-14.1211697284295
1999 to 2003,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-9.16221821350117
2009 to 2013,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-2.76454490790164
2010 to 2014,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-3.03010222238579
2011 to 2015,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-1.22715949391937
2012 to 2016,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,-1.31281522659493
2013 to 2017,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,3.07256194087552
2014 to 2018,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,2.44695603087541
2015 to 2019,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,1.64218483476304
2016 to 2020,Open water area,,,Permanent,,2060050790 (Galloway & Ayrshire),% change from baseline,Normal value,Units,0.545840542895214
1984 to 1988,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,0.352812328874273
1985 to 1989,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,2.12626144097628
1986 to 1990,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,1.72416490651646
1998 to 2002,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,-1.95102871000548
1999 to 2003,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,-1.78596573574278
2009 to 2013,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,6.74098411953376
2010 to 2014,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,6.08307908941564
2011 to 2015,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,6.27786904482518
2012 to 2016,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,4.84315106000156
2013 to 2017,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,7.89564265039507
2014 to 2018,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,6.99366345928186
2015 to 2019,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,7.37542048032547
2016 to 2020,Open water area,,,Permanent,,2060051150 (Clyde),% change from baseline,Normal value,Units,7.94649143393556
1984 to 1988,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,-8.40147241968706
1985 to 1989,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,-6.64127413751002
1986 to 1990,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,0.313038446258923
1998 to 2002,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,0.532982859277389
1999 to 2003,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,0.367921213758832
2009 to 2013,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,-3.14662731232885
2010 to 2014,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,-2.97591664555297
2011 to 2015,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,3.62299748702756
2012 to 2016,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,3.36796484441083
2013 to 2017,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,5.33511019801428
2014 to 2018,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,4.75803741672862
2015 to 2019,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,4.10524631799399
2016 to 2020,Open water area,,,Permanent,,2060051160 (North West Scotland),% change from baseline,Normal value,Units,3.62815662026232
1984 to 1988,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,-14.3801201529218
1985 to 1989,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,-3.74522119060621
1986 to 1990,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,-0.877935554341886
1998 to 2002,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,5.83970507919167
1999 to 2003,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,3.43664664117966
2009 to 2013,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,13.0611687602402
2010 to 2014,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,13.3615510649917
2011 to 2015,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,15.7209175314035
2012 to 2016,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,15.3140360458765
2013 to 2017,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,14.3282359366466
2014 to 2018,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,13.1075914800654
2015 to 2019,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,12.4412889131621
2016 to 2020,Open water area,,,Permanent,,2060052380 (Spey),% change from baseline,Normal value,Units,10.3495357728015
1984 to 1988,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,5.80139191856235
1985 to 1989,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,10.9598005609224
1986 to 1990,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,13.0975381738859
1998 to 2002,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,7.68567570374987
1999 to 2003,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,6.77365742183442
2009 to 2013,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,11.5404591253765
2010 to 2014,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,12.4317025033759
2011 to 2015,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,16.9720577542329
2012 to 2016,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,16.6614729406876
2013 to 2017,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,19.7288875038953
2014 to 2018,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,19.5564558013919
2015 to 2019,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,19.1752363145321
2016 to 2020,Open water area,,,Permanent,,"2060052390 (Dee, Scotland)",% change from baseline,Normal value,Units,18.1821959073437
1984 to 1988,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,-2.65097025141788
1985 to 1989,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,1.64312566548599
1986 to 1990,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,1.37139007801127
1998 to 2002,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,-1.01447228318735
1999 to 2003,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,-2.62956604880589
2009 to 2013,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,3.39685781959626
2010 to 2014,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,3.78180751428762
2011 to 2015,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,5.07018840044335
2012 to 2016,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,4.55713944240427
2013 to 2017,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,6.47558617092943
2014 to 2018,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,5.70383971837722
2015 to 2019,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,5.28270931571748
2016 to 2020,Open water area,,,Permanent,,2060052660 (Tay),% change from baseline,Normal value,Units,4.72359242921385
1984 to 1988,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-7.1773168411037
1985 to 1989,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-5.71189343482397
1986 to 1990,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-6.17834443387247
1998 to 2002,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-8.02953377735487
1999 to 2003,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,-8.24921027592764
2009 to 2013,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,0.901693625119008
2010 to 2014,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,1.45948620361569
2011 to 2015,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,2.06553758325412
2012 to 2016,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,2.09735490009525
2013 to 2017,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,3.59246431969561
2014 to 2018,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,3.40871550903909
2015 to 2019,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,3.37476688867754
2016 to 2020,Open water area,,,Permanent,,2060052670 (Firth of Forth),% change from baseline,Normal value,Units,3.30093244528999
1984 to 1988,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,5.27721570214488
1985 to 1989,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,6.42307914667284
1986 to 1990,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,4.51407758570851
1998 to 2002,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,-6.01954096086024
1999 to 2003,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,1.15742614326186
2009 to 2013,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,6.07735445452968
2010 to 2014,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,5.79522460542291
2011 to 2015,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,7.76666473955021
2012 to 2016,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,7.38856449095219
2013 to 2017,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,12.8646586113198
2014 to 2018,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,11.3268196797132
2015 to 2019,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,12.2495230386772
2016 to 2020,Open water area,,,Permanent,,2060052940 (Tweed),% change from baseline,Normal value,Units,13.3421980690291
1984 to 1988,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-9.22535211267604
1985 to 1989,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-4.85915492957746
1986 to 1990,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-14.2957746478873
1998 to 2002,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-27.2535211267605
1999 to 2003,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-8.38028169014085
2009 to 2013,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,-14.5070422535211
2010 to 2014,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,0.492957746478854
2011 to 2015,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,42.6760563380281
2012 to 2016,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,52.394366197183
2013 to 2017,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,59.3661971830985
2014 to 2018,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,59.8591549295774
2015 to 2019,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,57.1830985915492
2016 to 2020,Open water area,,,Permanent,,2060052950 (Northumberland Coast),% change from baseline,Normal value,Units,35.7042253521124
1984 to 1988,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-13.2778680532986
1985 to 1989,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-13.1091972700682
1986 to 1990,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-11.2807929801755
1998 to 2002,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-15.1309717257068
1999 to 2003,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,-7.67175820604485
2009 to 2013,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,0.0578485537861486
2010 to 2014,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,1.084822879428
2011 to 2015,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,3.78485537861553
2012 to 2016,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,3.34059148521287
2013 to 2017,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,5.42216444588884
2014 to 2018,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,4.88235294117646
2015 to 2019,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,4.20214494637636
2016 to 2020,Open water area,,,Permanent,,2060052960 (Northumbria & East Humber),% change from baseline,Normal value,Units,4.08059798505024
1984 to 1988,Open water area,,,Permanent,,2060053240 (North Humber),% change from baseline,Normal value,Units,-18.2225130890052
1985 to 1989,Open water area,,,Permanent,,2060053240 (North Humber),% change from baseline,Normal value,Units,-15.7120418848167
1986 to 1990,Open water area,,,Permanent,,2060053240 (North Humber),% change from baseline,Normal value,Units,-15.8435863874345
1998 to 2002,Open water area,,,Permanent,,2060053240 (North Humber),% change from baseline,Normal value,Units,-14.886780104712
1999 to 2003,Open water area,,,Permanent,,2060053240 (North Humber),% change from baseline,Normal value,Units,-7.6544502617801
