Year,Series,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2011,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,3.387614204943884
2012,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,3.119039378403807
2013,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,2.748884146867946
2014,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,2.7304045776983004
2015,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,2.8323039732880724
2016,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,2.6674592175602108
2017,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,3.258993029167476
2018,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,2.931827221490395
2019,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,2.527790103095077
2020,Death rate due to road traffic injuries,England,West Midlands,,,Normal value,Units,"Rate per 100,000 population",E12000005,1.8200088742284553
2009,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,3.9246888583252413
2010,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,3.2351447860503604
2011,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,3.2714270910470304
2012,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,2.7083466164569296
2013,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,3.091080079581262
2014,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,2.9476968506471035
2015,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,2.764270266970996
2016,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,2.543605320927421
2017,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,2.935709790408669
2018,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,3.321401229830928
2019,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,3.4163388586557035
2020,Death rate due to road traffic injuries,England,Yorkshire and The Humber,,,Normal value,Units,"Rate per 100,000 population",E12000003,2.6712862352254705
2009,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,4.146275328477146
2010,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,2.9180605323788327
2011,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.9493980921469642
2012,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.02530816667301
2013,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.601076040451439
2014,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.331138447288453
2015,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.3880957159627063
2016,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.308546006456483
2017,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.2958259803882353
2018,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.281685550165024
2019,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.108270250777147
2020,Death rate due to road traffic injuries,Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,2.2400401819038827
2009,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,4.128519275980046
2010,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,3.952719394929877
2011,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,3.5095001792486653
2012,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,3.1993375489310454
2013,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,3.228410008071025
2014,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,3.739995512005385
2015,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,3.0150753768844223
2016,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,3.5339611819342425
2017,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,2.6913434596667156
2018,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,2.942204078630404
2019,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,3.020152654988743
2020,Death rate due to road traffic injuries,Scotland,,,,Normal value,Units,"Rate per 100,000 population",S92000003,2.6161727039882914
2009,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,6.412640597145093
2010,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,3.0473733580890863
2011,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,3.251910635291057
2012,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,2.632107100437917
2013,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,3.1152222328491983
2014,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,4.292316536067956
2015,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,3.996498203466044
2016,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,3.651718428880367
2017,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,3.367482096220188
2018,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,2.9229805260408335
2019,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,2.95722531997442
2020,Death rate due to road traffic injuries,Nothern Ireland,,,,Normal value,Units,"Rate per 100,000 population",,2.954350016618219
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.7348141029083357
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.28192289870048926
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.4953893016827274
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,4.303448191815477
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,3.3703402131034625
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,2.4945037971140187
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,2.909830942179757
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,2.3188540223421583
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,2.476877217958558
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,4.846907549756792
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.307044364689409
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.809397566550623
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.4113591692601577
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.5928575220549736
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,4.117728024961899
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,3.4021701924682644
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,2.859295780098463
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,2.64746284625171
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,2.7205404048976223
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,2.2143059028808594
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,5.346375580156764
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,7.069117643208542
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.7941669077603115
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.31268402757873126
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.3946634658582556
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,3.8675938995152226
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,3.923852929861817
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,2.665847165500976
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,2.727707034912312
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,2.4721107569074343
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,2.7741416953652664
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,4.495895677990491
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,7.650524060898172
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,,Normal value,Units,"Rate per 100,000 population",K03000001,2.7635816755883833
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.3428006071262445
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.3226647045210875
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,3.9612048516102494
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,3.317356638716984
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,2.7687622094722433
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,2.578041231173854
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,2.867270188294408
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,2.9946100107034153
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,4.542730816677967
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,7.002925949787748
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.28688110094205
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.26287758421809165
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.3664133153471371
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,1.4289284751150806
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,1.1192161010428296
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,0.8543411760225975
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,1.059842692848314
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,1.0590228748940977
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,1.6231967298828958
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,3.610751135160802
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,4.630687255731248
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.4540524379571294
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.5802636507023827
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.3313472745858297
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,1.762467285845099
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,1.2964892691203806
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,1.2005537247791838
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,0.9212261695788746
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,1.2516527808662237
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,1.2508206603844962
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,4.1004015429366385
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,6.277362211899449
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.3965860914421817
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.3743757952143007
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.32357031803187275
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,1.5779936746524736
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,1.2899519423796895
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,1.0787483870872836
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,0.9876348121518588
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,1.1963529959149746
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,1.9534918667117471
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,3.178432817465537
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,5.518204556832992
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,,Normal value,Units,"Rate per 100,000 population",K03000001,1.4102212037495243
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.2706819995387579
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.3174400785558381
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,1.6183748118302121
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,1.0348050944604583
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,0.8550023500350307
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,0.9943613084734167
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,1.4979242324534678
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,2.2324425093963502
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,3.7789604701600847
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Female,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,4.606988802012653
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.2258515844986135
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.300037504688086
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.6184281921515546
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,7.050004890320293
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,5.622845645187708
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,4.157214982701779
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,4.811344241921651
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,3.621237632350621
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,3.3965814920610793
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,6.380082364409446
2015,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,9.448169079806178
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.20183278097667
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.2507704923377076
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.8420822166972272
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,6.359424667357023
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,5.492259246586125
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,4.538199738321947
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,4.423782071855763
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,4.238684158303293
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,3.251578575710051
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,6.882509472586599
2016,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,8.517004384405736
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.229103986150016
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.2540700755756847
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.4623931775427964
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,6.040198280929115
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,6.537627015120663
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,4.27468425119337
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,4.519199026202994
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,3.7909676565931782
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,3.6581133717316536
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,6.109738083914257
2017,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,11.454179701761795
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,,Normal value,Units,"Rate per 100,000 population",K03000001,4.152020829022042
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,0 to 4,Normal value,Units,"Rate per 100,000 population",K03000001,0.4112886392823836
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,5 to 14,Normal value,Units,"Rate per 100,000 population",K03000001,0.3276424362483429
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,15 to 24,Normal value,Units,"Rate per 100,000 population",K03000001,6.178954786392001
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,25 to 34,Normal value,Units,"Rate per 100,000 population",K03000001,5.576730692846192
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,35 to 44,Normal value,Units,"Rate per 100,000 population",K03000001,4.71134459543064
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,45 to 54,Normal value,Units,"Rate per 100,000 population",K03000001,4.208386563736355
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,55 to 64,Normal value,Units,"Rate per 100,000 population",K03000001,4.285220039476604
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,65 to 74,Normal value,Units,"Rate per 100,000 population",K03000001,3.8156226984019597
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,75 to 84,Normal value,Units,"Rate per 100,000 population",K03000001,5.472242921013414
2018,Death rate due to road traffic injuries (sex by age pre-2018),Great Britain,,Male,85 and over,Normal value,Units,"Rate per 100,000 population",K03000001,11.18316095539142
