Year,Units,Age,Sex,Region,Police Force Area,GeoCode,Value
2017/18,"Rate per 100,000 population",,,East Midlands,,E12000004,1.02689500899685
2017/18,"Rate per 100,000 population",,,,Staffordshire,E23000015,0.9767333242763508
2017/18,"Rate per 100,000 population",,,,Warwickshire,E23000017,2.30267003446919
2017/18,"Rate per 100,000 population",,,,West Mercia,E23000016,1.33580798310281
2017/18,"Rate per 100,000 population",,,,West Midlands,E23000014,1.4841388698386002
2017/18,"Rate per 100,000 population",,,West Midlands,,E12000005,1.43327442120454
2017/18,"Rate per 100,000 population",,,,Bedfordshire,E23000026,0.601865783930183
2017/18,"Rate per 100,000 population",,,,Cambridgeshire,E23000023,0.7082562612804559
2017/18,"Rate per 100,000 population",,,,Essex,E23000028,1.42827400228194
2017/18,"Rate per 100,000 population",,,,Hertfordshire,E23000027,0.5927511613688821
2017/18,"Rate per 100,000 population",,,,Norfolk,E23000024,0.890481861997573
2017/18,"Rate per 100,000 population",,,,Suffolk,E23000025,0.39631270657799794
2017/18,"Rate per 100,000 population",,,East,,E12000007,0.875425067504999
2017/18,"Rate per 100,000 population",,,,Metropolitan Police,E23000001,1.81460477851217
2017/18,"Rate per 100,000 population",,,London,,E12000007,1.8356938429808602
2017/18,"Rate per 100,000 population",,,,Hampshire,E23000030,1.01071918228775
2017/18,"Rate per 100,000 population",,,,Kent,E23000032,0.709509390629673
2017/18,"Rate per 100,000 population",,,,Surrey,E23000031,0.5061919935612371
2017/18,"Rate per 100,000 population",,,,Sussex,E23000033,1.77224626897854
2017/18,"Rate per 100,000 population",,,,Thames Valley,E23000029,0.919849345401756
2017/18,"Rate per 100,000 population",,,South East,,E12000008,1.28132270802344
2017/18,"Rate per 100,000 population",,,,Avon and Somerset,E23000036,0.825965524199019
2017/18,"Rate per 100,000 population",,,,Devon and Cornwall,E23000035,0.9147582522628829
2017/18,"Rate per 100,000 population",,,,Dorset,E23000039,0.38926207588274897
2017/18,"Rate per 100,000 population",,,,Gloucestershire,E23000037,0.477601295254712
2017/18,"Rate per 100,000 population",,,,Wiltshire,E23000038,0.13958565394482997
2017/18,"Rate per 100,000 population",,,South West,,E12000009,0.665549502852509
2017/18,"Rate per 100,000 population",,,,Dyfed-Powys,W15000004,1.3546097369347798
2017/18,"Rate per 100,000 population",,,,Gwent,W15000002,1.1909967451760302
2017/18,"Rate per 100,000 population",,,,North Wales,W15000001,1.43619557536867
2017/18,"Rate per 100,000 population",,,,South Wales,W15000003,0.7550680165269279
2017/18,"Rate per 100,000 population",,,Wales,,W92000004,1.0879425566329999
