Year,Series,Sex,Age,Country,Deprivation level,Household income (£),Region,Socio-economic classification,Urban or rural,Working status,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2018,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,95
2018,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,97
2018,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,94
2018,Percentage of individuals who use a mobile telephone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,95
2018,Percentage of individuals who use a mobile telephone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,94
2018,Percentage of individuals who use a mobile telephone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,96
2018,Percentage of individuals who use a mobile telephone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,97
2018,Percentage of individuals who use a mobile telephone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,95
2018,Percentage of individuals who use a mobile telephone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,94
2018,Percentage of individuals who use a mobile telephone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,94
2018,Percentage of individuals who use a mobile telephone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,96
2018,Percentage of individuals who use a mobile telephone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,92
2018,Percentage of individuals who use a mobile telephone,,,,,,,,,Working,Percentage (%),Units,Normal value,,98
2018,Percentage of individuals who use a mobile telephone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,89
2018,Percentage of individuals who use a mobile telephone,,,,Low,,,,,,Percentage (%),Units,Normal value,,95
2018,Percentage of individuals who use a mobile telephone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,94
2019,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,94
2019,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,95
2019,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,94
2019,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,95
2019,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,91
2019,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,95
2019,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,92
2019,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,94
2019,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,97
2019,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,89
2019,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,95
2019,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,96
2019,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,94
2019,Percentage of individuals who use a mobile telephone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,98
2019,Percentage of individuals who use a mobile telephone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,95
2019,Percentage of individuals who use a mobile telephone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,91
2019,Percentage of individuals who use a mobile telephone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,94
2019,Percentage of individuals who use a mobile telephone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,95
2019,Percentage of individuals who use a mobile telephone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,94
2019,Percentage of individuals who use a mobile telephone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,90
2019,Percentage of individuals who use a mobile telephone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,96
2019,Percentage of individuals who use a mobile telephone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,95
2019,Percentage of individuals who use a mobile telephone,,,,,,,,,Working,Percentage (%),Units,Normal value,,98
2019,Percentage of individuals who use a mobile telephone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,88
2019,Percentage of individuals who use a mobile telephone,,,,Low,,,,,,Percentage (%),Units,Normal value,,94
2019,Percentage of individuals who use a mobile telephone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,94
2020,Percentage of individuals who use a mobile telephone,Female,,,,,,,,,Percentage (%),Units,Normal value,,95
2020,Percentage of individuals who use a mobile telephone,Male,,,,,,,,,Percentage (%),Units,Normal value,,94
2020,Percentage of individuals who use a mobile telephone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,95
2020,Percentage of individuals who use a mobile telephone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,95
2020,Percentage of individuals who use a mobile telephone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,93
2020,Percentage of individuals who use a mobile telephone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,95
2020,Percentage of individuals who use a mobile telephone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,94
2020,Percentage of individuals who use a mobile telephone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,95
2020,Percentage of individuals who use a mobile telephone,,,,,,,AB,,,Percentage (%),Units,Normal value,,97
2020,Percentage of individuals who use a mobile telephone,,,,,,,DE,,,Percentage (%),Units,Normal value,,91
2020,Percentage of individuals who use a mobile telephone,,,,,,,C2,,,Percentage (%),Units,Normal value,,94
2020,Percentage of individuals who use a mobile telephone,,,,,,,C1,,,Percentage (%),Units,Normal value,,96
2020,Percentage of individuals who use a mobile telephone,,,,,,,,,,Percentage (%),Units,Normal value,,94
2020,Percentage of individuals who use a mobile telephone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,96
2020,Percentage of individuals who use a mobile telephone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,95
2020,Percentage of individuals who use a mobile telephone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,96
2020,Percentage of individuals who use a mobile telephone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,93
2020,Percentage of individuals who use a mobile telephone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,93
2020,Percentage of individuals who use a mobile telephone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,97
2020,Percentage of individuals who use a mobile telephone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,93
2020,Percentage of individuals who use a mobile telephone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,97
2020,Percentage of individuals who use a mobile telephone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,91
2020,Percentage of individuals who use a mobile telephone,,,,,,,,,Working,Percentage (%),Units,Normal value,,99
2020,Percentage of individuals who use a mobile telephone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,88
2020,Percentage of individuals who use a mobile telephone,,,,Low,,,,,,Percentage (%),Units,Normal value,,95
2020,Percentage of individuals who use a mobile telephone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,94
2011,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,47
2012,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,67
2013,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,77
2014,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,88
2015,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,92
2016,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,90
2017,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,96
2018,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,95
2019,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,98
2020,Percentage of individuals who use a smartphone,,16 to 24,,,,,,,,Percentage (%),Units,Normal value,,99
2011,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,43
2012,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,60
2013,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,73
2014,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,84
2015,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,89
2016,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,91
2017,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,96
2018,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,95
2019,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,97
2020,Percentage of individuals who use a smartphone,,25 to 34,,,,,,,,Percentage (%),Units,Normal value,,98
2011,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,29
2012,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,43
2013,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,60
2014,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,72
2015,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,81
2016,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,83
2017,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,89
2018,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,91
2019,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,93
2020,Percentage of individuals who use a smartphone,,35 to 54,,,,,,,,Percentage (%),Units,Normal value,,95
2015,Percentage of individuals who use a smartphone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,40
2017,Percentage of individuals who use a smartphone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,56
2018,Percentage of individuals who use a smartphone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,51
2019,Percentage of individuals who use a smartphone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,64
2020,Percentage of individuals who use a smartphone,,55 +,,,,,,,,Percentage (%),Units,Normal value,,70
2011,Percentage of individuals who use a smartphone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,16
2012,Percentage of individuals who use a smartphone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,19
2013,Percentage of individuals who use a smartphone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,32
2014,Percentage of individuals who use a smartphone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,39
2016,Percentage of individuals who use a smartphone,,55 to 64,,,,,,,,Percentage (%),Units,Normal value,,60
2016,Percentage of individuals who use a smartphone,,55+,,,,,,,,Percentage (%),Units,Normal value,,28
2011,Percentage of individuals who use a smartphone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,3
2012,Percentage of individuals who use a smartphone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,5
2013,Percentage of individuals who use a smartphone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,8
2014,Percentage of individuals who use a smartphone,,65 and over,,,,,,,,Percentage (%),Units,Normal value,,14
2017,Percentage of individuals who use a smartphone,,,,,Under 10.4K,,,,,Percentage (%),Units,Normal value,,62
2018,Percentage of individuals who use a smartphone,,,,,Under 10.4K,,,,,Percentage (%),Units,Normal value,,52
2019,Percentage of individuals who use a smartphone,,,,,Under 10.4K,,,,,Percentage (%),Units,Normal value,,71
2020,Percentage of individuals who use a smartphone,,,,,Under 10.4K,,,,,Percentage (%),Units,Normal value,,69
2015,Percentage of individuals who use a smartphone,,,,,Under 11.5K,,,,,Percentage (%),Units,Normal value,,55
2016,Percentage of individuals who use a smartphone,,,,,Under 11.5K,,,,,Percentage (%),Units,Normal value,,60
2017,Percentage of individuals who use a smartphone,,,,,10.4K- 15.59K,,,,,Percentage (%),Units,Normal value,,67
2018,Percentage of individuals who use a smartphone,,,,,10.4K- 15.59K,,,,,Percentage (%),Units,Normal value,,64
2019,Percentage of individuals who use a smartphone,,,,,10.4K- 15.59K,,,,,Percentage (%),Units,Normal value,,67
2020,Percentage of individuals who use a smartphone,,,,,10.4K- 15.59K,,,,,Percentage (%),Units,Normal value,,78
2015,Percentage of individuals who use a smartphone,,,,,11.5K- 17.5K,,,,,Percentage (%),Units,Normal value,,63
2016,Percentage of individuals who use a smartphone,,,,,11.5K- 17.5K,,,,,Percentage (%),Units,Normal value,,65
2017,Percentage of individuals who use a smartphone,,,,,15.6K- 25.99K,,,,,Percentage (%),Units,Normal value,,77
2018,Percentage of individuals who use a smartphone,,,,,15.6K- 25.99K,,,,,Percentage (%),Units,Normal value,,74
2019,Percentage of individuals who use a smartphone,,,,,15.6K- 25.99K,,,,,Percentage (%),Units,Normal value,,86
2020,Percentage of individuals who use a smartphone,,,,,15.6K- 25.99K,,,,,Percentage (%),Units,Normal value,,83
2015,Percentage of individuals who use a smartphone,,,,,17.5K- 29.9K,,,,,Percentage (%),Units,Normal value,,74
2016,Percentage of individuals who use a smartphone,,,,,17.5K- 29.9K,,,,,Percentage (%),Units,Normal value,,82
2017,Percentage of individuals who use a smartphone,,,,,26K+,,,,,Percentage (%),Units,Normal value,,93
2018,Percentage of individuals who use a smartphone,,,,,26K+,,,,,Percentage (%),Units,Normal value,,93
2019,Percentage of individuals who use a smartphone,,,,,26K+,,,,,Percentage (%),Units,Normal value,,96
2020,Percentage of individuals who use a smartphone,,,,,26K+,,,,,Percentage (%),Units,Normal value,,97
2015,Percentage of individuals who use a smartphone,,,,,30K+,,,,,Percentage (%),Units,Normal value,,83
2016,Percentage of individuals who use a smartphone,,,,,30K+,,,,,Percentage (%),Units,Normal value,,89
2011,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,26
2011,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,29
2011,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,29
2011,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,21
2011,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,18
2011,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,25
2011,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,27
2011,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,28
2011,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,36
2011,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,17
2011,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,25
2011,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,31
2011,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,28
2012,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,37
2012,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,41
2012,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,40
2012,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,34
2012,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,32
2012,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,39
2012,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,37
2012,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,40
2012,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,50
2012,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,28
2012,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,34
2012,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,44
2012,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,39
2013,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,50
2013,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,53
2013,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,52
2013,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,45
2013,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,45
2013,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,49
2013,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,51
2013,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,51
2013,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,60
2013,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,38
2013,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,46
2013,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,58
2013,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,51
2014,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,61
2014,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,61
2014,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,61
2014,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,55
2014,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,62
2014,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,57
2014,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,56
2014,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,62
2014,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,70
2014,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,47
2014,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,58
2014,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,68
2014,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,61
2015,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,70
2015,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,73
2015,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,72
2015,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,69
2015,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,70
2015,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,70
2015,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,64
2015,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,73
2015,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,75
2015,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,65
2015,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,69
2015,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,75
2015,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,71
2015,Percentage of individuals who use a smartphone,,,,,,London,,,,Percentage (%),Units,Missing value,E12000007,81
2015,Percentage of individuals who use a smartphone,,,,,,South East,,,,Percentage (%),Units,Missing value,E12000008,65
2015,Percentage of individuals who use a smartphone,,,,,,South West,,,,Percentage (%),Units,Missing value,E12000009,78
2015,Percentage of individuals who use a smartphone,,,,,,East Midlands,,,,Percentage (%),Units,Missing value,E12000004,66
2015,Percentage of individuals who use a smartphone,,,,,,West Midlands,,,,Percentage (%),Units,Missing value,E12000005,69
2015,Percentage of individuals who use a smartphone,,,,,,East of England,,,,Percentage (%),Units,Missing value,E12000006,72
2015,Percentage of individuals who use a smartphone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Missing value,,69
2015,Percentage of individuals who use a smartphone,,,,,,North East,,,,Percentage (%),Units,Missing value,E12000001,69
2015,Percentage of individuals who use a smartphone,,,,,,North West,,,,Percentage (%),Units,Missing value,E12000002,73
2015,Percentage of individuals who use a smartphone,,,,,,,,,Working,Percentage (%),Units,Normal value,,82
2015,Percentage of individuals who use a smartphone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,54
2015,Percentage of individuals who use a smartphone,,,,Low,,,,,,Percentage (%),Units,Normal value,,70
2015,Percentage of individuals who use a smartphone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,73
2016,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,72
2016,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,69
2016,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,76
2016,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,78
2016,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,78
2016,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,72
2016,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,72
2016,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,77
2016,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,81
2016,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,69
2016,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,75
2016,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,78
2016,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,76
2016,Percentage of individuals who use a smartphone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,87
2016,Percentage of individuals who use a smartphone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,72
2016,Percentage of individuals who use a smartphone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,74
2016,Percentage of individuals who use a smartphone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,74
2016,Percentage of individuals who use a smartphone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,75
2016,Percentage of individuals who use a smartphone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,76
2016,Percentage of individuals who use a smartphone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,78
2016,Percentage of individuals who use a smartphone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,71
2016,Percentage of individuals who use a smartphone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,73
2016,Percentage of individuals who use a smartphone,,,,,,,,,Working,Percentage (%),Units,Normal value,,87
2016,Percentage of individuals who use a smartphone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,59
2016,Percentage of individuals who use a smartphone,,,,Low,,,,,,Percentage (%),Units,Normal value,,75
2016,Percentage of individuals who use a smartphone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,77
2017,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,81
2017,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,81
2017,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,82
2017,Percentage of individuals who use a smartphone,,,Northern Ireland,,,,,,,Percentage (%),Units,Normal value,N92000002,81
2017,Percentage of individuals who use a smartphone,,,Scotland,,,,,,,Percentage (%),Units,Normal value,S92000003,78
2017,Percentage of individuals who use a smartphone,,,Wales,,,,,,,Percentage (%),Units,Normal value,W92000004,79
2017,Percentage of individuals who use a smartphone,,,,,,,,Rural,,Percentage (%),Units,Normal value,,75
2017,Percentage of individuals who use a smartphone,,,,,,,,Urban,,Percentage (%),Units,Normal value,,76
2017,Percentage of individuals who use a smartphone,,,,,,,AB,,,Percentage (%),Units,Normal value,,88
2017,Percentage of individuals who use a smartphone,,,,,,,DE,,,Percentage (%),Units,Normal value,,72
2017,Percentage of individuals who use a smartphone,,,,,,,C2,,,Percentage (%),Units,Normal value,,78
2017,Percentage of individuals who use a smartphone,,,,,,,C1,,,Percentage (%),Units,Normal value,,84
2017,Percentage of individuals who use a smartphone,,,,,,,,,,Percentage (%),Units,Normal value,,81
2017,Percentage of individuals who use a smartphone,,,,,,London,,,,Percentage (%),Units,Normal value,E12000007,92
2017,Percentage of individuals who use a smartphone,,,,,,South East,,,,Percentage (%),Units,Normal value,E12000008,78
2017,Percentage of individuals who use a smartphone,,,,,,South West,,,,Percentage (%),Units,Normal value,E12000009,75
2017,Percentage of individuals who use a smartphone,,,,,,East Midlands,,,,Percentage (%),Units,Normal value,E12000004,78
2017,Percentage of individuals who use a smartphone,,,,,,West Midlands,,,,Percentage (%),Units,Normal value,E12000005,81
2017,Percentage of individuals who use a smartphone,,,,,,East of England,,,,Percentage (%),Units,Normal value,E12000006,86
2017,Percentage of individuals who use a smartphone,,,,,,Yorkshire and the Humber,,,,Percentage (%),Units,Normal value,,82
2017,Percentage of individuals who use a smartphone,,,,,,North East,,,,Percentage (%),Units,Normal value,E12000001,75
2017,Percentage of individuals who use a smartphone,,,,,,North West,,,,Percentage (%),Units,Normal value,E12000002,80
2017,Percentage of individuals who use a smartphone,,,,,,,,,Working,Percentage (%),Units,Normal value,,91
2017,Percentage of individuals who use a smartphone,,,,,,,,,Not-working,Percentage (%),Units,Normal value,,66
2017,Percentage of individuals who use a smartphone,,,,Low,,,,,,Percentage (%),Units,Normal value,,80
2017,Percentage of individuals who use a smartphone,,,,Medium/high,,,,,,Percentage (%),Units,Normal value,,83
2018,Percentage of individuals who use a smartphone,Female,,,,,,,,,Percentage (%),Units,Normal value,,78
2018,Percentage of individuals who use a smartphone,Male,,,,,,,,,Percentage (%),Units,Normal value,,79
2018,Percentage of individuals who use a smartphone,,,England,,,,,,,Percentage (%),Units,Normal value,E92000001,79
