Year,Series,Seasonally adjusted or not,Age,Sex,Units,Unit multiplier,Observation status,Value
2007 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,8.055563156
2007 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.950253626
2007 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.892952577
2007 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.937389226
2008 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.038854532
2008 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.40162144
2008 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.386480352
2008 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.021426988
2009 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.292356486
2009 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.257703275
2009 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.895017052
2009 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.063558439
2010 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.968487002
2010 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.767101079
2010 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.80133328
2010 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.576200178
2011 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.808415739
2011 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.915470952
2011 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.756373289
2011 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.357765346
2012 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.217492
2012 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.124519516
2012 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.893514123
2012 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.563278314
2013 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.160489751
2013 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.699327099
2013 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.161065554
2013 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.419811051
2014 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.675932202
2014 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.828858174
2014 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.73776285
2014 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.241923938
2015 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.594381635
2015 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.255361785
2015 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.572276085
2015 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.352768941
2016 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.115156776
2016 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.317498197
2016 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.128645285
2016 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.295025338
2017 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.226303428
2017 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.683494868
2017 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.699421398
2017 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.437734399
2018 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.293671916
2018 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.0298747
2018 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.468690996
2018 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.838930286
2019 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.684027705
2019 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.982895861
2019 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.838896963
2019 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.523553715
2020 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.383277072
2020 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.198195712
2020 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.205349959
2020 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.507036282
2021 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.282405891
2021 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.695639066
2001 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.707022444
2002 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.540962325
2002 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.316225652
2002 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,11.33057404
2002 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.983433036
2003 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,8.234654576
2003 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.746001384
2003 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,11.46252314
2003 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.255073228
2004 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.88086946
2004 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.972091984
2004 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,11.30632435
2004 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.966056151
2005 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.864552504
2005 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.418258823
2005 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,11.43012503
2005 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,8.469210661
2006 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.620419068
2006 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.810612177
2006 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,11.53274444
2006 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.56963673
2007 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.064953582
2007 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.027088523
2007 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,10.33856368
2007 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.266617835
2008 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.046734214
2008 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.660977801
2008 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,9.691958716
2008 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.380955342
2009 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.270187928
2009 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.63011581
2009 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,8.11993554
2009 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.431323162
2010 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.995600785
2010 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.215322495
2010 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,7.950615865
2010 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.991191145
2011 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.895862621
2011 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.393296024
2011 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,8.761839504
2011 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.768256956
2012 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.45508248
2012 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.619304991
2012 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.820833252
2012 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.994108597
2013 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.411908498
2013 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.237928487
2013 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.972119071
2013 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.864448551
2014 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,2.931934501
2014 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.462366822
2014 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.483808941
2014 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.69597974
2015 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,2.814978576
2015 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,2.965766456
2015 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.231785622
2015 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,2.791848492
2016 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.329697641
2016 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.102296935
2016 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.763920633
2016 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.710236545
2017 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.421787355
2017 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.490241368
2017 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.287859993
2017 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.839458251
2018 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.483725662
2018 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.859646484
2018 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,5.047545676
2018 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.25372963
2019 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,2.694385568
2019 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.810634932
2019 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,6.587879719
2019 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.030700341
2020 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.390350831
2020 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.815678148
2020 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,4.686625218
2020 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.098758969
2021 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,2.274309712
2021 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,16 to 17,,Percentage (%),Units,Normal value,3.606325969
2001 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.44818213
2002 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.67429073
2002 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.51485605
2002 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.73142163
2002 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.21737574
2003 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.28745552
2003 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.34929757
2003 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.03469208
2003 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.4460047
2004 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,16.82493472
2004 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.78557112
2004 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.40483938
2004 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.6330462
2005 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.8629776
2005 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.23602679
2005 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.68637143
2005 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.68025524
2006 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.68012871
2006 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.38767939
2006 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.86100643
2006 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.12179281
2007 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.48000503
2007 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.43750152
2007 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.11080506
2007 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.11065243
2008 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.18325494
2008 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.66576564
2008 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.6498947
2008 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.76861755
2009 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.16275487
2009 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.5759235
2009 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.96905663
2009 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.58248828
2010 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,20.24322669
2010 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.27344744
2010 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,20.31268477
2010 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,20.39288242
2011 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.38391319
2011 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,20.52154412
2011 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,21.2370717
2011 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,20.36389037
2012 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,20.05389747
2012 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,20.20917123
2012 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.32303602
2012 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.10595434
2013 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.55011339
2013 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.25223367
2013 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.08869727
2013 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.74908047
2014 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.30281023
2014 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,16.84494014
2014 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.25496289
2014 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,18.14810857
2015 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,17.2701598
2015 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,16.73173753
2015 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,15.40042499
2015 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,15.68429259
2016 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,15.37378187
2016 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,14.34293298
2016 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,14.30313986
2016 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.52509981
2017 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.33596017
2017 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.49525237
2017 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,12.52065095
2017 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,12.8462912
2018 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.63674546
2018 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.40524274
2018 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,14.0310409
2018 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.97240513
2019 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.4041119
2019 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.16438216
2019 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.14557725
2019 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,12.98817412
2020 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,13.01947624
2020 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,12.95335594
2020 Q3,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,11.97586337
2020 Q4,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,12.21101008
2021 Q1,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,11.04879543
2021 Q2,"Proportion of youth not in education, employment or training",Seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,10.06201355
2001 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,16.88839315
2002 Q1,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,16.9936431
2002 Q2,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,16.97754214
2002 Q3,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,19.39359963
2002 Q4,"Proportion of youth not in education, employment or training",Not seasonally adjusted,18 to 24,Female,Percentage (%),Units,Normal value,16.64672745
