Year,Series,Sector,Age,Sex,Country,Region,Observation status,Unit multiplier,Units,GeoCode,Value
2009,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.66898057943
2008,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.67053352875
2013,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.68126571176
2010,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.71051884197
2012,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.73668876696
2011,Public sector employment,,18 to 24,Male,,,Undefined,Units,Percentage (%),,4.74659574534
2007,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.53411846151
2006,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.56236967664
2008,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.56294313456
2009,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.58210409729
2000,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,6.58489746258
2010,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.60799067474
2005,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.60918139913
2004,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.64541586436
2001,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,6.64561929982
2011,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.67276657105
2012,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.68931950899
2002,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,6.69528623417
2013,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.73993123914
2003,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,6.74407296639
2014,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.75027283106
2003,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.76972832584
2015,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.77052787286
2004,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,6.78841583014
2016,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.81529265133
2005,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,6.81981722031
2006,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,6.83703358572
2007,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,6.88217165703
2002,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,6.93643062472
2008,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,6.97353438739
2009,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,7.09346856046
2001,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.13007605635
2007,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.1385782522
2010,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,7.213050094
2000,Public sector employment,,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.28948011724
2011,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,7.3279456024
2013,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.33275965194
2006,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.3404061719
2008,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.4418332021
2015,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.51888870532
2009,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.56083935641
2012,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,7.59631068379
2004,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.64162000498
2014,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.64642236165
2002,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.75110907305
2016,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.76886394711
2003,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.78605077905
2013,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,7.79332662295
2010,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.79641284934
2012,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.85414723108
2001,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.90060087268
2005,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.90987965283
2011,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,7.95620954698
2014,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,7.95679169751
2015,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,8.06677201244
2016,Public sector employment,,65 and over,Male,,,Undefined,Units,Percentage (%),,8.16474316207
2000,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.53181138865
2000,Public sector employment,Public sector,25 to 34,Male,,,Undefined,Units,Percentage (%),,8.56485700014
2001,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.59866294083
2002,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.64505091048
2003,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.68252653041
2004,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.71810386339
2005,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.74798777673
2006,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.81470415136
2007,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.85067819435
2008,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.88700061847
2009,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.91878518263
2012,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.93793472823
2013,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.95211832641
2010,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.95410725039
2011,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,8.99767552085
2014,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,9.00800554183
2015,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,9.08797252356
2016,Public sector employment,,50 to 64,Male,,,Undefined,Units,Percentage (%),,9.17044395558
2000,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,9.6928512743
2002,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,9.77184971225
2016,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,9.78853691535
2004,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,9.8498252516
2015,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,9.89170885704
2001,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,9.90496985404
2005,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,9.98248355525
2014,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.004696521
2012,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.0936005803
2010,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.1307896378
2014,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.1493577263
2013,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.1508768634
2006,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.1631679582
2016,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.1782076725
2011,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.1947328607
2003,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.2503841154
2007,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.2697480207
2015,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.3136940447
2012,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.3212038359
2008,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.4016582754
2000,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.4450144529
2009,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.4653375267
2013,Public sector employment,Public sector,50 to 64,Male,,,Undefined,Units,Percentage (%),,10.4695503042
2011,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.5086873073
2001,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.5645057934
2010,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.675823895
2002,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.6934921335
2003,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.798288811
2009,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.8047951955
2004,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.8636921704
2008,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.8909886637
2005,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.9280516422
2007,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.9529391955
2006,Public sector employment,,35 to 49,Male,,,Undefined,Units,Percentage (%),,10.9659010848
2016,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,12.7680089916
2015,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,12.9185801811
2014,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,13.0703313491
2013,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,13.3084516429
2012,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,13.8758964889
2011,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,13.9631696497
2010,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,14.0818771025
2009,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,14.0951748905
2008,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,14.1780832571
2007,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,14.4700588668
2003,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,14.8935208128
2005,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,14.9895680222
2006,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,15.0190494313
2004,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,15.0889781
2002,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,15.2449257591
2001,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,15.6198128283
2000,Public sector employment,Public sector,35 to 49,Male,,,Undefined,Units,Percentage (%),,15.938509508
2013,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,33.9475857164
2014,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,34.1538607435
2016,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,34.1866640128
2015,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,34.2844308769
2012,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,34.6033104925
2007,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,35.0169331186
2011,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,35.1810710378
2010,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,35.3015095629
2008,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,35.3354522141
2009,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,35.3834392864
2006,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,35.6823592974
2004,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,35.7183609674
2005,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,35.8951885473
2002,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,35.9305590857
2003,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,36.1736743307
2001,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,36.4793769329
2000,Public sector employment,Public sector,,Male,,,Undefined,Units,Percentage (%),,37.3404896643
2013,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.48883545173
2009,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.55098863459
2008,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.56162558294
2010,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.58921614462
2014,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.65204836672
2012,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.68444368717
2015,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.69792046698
2011,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.71952396269
2016,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.7570435419
2017,Public sector employment,Public sector,,,England,East,Undefined,Units,Percentage (%),E12000006,7.81877968579
2000,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.12774864478
2001,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.13582720936
2002,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.15122723186
2003,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.17914050924
2004,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.18854137399
2005,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.20766654005
2006,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.21677515702
2007,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.2198618456
2008,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.23326062991
2009,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.2377097731
2010,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.25342947523
2011,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.26349777661
2012,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.27296949707
2013,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.28828524236
2014,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.31685079151
2015,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.33258766229
2016,Public sector employment,,,,England,East,Undefined,Units,Percentage (%),E12000006,9.33849768037
2013,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.16626588801
2012,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.18504004089
2010,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.20227520648
2009,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.21205044372
2016,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.22027076473
2015,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.22035753375
2017,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.26598465473
2008,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.27914723518
2014,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.28045479155
2011,Public sector employment,Public sector,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,6.32036024445
2000,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.07820432559
2001,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.087477993
2002,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.11143747253
2003,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.13500698614
2004,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.15838189073
2005,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.16582891482
2011,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.16984688903
2012,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.17012612662
2013,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.17320659423
2006,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.17883701346
2014,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.17901884602
2010,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.18150106336
2009,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.18216847842
2015,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.18328299445
2007,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.18336667668
2008,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.18352319234
2016,Public sector employment,,,,England,East Midlands,Undefined,Units,Percentage (%),E12000004,7.19661393162
2008,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,12.2085276482
2000,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.2893455353
2001,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.3871246901
2004,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.3981399012
2003,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.3997835425
2002,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.4258180362
2005,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.44595476
2006,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.4908620039
2007,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.5466227271
2008,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.6361765827
2009,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,12.6420675697
2009,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.7570382281
2010,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.8450683193
2011,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,12.8980379543
2010,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,12.9499766246
2011,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,12.9641908856
2012,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,13.0005111603
2012,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,13.0419356211
2013,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,13.1291742223
2014,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,13.2184494354
2013,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,13.2600480934
2015,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,13.3216225935
2016,Public sector employment,,,,England,London,Undefined,Units,Percentage (%),E12000007,13.3863709045
2014,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,13.3910846418
2015,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,13.5534476468
2016,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,13.5748261983
2017,Public sector employment,Public sector,,,England,London,Undefined,Units,Percentage (%),E12000007,13.6097917428
2016,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.01664305236
2015,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.03105456833
2014,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.05393447646
2013,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.0721540724
2012,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.0849364642
2011,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.1027653488
2010,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.12187766573
2009,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.13655781614
2008,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.15586418765
2007,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.1782186049
2006,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.19643445902
2005,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.21617096216
2004,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.23767568784
2003,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.25989804728
2002,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.27957723787
2001,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.29700626339
2000,Public sector employment,,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.31922391146
2017,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.32955791012
2015,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.34148121124
2016,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.37248444932
2014,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.40353726764
2013,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.43146684988
2012,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.48117226103
2011,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.53522032808
2010,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.65949820789
2009,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.7018527168
2008,Public sector employment,Public sector,,,England,North East,Undefined,Units,Percentage (%),E12000001,4.84676882079
2016,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,10.9974668861
2015,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.0180175916
2014,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.0423369274
2013,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.0805530507
2012,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.1205300429
2011,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.1494743356
2010,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.1854395296
2009,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.2208504123
2014,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.2254105757
2008,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.255455264
2017,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.2714651078
2015,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.2732579351
2016,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.2879619466
2012,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.2966433805
2007,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.300361266
2013,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.3191343181
2006,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.3462399889
2005,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.3717074373
2011,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.386297845
2004,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.4100541575
2003,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.4269641718
2002,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.4289608792
2001,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.4576881004
2010,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.5007012623
2000,Public sector employment,,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.5039491941
2009,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.5678032072
2008,Public sector employment,Public sector,,,England,North West,Undefined,Units,Percentage (%),E12000002,11.5756162558
2008,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.3424383744
2009,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.3965436712
2010,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.407199626
2012,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.5011075141
2013,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.5080728272
2011,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.579285944
2014,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.6044035373
2017,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.7464377055
2015,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.7657789128
2016,Public sector employment,Public sector,,,England,South East,Undefined,Units,Percentage (%),E12000008,11.800219539
2002,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.5519249616
2003,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.5619998316
2004,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.5663896886
2000,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.5695907003
2001,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.5730665476
2005,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.5779691868
2006,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.5973365278
2007,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.6195645482
2008,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.6297070324
2009,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.6377380671
2010,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.6676949526
2011,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.6726936471
2012,Public sector employment,,,,England,South East,Undefined,Units,Percentage (%),E12000008,13.6955229438
