Year,Units,Subject,Sex,Special Educational Needs,Free School Meals,Ethnicity,Ethnic group,Region,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2018,Attainment at age 7,Reading,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 7,Maths,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,66.0
2016,Attainment at age 7,Maths,,,,Black,Black African,,Percentage (%),Units,Undefined,,74.0
2016,Attainment at age 7,Maths,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,68.0
2017,Attainment at age 7,Maths,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,68.0
2017,Attainment at age 7,Maths,,,,Black,Black African,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 7,Maths,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,70.0
2018,Attainment at age 7,Maths,,,,Black,Black Caribbean,,Percentage (%),Units,Undefined,,69.0
2018,Attainment at age 7,Maths,,,,Black,Black African,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 7,Maths,,,,Black,Any other black background,,Percentage (%),Units,Undefined,,72.0
2016,Attainment at age 11,Reading,,,,,,,Percentage (%),Units,Undefined,,66.0
2016,Attainment at age 11,Reading,Boys,,,,,,Percentage (%),Units,Undefined,,62.0
2016,Attainment at age 11,Reading,Girls,,,,,,Percentage (%),Units,Undefined,,70.0
2016,Attainment at age 11,Maths,,,,,,,Percentage (%),Units,Undefined,,70.0
2016,Attainment at age 11,Maths,Boys,,,,,,Percentage (%),Units,Undefined,,70.0
2016,Attainment at age 11,Maths,Girls,,,,,,Percentage (%),Units,Undefined,,70.0
2017,Attainment at age 11,Reading,,,,,,,Percentage (%),Units,Undefined,,72.0
2017,Attainment at age 11,Reading,Boys,,,,,,Percentage (%),Units,Undefined,,68.0
2017,Attainment at age 11,Reading,Girls,,,,,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 11,Maths,,,,,,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 11,Maths,Boys,,,,,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 11,Maths,Girls,,,,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Reading,,,,,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Reading,Boys,,,,,,Percentage (%),Units,Undefined,,72.0
2018,Attainment at age 11,Reading,Girls,,,,,,Percentage (%),Units,Undefined,,79.0
2018,Attainment at age 11,Maths,,,,,,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 11,Maths,Boys,,,,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Maths,Girls,,,,,,Percentage (%),Units,Undefined,,76.0
2016,Attainment at age 11,Reading,,Special educational needs,,,,,Percentage (%),Units,Undefined,,29.0
2016,Attainment at age 11,Reading,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,30.0
2016,Attainment at age 11,Reading,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,28.0
2016,Attainment at age 11,Maths,,Special educational needs,,,,,Percentage (%),Units,Undefined,,32.0
2016,Attainment at age 11,Maths,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,35.0
2016,Attainment at age 11,Maths,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,27.0
2017,Attainment at age 11,Reading,,Special educational needs,,,,,Percentage (%),Units,Undefined,,34.0
2017,Attainment at age 11,Reading,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,35.0
2017,Attainment at age 11,Reading,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,32.0
2017,Attainment at age 11,Maths,,Special educational needs,,,,,Percentage (%),Units,Undefined,,36.0
2017,Attainment at age 11,Maths,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,39.0
2017,Attainment at age 11,Maths,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,31.0
2018,Attainment at age 11,Reading,,Special educational needs,,,,,Percentage (%),Units,Undefined,,38.0
2018,Attainment at age 11,Reading,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,39.0
2018,Attainment at age 11,Reading,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,38.0
2018,Attainment at age 11,Maths,,Special educational needs,,,,,Percentage (%),Units,Undefined,,37.0
2018,Attainment at age 11,Maths,Boys,Special educational needs,,,,,Percentage (%),Units,Undefined,,40.0
2018,Attainment at age 11,Maths,Girls,Special educational needs,,,,,Percentage (%),Units,Undefined,,31.0
2016,Attainment at age 11,Reading,,No special educational needs,,,,,Percentage (%),Units,Undefined,,74.0
2016,Attainment at age 11,Reading,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,72.0
2016,Attainment at age 11,Reading,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,76.0
2016,Attainment at age 11,Maths,,No special educational needs,,,,,Percentage (%),Units,Undefined,,78.0
2016,Attainment at age 11,Maths,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,80.0
2016,Attainment at age 11,Maths,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 11,Reading,,No special educational needs,,,,,Percentage (%),Units,Undefined,,80.0
2017,Attainment at age 11,Reading,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 11,Reading,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,81.0
2017,Attainment at age 11,Maths,,No special educational needs,,,,,Percentage (%),Units,Undefined,,83.0
2017,Attainment at age 11,Maths,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,85.0
2017,Attainment at age 11,Maths,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,82.0
2018,Attainment at age 11,Reading,,No special educational needs,,,,,Percentage (%),Units,Undefined,,83.0
2018,Attainment at age 11,Reading,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,81.0
2018,Attainment at age 11,Reading,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,85.0
2018,Attainment at age 11,Maths,,No special educational needs,,,,,Percentage (%),Units,Undefined,,84.0
2018,Attainment at age 11,Maths,Boys,No special educational needs,,,,,Percentage (%),Units,Undefined,,86.0
2018,Attainment at age 11,Maths,Girls,No special educational needs,,,,,Percentage (%),Units,Undefined,,82.0
2016,Attainment at age 11,Reading,,,Free school meals,,,,Percentage (%),Units,Undefined,,49.0
2016,Attainment at age 11,Reading,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,45.0
2016,Attainment at age 11,Reading,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,53.0
2016,Attainment at age 11,Maths,,,Free school meals,,,,Percentage (%),Units,Undefined,,54.0
2016,Attainment at age 11,Maths,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,53.0
2016,Attainment at age 11,Maths,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,54.0
2017,Attainment at age 11,Reading,,,Free school meals,,,,Percentage (%),Units,Undefined,,55.0
2017,Attainment at age 11,Reading,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,51.0
2017,Attainment at age 11,Reading,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,59.0
2017,Attainment at age 11,Maths,,,Free school meals,,,,Percentage (%),Units,Undefined,,59.0
2017,Attainment at age 11,Maths,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,58.0
2017,Attainment at age 11,Maths,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,60.0
2018,Attainment at age 11,Reading,,,Free school meals,,,,Percentage (%),Units,Undefined,,60.0
2018,Attainment at age 11,Reading,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,55.0
2018,Attainment at age 11,Reading,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,65.0
2018,Attainment at age 11,Maths,,,Free school meals,,,,Percentage (%),Units,Undefined,,59.0
2018,Attainment at age 11,Maths,Boys,,Free school meals,,,,Percentage (%),Units,Undefined,,58.0
2018,Attainment at age 11,Maths,Girls,,Free school meals,,,,Percentage (%),Units,Undefined,,61.0
2016,Attainment at age 11,Reading,,,No free school meals,,,,Percentage (%),Units,Undefined,,69.0
2016,Attainment at age 11,Reading,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,65.0
2016,Attainment at age 11,Reading,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 11,Maths,,,No free school meals,,,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 11,Maths,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 11,Maths,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,73.0
2017,Attainment at age 11,Reading,,,No free school meals,,,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 11,Reading,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,71.0
2017,Attainment at age 11,Reading,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 11,Maths,,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 11,Maths,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 11,Maths,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 11,Reading,,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 11,Reading,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Reading,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,82.0
2018,Attainment at age 11,Maths,,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 11,Maths,Boys,,No free school meals,,,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 11,Maths,Girls,,No free school meals,,,,Percentage (%),Units,Undefined,,79.0
2016,Attainment at age 11,Reading,,,,,,North East,Percentage (%),Units,Undefined,E12000001,68.0
2016,Attainment at age 11,Reading,,,,,,North West,Percentage (%),Units,Undefined,E12000002,66.0
2016,Attainment at age 11,Reading,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,62.0
2016,Attainment at age 11,Reading,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,64.0
2016,Attainment at age 11,Reading,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,64.0
2016,Attainment at age 11,Reading,,,,,,East,Percentage (%),Units,Undefined,E12000007,66.0
2016,Attainment at age 11,Reading,,,,,,London,Percentage (%),Units,Undefined,E12000007,69.0
2016,Attainment at age 11,Reading,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,70.0
2016,Attainment at age 11,Reading,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,69.0
2016,Attainment at age 11,Reading,,,,,,South East,Percentage (%),Units,Undefined,E12000008,69.0
2016,Attainment at age 11,Reading,,,,,,South West,Percentage (%),Units,Undefined,E12000009,68.0
2016,Attainment at age 11,Maths,,,,,,North East,Percentage (%),Units,Undefined,E12000001,73.0
2016,Attainment at age 11,Maths,,,,,,North West,Percentage (%),Units,Undefined,E12000002,71.0
2016,Attainment at age 11,Maths,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,67.0
2016,Attainment at age 11,Maths,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,68.0
2016,Attainment at age 11,Maths,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,68.0
2016,Attainment at age 11,Maths,,,,,,East,Percentage (%),Units,Undefined,E12000007,68.0
2016,Attainment at age 11,Maths,,,,,,London,Percentage (%),Units,Undefined,E12000007,77.0
2016,Attainment at age 11,Maths,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,77.0
2016,Attainment at age 11,Maths,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,76.0
2016,Attainment at age 11,Maths,,,,,,South East,Percentage (%),Units,Undefined,E12000008,70.0
2016,Attainment at age 11,Maths,,,,,,South West,Percentage (%),Units,Undefined,E12000009,68.0
2017,Attainment at age 11,Reading,,,,,,North East,Percentage (%),Units,Undefined,E12000001,74.0
2017,Attainment at age 11,Reading,,,,,,North West,Percentage (%),Units,Undefined,E12000002,72.0
2017,Attainment at age 11,Reading,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,68.0
2017,Attainment at age 11,Reading,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,70.0
2017,Attainment at age 11,Reading,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,70.0
2017,Attainment at age 11,Reading,,,,,,East,Percentage (%),Units,Undefined,E12000007,72.0
2017,Attainment at age 11,Reading,,,,,,London,Percentage (%),Units,Undefined,E12000007,75.0
2017,Attainment at age 11,Reading,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,76.0
2017,Attainment at age 11,Reading,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,75.0
2017,Attainment at age 11,Reading,,,,,,South East,Percentage (%),Units,Undefined,E12000008,74.0
2017,Attainment at age 11,Reading,,,,,,South West,Percentage (%),Units,Undefined,E12000009,73.0
2017,Attainment at age 11,Maths,,,,,,North East,Percentage (%),Units,Undefined,E12000001,78.0
2017,Attainment at age 11,Maths,,,,,,North West,Percentage (%),Units,Undefined,E12000002,76.0
2017,Attainment at age 11,Maths,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,73.0
2017,Attainment at age 11,Maths,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,73.0
2017,Attainment at age 11,Maths,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,73.0
2017,Attainment at age 11,Maths,,,,,,East,Percentage (%),Units,Undefined,E12000007,74.0
2017,Attainment at age 11,Maths,,,,,,London,Percentage (%),Units,Undefined,E12000007,81.0
2017,Attainment at age 11,Maths,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,81.0
2017,Attainment at age 11,Maths,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,81.0
2017,Attainment at age 11,Maths,,,,,,South East,Percentage (%),Units,Undefined,E12000008,75.0
2017,Attainment at age 11,Maths,,,,,,South West,Percentage (%),Units,Undefined,E12000009,73.0
2018,Attainment at age 11,Reading,,,,,,North East,Percentage (%),Units,Undefined,E12000001,78.0
2018,Attainment at age 11,Reading,,,,,,North West,Percentage (%),Units,Undefined,E12000002,76.0
2018,Attainment at age 11,Reading,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,73.0
2018,Attainment at age 11,Reading,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,74.0
2018,Attainment at age 11,Reading,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,74.0
2018,Attainment at age 11,Reading,,,,,,East,Percentage (%),Units,Undefined,E12000007,75.0
2018,Attainment at age 11,Reading,,,,,,London,Percentage (%),Units,Undefined,E12000007,79.0
2018,Attainment at age 11,Reading,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,79.0
2018,Attainment at age 11,Reading,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,79.0
2018,Attainment at age 11,Reading,,,,,,South East,Percentage (%),Units,Undefined,E12000008,77.0
2018,Attainment at age 11,Reading,,,,,,South West,Percentage (%),Units,Undefined,E12000009,75.0
2018,Attainment at age 11,Maths,,,,,,North East,Percentage (%),Units,Undefined,E12000001,79.0
2018,Attainment at age 11,Maths,,,,,,North West,Percentage (%),Units,Undefined,E12000002,76.0
2018,Attainment at age 11,Maths,,,,,,Yorkshire and The Humber,Percentage (%),Units,Undefined,E12000003,74.0
2018,Attainment at age 11,Maths,,,,,,East Midlands,Percentage (%),Units,Undefined,E12000004,74.0
2018,Attainment at age 11,Maths,,,,,,West Midlands,Percentage (%),Units,Undefined,E12000005,74.0
2018,Attainment at age 11,Maths,,,,,,East,Percentage (%),Units,Undefined,E12000007,74.0
2018,Attainment at age 11,Maths,,,,,,London,Percentage (%),Units,Undefined,E12000007,81.0
2018,Attainment at age 11,Maths,,,,,,Inner London,Percentage (%),Units,Undefined,E13000001,81.0
2018,Attainment at age 11,Maths,,,,,,Outer London,Percentage (%),Units,Undefined,E13000002,81.0
2018,Attainment at age 11,Maths,,,,,,South East,Percentage (%),Units,Undefined,E12000008,76.0
2018,Attainment at age 11,Maths,,,,,,South West,Percentage (%),Units,Undefined,E12000009,74.0
2016,Attainment at age 11,Reading,,,,White,,,Percentage (%),Units,Undefined,,67.0
2016,Attainment at age 11,Reading,,,,Mixed,,,Percentage (%),Units,Undefined,,69.0
2016,Attainment at age 11,Reading,,,,Asian,,,Percentage (%),Units,Undefined,,63.0
2016,Attainment at age 11,Reading,,,,Black,,,Percentage (%),Units,Undefined,,62.0
2016,Attainment at age 11,Reading,,,,Chinese,,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 11,Reading,,,,Any other,,,Percentage (%),Units,Undefined,,58.0
2016,Attainment at age 11,Reading,,,,Unclassified,,,Percentage (%),Units,Undefined,,55.0
2017,Attainment at age 11,Reading,,,,White,,,Percentage (%),Units,Undefined,,72.0
2017,Attainment at age 11,Reading,,,,Mixed,,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 11,Reading,,,,Asian,,,Percentage (%),Units,Undefined,,69.0
2017,Attainment at age 11,Reading,,,,Black,,,Percentage (%),Units,Undefined,,69.0
2017,Attainment at age 11,Reading,,,,Chinese,,,Percentage (%),Units,Undefined,,80.0
2017,Attainment at age 11,Reading,,,,Any other,,,Percentage (%),Units,Undefined,,63.0
2017,Attainment at age 11,Reading,,,,Unclassified,,,Percentage (%),Units,Undefined,,60.0
2018,Attainment at age 11,Reading,,,,White,,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 11,Reading,,,,Mixed,,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 11,Reading,,,,Asian,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Reading,,,,Black,,,Percentage (%),Units,Undefined,,74.0
2018,Attainment at age 11,Reading,,,,Chinese,,,Percentage (%),Units,Undefined,,83.0
2018,Attainment at age 11,Reading,,,,Any other,,,Percentage (%),Units,Undefined,,68.0
2018,Attainment at age 11,Reading,,,,Unclassified,,,Percentage (%),Units,Undefined,,63.0
2016,Attainment at age 11,Maths,,,,White,,,Percentage (%),Units,Undefined,,69.0
2016,Attainment at age 11,Maths,,,,Mixed,,,Percentage (%),Units,Undefined,,70.0
2016,Attainment at age 11,Maths,,,,Asian,,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 11,Maths,,,,Black,,,Percentage (%),Units,Undefined,,68.0
2016,Attainment at age 11,Maths,,,,Chinese,,,Percentage (%),Units,Undefined,,92.0
2016,Attainment at age 11,Maths,,,,Any other,,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 11,Maths,,,,Unclassified,,,Percentage (%),Units,Undefined,,59.0
2017,Attainment at age 11,Maths,,,,White,,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 11,Maths,,,,Mixed,,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 11,Maths,,,,Asian,,,Percentage (%),Units,Undefined,,80.0
2017,Attainment at age 11,Maths,,,,Black,,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 11,Maths,,,,Chinese,,,Percentage (%),Units,Undefined,,92.0
2017,Attainment at age 11,Maths,,,,Any other,,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 11,Maths,,,,Unclassified,,,Percentage (%),Units,Undefined,,63.0
2018,Attainment at age 11,Maths,,,,White,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Maths,,,,Mixed,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Maths,,,,Asian,,,Percentage (%),Units,Undefined,,81.0
2018,Attainment at age 11,Maths,,,,Black,,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Maths,,,,Chinese,,,Percentage (%),Units,Undefined,,94.0
2018,Attainment at age 11,Maths,,,,Any other,,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 11,Maths,,,,Unclassified,,,Percentage (%),Units,Undefined,,64.0
2016,Attainment at age 11,Reading,,,,White,White British,,Percentage (%),Units,Undefined,,68.0
2016,Attainment at age 11,Reading,,,,White,Irish,,Percentage (%),Units,Undefined,,77.0
2016,Attainment at age 11,Reading,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,28.0
2016,Attainment at age 11,Reading,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,21.0
2016,Attainment at age 11,Reading,,,,White,Any other white background,,Percentage (%),Units,Undefined,,57.0
2017,Attainment at age 11,Reading,,,,White,White British,,Percentage (%),Units,Undefined,,73.0
2017,Attainment at age 11,Reading,,,,White,Irish,,Percentage (%),Units,Undefined,,79.0
2017,Attainment at age 11,Reading,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,35.0
2017,Attainment at age 11,Reading,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,26.0
2017,Attainment at age 11,Reading,,,,White,Any other white background,,Percentage (%),Units,Undefined,,63.0
2018,Attainment at age 11,Reading,,,,White,White British,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 11,Reading,,,,White,Irish,,Percentage (%),Units,Undefined,,82.0
2018,Attainment at age 11,Reading,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,37.0
2018,Attainment at age 11,Reading,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,28.0
2018,Attainment at age 11,Reading,,,,White,Any other white background,,Percentage (%),Units,Undefined,,69.0
2016,Attainment at age 11,Maths,,,,White,White British,,Percentage (%),Units,Undefined,,69.0
2016,Attainment at age 11,Maths,,,,White,Irish,,Percentage (%),Units,Undefined,,75.0
2016,Attainment at age 11,Maths,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,33.0
2016,Attainment at age 11,Maths,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,26.0
2016,Attainment at age 11,Maths,,,,White,Any other white background,,Percentage (%),Units,Undefined,,70.0
2017,Attainment at age 11,Maths,,,,White,White British,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 11,Maths,,,,White,Irish,,Percentage (%),Units,Undefined,,80.0
2017,Attainment at age 11,Maths,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,34.0
2017,Attainment at age 11,Maths,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,31.0
2017,Attainment at age 11,Maths,,,,White,Any other white background,,Percentage (%),Units,Undefined,,74.0
2018,Attainment at age 11,Maths,,,,White,White British,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Maths,,,,White,Irish,,Percentage (%),Units,Undefined,,78.0
2018,Attainment at age 11,Maths,,,,White,Traveller of Irish heritage,,Percentage (%),Units,Undefined,,33.0
2018,Attainment at age 11,Maths,,,,White,Gypsy / Roma,,Percentage (%),Units,Undefined,,30.0
2018,Attainment at age 11,Maths,,,,White,Any other white background,,Percentage (%),Units,Undefined,,76.0
2016,Attainment at age 11,Reading,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,63.0
2016,Attainment at age 11,Reading,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,67.0
2016,Attainment at age 11,Reading,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,74.0
2016,Attainment at age 11,Reading,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,70.0
2017,Attainment at age 11,Reading,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,69.0
2017,Attainment at age 11,Reading,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,73.0
2017,Attainment at age 11,Reading,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,78.0
2017,Attainment at age 11,Reading,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,74.0
2018,Attainment at age 11,Reading,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,72.0
2018,Attainment at age 11,Reading,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 11,Reading,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,81.0
2018,Attainment at age 11,Reading,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,79.0
2016,Attainment at age 11,Maths,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,63.0
2016,Attainment at age 11,Maths,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,69.0
2016,Attainment at age 11,Maths,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,78.0
2016,Attainment at age 11,Maths,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,72.0
2017,Attainment at age 11,Maths,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,68.0
2017,Attainment at age 11,Maths,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,75.0
2017,Attainment at age 11,Maths,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,81.0
2017,Attainment at age 11,Maths,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,77.0
2018,Attainment at age 11,Maths,,,,Mixed,White and black Caribbean,,Percentage (%),Units,Undefined,,67.0
2018,Attainment at age 11,Maths,,,,Mixed,White and black African,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 11,Maths,,,,Mixed,White and Asian,,Percentage (%),Units,Undefined,,81.0
2018,Attainment at age 11,Maths,,,,Mixed,Any other mixed background,,Percentage (%),Units,Undefined,,78.0
2016,Attainment at age 11,Reading,,,,Asian,Indian,,Percentage (%),Units,Undefined,,71.0
2016,Attainment at age 11,Reading,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,56.0
2016,Attainment at age 11,Reading,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,64.0
2016,Attainment at age 11,Reading,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,67.0
2017,Attainment at age 11,Reading,,,,Asian,Indian,,Percentage (%),Units,Undefined,,76.0
2017,Attainment at age 11,Reading,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,63.0
2017,Attainment at age 11,Reading,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,71.0
2017,Attainment at age 11,Reading,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,73.0
2018,Attainment at age 11,Reading,,,,Asian,Indian,,Percentage (%),Units,Undefined,,81.0
2018,Attainment at age 11,Reading,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,70.0
2018,Attainment at age 11,Reading,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,76.0
2018,Attainment at age 11,Reading,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,78.0
2016,Attainment at age 11,Maths,,,,Asian,Indian,,Percentage (%),Units,Undefined,,85.0
2016,Attainment at age 11,Maths,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,73.0
2016,Attainment at age 11,Maths,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,81.0
2016,Attainment at age 11,Maths,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,82.0
2017,Attainment at age 11,Maths,,,,Asian,Indian,,Percentage (%),Units,Undefined,,86.0
2017,Attainment at age 11,Maths,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,74.0
2017,Attainment at age 11,Maths,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,80.0
2017,Attainment at age 11,Maths,,,,Asian,Any other Asian background,,Percentage (%),Units,Undefined,,84.0
2018,Attainment at age 11,Maths,,,,Asian,Indian,,Percentage (%),Units,Undefined,,87.0
2018,Attainment at age 11,Maths,,,,Asian,Pakistani,,Percentage (%),Units,Undefined,,75.0
2018,Attainment at age 11,Maths,,,,Asian,Bangladeshi,,Percentage (%),Units,Undefined,,81.0
