Year,Age,Sex,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2010/11,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.7396771526780663
2010/11,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.6684073107049608
2011/12,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.31470044451437784
2011/12,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.552509668919206
2011/12,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.4290091930541369
2012/13,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.33617212012550424
2012/13,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.8449004224502114
2012/13,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.5810912894415713
2013/14,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.612725221572253
2013/14,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.4653731361805896
2013/14,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.5417456089650304
2014/15,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.3158103060833487
2014/15,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.7920018374442629
2014/15,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.5453235686483301
2015/16,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.30846394210748734
2015/16,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.8474048594615884
2015/16,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.5681967494884453
2016/17,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.23437701417746562
2016/17,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.6116562247354497
2016/17,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.41623453428558543
2017/18,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.4616645314682087
2017/18,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.8512757431105191
2017/18,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.6493725096350647
2018/19,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.7512559038915056
2018/19,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.49202428631877276
2018/19,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.6263831216496968
2019/20,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.552065634758572
2019/20,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.9796546717282159
2019/20,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.7578955027154554
2020/21,65 to 74,Female,"Rate per 100,000 population",Units,Undefined,,0.6788807002945372
2020/21,65 to 74,Male,"Rate per 100,000 population",Units,Undefined,,0.6627270450535797
2020/21,65 to 74,,"Rate per 100,000 population",Units,Undefined,,0.6711106495361199
2009/10,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.8937244997085682
2009/10,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.471141295931686
2009/10,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.8432690731067437
2010/11,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.732064421669107
2010/11,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.5782147906490775
2010/11,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.8076798818479716
2011/12,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.6490035886080782
2011/12,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.2808683853459972
2011/12,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.7270579147070183
2012/13,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.755172934602024
2012/13,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.3468134394023739
2012/13,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.6919951783561767
2013/14,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.897669089999181
2013/14,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.201460462538748
2013/14,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.8126968730719041
2014/15,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,1.0307566747936923
2014/15,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.127427153627076
2014/15,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.9030055896045995
2015/16,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.622238131997205
2015/16,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.2922499637276992
2015/16,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.8077384746879208
2016/17,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.873178467855572
2016/17,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.7444103785412135
2016/17,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.7787017904669222
2017/18,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.6483547278386952
2017/18,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.647068787829388
2017/18,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.725843362587586
2018/19,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,1.0280968226135923
2018/19,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.4239138318544655
2018/19,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.9341395092680853
2019/20,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.794457587536273
2019/20,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.6846757368473877
2019/20,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.7088570507057262
2020/21,75 and over,Female,"Rate per 100,000 population",Units,Undefined,,0.6124425877604709
2020/21,75 and over,Male,"Rate per 100,000 population",Units,Undefined,,1.4079577092825908
2020/21,75 and over,,"Rate per 100,000 population",Units,Undefined,,0.715343538901155
