Year,Series,Age,Sex,Country,Region,Industry sector,Occupation,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2018/19,Fatal injury,20 to 24,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.33
2018/19,Fatal injury,25 to 34,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.27
2018/19,Fatal injury,35 to 44,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.38
2018/19,Fatal injury,45 to 54,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.53
2018/19,Fatal injury,55 to 59,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.4
2018/19,Fatal injury,60 to 64,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.85
2018/19,Fatal injury,65 and over,,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.69
2018/19,Fatal injury,,,England and Wales,,,,"Rate per 100,000 workers",Units,Normal Value,K04000001,0.41
2018/19,Fatal injury,,,England,,,,"Rate per 100,000 workers",Units,Normal Value,E92000001,0.4
2018/19,Fatal injury,,,England,North East,,,"Rate per 100,000 workers",Units,Normal Value,E12000001,0.42
2018/19,Fatal injury,,,England,North West,,,"Rate per 100,000 workers",Units,Normal Value,E12000002,0.28
2018/19,Fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Normal Value,E12000003,0.61
2018/19,Fatal injury,,,England,East Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000004,0.48
2018/19,Fatal injury,,,England,West Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000005,0.71
2018/19,Fatal injury,,,England,East,,,"Rate per 100,000 workers",Units,Normal Value,E12000006,0.55
2018/19,Fatal injury,,,England,London,,,"Rate per 100,000 workers",Units,Normal Value,E12000007,0.2
2018/19,Fatal injury,,,England,South East,,,"Rate per 100,000 workers",Units,Normal Value,E12000008,0.27
2018/19,Fatal injury,,,England,South West,,,"Rate per 100,000 workers",Units,Normal Value,E12000009,0.38
2018/19,Fatal injury,,,Wales,,,,"Rate per 100,000 workers",Units,Normal Value,W92000004,0.48
2018/19,Fatal injury,,,Scotland,,,,"Rate per 100,000 workers",Units,Normal Value,S92000003,1.07
2018/19,Fatal injury,16 to 19,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.19
2018/19,Fatal injury,20 to 24,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.56
2018/19,Fatal injury,25 to 34,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.5
2018/19,Fatal injury,35 to 44,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.7
2018/19,Fatal injury,45 to 54,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.97
2018/19,Fatal injury,55 to 59,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.78
2018/19,Fatal injury,60 to 64,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.39
2018/19,Fatal injury,65 and over,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,2.78
2018/19,Fatal injury,16 to 19,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2018/19,Fatal injury,20 to 24,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.08
2018/19,Fatal injury,25 to 34,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2018/19,Fatal injury,35 to 44,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2018/19,Fatal injury,45 to 54,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.08
2018/19,Fatal injury,55 to 59,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2018/19,Fatal injury,60 to 64,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.22
2018/19,Fatal injury,65 and over,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2019/20,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Normal Value,,6.26
2019/20,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Normal Value,,1.82
2019/20,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Normal Value,,1.46
2019/20,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Normal Value,,0.45
2019/20,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Normal Value,,0
2019/20,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Normal Value,,0.12
2019/20,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.34
2019/20,Fatal injury,,,England and Wales,,,,"Rate per 100,000 workers",Units,Normal Value,K04000001,0.34
2019/20,Fatal injury,,,England,,,,"Rate per 100,000 workers",Units,Normal Value,E92000001,0.31
2019/20,Fatal injury,,,Wales,,,,"Rate per 100,000 workers",Units,Normal Value,W92000004,1.04
2019/20,Fatal injury,,,Scotland,,,,"Rate per 100,000 workers",Units,Normal Value,S92000003,0.4
2019/20,Fatal injury,,,England,North East,,,"Rate per 100,000 workers",Units,Normal Value,E12000001,0.33
2019/20,Fatal injury,,,England,North West,,,"Rate per 100,000 workers",Units,Normal Value,E12000002,0.39
2019/20,Fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Normal Value,E12000003,0.19
2019/20,Fatal injury,,,England,East Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000004,0.43
2019/20,Fatal injury,,,England,West Midlands,,,"Rate per 100,000 workers",Units,Normal Value,E12000005,0.46
2019/20,Fatal injury,,,England,East,,,"Rate per 100,000 workers",Units,Normal Value,E12000006,0.31
2019/20,Fatal injury,,,England,London,,,"Rate per 100,000 workers",Units,Normal Value,E12000007,0.15
2019/20,Fatal injury,,,England,South East,,,"Rate per 100,000 workers",Units,Normal Value,E12000008,0.2
2019/20,Fatal injury,,,England,South West,,,"Rate per 100,000 workers",Units,Normal Value,E12000009,0.44
2019/20,Fatal injury,16 to 19,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2019/20,Fatal injury,20 to 24,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.29
2019/20,Fatal injury,25 to 34,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.27
2019/20,Fatal injury,35 to 44,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.25
2019/20,Fatal injury,45 to 54,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.25
2019/20,Fatal injury,55 to 59,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.45
2019/20,Fatal injury,60 to 64,,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.8
2019/20,Fatal injury,65 and over,,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.08
2019/20,Fatal injury,,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.64
2019/20,Fatal injury,16 to 19,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2019/20,Fatal injury,20 to 24,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.57
2019/20,Fatal injury,25 to 34,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.47
2019/20,Fatal injury,35 to 44,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.48
2019/20,Fatal injury,45 to 54,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.46
2019/20,Fatal injury,55 to 59,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.88
2019/20,Fatal injury,60 to 64,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.41
2019/20,Fatal injury,65 and over,Male,,,,,"Rate per 100,000 workers",Units,Normal Value,,1.84
2019/20,Fatal injury,,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.02
2019/20,Fatal injury,16 to 19,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2019/20,Fatal injury,20 to 24,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2019/20,Fatal injury,25 to 34,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2019/20,Fatal injury,35 to 44,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2019/20,Fatal injury,45 to 54,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.03
2019/20,Fatal injury,55 to 59,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2019/20,Fatal injury,60 to 64,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0.1
2019/20,Fatal injury,65 and over,Female,,,,,"Rate per 100,000 workers",Units,Normal Value,,0
2020/21,Fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Provisional value,,11.6
2020/21,Fatal injury,,,,,Construction,,"Rate per 100,000 workers",Units,Provisional value,,1.91
2020/21,Fatal injury,,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Provisional value,,1.88
2020/21,Fatal injury,,,,,Manufacturing,,"Rate per 100,000 workers",Units,Provisional value,,0.74
2020/21,Fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Provisional value,,0
2020/21,Fatal injury,,,,,Service industries,,"Rate per 100,000 workers",Units,Provisional value,,0.2
2020/21,Fatal injury,,,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.44
2020/21,Fatal injury,,,England and Wales,,,,"Rate per 100,000 workers",Units,Provisional value,K04000001,0.42
2020/21,Fatal injury,,,England,,,,"Rate per 100,000 workers",Units,Provisional value,E92000001,0.41
2020/21,Fatal injury,,,Wales,,,,"Rate per 100,000 workers",Units,Provisional value,W92000004,0.64
2020/21,Fatal injury,,,Scotland,,,,"Rate per 100,000 workers",Units,Provisional value,S92000003,0.64
2020/21,Fatal injury,,,England,North East,,,"Rate per 100,000 workers",Units,Provisional value,E12000001,0.08
2020/21,Fatal injury,,,England,North West,,,"Rate per 100,000 workers",Units,Provisional value,E12000002,0.46
2020/21,Fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Provisional value,E12000003,0.68
2020/21,Fatal injury,,,England,East Midlands,,,"Rate per 100,000 workers",Units,Provisional value,E12000004,0.18
2020/21,Fatal injury,,,England,West Midlands,,,"Rate per 100,000 workers",Units,Provisional value,E12000005,0.53
2020/21,Fatal injury,,,England,East,,,"Rate per 100,000 workers",Units,Provisional value,E12000006,0.45
2020/21,Fatal injury,,,England,London,,,"Rate per 100,000 workers",Units,Provisional value,E12000007,0.17
2020/21,Fatal injury,,,England,South East,,,"Rate per 100,000 workers",Units,Provisional value,E12000008,0.33
2020/21,Fatal injury,,,England,South West,,,"Rate per 100,000 workers",Units,Provisional value,E12000009,0.8
2020/21,Fatal injury,16 to 19,,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.24
2020/21,Fatal injury,20 to 24,,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.26
2020/21,Fatal injury,25 to 34,,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.25
2020/21,Fatal injury,35 to 44,,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.24
2020/21,Fatal injury,45 to 54,,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.38
2020/21,Fatal injury,55 to 59,,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.72
2020/21,Fatal injury,60 to 64,,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.97
2020/21,Fatal injury,65 and over,,,,,,"Rate per 100,000 workers",Units,Provisional value,,1.58
2020/21,Fatal injury,,Male,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.82
2020/21,Fatal injury,16 to 19,Male,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.48
2020/21,Fatal injury,20 to 24,Male,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.53
2020/21,Fatal injury,25 to 34,Male,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.46
2020/21,Fatal injury,35 to 44,Male,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.45
2020/21,Fatal injury,45 to 54,Male,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.74
2020/21,Fatal injury,55 to 59,Male,,,,,"Rate per 100,000 workers",Units,Provisional value,,1.35
2020/21,Fatal injury,60 to 64,Male,,,,,"Rate per 100,000 workers",Units,Provisional value,,1.75
2020/21,Fatal injury,65 and over,Male,,,,,"Rate per 100,000 workers",Units,Provisional value,,2.58
2020/21,Fatal injury,,Female,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.03
2020/21,Fatal injury,16 to 19,Female,,,,,"Rate per 100,000 workers",Units,Provisional value,,0
2020/21,Fatal injury,20 to 24,Female,,,,,"Rate per 100,000 workers",Units,Provisional value,,0
2020/21,Fatal injury,25 to 34,Female,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.03
2020/21,Fatal injury,35 to 44,Female,,,,,"Rate per 100,000 workers",Units,Provisional value,,0
2020/21,Fatal injury,45 to 54,Female,,,,,"Rate per 100,000 workers",Units,Provisional value,,0
2020/21,Fatal injury,55 to 59,Female,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.06
2020/21,Fatal injury,60 to 64,Female,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.1
2020/21,Fatal injury,65 and over,Female,,,,,"Rate per 100,000 workers",Units,Provisional value,,0.19
2000/01,Non-fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,3980
2001/02,Non-fatal injury,,,,,Accommodation and food service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4030
2001/02,Non-fatal injury,,,,,Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3120
2001/02,Non-fatal injury,,,,,Administrative and support service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3200
2001/02,Non-fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 (3 year average)",Units,Estimated value,,5300
2001/02,Non-fatal injury,,,,,"Arts, entertainment and recreation",,"Rate per 100,000 (3 year average)",Units,Estimated value,,3730
2001/02,Non-fatal injury,,,,,Construction,,"Rate per 100,000 (3 year average)",Units,Estimated value,,5420
2001/02,Non-fatal injury,,,,,Education,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2590
2001/02,Non-fatal injury,,,,,Financial and insurance activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,940
2001/02,Non-fatal injury,,,,,Human health and social work activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3620
2001/02,Non-fatal injury,,,,,Information and communication,,"Rate per 100,000 (3 year average)",Units,Estimated value,,1060
2001/02,Non-fatal injury,,,,,Manufacturing,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4970
2001/02,Non-fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 (3 year average)",Units,Estimated value,,5170
2001/02,Non-fatal injury,,,,,Other service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2700
2001/02,Non-fatal injury,,,,,"Professional, scientific and technical activities",,"Rate per 100,000 (3 year average)",Units,Estimated value,,1290
2001/02,Non-fatal injury,,,,,Public administration and defence; compulsory social security,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3470
2001/02,Non-fatal injury,,,,,Real estate activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,1810
2001/02,Non-fatal injury,,,,,Transportation and storage,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4770
2001/02,Non-fatal injury,,,,,"Water supply; sewerage, waste management and remediation activities",,"Rate per 100,000 (3 year average)",Units,Estimated value,,6810
2001/02,Non-fatal injury,,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3270
2001/02,Non-fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,3780
2001/02,Non-fatal injury,,,England,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E92000001,3860
2001/02,Non-fatal injury,,,England,North East,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000001,4280
2001/02,Non-fatal injury,,,England,North West,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000002,3590
2001/02,Non-fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000003,4440
2001/02,Non-fatal injury,,,England,East Midlands,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000004,4390
2001/02,Non-fatal injury,,,England,West Midlands,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000005,3830
2001/02,Non-fatal injury,,,England,East,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000006,3810
2001/02,Non-fatal injury,,,England,London,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000007,3170
2001/02,Non-fatal injury,,,England,South East,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000008,3850
2001/02,Non-fatal injury,,,England,South West,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000009,4150
2001/02,Non-fatal injury,,,Wales,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,W92000004,4000
2001/02,Non-fatal injury,,,Scotland,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,S92000003,3670
2001/02,Non-fatal injury,25 to 34,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4000
2001/02,Non-fatal injury,35 to 44,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3790
2001/02,Non-fatal injury,45 to 54,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3590
2001/02,Non-fatal injury,,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2750
2001/02,Non-fatal injury,,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4790
2001/02,Non-fatal injury,16 to 24,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,5910
2001/02,Non-fatal injury,25 to 34,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,5370
2001/02,Non-fatal injury,35 to 44,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4870
2001/02,Non-fatal injury,45 to 54,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4170
2001/02,Non-fatal injury,55 and over,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3630
2001/02,Non-fatal injury,16 to 24,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3010
2001/02,Non-fatal injury,25 to 34,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2350
2001/02,Non-fatal injury,35 to 44,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2550
2001/02,Non-fatal injury,45 to 54,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2950
2001/02,Non-fatal injury,55 and over,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3240
2002/03,Non-fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,3800
2003/04,Non-fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,3480
2004/05,Non-fatal injury,,,,,Accommodation and food service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3910
2004/05,Non-fatal injury,,,,,Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4650
2004/05,Non-fatal injury,,,,,Administrative and support service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2810
2004/05,Non-fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 (3 year average)",Units,Estimated value,,4090
2004/05,Non-fatal injury,,,,,"Arts, entertainment and recreation",,"Rate per 100,000 (3 year average)",Units,Estimated value,,3260
2004/05,Non-fatal injury,,,,,Construction,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4440
2004/05,Non-fatal injury,,,,,Education,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2160
2004/05,Non-fatal injury,,,,,Financial and insurance activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,820
2004/05,Non-fatal injury,,,,,Human health and social work activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3010
2004/05,Non-fatal injury,,,,,Information and communication,,"Rate per 100,000 (3 year average)",Units,Estimated value,,1150
2004/05,Non-fatal injury,,,,,Manufacturing,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4000
2004/05,Non-fatal injury,,,,,Mining and quarrying,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4520
2004/05,Non-fatal injury,,,,,Other service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,1550
2004/05,Non-fatal injury,,,,,"Professional, scientific and technical activities",,"Rate per 100,000 (3 year average)",Units,Estimated value,,1020
2004/05,Non-fatal injury,,,,,Public administration and defence; compulsory social security,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3160
2004/05,Non-fatal injury,,,,,Transportation and storage,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4020
2004/05,Non-fatal injury,,,,,"Water supply; sewerage, waste management and remediation activities",,"Rate per 100,000 (3 year average)",Units,Estimated value,,5730
2004/05,Non-fatal injury,,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2950
2004/05,Non-fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,3210
2004/05,Non-fatal injury,,,England,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E92000001,3250
2004/05,Non-fatal injury,,,England,North East,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000001,4310
2004/05,Non-fatal injury,,,England,North West,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000002,2800
2004/05,Non-fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000003,3780
2004/05,Non-fatal injury,,,England,East Midlands,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000004,3800
2004/05,Non-fatal injury,,,England,West Midlands,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000005,3390
2004/05,Non-fatal injury,,,England,East,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000006,3160
2004/05,Non-fatal injury,,,England,London,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000007,2480
2004/05,Non-fatal injury,,,England,South East,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000008,3140
2004/05,Non-fatal injury,,,England,South West,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000009,3590
2004/05,Non-fatal injury,,,Wales,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,W92000004,3210
2004/05,Non-fatal injury,,,Scotland,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,S92000003,3200
2004/05,Non-fatal injury,16 to 24,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3520
2004/05,Non-fatal injury,25 to 34,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3310
2004/05,Non-fatal injury,35 to 44,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3220
2004/05,Non-fatal injury,45 to 54,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3130
2004/05,Non-fatal injury,55 and over,,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3100
2004/05,Non-fatal injury,,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3920
2004/05,Non-fatal injury,,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2460
2004/05,Non-fatal injury,16 to 24,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4410
2004/05,Non-fatal injury,25 to 34,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,4440
2004/05,Non-fatal injury,35 to 44,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3990
2004/05,Non-fatal injury,45 to 54,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3450
2004/05,Non-fatal injury,55 and over,Male,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3290
2004/05,Non-fatal injury,16 to 24,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2580
2004/05,Non-fatal injury,25 to 34,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,1970
2004/05,Non-fatal injury,35 to 44,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2320
2004/05,Non-fatal injury,45 to 54,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2760
2004/05,Non-fatal injury,55 and over,Female,,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2830
2005/06,Non-fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,3030
2006/07,Non-fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,3100
2007/08,Non-fatal injury,,,,,Accommodation and food service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3670
2007/08,Non-fatal injury,,,,,Administrative and support service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2270
2007/08,Non-fatal injury,,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 (3 year average)",Units,Estimated value,,5830
2007/08,Non-fatal injury,,,,,"Arts, entertainment and recreation",,"Rate per 100,000 (3 year average)",Units,Estimated value,,3040
2007/08,Non-fatal injury,,,,,Construction,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3710
2007/08,Non-fatal injury,,,,,Education,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2140
2007/08,Non-fatal injury,,,,,Financial and insurance activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,630
2007/08,Non-fatal injury,,,,,Human health and social work activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2880
2007/08,Non-fatal injury,,,,,Information and communication,,"Rate per 100,000 (3 year average)",Units,Estimated value,,810
2007/08,Non-fatal injury,,,,,Manufacturing,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3080
2007/08,Non-fatal injury,,,,,Other service activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,1960
2007/08,Non-fatal injury,,,,,"Professional, scientific and technical activities",,"Rate per 100,000 (3 year average)",Units,Estimated value,,1020
2007/08,Non-fatal injury,,,,,Public administration and defence; compulsory social security,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2890
2007/08,Non-fatal injury,,,,,Real estate activities,,"Rate per 100,000 (3 year average)",Units,Estimated value,,1610
2007/08,Non-fatal injury,,,,,Transportation and storage,,"Rate per 100,000 (3 year average)",Units,Estimated value,,3570
2007/08,Non-fatal injury,,,,,"Water supply; sewerage, waste management and remediation activities",,"Rate per 100,000 (3 year average)",Units,Estimated value,,4130
2007/08,Non-fatal injury,,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,,"Rate per 100,000 (3 year average)",Units,Estimated value,,2940
2007/08,Non-fatal injury,,,,,,,"Rate per 100,000 workers",Units,Normal Value,,2850
2007/08,Non-fatal injury,,,England,,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E92000001,2810
2007/08,Non-fatal injury,,,England,North East,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000001,3570
2007/08,Non-fatal injury,,,England,North West,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000002,2750
2007/08,Non-fatal injury,,,England,Yorkshire and The Humber,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000003,3190
2007/08,Non-fatal injury,,,England,East Midlands,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000004,3150
2007/08,Non-fatal injury,,,England,West Midlands,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000005,3250
2007/08,Non-fatal injury,,,England,East,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000006,2460
2007/08,Non-fatal injury,,,England,London,,,"Rate per 100,000 (3 year average)",Units,Estimated value,E12000007,1690
