Year,Country,Region,Age,Country of Birth,Units,FGM Type,GeoCode,Value
2016,England,,,Rest of World,Number of newly recorded cases,Type 2,E92000001,0.0
2016,England,,,Rest of World,Number of newly recorded cases,Type 3 and others,E92000001,0.0
2016,England,,,Rest of World,Number of newly recorded cases,Type 4,E92000001,0.0
2016,England,,,Rest of World,Number of newly recorded cases,Not Recorded or Unknown,E92000001,0.0
2016,England,,,Rest of World,Number of newly recorded cases,,E92000001,2.0
2016,England,,,,Number of newly recorded cases,Type 1,E92000001,820.0
2016,England,,,,Number of newly recorded cases,Type 2,E92000001,695.0
2016,England,,,,Number of newly recorded cases,Type 3 and others,E92000001,655.0
2016,England,,,,Number of newly recorded cases,Type 4,E92000001,205.0
2016,England,,,,Number of newly recorded cases,Not Recorded or Unknown,E92000001,3020.0
2016,England,,,,Number of newly recorded cases,,E92000001,5391.0
2017,England,,,Not recorded,Number of newly recorded cases,Type 1,E92000001,360.0
2017,England,,,Not recorded,Number of newly recorded cases,Type 2,E92000001,165.0
2017,England,,,Not recorded,Number of newly recorded cases,Type 3 and others,E92000001,160.0
2017,England,,,Not recorded,Number of newly recorded cases,Type 4,E92000001,75.0
2017,England,,,Not recorded,Number of newly recorded cases,Not Recorded or Unknown,E92000001,985.0
2017,England,,,Not recorded,Number of newly recorded cases,,E92000001,1750.0
2017,England,,,Not stated or unknown,Number of newly recorded cases,Type 1,E92000001,155.0
2017,England,,,Not stated or unknown,Number of newly recorded cases,Type 2,E92000001,100.0
2017,England,,,Not stated or unknown,Number of newly recorded cases,Type 3 and others,E92000001,70.0
2017,England,,,Not stated or unknown,Number of newly recorded cases,Type 4,E92000001,25.0
2017,England,,,Not stated or unknown,Number of newly recorded cases,Not Recorded or Unknown,E92000001,685.0
2017,England,,,Not stated or unknown,Number of newly recorded cases,,E92000001,1030.0
2017,England,,,Eastern Africa,Number of newly recorded cases,Type 1,E92000001,325.0
2017,England,,,Eastern Africa,Number of newly recorded cases,Type 2,E92000001,305.0
2017,England,,,Eastern Africa,Number of newly recorded cases,Type 3 and others,E92000001,440.0
2017,England,,,Eastern Africa,Number of newly recorded cases,Type 4,E92000001,75.0
2017,England,,,Eastern Africa,Number of newly recorded cases,Not Recorded or Unknown,E92000001,570.0
2017,England,,,Eastern Africa,Number of newly recorded cases,,E92000001,1715.0
2017,England,,,Northern Africa,Number of newly recorded cases,Type 1,E92000001,110.0
2017,England,,,Northern Africa,Number of newly recorded cases,Type 2,E92000001,75.0
2017,England,,,Northern Africa,Number of newly recorded cases,Type 3 and others,E92000001,80.0
2017,England,,,Northern Africa,Number of newly recorded cases,Type 4,E92000001,10.0
2017,England,,,Northern Africa,Number of newly recorded cases,Not Recorded or Unknown,E92000001,140.0
2017,England,,,Northern Africa,Number of newly recorded cases,,E92000001,415.0
2017,England,,,Western Africa,Number of newly recorded cases,Type 1,E92000001,210.0
2017,England,,,Western Africa,Number of newly recorded cases,Type 2,E92000001,155.0
2017,England,,,Western Africa,Number of newly recorded cases,Type 3 and others,E92000001,40.0
2017,England,,,Western Africa,Number of newly recorded cases,Type 4,E92000001,15.0
2017,England,,,Western Africa,Number of newly recorded cases,Not Recorded or Unknown,E92000001,375.0
2017,England,,,Western Africa,Number of newly recorded cases,,E92000001,790.0
2017,England,,,Rest of Africa,Number of newly recorded cases,Type 1,E92000001,5.0
2017,England,,,Rest of Africa,Number of newly recorded cases,Type 2,E92000001,5.0
2017,England,,,Rest of Africa,Number of newly recorded cases,Type 3 and others,E92000001,5.0
2017,England,,,Rest of Africa,Number of newly recorded cases,Type 4,E92000001,0.0
2017,England,,,Rest of Africa,Number of newly recorded cases,Not Recorded or Unknown,E92000001,30.0
2017,England,,,Rest of Africa,Number of newly recorded cases,,E92000001,40.0
2017,England,,,United Kingdom,Number of newly recorded cases,Type 1,E92000001,10.0
2017,England,,,United Kingdom,Number of newly recorded cases,Type 2,E92000001,5.0
2017,England,,,United Kingdom,Number of newly recorded cases,Type 3 and others,E92000001,5.0
2017,England,,,United Kingdom,Number of newly recorded cases,Type 4,E92000001,105.0
2017,England,,,United Kingdom,Number of newly recorded cases,Not Recorded or Unknown,E92000001,25.0
2017,England,,,United Kingdom,Number of newly recorded cases,,E92000001,150.0
2017,England,,,Western Asia,Number of newly recorded cases,Type 1,E92000001,70.0
2017,England,,,Western Asia,Number of newly recorded cases,Type 2,E92000001,15.0
2017,England,,,Western Asia,Number of newly recorded cases,Type 3 and others,E92000001,5.0
2017,England,,,Western Asia,Number of newly recorded cases,Type 4,E92000001,10.0
2017,England,,,Western Asia,Number of newly recorded cases,Not Recorded or Unknown,E92000001,120.0
2017,England,,,Western Asia,Number of newly recorded cases,,E92000001,225.0
2017,England,,,Rest of Asia,Number of newly recorded cases,Type 1,E92000001,15.0
2017,England,,,Rest of Asia,Number of newly recorded cases,Type 2,E92000001,5.0
2017,England,,,Rest of Asia,Number of newly recorded cases,Type 3 and others,E92000001,5.0
2017,England,,,Rest of Asia,Number of newly recorded cases,Type 4,E92000001,5.0
2017,England,,,Rest of Asia,Number of newly recorded cases,Not Recorded or Unknown,E92000001,20.0
2017,England,,,Rest of Asia,Number of newly recorded cases,,E92000001,40.0
2017,England,,,Rest of World,Number of newly recorded cases,Type 1,E92000001,10.0
2017,England,,,Rest of World,Number of newly recorded cases,Type 2,E92000001,5.0
2017,England,,,Rest of World,Number of newly recorded cases,Type 3 and others,E92000001,5.0
2017,England,,,Rest of World,Number of newly recorded cases,Type 4,E92000001,5.0
2017,England,,,Rest of World,Number of newly recorded cases,Not Recorded or Unknown,E92000001,10.0
2017,England,,,Rest of World,Number of newly recorded cases,,E92000001,35.0
2017,England,,,,Number of newly recorded cases,Type 1,E92000001,1265.0
2017,England,,,,Number of newly recorded cases,Type 2,E92000001,845.0
2017,England,,,,Number of newly recorded cases,Type 3 and others,E92000001,795.0
2017,England,,,,Number of newly recorded cases,Type 4,E92000001,325.0
2017,England,,,,Number of newly recorded cases,Not Recorded or Unknown,E92000001,2960.0
2017,England,,,,Number of newly recorded cases,,E92000001,6195.0
