Year,Fatality,Employment status,Industry,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2015,,,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,65.5
2015,,,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,49.62
2015,,Employees,,,,"Rate per 100,000 workers",Units,Undefined,42.41
2015,,Employees,,,16 to 19,"Rate per 100,000 workers",Units,Undefined,31.19
2015,,Employees,,,20 to 24,"Rate per 100,000 workers",Units,Undefined,38.19
2015,,Employees,,,25 to 34,"Rate per 100,000 workers",Units,Undefined,64.26
2015,,Employees,,,35 to 44,"Rate per 100,000 workers",Units,Undefined,107.37
2015,,Employees,,,45 to 54,"Rate per 100,000 workers",Units,Undefined,106.46
2015,,Employees,,,55 to 59,"Rate per 100,000 workers",Units,Undefined,98.6
2015,,Employees,,,60 to 64,"Rate per 100,000 workers",Units,Undefined,248.98
2015,,Employees,,,65 and over,"Rate per 100,000 workers",Units,Undefined,151.73
2015,,Employees,,Male,,"Rate per 100,000 workers",Units,Undefined,166.77
2015,,Employees,,Male,16 to 19,"Rate per 100,000 workers",Units,Undefined,149.39
2015,,Employees,,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,167.37
2015,,Employees,,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,202.49
2015,,Employees,,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,217.7
2015,,Employees,,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,222.89
2015,,Employees,,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,199.23
2015,,Employees,,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,300.71
2015,,Employees,,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,176.08
2015,,Employees,,Female,,"Rate per 100,000 workers",Units,Undefined,157.04
2015,,Employees,,Female,35 to 44,"Rate per 100,000 workers",Units,Undefined,179.03
2015,,Employees,,Female,45 to 54,"Rate per 100,000 workers",Units,Undefined,216.06
2015,,Employees,,Female,60 to 64,"Rate per 100,000 workers",Units,Undefined,253.16
2015,,Employees,,Female,65 and over,"Rate per 100,000 workers",Units,Undefined,225.32
2015,,Employees,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,197.93
2015,,Employees,"Agriculture, forestry and fishing",,25 to 34,"Rate per 100,000 workers",Units,Undefined,189.17
2015,,Employees,"Agriculture, forestry and fishing",,35 to 44,"Rate per 100,000 workers",Units,Undefined,233.51
2015,,Employees,"Agriculture, forestry and fishing",,45 to 54,"Rate per 100,000 workers",Units,Undefined,148.44
2015,,Employees,"Agriculture, forestry and fishing",,60 to 64,"Rate per 100,000 workers",Units,Undefined,188.68
2015,,Employees,"Agriculture, forestry and fishing",,65 and over,"Rate per 100,000 workers",Units,Undefined,141.81
2015,,Employees,"Agriculture, forestry and fishing",Male,,"Rate per 100,000 workers",Units,Undefined,154.72
2015,,Employees,"Agriculture, forestry and fishing",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,194.1
2015,,Employees,"Agriculture, forestry and fishing",Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,225.22
2015,,Employees,"Agriculture, forestry and fishing",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,244.44
2015,,Employees,"Agriculture, forestry and fishing",Male,65 and over,"Rate per 100,000 workers",Units,Undefined,215.65
2015,,Employees,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,148.62
2015,,Employees,Mining and quarrying,Male,,"Rate per 100,000 workers",Units,Undefined,145.96
2015,,Employees,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,128.97
2015,,Employees,Manufacturing,,20 to 24,"Rate per 100,000 workers",Units,Undefined,108.47
2015,,Employees,Manufacturing,,25 to 34,"Rate per 100,000 workers",Units,Undefined,123.17
2015,,Employees,Manufacturing,,35 to 44,"Rate per 100,000 workers",Units,Undefined,115.98
2015,,Employees,Manufacturing,,45 to 54,"Rate per 100,000 workers",Units,Undefined,132.97
2015,,Employees,Manufacturing,,55 to 59,"Rate per 100,000 workers",Units,Undefined,111.47
2015,,Employees,Manufacturing,,60 to 64,"Rate per 100,000 workers",Units,Undefined,110.06
2015,,Employees,Manufacturing,,65 and over,"Rate per 100,000 workers",Units,Undefined,172.54
2015,,Employees,Manufacturing,Male,,"Rate per 100,000 workers",Units,Undefined,141.24
2015,,Employees,Manufacturing,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,127.63
2015,,Employees,Manufacturing,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,130.23
2015,,Employees,Manufacturing,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,163.33
2015,,Employees,Manufacturing,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,147.3
2015,,Employees,Manufacturing,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,146.92
2015,,Employees,Manufacturing,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,134.05
2015,,Employees,Manufacturing,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,73.1
2015,,Employees,Manufacturing,Female,,"Rate per 100,000 workers",Units,Undefined,126.15
2015,,Employees,Manufacturing,Female,60 to 64,"Rate per 100,000 workers",Units,Undefined,150.09
2015,,Employees,"Electricity, gas, steam and air conditioning supply",,,"Rate per 100,000 workers",Units,Undefined,128.58
2015,,Employees,"Electricity, gas, steam and air conditioning supply",,45 to 54,"Rate per 100,000 workers",Units,Undefined,90.47
2015,,Employees,"Electricity, gas, steam and air conditioning supply",Male,,"Rate per 100,000 workers",Units,Undefined,89.8
2015,,Employees,"Electricity, gas, steam and air conditioning supply",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,93.49
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",,,"Rate per 100,000 workers",Units,Undefined,122.49
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",,25 to 34,"Rate per 100,000 workers",Units,Undefined,91.44
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",,45 to 54,"Rate per 100,000 workers",Units,Undefined,173.87
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",,55 to 59,"Rate per 100,000 workers",Units,Undefined,290.22
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",Male,,"Rate per 100,000 workers",Units,Undefined,531.79
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,227.63
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,470.0
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,418.09
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",Female,,"Rate per 100,000 workers",Units,Undefined,299.36
2015,,Employees,"Water supply; sewerage, waste management and remediation activities",Female,45 to 54,"Rate per 100,000 workers",Units,Undefined,167.6
2015,,Employees,Construction,,,"Rate per 100,000 workers",Units,Undefined,220.35
2015,,Employees,Construction,,20 to 24,"Rate per 100,000 workers",Units,Undefined,203.74
2015,,Employees,Construction,,25 to 34,"Rate per 100,000 workers",Units,Undefined,217.39
2015,,Employees,Construction,,35 to 44,"Rate per 100,000 workers",Units,Undefined,261.86
2015,,Employees,Construction,,45 to 54,"Rate per 100,000 workers",Units,Undefined,285.29
2015,,Employees,Construction,,55 to 59,"Rate per 100,000 workers",Units,Undefined,318.59
2015,,Employees,Construction,,60 to 64,"Rate per 100,000 workers",Units,Undefined,208.47
2015,,Employees,Construction,,65 and over,"Rate per 100,000 workers",Units,Undefined,388.71
2015,,Employees,Construction,Male,,"Rate per 100,000 workers",Units,Undefined,219.76
2015,,Employees,Construction,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,281.84
2015,,Employees,Construction,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,276.83
2015,,Employees,Construction,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,292.67
2015,,Employees,Construction,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,350.88
2015,,Employees,Construction,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,355.56
2015,,Employees,Construction,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,394.7
2015,,Employees,Construction,Female,,"Rate per 100,000 workers",Units,Undefined,229.43
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,,"Rate per 100,000 workers",Units,Undefined,206.1
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,25 to 34,"Rate per 100,000 workers",Units,Undefined,108.08
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,35 to 44,"Rate per 100,000 workers",Units,Undefined,153.22
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,45 to 54,"Rate per 100,000 workers",Units,Undefined,123.11
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,55 to 59,"Rate per 100,000 workers",Units,Undefined,137.29
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,,"Rate per 100,000 workers",Units,Undefined,177.19
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,219.15
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,224.42
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,180.23
2015,,Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,538.66
2015,,Employees,Transportation and storage,,,"Rate per 100,000 workers",Units,Undefined,482.03
2015,,Employees,Transportation and storage,,20 to 24,"Rate per 100,000 workers",Units,Undefined,585.23
2015,,Employees,Transportation and storage,,35 to 44,"Rate per 100,000 workers",Units,Undefined,498.36
2015,,Employees,Transportation and storage,,45 to 54,"Rate per 100,000 workers",Units,Undefined,372.12
2015,,Employees,Transportation and storage,,55 to 59,"Rate per 100,000 workers",Units,Undefined,559.71
2015,,Employees,Transportation and storage,,60 to 64,"Rate per 100,000 workers",Units,Undefined,382.49
2015,,Employees,Transportation and storage,,65 and over,"Rate per 100,000 workers",Units,Undefined,537.66
2015,,Employees,Transportation and storage,Male,,"Rate per 100,000 workers",Units,Undefined,134.35
2015,,Employees,Transportation and storage,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,695.8
2015,,Employees,Transportation and storage,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,674.47
2015,,Employees,Transportation and storage,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,655.43
2015,,Employees,Transportation and storage,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,507.87
2015,,Employees,Transportation and storage,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,767.0
2015,,Employees,Transportation and storage,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,525.36
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,,"Rate per 100,000 workers",Units,Undefined,248.08
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,20 to 24,"Rate per 100,000 workers",Units,Undefined,203.21
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,25 to 34,"Rate per 100,000 workers",Units,Undefined,112.07
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,35 to 44,"Rate per 100,000 workers",Units,Undefined,170.08
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,45 to 54,"Rate per 100,000 workers",Units,Undefined,273.09
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,,"Rate per 100,000 workers",Units,Undefined,186.14
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,196.38
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,247.12
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,376.13
2015,,Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,193.16
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,,"Rate per 100,000 workers",Units,Undefined,88.06
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,35 to 44,"Rate per 100,000 workers",Units,Undefined,107.1
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,45 to 54,"Rate per 100,000 workers",Units,Undefined,207.04
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,55 to 59,"Rate per 100,000 workers",Units,Undefined,23.11
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,65 and over,"Rate per 100,000 workers",Units,Undefined,492.46
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,,"Rate per 100,000 workers",Units,Undefined,474.12
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,506.16
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,423.4
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,342.31
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Female,,"Rate per 100,000 workers",Units,Undefined,399.03
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Female,35 to 44,"Rate per 100,000 workers",Units,Undefined,448.07
2015,,Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Female,45 to 54,"Rate per 100,000 workers",Units,Undefined,499.06
2015,,Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,,"Rate per 100,000 workers",Units,Undefined,316.3
2015,,Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,16 to 19,"Rate per 100,000 workers",Units,Undefined,565.82
2015,,Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,25 to 34,"Rate per 100,000 workers",Units,Undefined,566.33
2015,,Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,45 to 54,"Rate per 100,000 workers",Units,Undefined,567.8
2015,,Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,,"Rate per 100,000 workers",Units,Undefined,523.64
2015,,Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,16 to 19,"Rate per 100,000 workers",Units,Undefined,404.86
2015,,Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,444.71
2015,,Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,474.75
2015,,Self-employed,,,,"Rate per 100,000 workers",Units,Undefined,547.79
2015,,Self-employed,,,20 to 24,"Rate per 100,000 workers",Units,Undefined,329.54
2015,,Self-employed,,,25 to 34,"Rate per 100,000 workers",Units,Undefined,263.49
2015,,Self-employed,,,35 to 44,"Rate per 100,000 workers",Units,Undefined,179.54
2015,,Self-employed,,,45 to 54,"Rate per 100,000 workers",Units,Undefined,283.51
2015,,Self-employed,,,55 to 59,"Rate per 100,000 workers",Units,Undefined,167.18
2015,,Self-employed,,,60 to 64,"Rate per 100,000 workers",Units,Undefined,165.95
2015,,Self-employed,,,65 and over,"Rate per 100,000 workers",Units,Undefined,252.35
2015,,Self-employed,,Male,,"Rate per 100,000 workers",Units,Undefined,359.19
2015,,Self-employed,,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,319.8
2015,,Self-employed,,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,264.71
2015,,Self-employed,,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,191.84
2015,,Self-employed,,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,142.8
2015,,Self-employed,,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,121.28
2015,,Self-employed,,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,214.38
2015,,Self-employed,,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,173.78
2015,,Self-employed,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,202.42
2015,,Self-employed,"Agriculture, forestry and fishing",,35 to 44,"Rate per 100,000 workers",Units,Undefined,245.95
2015,,Self-employed,"Agriculture, forestry and fishing",,45 to 54,"Rate per 100,000 workers",Units,Undefined,177.39
2015,,Self-employed,"Agriculture, forestry and fishing",,60 to 64,"Rate per 100,000 workers",Units,Undefined,273.37
2015,,Self-employed,"Agriculture, forestry and fishing",,65 and over,"Rate per 100,000 workers",Units,Undefined,203.03
2015,,Self-employed,"Agriculture, forestry and fishing",Male,,"Rate per 100,000 workers",Units,Undefined,221.55
2015,,Self-employed,"Agriculture, forestry and fishing",Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,63.15
2015,,Self-employed,"Agriculture, forestry and fishing",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,20.07
2015,,Self-employed,"Agriculture, forestry and fishing",Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,71.66
2015,,Self-employed,"Agriculture, forestry and fishing",Male,65 and over,"Rate per 100,000 workers",Units,Undefined,1181.01
2015,,Self-employed,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,740.86
2015,,Self-employed,Manufacturing,,35 to 44,"Rate per 100,000 workers",Units,Undefined,837.92
2015,,Self-employed,Manufacturing,,65 and over,"Rate per 100,000 workers",Units,Undefined,907.66
2015,,Self-employed,Manufacturing,Male,,"Rate per 100,000 workers",Units,Undefined,984.17
2015,,Self-employed,Manufacturing,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,1053.99
2015,,Self-employed,Manufacturing,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,1069.82
2015,,Self-employed,Construction,,,"Rate per 100,000 workers",Units,Undefined,1357.78
2015,,Self-employed,Construction,,20 to 24,"Rate per 100,000 workers",Units,Undefined,866.21
2015,,Self-employed,Construction,,25 to 34,"Rate per 100,000 workers",Units,Undefined,1156.97
2015,,Self-employed,Construction,,35 to 44,"Rate per 100,000 workers",Units,Undefined,1059.54
2015,,Self-employed,Construction,,45 to 54,"Rate per 100,000 workers",Units,Undefined,1108.62
2015,,Self-employed,Construction,,55 to 59,"Rate per 100,000 workers",Units,Undefined,1155.1
2015,,Self-employed,Construction,,60 to 64,"Rate per 100,000 workers",Units,Undefined,1177.34
2015,,Self-employed,Construction,,65 and over,"Rate per 100,000 workers",Units,Undefined,194.34
2015,,Self-employed,Construction,Male,,"Rate per 100,000 workers",Units,Undefined,85.86
2015,,Self-employed,Construction,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,424.23
2015,,Self-employed,Construction,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,408.0
2015,,Self-employed,Construction,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,363.61
2015,,Self-employed,Construction,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,354.71
2015,,Self-employed,Construction,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,317.14
2015,,Self-employed,Construction,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,373.49
2015,,Self-employed,Construction,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,381.88
2015,,Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,,"Rate per 100,000 workers",Units,Undefined,335.21
2015,,Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,25 to 34,"Rate per 100,000 workers",Units,Undefined,286.98
2015,,Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,45 to 54,"Rate per 100,000 workers",Units,Undefined,508.25
2015,,Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,,"Rate per 100,000 workers",Units,Undefined,429.33
2015,,Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,412.49
2015,,Self-employed,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,419.4
2015,,Self-employed,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,,"Rate per 100,000 workers",Units,Undefined,397.16
2015,,Self-employed,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,45 to 54,"Rate per 100,000 workers",Units,Undefined,458.63
2015,,Self-employed,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,,"Rate per 100,000 workers",Units,Undefined,457.34
2015,,Self-employed,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,405.42
2016,,,,,16 to 19,"Rate per 100,000 workers",Units,Undefined,149.19
2016,,,,,20 to 24,"Rate per 100,000 workers",Units,Undefined,182.32
2016,,,,,25 to 34,"Rate per 100,000 workers",Units,Undefined,174.23
2016,,,,,35 to 44,"Rate per 100,000 workers",Units,Undefined,188.36
2016,,,,,45 to 54,"Rate per 100,000 workers",Units,Undefined,222.3
2016,,,,,55 to 59,"Rate per 100,000 workers",Units,Undefined,258.73
2016,,,,,60 to 64,"Rate per 100,000 workers",Units,Undefined,294.61
2016,,,,,65 and over,"Rate per 100,000 workers",Units,Undefined,192.92
2016,,,,Male,,"Rate per 100,000 workers",Units,Undefined,338.79
2016,,,,Male,16 to 19,"Rate per 100,000 workers",Units,Undefined,206.4
2016,,,,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,231.62
2016,,,,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,229.43
2016,,,,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,255.65
2016,,,,Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,290.56
2016,,,,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,327.35
2016,,,,Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,362.08
2016,,,,Male,65 and over,"Rate per 100,000 workers",Units,Undefined,220.03
2016,,,,Female,,"Rate per 100,000 workers",Units,Undefined,187.03
2016,,,,Female,35 to 44,"Rate per 100,000 workers",Units,Undefined,98.03
2016,,,,Female,45 to 54,"Rate per 100,000 workers",Units,Undefined,131.03
2016,,,,Female,55 to 59,"Rate per 100,000 workers",Units,Undefined,112.07
2016,,,,Female,65 and over,"Rate per 100,000 workers",Units,Undefined,118.21
2016,,,"Agriculture, forestry and fishing",,,"Rate per 100,000 workers",Units,Undefined,166.61
2016,,,"Agriculture, forestry and fishing",,16 to 19,"Rate per 100,000 workers",Units,Undefined,202.6
2016,,,"Agriculture, forestry and fishing",,25 to 34,"Rate per 100,000 workers",Units,Undefined,222.74
2016,,,"Agriculture, forestry and fishing",,35 to 44,"Rate per 100,000 workers",Units,Undefined,163.87
2016,,,"Agriculture, forestry and fishing",,45 to 54,"Rate per 100,000 workers",Units,Undefined,475.77
2016,,,"Agriculture, forestry and fishing",,55 to 59,"Rate per 100,000 workers",Units,Undefined,432.88
2016,,,"Agriculture, forestry and fishing",,60 to 64,"Rate per 100,000 workers",Units,Undefined,574.56
2016,,,"Agriculture, forestry and fishing",,65 and over,"Rate per 100,000 workers",Units,Undefined,392.92
2016,,,"Agriculture, forestry and fishing",Male,,"Rate per 100,000 workers",Units,Undefined,507.23
2016,,,"Agriculture, forestry and fishing",Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,345.18
2016,,,"Agriculture, forestry and fishing",Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,446.2
2016,,,"Agriculture, forestry and fishing",Male,45 to 54,"Rate per 100,000 workers",Units,Undefined,624.25
2016,,,"Agriculture, forestry and fishing",Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,134.77
2016,,,"Agriculture, forestry and fishing",Male,60 to 64,"Rate per 100,000 workers",Units,Undefined,593.8
2016,,,"Agriculture, forestry and fishing",Male,65 and over,"Rate per 100,000 workers",Units,Undefined,533.71
2016,,,"Agriculture, forestry and fishing",Female,,"Rate per 100,000 workers",Units,Undefined,391.99
2016,,,"Agriculture, forestry and fishing",Female,45 to 54,"Rate per 100,000 workers",Units,Undefined,715.75
2016,,,Mining and quarrying,,,"Rate per 100,000 workers",Units,Undefined,471.28
2016,,,Mining and quarrying,,35 to 44,"Rate per 100,000 workers",Units,Undefined,205.06
2016,,,Mining and quarrying,,55 to 59,"Rate per 100,000 workers",Units,Undefined,269.28
2016,,,Mining and quarrying,Male,,"Rate per 100,000 workers",Units,Undefined,96.91
2016,,,Mining and quarrying,Male,35 to 44,"Rate per 100,000 workers",Units,Undefined,153.73
2016,,,Mining and quarrying,Male,55 to 59,"Rate per 100,000 workers",Units,Undefined,267.74
2016,,,Manufacturing,,,"Rate per 100,000 workers",Units,Undefined,142.66
2016,,,Manufacturing,,16 to 19,"Rate per 100,000 workers",Units,Undefined,187.01
2016,,,Manufacturing,,20 to 24,"Rate per 100,000 workers",Units,Undefined,303.49
2016,,,Manufacturing,,25 to 34,"Rate per 100,000 workers",Units,Undefined,330.15
2016,,,Manufacturing,,35 to 44,"Rate per 100,000 workers",Units,Undefined,286.8
2016,,,Manufacturing,,45 to 54,"Rate per 100,000 workers",Units,Undefined,169.66
2016,,,Manufacturing,,55 to 59,"Rate per 100,000 workers",Units,Undefined,221.26
2016,,,Manufacturing,,60 to 64,"Rate per 100,000 workers",Units,Undefined,344.57
2016,,,Manufacturing,,65 and over,"Rate per 100,000 workers",Units,Undefined,62.08
2016,,,Manufacturing,Male,,"Rate per 100,000 workers",Units,Undefined,468.83
2016,,,Manufacturing,Male,16 to 19,"Rate per 100,000 workers",Units,Undefined,524.57
2016,,,Manufacturing,Male,20 to 24,"Rate per 100,000 workers",Units,Undefined,468.64
2016,,,Manufacturing,Male,25 to 34,"Rate per 100,000 workers",Units,Undefined,363.21
