Year,Sex,Age,Region,County,Local Authority,Disability status,Ethnicity,Ethnic group,Economic activity,GeoCode,Value
2014,,,West Midlands,,Staffordshire CC,,,,,E12000005,81.2
2014,,,West Midlands,,Stoke-on-Trent,,,,,E06000021,88.3
2014,,,West Midlands,,Telford and Wrekin,,,,,E06000020,92.3
2014,,,West Midlands,,Warwickshire,,,,,E07000218,83.1
2014,,,West Midlands,Worcestershire,,,,,,E10000034,85.7
2014,,,West Midlands,,,,,,,E12000005,82.2
2014,,,Yorkshire and the Humber,,"Barnsley, Doncaster and Rotherham",,,,,,82.2
2014,,,Yorkshire and the Humber,,Bradford,,,,,E08000032,82.2
2014,,,Yorkshire and the Humber,,East Riding of Yorkshire,,,,,E06000011,84.9
2014,,,Yorkshire and the Humber,,"Kingston upon Hull, City of",,,,,E06000010,82.9
2014,,,Yorkshire and the Humber,,Leeds,,,,,E08000035,86.9
2014,,,Yorkshire and the Humber,,North and North East Lincolnshire,,,,,,82.7
2014,,,Yorkshire and the Humber,North Yorkshire,,,,,,E10000023,84.6
2014,,,Yorkshire and the Humber,,Sheffield,,,,,E08000019,83.1
2014,,,Yorkshire and the Humber,,York,,,,,E06000014,86.8
2014,,,Yorkshire and the Humber,,,,,,,,83.6
2014,,,,,,Equality Act Disabled,,,,,64.9
2014,,,,,,Not Equality Act Disabled,,,,,90.8
2014,,,,,,,Asian/Asian British,Bangladeshi,,,86.9
2014,,,,,,,Black/African/Caribbean/Black British,,,,87.7
2014,,,,,,,Asian/Asian British,Chinese,,,90.8
2014,,,,,,,Asian/Asian British,Indian,,,85.8
2014,,,,,,,Mixed/multiple ethnic groups,,,,95.2
2014,,,,,,,Asian/Asian British,Any other Asian background,,,90.4
2014,,,,,,,Other ethnic group,,,,88.0
2014,,,,,,,Asian/Asian British,Pakistani,,,79.2
2014,,,,,,,White,,,,84.7
2014,,,,,,,,,Employee,,96.3
2014,,,,,,,,,Government employment  training programmes,,93.9
2014,,,,,,,,,Inactive,,78.7
2014,,,,,,,,,Retired,,51.8
2014,,,,,,,,,Self-employed,,93.7
2014,,,,,,,,,Student,,99.5
2014,,,,,,,,,Unemployed,,94.6
2014,,,,,,,,,Unpaid family worker,,86.0
2014,,,,,,,,,,,85.0
2015,Female,16 to 24,,,,,,,,,98.9
2015,Female,25 to 34,,,,,,,,,98.6
2015,Female,35 to 44,,,,,,,,,97.5
2015,Female,45 to 54,,,,,,,,,93.6
2015,Female,55 to 64,,,,,,,,,86.8
2015,Female,65 to 74,,,,,,,,,68.4
2015,Female,75 and over,,,,,,,,,27.3
2015,Female,,,,,,,,,,84.6
2015,Male,16 to 24,,,,,,,,,98.8
2015,Male,25 to 34,,,,,,,,,98.6
2015,Male,35 to 44,,,,,,,,,97.1
2015,Male,45 to 54,,,,,,,,,93.7
2015,Male,55 to 64,,,,,,,,,86.5
2015,Male,65 to 74,,,,,,,,,73.0
2015,Male,75 and over,,,,,,,,,40.7
2015,Male,,,,,,,,,,87.9
2015,,16 to 24,,,,Equality Act Disabled,,,,,95.2
2015,,16 to 24,,,,Not Equality Act Disabled,,,,,99.3
2015,,16 to 24,,,,,,,,,98.8
2015,,25 to 34,,,,Equality Act Disabled,,,,,95.2
2015,,25 to 34,,,,Not Equality Act Disabled,,,,,99.0
2015,,25 to 34,,,,,,,,,98.6
2015,,35 to 44,,,,Equality Act Disabled,,,,,92.0
2015,,35 to 44,,,,Not Equality Act Disabled,,,,,98.2
2015,,35 to 44,,,,,,,,,97.3
2015,,45 to 54,,,,Equality Act Disabled,,,,,85.0
2015,,45 to 54,,,,Not Equality Act Disabled,,,,,95.8
2015,,45 to 54,,,,,,,,,93.6
2015,,55 to 64,,,,Equality Act Disabled,,,,,76.0
2015,,55 to 64,,,,Not Equality Act Disabled,,,,,91.0
2015,,55 to 64,,,,,,,,,86.7
2015,,65 to 74,,,,Equality Act Disabled,,,,,60.5
2015,,65 to 74,,,,Not Equality Act Disabled,,,,,76.1
2015,,65 to 74,,,,,,,,,70.6
2015,,75 and over,,,,Equality Act Disabled,,,,,27.4
2015,,75 and over,,,,Not Equality Act Disabled,,,,,40.0
2015,,75 and over,,,,,,,,,33.0
2015,,,East Midlands,,Derby,,,,,E06000015,89.5
2015,,,East Midlands,,East Derbyshire,,,,,E12000004,85.8
2015,,,East Midlands,,Leicester,,,,,E06000016,85.7
2015,,,East Midlands,,Leicestershire CC and Rutland,,,,,E12000004,87.5
2015,,,East Midlands,,Lincolnshire,,,,,E06000012,82.8
2015,,,East Midlands,Nottinghamshire,North Nottinghamshire,,,,,E10000024,85.8
2015,,,East Midlands,,Nottingham,,,,,E06000018,87.0
2015,,,East Midlands,,South and West Derbyshire,,,,,E12000004,82.4
2015,,,East Midlands,Nottinghamshire,South Nottinghamshire,,,,,E10000024,89.0
2015,,,East Midlands,,,,,,,E12000004,85.8
2015,,,East of England,,Cambridgeshire CC,,,,,E12000006,88.5
2015,,,East of England,,Hertfordshire,,,,,E07000242,88.8
2015,,,East of England,,Luton,,,,,E06000032,82.5
2015,,,East of England,,Peterborough,,,,,E06000031,94.6
2015,,,East of England,,Southend-on-Sea,,,,,E06000033,84.8
2015,,,East of England,,Suffolk,,,,,E07000203,83.9
2015,,,East of England,,Thurrock,,,,,E06000034,94.9
2015,,,East of England,,,,,,,E12000006,87.2
2015,,,London,,,,,,,E12000007,89.5
2015,,,North East,,Darlington,,,,,E06000005,86.2
2015,,,North East,,County Durham,,,,,E06000047,81.7
2015,,,North East,,Hartlepool and Stockton-on-Tees,,,,,E12000001,87.4
2015,,,North East,,Northumberland,,,,,E06000057,81.7
2015,,,North East,,Middlesbrough,,,,,E06000002,82.0
2015,,,North East,,Sunderland,,,,,E08000024,81.9
2015,,,North East,,Tyneside,,,,,E08000022,78.7
2015,,,North East,,,,,,,E12000001,81.6
2015,,,North West,,Blackburn with Darwen,,,,,E06000008,77.8
2015,,,North West,,Blackpool,,,,,E06000009,69.0
2015,,,North West,,Carlisle,,,,,E07000028,86.4
2015,,,North West,,Allerdale,,,,,E07000026,86.7
2015,,,North West,,,,,,,E12000002,84.4
2015,,,Northern Ireland,,,,,,,,79.6
2015,,,Scotland,,Angus and Dundee City,,,,,,88.8
2015,,,Scotland,,Clackmannanshire and Fife,,,,,,85.2
2015,,,Scotland,,Dumfries  Galloway,,,,,,79.4
2015,,,Scotland,,East Ayrshire and North Ayrshire mainland,,,,,,82.4
2015,,,Scotland,,"East Dunbartonshire, West Dunbartonshire and Helensburgh  Lomond",,,,,,80.8
2015,,,Scotland,,East Lothian and Midlothian,,,,,,93.5
2015,,,Scotland,,"Edinburgh, City of",,,,,,87.1
2015,,,Scotland,,Falkirk,,,,,S12000014,81.6
2015,,,Scotland,,Glasgow City,,,,,S12000046,83.3
2015,,,Scotland,,Highlands and Islands,,,,,,82.1
2015,,,Scotland,,"Inverclyde, East Renfrewshire and Renfrewshire",,,,,,82.1
2015,,,Scotland,,North Lanarkshire,,,,,S12000044,85.7
2015,,,Scotland,,Perth  Kinross and Stirling,,,,,,83.4
2015,,,Scotland,,Scottish Borders,,,,,S12000026,85.3
2015,,,Scotland,,South Ayrshire,,,,,S12000028,85.6
2015,,,Scotland,,South Lanarkshire,,,,,S12000029,88.3
2015,,,Scotland,,West Lothian,,,,,S12000040,89.4
2015,,,Scotland,,,,,,,,85.4
2015,,,South East,,Berkshire,,,,,E06000037,91.2
2015,,,South East,,Brighton and Hove,,,,,E06000043,90.5
2015,,,South East,Buckinghamshire,,,,,,E10000002,92.1
2015,,,South East,,East Sussex CC,,,,,E12000008,88.1
2015,,,South East,,Isle of Wight,,,,,E06000046,80.7
2015,,,South East,,Medway,,,,,E06000035,91.0
2015,,,South East,,Milton Keynes,,,,,E06000042,90.1
2015,,,South East,,Oxfordshire,,,,,E07000179,93.2
2015,,,South East,,Portsmouth,,,,,E06000044,86.6
2015,,,South East,,Southampton,,,,,E06000045,89.3
2015,,,South East,,,,,,,E12000008,89.6
2015,,,South West,,"Bath and North East Somerset, North Somerset and South Gloucestershire",,,,,E12000009,87.1
2015,,,South West,,Bournemouth and Poole,,,,,E12000009,87.3
2015,,,South West,,"Bristol, City of",,,,,E06000023,91.3
2015,,,South West,,Cornwall and Isles of Scilly,,,,,E12000009,79.9
2015,,,South West,,Devon CC,,,,,E12000009,86.3
2015,,,South West,,Dorset CC,,,,,E12000009,87.4
2015,,,South West,,Gloucestershire,,,,,E06000025,90.6
2015,,,South West,,Plymouth,,,,,E06000026,86.4
2015,,,South West,,Somerset,,,,,E06000024,87.1
2015,,,South West,,Swindon,,,,,E06000030,93.0
2015,,,South West,,Torbay,,,,,E06000027,84.0
2015,,,South West,,Wiltshire,,,,,E06000054,87.4
2015,,,South West,,,,,,,E12000009,87.2
2015,,,Wales,,Bridgend and Neath Port Talbot,,,,,,84.9
2015,,,Wales,,Cardiff and Vale of Glamorgan,,,,,,86.8
2015,,,Wales,,Central Valleys,,,,,,79.6
2015,,,Wales,,Conwy and Denbighshire,,,,,,80.3
2015,,,Wales,,Flintshire and Wrexham,,,,,,84.0
2015,,,Wales,,Gwent,,,,,W06000019,86.2
2015,,,Wales,,Gwynedd,,,,,W06000002,85.8
2015,,,Wales,,Isle of Anglesey,,,,,W06000001,58.2
2015,,,Wales,,Monmouthshire and Newport,,,,,,86.1
2015,,,Wales,,Powys,,,,,W06000023,84.1
2015,,,Wales,,Pembrokeshire,,,,,W06000009,77.0
2015,,,Wales,,Swansea,,,,,W06000011,80.2
2015,,,Wales,,,,,,,,82.5
2015,,,West Midlands,,Birmingham,,,,,E08000025,82.0
2015,,,West Midlands,,Coventry,,,,,E08000026,86.8
2015,,,West Midlands,,"Herefordshire, County of",,,,,E06000019,84.8
2015,,,West Midlands,,Shropshire CC,,,,,E12000005,80.2
2015,,,West Midlands,,Solihull,,,,,E08000029,90.3
2015,,,West Midlands,,Staffordshire CC,,,,,E12000005,86.0
2015,,,West Midlands,,Stoke-on-Trent,,,,,E06000021,86.6
2015,,,West Midlands,,Telford and Wrekin,,,,,E06000020,87.3
2015,,,West Midlands,,Warwickshire,,,,,E07000218,90.7
2015,,,West Midlands,Worcestershire,,,,,,E10000034,87.7
2015,,,West Midlands,,,,,,,E12000005,85.1
2015,,,Yorkshire and the Humber,,"Barnsley, Doncaster and Rotherham",,,,,,81.9
2015,,,Yorkshire and the Humber,,Bradford,,,,,E08000032,87.3
2015,,,Yorkshire and the Humber,,East Riding of Yorkshire,,,,,E06000011,86.1
2015,,,Yorkshire and the Humber,,"Kingston upon Hull, City of",,,,,E06000010,89.7
2015,,,Yorkshire and the Humber,,Leeds,,,,,E08000035,87.0
2015,,,Yorkshire and the Humber,,North and North East Lincolnshire,,,,,,80.7
2015,,,Yorkshire and the Humber,North Yorkshire,,,,,,E10000023,89.0
2015,,,Yorkshire and the Humber,,Sheffield,,,,,E08000019,83.4
2015,,,Yorkshire and the Humber,,York,,,,,E06000014,83.3
2015,,,Yorkshire and the Humber,,,,,,,,85.3
2015,,,,,,Equality Act Disabled,,,,,67.8
2015,,,,,,Not Equality Act Disabled,,,,,91.7
2015,,,,,,,Asian/Asian British,Bangladeshi,,,83.1
2015,,,,,,,Black/African/Caribbean/Black British,,,,87.7
2015,,,,,,,Asian/Asian British,Chinese,,,92.6
2015,,,,,,,Asian/Asian British,Indian,,,87.8
2015,,,,,,,Mixed/multiple ethnic groups,,,,97.0
2015,,,,,,,Asian/Asian British,Any other Asian background,,,91.0
2015,,,,,,,Other ethnic group,,,,90.5
2015,,,,,,,Asian/Asian British,Pakistani,,,85.7
2015,,,,,,,White,,,,85.9
2015,,,,,,,,,Employee,,96.9
2015,,,,,,,,,Government employment  training programmes,,92.4
2015,,,,,,,,,Inactive,,81.5
2015,,,,,,,,,Retired,,54.5
2015,,,,,,,,,Self-employed,,95.0
2015,,,,,,,,,Student,,99.1
2015,,,,,,,,,Unemployed,,94.9
2015,,,,,,,,,Unpaid family worker,,89.5
2015,,,,,,,,,,,86.2
2016,Female,16 to 24,,,,,,,,,99.4
2016,Female,25 to 34,,,,,,,,,99.1
2016,Female,35 to 44,,,,,,,,,98.3
2016,Female,45 to 54,,,,,,,,,94.9
2016,Female,55 to 64,,,,,,,,,88.3
2016,Female,65 to 74,,,,,,,,,72.5
2016,Female,75 and over,,,,,,,,,32.6
2016,Female,,,,,,,,,,86.4
2016,Male,16 to 24,,,,,,,,,99.0
2016,Male,25 to 34,,,,,,,,,98.8
2016,Male,35 to 44,,,,,,,,,98.1
2016,Male,45 to 54,,,,,,,,,95.0
2016,Male,55 to 64,,,,,,,,,88.2
2016,Male,65 to 74,,,,,,,,,75.8
2016,Male,75 and over,,,,,,,,,46.7
2016,Male,,,,,,,,,,89.4
2016,,16 to 24,,,,Equality Act Disabled,,,,,97.3
2016,,16 to 24,,,,Not Equality Act Disabled,,,,,99.4
2016,,16 to 24,,,,,,,,,99.2
2016,,25 to 34,,,,Equality Act Disabled,,,,,96.2
2016,,25 to 34,,,,Not Equality Act Disabled,,,,,99.3
2016,,25 to 34,,,,,,,,,98.9
2016,,35 to 44,,,,Equality Act Disabled,,,,,94.6
2016,,35 to 44,,,,Not Equality Act Disabled,,,,,98.9
2016,,35 to 44,,,,,,,,,98.2
2016,,45 to 54,,,,Equality Act Disabled,,,,,87.4
2016,,45 to 54,,,,Not Equality Act Disabled,,,,,96.8
2016,,45 to 54,,,,,,,,,94.9
2016,,55 to 64,,,,Equality Act Disabled,,,,,77.6
2016,,55 to 64,,,,Not Equality Act Disabled,,,,,92.5
2016,,55 to 64,,,,,,,,,88.3
2016,,65 to 74,,,,Equality Act Disabled,,,,,65.0
2016,,65 to 74,,,,Not Equality Act Disabled,,,,,79.1
2016,,65 to 74,,,,,,,,,74.1
2016,,75 and over,,,,Equality Act Disabled,,,,,30.8
2016,,75 and over,,,,Not Equality Act Disabled,,,,,48.1
2016,,75 and over,,,,,,,,,38.7
2016,,,East Midlands,,Derby,,,,,E06000015,84.4
2016,,,East Midlands,,East Derbyshire,,,,,E12000004,85.5
2016,,,East Midlands,,Leicester,,,,,E06000016,86.3
2016,,,East Midlands,,Leicestershire CC and Rutland,,,,,E12000004,89.2
2016,,,East Midlands,,Lincolnshire,,,,,E06000012,84.0
2016,,,East Midlands,Nottinghamshire,North Nottinghamshire,,,,,E10000024,83.5
2016,,,East Midlands,,Nottingham,,,,,E06000018,85.2
2016,,,East Midlands,,South and West Derbyshire,,,,,E12000004,87.8
2016,,,East Midlands,Nottinghamshire,South Nottinghamshire,,,,,E10000024,82.2
2016,,,East Midlands,,,,,,,E12000004,86.6
2016,,,East of England,,Cambridgeshire CC,,,,,E12000006,90.6
2016,,,East of England,,Hertfordshire,,,,,E07000242,91.1
2016,,,East of England,,Luton,,,,,E06000032,81.7
2016,,,East of England,,Peterborough,,,,,E06000031,87.2
2016,,,East of England,,Southend-on-Sea,,,,,E06000033,84.7
2016,,,East of England,,Suffolk,,,,,E07000203,89.8
2016,,,East of England,,Thurrock,,,,,E06000034,80.7
2016,,,East of England,,,,,,,E12000006,88.9
2016,,,London,,,,,,,E12000007,91.0
2016,,,North East,,Darlington,,,,,E06000005,85.2
2016,,,North East,,County Durham,,,,,E06000047,82.8
2016,,,North East,,Hartlepool and Stockton-on-Tees,,,,,E12000001,85.6
2016,,,North East,,Northumberland,,,,,E06000057,79.8
2016,,,North East,,Middlesbrough,,,,,E06000002,84.0
2016,,,North East,,Sunderland,,,,,E08000024,80.5
2016,,,North East,,Tyneside,,,,,E08000022,82.5
2016,,,North East,,,,,,,E12000001,82.6
2016,,,North West,,Blackburn with Darwen,,,,,E06000008,77.9
2016,,,North West,,Blackpool,,,,,E06000009,89.0
2016,,,North West,,Carlisle,,,,,E07000028,88.4
2016,,,North West,,Allerdale,,,,,E07000026,87.6
2016,,,North West,,,,,,,E12000002,87.3
2016,,,Northern Ireland,,,,,,,,82.0
2016,,,Scotland,,Angus and Dundee City,,,,,,86.6
2016,,,Scotland,,Clackmannanshire and Fife,,,,,,91.2
2016,,,Scotland,,Dumfries  Galloway,,,,,,80.9
2016,,,Scotland,,East Ayrshire and North Ayrshire mainland,,,,,,81.6
2016,,,Scotland,,"East Dunbartonshire, West Dunbartonshire and Helensburgh  Lomond",,,,,,84.7
2016,,,Scotland,,East Lothian and Midlothian,,,,,,89.4
2016,,,Scotland,,"Edinburgh, City of",,,,,,91.1
2016,,,Scotland,,Falkirk,,,,,S12000014,75.0
2016,,,Scotland,,Glasgow City,,,,,S12000046,83.1
2016,,,Scotland,,Highlands and Islands,,,,,,86.6
2016,,,Scotland,,"Inverclyde, East Renfrewshire and Renfrewshire",,,,,,86.0
2016,,,Scotland,,North Lanarkshire,,,,,S12000044,86.9
2016,,,Scotland,,Perth  Kinross and Stirling,,,,,,86.8
2016,,,Scotland,,Scottish Borders,,,,,S12000026,93.0
2016,,,Scotland,,South Ayrshire,,,,,S12000028,89.3
2016,,,Scotland,,South Lanarkshire,,,,,S12000029,90.1
2016,,,Scotland,,West Lothian,,,,,S12000040,88.5
2016,,,Scotland,,,,,,,,87.1
2016,,,South East,,Berkshire,,,,,E06000037,91.7
2016,,,South East,,Brighton and Hove,,,,,E06000043,96.0
2016,,,South East,Buckinghamshire,,,,,,E10000002,90.6
2016,,,South East,,East Sussex CC,,,,,E12000008,87.9
2016,,,South East,,Isle of Wight,,,,,E06000046,83.0
2016,,,South East,,Medway,,,,,E06000035,86.9
2016,,,South East,,Milton Keynes,,,,,E06000042,89.4
2016,,,South East,,Oxfordshire,,,,,E07000179,94.1
2016,,,South East,,Portsmouth,,,,,E06000044,89.6
2016,,,South East,,Southampton,,,,,E06000045,89.6
2016,,,South East,,,,,,,E12000008,90.6
2016,,,South West,,"Bath and North East Somerset, North Somerset and South Gloucestershire",,,,,E12000009,91.9
2016,,,South West,,Bournemouth and Poole,,,,,E12000009,86.8
2016,,,South West,,"Bristol, City of",,,,,E06000023,94.9
2016,,,South West,,Cornwall and Isles of Scilly,,,,,E12000009,88.1
2016,,,South West,,Devon CC,,,,,E12000009,87.8
2016,,,South West,,Dorset CC,,,,,E12000009,89.3
2016,,,South West,,Gloucestershire,,,,,E06000025,92.1
2016,,,South West,,Plymouth,,,,,E06000026,86.2
2016,,,South West,,Somerset,,,,,E06000024,88.2
2016,,,South West,,Swindon,,,,,E06000030,90.4
2016,,,South West,,Torbay,,,,,E06000027,95.1
2016,,,South West,,Wiltshire,,,,,E06000054,89.7
2016,,,South West,,,,,,,E12000009,89.8
2016,,,Wales,,Bridgend and Neath Port Talbot,,,,,,86.9
2016,,,Wales,,Cardiff and Vale of Glamorgan,,,,,,86.8
2016,,,Wales,,Central Valleys,,,,,,81.8
2016,,,Wales,,Conwy and Denbighshire,,,,,,80.6
2016,,,Wales,,Flintshire and Wrexham,,,,,,84.6
2016,,,Wales,,Gwent,,,,,W06000019,89.7
2016,,,Wales,,Gwynedd,,,,,W06000002,86.5
2016,,,Wales,,Isle of Anglesey,,,,,W06000001,89.1
2016,,,Wales,,Monmouthshire and Newport,,,,,,83.9
2016,,,Wales,,Powys,,,,,W06000023,88.5
2016,,,Wales,,Pembrokeshire,,,,,W06000009,86.1
2016,,,Wales,,Swansea,,,,,W06000011,83.4
2016,,,Wales,,,,,,,,85.5
2016,,,West Midlands,,Birmingham,,,,,E08000025,87.3
2016,,,West Midlands,,Coventry,,,,,E08000026,89.5
2016,,,West Midlands,,"Herefordshire, County of",,,,,E06000019,82.2
2016,,,West Midlands,,Shropshire CC,,,,,E12000005,82.7
2016,,,West Midlands,,Solihull,,,,,E08000029,82.2
2016,,,West Midlands,,Staffordshire CC,,,,,E12000005,83.1
2016,,,West Midlands,,Stoke-on-Trent,,,,,E06000021,87.7
2016,,,West Midlands,,Telford and Wrekin,,,,,E06000020,93.6
2016,,,West Midlands,,Warwickshire,,,,,E07000218,90.8
2016,,,West Midlands,Worcestershire,,,,,,E10000034,87.3
2016,,,West Midlands,,,,,,,E12000005,85.7
2016,,,Yorkshire and the Humber,,"Barnsley, Doncaster and Rotherham",,,,,,78.3
2016,,,Yorkshire and the Humber,,Bradford,,,,,E08000032,84.8
2016,,,Yorkshire and the Humber,,East Riding of Yorkshire,,,,,E06000011,89.2
2016,,,Yorkshire and the Humber,,"Kingston upon Hull, City of",,,,,E06000010,82.6
2016,,,Yorkshire and the Humber,,Leeds,,,,,E08000035,87.8
2016,,,Yorkshire and the Humber,,North and North East Lincolnshire,,,,,,89.5
2016,,,Yorkshire and the Humber,North Yorkshire,,,,,,E10000023,84.2
2016,,,Yorkshire and the Humber,,Sheffield,,,,,E08000019,88.4
2016,,,Yorkshire and the Humber,,York,,,,,E06000014,87.1
2016,,,Yorkshire and the Humber,,,,,,,,85.9
2016,,,,,,Equality Act Disabled,,,,,71.0
2016,,,,,,Not Equality Act Disabled,,,,,92.9
2016,,,,,,,Asian/Asian British,Bangladeshi,,,86.5
2016,,,,,,,Black/African/Caribbean/Black British,,,,90.5
2016,,,,,,,Asian/Asian British,Chinese,,,96.4
2016,,,,,,,Asian/Asian British,Indian,,,88.9
2016,,,,,,,Mixed/multiple ethnic groups,,,,95.4
2016,,,,,,,Asian/Asian British,Any other Asian background,,,92.7
2016,,,,,,,Other ethnic group,,,,94.2
2016,,,,,,,Asian/Asian British,Pakistani,,,88.1
2016,,,,,,,White,,,,87.4
2016,,,,,,,,,Employee,,97.7
2016,,,,,,,,,Government employment  training programmes,,92.5
2016,,,,,,,,,Inactive,,83.4
2016,,,,,,,,,Retired,,58.9
2016,,,,,,,,,Self-employed,,95.8
2016,,,,,,,,,Student,,99.2
2016,,,,,,,,,Unemployed,,96.0
2016,,,,,,,,,Unpaid family worker,,89.0
2016,,,,,,,,,,,87.9
2017,Female,16 to 24,,,,,,,,,99.2
2017,Female,25 to 34,,,,,,,,,99.1
2017,Female,35 to 44,,,,,,,,,98.5
2017,Female,45 to 54,,,,,,,,,96.3
2017,Female,55 to 64,,,,,,,,,90.2
2017,Female,65 to 74,,,,,,,,,76.0
2017,Female,75 and over,,,,,,,,,35.4
2017,Female,,,,,,,,,,87.6
2017,Male,16 to 24,,,,,,,,,99.1
2017,Male,25 to 34,,,,,,,,,99.1
2017,Male,35 to 44,,,,,,,,,98.3
2017,Male,45 to 54,,,,,,,,,96.0
2017,Male,55 to 64,,,,,,,,,89.9
2017,Male,65 to 74,,,,,,,,,79.1
2017,Male,75 and over,,,,,,,,,47.2
2017,Male,,,,,,,,,,90.2
2017,,16 to 24,,,,Equality Act Disabled,,,,,97.1
2017,,16 to 24,,,,Not Equality Act Disabled,,,,,99.5
2017,,16 to 24,,,,,,,,,99.2
2017,,25 to 34,,,,Equality Act Disabled,,,,,96.9
2017,,25 to 34,,,,Not Equality Act Disabled,,,,,99.4
2017,,25 to 34,,,,,,,,,99.1
2017,,35 to 44,,,,Equality Act Disabled,,,,,94.8
2017,,35 to 44,,,,Not Equality Act Disabled,,,,,99.1
2017,,35 to 44,,,,,,,,,98.4
2017,,45 to 54,,,,Equality Act Disabled,,,,,89.2
2017,,45 to 54,,,,Not Equality Act Disabled,,,,,97.9
2017,,45 to 54,,,,,,,,,96.2
2017,,55 to 64,,,,Equality Act Disabled,,,,,80.4
2017,,55 to 64,,,,Not Equality Act Disabled,,,,,93.8
2017,,55 to 64,,,,,,,,,90.0
2017,,65 to 74,,,,Equality Act Disabled,,,,,69.4
2017,,65 to 74,,,,Not Equality Act Disabled,,,,,82.2
2017,,65 to 74,,,,,,,,,77.5
2017,,75 and over,,,,Equality Act Disabled,,,,,34.0
2017,,75 and over,,,,Not Equality Act Disabled,,,,,48.1
2017,,75 and over,,,,,,,,,40.5
2017,,,East Midlands,,Derby,,,,,E06000015,87.4
2017,,,East Midlands,,East Derbyshire,,,,,E12000004,85.8
2017,,,East Midlands,,Leicester,,,,,E06000016,87.1
2017,,,East Midlands,,Leicestershire CC and Rutland,,,,,E12000004,88.2
2017,,,East Midlands,,Lincolnshire,,,,,E06000012,87.9
2017,,,East Midlands,,North Northamptonshire,,,,,E12000004,90.8
2017,,,East Midlands,Nottinghamshire,North Nottinghamshire,,,,,E10000024,82.2
2017,,,East Midlands,,Nottingham,,,,,E06000018,86.0
2017,,,East Midlands,,South and West Derbyshire,,,,,E12000004,89.6
2017,,,East Midlands,Nottinghamshire,South Nottinghamshire,,,,,E10000024,88.7
2017,,,East Midlands,,West Northamptonshire,,,,,E12000004,91.6
2017,,,East Midlands,,,,,,,E12000004,87.8
2017,,,East of England,,Bedford,,,,,E06000055,88.5
2017,,,East of England,,Breckland and South Norfolk,,,,,E12000006,86.2
2017,,,East of England,,Cambridgeshire CC,,,,,E12000006,88.2
2017,,,East of England,,Central Bedfordshire,,,,,E06000056,93.4
2017,,,East of England,,Colchester,,,,,E07000071,88.3
2017,,,East of England,,Essex Thames Gateway,,,,,E12000006,90.0
2017,,,East of England,,Heart of Essex,,,,,E12000006,95.5
2017,,,East of England,,Hertfordshire,,,,,E07000242,91.3
2017,,,East of England,,Luton,,,,,E06000032,89.9
2017,,,East of England,,North and West Norfolk,,,,,E12000006,89.8
2017,,,East of England,,Norwich and East Norfolk,,,,,E12000006,88.4
2017,,,East of England,,Peterborough,,,,,E06000031,93.1
2017,,,East of England,,Southend-on-Sea,,,,,E06000033,88.4
2017,,,East of England,,Suffolk,,,,,E07000203,89.8
2017,,,East of England,,Thurrock,,,,,E06000034,90.5
2017,,,East of England,,West Essex,,,,,E12000006,95.0
2017,,,East of England,,,,,,,E12000006,90.3
2017,,,London,,Barking  Dagenham and Havering,,,,,E12000007,92.2
2017,,,London,,Barnet,,,,,E09000003,87.6
2017,,,London,,Bexley and Greenwich,,,,,E12000007,93.6
2017,,,London,,Brent,,,,,E09000005,85.6
2017,,,London,,Bromley,,,,,E09000006,92.3
2017,,,London,,Camden and City of London,,,,,E12000007,91.8
2017,,,London,,Croydon,,,,,E09000008,93.2
2017,,,London,,Ealing,,,,,E09000009,93.8
2017,,,London,,Enfield,,,,,E09000010,88.2
2017,,,London,,Hackney and Newham,,,,,E12000007,93.0
2017,,,London,,Haringey and Islington,,,,,E12000007,95.0
2017,,,London,,Harrow and Hillingdon,,,,,E12000007,91.6
2017,,,London,,Hounslow and Richmond upon Thames,,,,,E12000007,93.9
2017,,,London,,Kensington  Chelsea and Hammersmith  Fulham,,,,,E12000007,95.6
2017,,,London,,Lambeth,,,,,E09000022,95.0
2017,,,London,,Lewisham and Southwark,,,,,E12000007,94.5
2017,,,London,,"Merton, Kingston upon Thames and Sutton",,,,,E12000007,94.1
2017,,,London,,Redbridge and Waltham Forest,,,,,E12000007,93.5
2017,,,London,,Tower Hamlets,,,,,E09000030,88.8
2017,,,London,,Wandsworth,,,,,E09000032,96.6
2017,,,London,,Westminster,,,,,E09000033,91.5
2017,,,London,,,,,,,E12000007,92.7
2017,,,North East,,Darlington,,,,,E06000005,90.0
2017,,,North East,,County Durham,,,,,E06000047,83.1
2017,,,North East,,Hartlepool and Stockton-on-Tees,,,,,E12000001,87.0
2017,,,North East,,Northumberland,,,,,E06000057,87.2
2017,,,North East,,Middlesbrough,,,,,E06000002,90.3
2017,,,North East,,Sunderland,,,,,E08000024,82.5
2017,,,North East,,Tyneside,,,,,E08000022,83.2
2017,,,North East,,,,,,,E12000001,85.0
2017,,,North West,,Blackburn with Darwen,,,,,E06000008,87.2
2017,,,North West,,Blackpool,,,,,E06000009,89.1
2017,,,North West,,Cheshire East,,,,,E06000049,85.9
2017,,,North West,,Cheshire West and Chester,,,,,E06000050,87.9
2017,,,North West,,Chorley and West Lancashire,,,,,E12000002,84.8
2017,,,North West,,Carlisle,,,,,E07000028,85.7
2017,,,North West,,East Lancashire,,,,,E12000002,92.5
2017,,,North West,,East Merseyside,,,,,E12000002,84.3
