Year,Series,Country,Country of birth,Sex,Age,Ethnic Group,Fatality,Malaria species,Region,Region of travel,Observation status,Unit multiplier,Units,GeoCode,Value,Foo
2019,"Rate per 100,000 population",,,Female,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,2.880569345,Bar
2019,"Rate per 100,000 population",,,Female,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,3.164129842,Bar
2019,"Rate per 100,000 population",,,Female,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,3.273886139,Bar
2019,"Rate per 100,000 population",,,Female,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,2.617911582,Bar
2019,"Rate per 100,000 population",,,Female,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,2.367760572,Bar
2019,"Rate per 100,000 population",,,Female,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,1.096578831,Bar
2019,"Rate per 100,000 population",,,Female,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,0.920547012,Bar
2019,"Rate per 100,000 population",,,Female,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.280976111,Bar
2014,Number of cases,,,Female,,,,,,,Normal value,Units,Number,,499,Bar
2014,Number of cases,,,Female,4 and under,,,,,,Normal value,Units,Number,,18,Bar
2014,Number of cases,,,Female,5 to 9,,,,,,Normal value,Units,Number,,19,Bar
2014,Number of cases,,,Female,10 to 14,,,,,,Normal value,Units,Number,,22,Bar
2014,Number of cases,,,Female,15 to 19,,,,,,Normal value,Units,Number,,31,Bar
2014,Number of cases,,,Female,20 to 24,,,,,,Normal value,Units,Number,,39,Bar
2014,Number of cases,,,Female,25 to 29,,,,,,Normal value,Units,Number,,49,Bar
2014,Number of cases,,,Female,30 to 34,,,,,,Normal value,Units,Number,,47,Bar
2014,Number of cases,,,Female,35 to 39,,,,,,Normal value,Units,Number,,31,Bar
2014,Number of cases,,,Female,40 to 44,,,,,,Normal value,Units,Number,,62,Bar
2014,Number of cases,,,Female,45 to 49,,,,,,Normal value,Units,Number,,54,Bar
2014,Number of cases,,,Female,50 to 54,,,,,,Normal value,Units,Number,,41,Bar
2014,Number of cases,,,Female,55 to 59,,,,,,Normal value,Units,Number,,34,Bar
2014,Number of cases,,,Female,60 to 64,,,,,,Normal value,Units,Number,,20,Bar
2014,Number of cases,,,Female,65 to 69,,,,,,Normal value,Units,Number,,17,Bar
2014,Number of cases,,,Female,70 and over,,,,,,Normal value,Units,Number,,15,Bar
2015,Number of cases,,,Female,,,,,,,Normal value,Units,Number,,437,Bar
2015,Number of cases,,,Female,4 and under,,,,,,Normal value,Units,Number,,7,Bar
2015,Number of cases,,,Female,5 to 9,,,,,,Normal value,Units,Number,,12,Bar
2015,Number of cases,,,Female,10 to 14,,,,,,Normal value,Units,Number,,27,Bar
2015,Number of cases,,,Female,15 to 19,,,,,,Normal value,Units,Number,,24,Bar
2015,Number of cases,,,Female,20 to 24,,,,,,Normal value,Units,Number,,30,Bar
2015,Number of cases,,,Female,25 to 29,,,,,,Normal value,Units,Number,,40,Bar
2015,Number of cases,,,Female,30 to 34,,,,,,Normal value,Units,Number,,34,Bar
2015,Number of cases,,,Female,35 to 39,,,,,,Normal value,Units,Number,,41,Bar
2015,Number of cases,,,Female,40 to 44,,,,,,Normal value,Units,Number,,41,Bar
2015,Number of cases,,,Female,45 to 49,,,,,,Normal value,Units,Number,,47,Bar
2015,Number of cases,,,Female,50 to 54,,,,,,Normal value,Units,Number,,50,Bar
2015,Number of cases,,,Female,55 to 59,,,,,,Normal value,Units,Number,,38,Bar
2015,Number of cases,,,Female,60 to 64,,,,,,Normal value,Units,Number,,15,Bar
2015,Number of cases,,,Female,65 to 69,,,,,,Normal value,Units,Number,,17,Bar
2015,Number of cases,,,Female,70 and over,,,,,,Normal value,Units,Number,,14,Bar
2016,Number of cases,,,Female,,,,,,,Normal value,Units,Number,,569,Bar
2016,Number of cases,,,Female,4 and under,,,,,,Normal value,Units,Number,,5,Bar
2016,Number of cases,,,Female,5 to 9,,,,,,Normal value,Units,Number,,13,Bar
2016,Number of cases,,,Female,10 to 14,,,,,,Normal value,Units,Number,,25,Bar
2016,Number of cases,,,Female,15 to 19,,,,,,Normal value,Units,Number,,32,Bar
2016,Number of cases,,,Female,20 to 24,,,,,,Normal value,Units,Number,,46,Bar
2016,Number of cases,,,Female,25 to 29,,,,,,Normal value,Units,Number,,65,Bar
2016,Number of cases,,,Female,30 to 34,,,,,,Normal value,Units,Number,,52,Bar
2016,Number of cases,,,Female,35 to 39,,,,,,Normal value,Units,Number,,53,Bar
2016,Number of cases,,,Female,40 to 44,,,,,,Normal value,Units,Number,,64,Bar
2016,Number of cases,,,Female,45 to 49,,,,,,Normal value,Units,Number,,56,Bar
2016,Number of cases,,,Female,50 to 54,,,,,,Normal value,Units,Number,,50,Bar
2016,Number of cases,,,Female,55 to 59,,,,,,Normal value,Units,Number,,36,Bar
2016,Number of cases,,,Female,60 to 64,,,,,,Normal value,Units,Number,,30,Bar
2016,Number of cases,,,Female,65 to 69,,,,,,Normal value,Units,Number,,14,Bar
2016,Number of cases,,,Female,70 and over,,,,,,Normal value,Units,Number,,28,Bar
2017,Number of cases,,,Female,,,,,,,Normal value,Units,Number,,590,Bar
2017,Number of cases,,,Female,4 and under,,,,,,Normal value,Units,Number,,19,Bar
2017,Number of cases,,,Female,5 to 9,,,,,,Normal value,Units,Number,,25,Bar
2017,Number of cases,,,Female,10 to 14,,,,,,Normal value,Units,Number,,20,Bar
2017,Number of cases,,,Female,15 to 19,,,,,,Normal value,Units,Number,,23,Bar
2017,Number of cases,,,Female,20 to 24,,,,,,Normal value,Units,Number,,44,Bar
2017,Number of cases,,,Female,25 to 29,,,,,,Normal value,Units,Number,,49,Bar
2017,Number of cases,,,Female,30 to 34,,,,,,Normal value,Units,Number,,63,Bar
2017,Number of cases,,,Female,35 to 39,,,,,,Normal value,Units,Number,,41,Bar
2017,Number of cases,,,Female,40 to 44,,,,,,Normal value,Units,Number,,54,Bar
2017,Number of cases,,,Female,45 to 49,,,,,,Normal value,Units,Number,,63,Bar
2017,Number of cases,,,Female,50 to 54,,,,,,Normal value,Units,Number,,61,Bar
2017,Number of cases,,,Female,55 to 59,,,,,,Normal value,Units,Number,,53,Bar
2017,Number of cases,,,Female,60 to 64,,,,,,Normal value,Units,Number,,28,Bar
2017,Number of cases,,,Female,65 to 69,,,,,,Normal value,Units,Number,,22,Bar
2017,Number of cases,,,Female,70 and over,,,,,,Normal value,Units,Number,,25,Bar
2018,Number of cases,,,Female,,,,,,,Normal value,Units,Number,,606,Bar
2018,Number of cases,,,Female,4 and under,,,,,,Normal value,Units,Number,,12,Bar
2018,Number of cases,,,Female,5 to 9,,,,,,Normal value,Units,Number,,20,Bar
2018,Number of cases,,,Female,10 to 14,,,,,,Normal value,Units,Number,,41,Bar
2018,Number of cases,,,Female,15 to 19,,,,,,Normal value,Units,Number,,30,Bar
2018,Number of cases,,,Female,20 to 24,,,,,,Normal value,Units,Number,,40,Bar
2018,Number of cases,,,Female,25 to 29,,,,,,Normal value,Units,Number,,53,Bar
2018,Number of cases,,,Female,30 to 34,,,,,,Normal value,Units,Number,,63,Bar
2018,Number of cases,,,Female,35 to 39,,,,,,Normal value,Units,Number,,68,Bar
2018,Number of cases,,,Female,40 to 44,,,,,,Normal value,Units,Number,,60,Bar
2018,Number of cases,,,Female,45 to 49,,,,,,Normal value,Units,Number,,65,Bar
2018,Number of cases,,,Female,50 to 54,,,,,,Normal value,Units,Number,,58,Bar
2018,Number of cases,,,Female,55 to 59,,,,,,Normal value,Units,Number,,33,Bar
2018,Number of cases,,,Female,60 to 64,,,,,,Normal value,Units,Number,,28,Bar
2018,Number of cases,,,Female,65 to 69,,,,,,Normal value,Units,Number,,11,Bar
2018,Number of cases,,,Female,70 and over,,,,,,Normal value,Units,Number,,24,Bar
2019,Number of cases,,,Female,,,,,,,Normal value,Units,Number,,600,Bar
2019,Number of cases,,,Female,4 and under,,,,,,Normal value,Units,Number,,14,Bar
2019,Number of cases,,,Female,5 to 9,,,,,,Normal value,Units,Number,,17,Bar
2019,Number of cases,,,Female,10 to 14,,,,,,Normal value,Units,Number,,31,Bar
2019,Number of cases,,,Female,15 to 19,,,,,,Normal value,Units,Number,,34,Bar
2019,Number of cases,,,Female,20 to 24,,,,,,Normal value,Units,Number,,41,Bar
2019,Number of cases,,,Female,25 to 29,,,,,,Normal value,Units,Number,,49,Bar
2019,Number of cases,,,Female,30 to 34,,,,,,Normal value,Units,Number,,47,Bar
2019,Number of cases,,,Female,35 to 39,,,,,,Normal value,Units,Number,,64,Bar
2019,Number of cases,,,Female,40 to 44,,,,,,Normal value,Units,Number,,64,Bar
2019,Number of cases,,,Female,45 to 49,,,,,,Normal value,Units,Number,,73,Bar
2019,Number of cases,,,Female,50 to 54,,,,,,Normal value,Units,Number,,62,Bar
2019,Number of cases,,,Female,55 to 59,,,,,,Normal value,Units,Number,,53,Bar
2019,Number of cases,,,Female,60 to 64,,,,,,Normal value,Units,Number,,21,Bar
2019,Number of cases,,,Female,65 to 69,,,,,,Normal value,Units,Number,,16,Bar
2019,Number of cases,,,Female,70 and over,,,,,,Normal value,Units,Number,,14,Bar
2014,"Rate per 100,000 population",,,Male,,,,,,,Normal value,Units,"Rate per 100,000 population",,3.406329646,Bar
2014,"Rate per 100,000 population",,,Male,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.921270189,Bar
2014,"Rate per 100,000 population",,,Male,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,1.164363,Bar
2014,"Rate per 100,000 population",,,Male,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.663900894,Bar
2014,"Rate per 100,000 population",,,Male,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,3.086001291,Bar
2014,"Rate per 100,000 population",,,Male,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,4.237830705,Bar
2014,"Rate per 100,000 population",,,Male,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,4.733268918,Bar
2014,"Rate per 100,000 population",,,Male,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,5.824585669,Bar
2014,"Rate per 100,000 population",,,Male,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,5.732068055,Bar
2014,"Rate per 100,000 population",,,Male,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,4.836030917,Bar
2014,"Rate per 100,000 population",,,Male,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,5.862693121,Bar
2014,"Rate per 100,000 population",,,Male,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,4.767340178,Bar
2014,"Rate per 100,000 population",,,Male,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,3.899631906,Bar
2014,"Rate per 100,000 population",,,Male,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,2.443596555,Bar
2014,"Rate per 100,000 population",,,Male,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,1.559848799,Bar
2014,"Rate per 100,000 population",,,Male,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.733376123,Bar
2015,"Rate per 100,000 population",,,Male,,,,,,,Normal value,Units,"Rate per 100,000 population",,2.974330499,Bar
2015,"Rate per 100,000 population",,,Male,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.678383644,Bar
2015,"Rate per 100,000 population",,,Male,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,0.988174516,Bar
2015,"Rate per 100,000 population",,,Male,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.816638426,Bar
2015,"Rate per 100,000 population",,,Male,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,3.309119067,Bar
2015,"Rate per 100,000 population",,,Male,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,3.748189327,Bar
2015,"Rate per 100,000 population",,,Male,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,3.005558489,Bar
2015,"Rate per 100,000 population",,,Male,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,4.680853017,Bar
2015,"Rate per 100,000 population",,,Male,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,4.828587604,Bar
2015,"Rate per 100,000 population",,,Male,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,5.590686574,Bar
2015,"Rate per 100,000 population",,,Male,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,5.082422879,Bar
2015,"Rate per 100,000 population",,,Male,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,4.085357324,Bar
2015,"Rate per 100,000 population",,,Male,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,2.973419679,Bar
2015,"Rate per 100,000 population",,,Male,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,2.332877061,Bar
2015,"Rate per 100,000 population",,,Male,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,1.595488869,Bar
2015,"Rate per 100,000 population",,,Male,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.571864823,Bar
2016,"Rate per 100,000 population",,,Male,,,,,,,Normal value,Units,"Rate per 100,000 population",,3.224444103,Bar
2016,"Rate per 100,000 population",,,Male,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.971874912,Bar
2016,"Rate per 100,000 population",,,Male,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,0.483821493,Bar
2016,"Rate per 100,000 population",,,Male,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.56197906,Bar
2016,"Rate per 100,000 population",,,Male,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,2.835688846,Bar
2016,"Rate per 100,000 population",,,Male,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,3.537902189,Bar
2016,"Rate per 100,000 population",,,Male,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,3.824439753,Bar
2016,"Rate per 100,000 population",,,Male,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,4.63791523,Bar
2016,"Rate per 100,000 population",,,Male,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,6.057270046,Bar
2016,"Rate per 100,000 population",,,Male,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,5.896899004,Bar
2016,"Rate per 100,000 population",,,Male,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,5.928970928,Bar
2016,"Rate per 100,000 population",,,Male,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,5.171464734,Bar
2016,"Rate per 100,000 population",,,Male,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,3.985705268,Bar
2016,"Rate per 100,000 population",,,Male,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,2.137131034,Bar
2016,"Rate per 100,000 population",,,Male,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,0.963690959,Bar
2016,"Rate per 100,000 population",,,Male,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.806464172,Bar
2017,"Rate per 100,000 population",,,Male,,,,,,,Normal value,Units,"Rate per 100,000 population",,3.64620728,Bar
2017,"Rate per 100,000 population",,,Male,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.984677434,Bar
2017,"Rate per 100,000 population",,,Male,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,1.329984306,Bar
2017,"Rate per 100,000 population",,,Male,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,2.142973998,Bar
2017,"Rate per 100,000 population",,,Male,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,2.734490443,Bar
2017,"Rate per 100,000 population",,,Male,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,3.382037766,Bar
2017,"Rate per 100,000 population",,,Male,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,4.358308767,Bar
2017,"Rate per 100,000 population",,,Male,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,4.811070182,Bar
2017,"Rate per 100,000 population",,,Male,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,5.690989611,Bar
2017,"Rate per 100,000 population",,,Male,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,7.051934018,Bar
2017,"Rate per 100,000 population",,,Male,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,6.296924839,Bar
2017,"Rate per 100,000 population",,,Male,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,6.00394433,Bar
2017,"Rate per 100,000 population",,,Male,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,4.990750153,Bar
2017,"Rate per 100,000 population",,,Male,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,3.629235076,Bar
2017,"Rate per 100,000 population",,,Male,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,1.545600567,Bar
2017,"Rate per 100,000 population",,,Male,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.848464505,Bar
2018,"Rate per 100,000 population",,,Male,,,,,,,Normal value,Units,"Rate per 100,000 population",,3.269269277,Bar
2018,"Rate per 100,000 population",,,Male,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,0.946345215,Bar
2018,"Rate per 100,000 population",,,Male,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,1.227439311,Bar
2018,"Rate per 100,000 population",,,Male,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,1.416101069,Bar
2018,"Rate per 100,000 population",,,Male,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,2.547448889,Bar
2018,"Rate per 100,000 population",,,Male,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,2.510384391,Bar
2018,"Rate per 100,000 population",,,Male,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,2.965932773,Bar
2018,"Rate per 100,000 population",,,Male,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,4.406302451,Bar
2018,"Rate per 100,000 population",,,Male,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,4.936959184,Bar
2018,"Rate per 100,000 population",,,Male,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,7.014399199,Bar
2018,"Rate per 100,000 population",,,Male,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,6.747589761,Bar
2018,"Rate per 100,000 population",,,Male,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,5.130039993,Bar
2018,"Rate per 100,000 population",,,Male,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,4.917804106,Bar
2018,"Rate per 100,000 population",,,Male,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,2.833752099,Bar
2018,"Rate per 100,000 population",,,Male,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,2.310402588,Bar
2018,"Rate per 100,000 population",,,Male,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.614832212,Bar
2019,"Rate per 100,000 population",,,Male,,,,,,,Normal value,Units,"Rate per 100,000 population",,3.393147643,Bar
2019,"Rate per 100,000 population",,,Male,4 and under,,,,,,Normal value,Units,"Rate per 100,000 population",,1.262753814,Bar
2019,"Rate per 100,000 population",,,Male,5 to 9,,,,,,Normal value,Units,"Rate per 100,000 population",,1.035015516,Bar
2019,"Rate per 100,000 population",,,Male,10 to 14,,,,,,Normal value,Units,"Rate per 100,000 population",,2.121956227,Bar
2019,"Rate per 100,000 population",,,Male,15 to 19,,,,,,Normal value,Units,"Rate per 100,000 population",,3.778177354,Bar
2019,"Rate per 100,000 population",,,Male,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 population",,2.950721545,Bar
2019,"Rate per 100,000 population",,,Male,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 population",,3.184852319,Bar
2019,"Rate per 100,000 population",,,Male,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 population",,3.835275796,Bar
2019,"Rate per 100,000 population",,,Male,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 population",,5.198069446,Bar
2019,"Rate per 100,000 population",,,Male,40 to 44,,,,,,Normal value,Units,"Rate per 100,000 population",,6.510201486,Bar
2019,"Rate per 100,000 population",,,Male,45 to 49,,,,,,Normal value,Units,"Rate per 100,000 population",,5.477923508,Bar
2019,"Rate per 100,000 population",,,Male,50 to 54,,,,,,Normal value,Units,"Rate per 100,000 population",,6.237146789,Bar
2019,"Rate per 100,000 population",,,Male,55 to 59,,,,,,Normal value,Units,"Rate per 100,000 population",,5.074957117,Bar
2019,"Rate per 100,000 population",,,Male,60 to 64,,,,,,Normal value,Units,"Rate per 100,000 population",,3.097593767,Bar
2019,"Rate per 100,000 population",,,Male,65 to 69,,,,,,Normal value,Units,"Rate per 100,000 population",,1.901721487,Bar
2019,"Rate per 100,000 population",,,Male,70 and over,,,,,,Normal value,Units,"Rate per 100,000 population",,0.820052623,Bar
2014,Number of cases,,,Male,,,,,,,Normal value,Units,Number,,1083,Bar
2014,Number of cases,,,Male,4 and under,,,,,,Normal value,Units,Number,,19,Bar
2014,Number of cases,,,Male,5 to 9,,,,,,Normal value,Units,Number,,23,Bar
2014,Number of cases,,,Male,10 to 14,,,,,,Normal value,Units,Number,,30,Bar
2014,Number of cases,,,Male,15 to 19,,,,,,Normal value,Units,Number,,61,Bar
2014,Number of cases,,,Male,20 to 24,,,,,,Normal value,Units,Number,,93,Bar
2014,Number of cases,,,Male,25 to 29,,,,,,Normal value,Units,Number,,104,Bar
2014,Number of cases,,,Male,30 to 34,,,,,,Normal value,Units,Number,,126,Bar
2014,Number of cases,,,Male,35 to 39,,,,,,Normal value,Units,Number,,114,Bar
2014,Number of cases,,,Male,40 to 44,,,,,,Normal value,Units,Number,,105,Bar
2014,Number of cases,,,Male,45 to 49,,,,,,Normal value,Units,Number,,135,Bar
2014,Number of cases,,,Male,50 to 54,,,,,,Normal value,Units,Number,,105,Bar
2014,Number of cases,,,Male,55 to 59,,,,,,Normal value,Units,Number,,74,Bar
2014,Number of cases,,,Male,60 to 64,,,,,,Normal value,Units,Number,,42,Bar
2014,Number of cases,,,Male,65 to 69,,,,,,Normal value,Units,Number,,27,Bar
2014,Number of cases,,,Male,70 and over,,,,,,Normal value,Units,Number,,25,Bar
2015,Number of cases,,,Male,,,,,,,Normal value,Units,Number,,954,Bar
2015,Number of cases,,,Male,4 and under,,,,,,Normal value,Units,Number,,14,Bar
2015,Number of cases,,,Male,5 to 9,,,,,,Normal value,Units,Number,,20,Bar
2015,Number of cases,,,Male,10 to 14,,,,,,Normal value,Units,Number,,33,Bar
2015,Number of cases,,,Male,15 to 19,,,,,,Normal value,Units,Number,,65,Bar
2015,Number of cases,,,Male,20 to 24,,,,,,Normal value,Units,Number,,82,Bar
2015,Number of cases,,,Male,25 to 29,,,,,,Normal value,Units,Number,,67,Bar
2015,Number of cases,,,Male,30 to 34,,,,,,Normal value,Units,Number,,102,Bar
2015,Number of cases,,,Male,35 to 39,,,,,,Normal value,Units,Number,,98,Bar
2015,Number of cases,,,Male,40 to 44,,,,,,Normal value,Units,Number,,119,Bar
2015,Number of cases,,,Male,45 to 49,,,,,,Normal value,Units,Number,,116,Bar
2015,Number of cases,,,Male,50 to 54,,,,,,Normal value,Units,Number,,92,Bar
2015,Number of cases,,,Male,55 to 59,,,,,,Normal value,Units,Number,,58,Bar
2015,Number of cases,,,Male,60 to 64,,,,,,Normal value,Units,Number,,40,Bar
2015,Number of cases,,,Male,65 to 69,,,,,,Normal value,Units,Number,,28,Bar
2015,Number of cases,,,Male,70 and over,,,,,,Normal value,Units,Number,,20,Bar
2016,Number of cases,,,Male,,,,,,,Normal value,Units,Number,,1044,Bar
2016,Number of cases,,,Male,4 and under,,,,,,Normal value,Units,Number,,20,Bar
2016,Number of cases,,,Male,5 to 9,,,,,,Normal value,Units,Number,,10,Bar
2016,Number of cases,,,Male,10 to 14,,,,,,Normal value,Units,Number,,29,Bar
2016,Number of cases,,,Male,15 to 19,,,,,,Normal value,Units,Number,,55,Bar
2016,Number of cases,,,Male,20 to 24,,,,,,Normal value,Units,Number,,77,Bar
2016,Number of cases,,,Male,25 to 29,,,,,,Normal value,Units,Number,,87,Bar
2016,Number of cases,,,Male,30 to 34,,,,,,Normal value,Units,Number,,102,Bar
2016,Number of cases,,,Male,35 to 39,,,,,,Normal value,Units,Number,,126,Bar
2016,Number of cases,,,Male,40 to 44,,,,,,Normal value,Units,Number,,122,Bar
2016,Number of cases,,,Male,45 to 49,,,,,,Normal value,Units,Number,,135,Bar
2016,Number of cases,,,Male,50 to 54,,,,,,Normal value,Units,Number,,118,Bar
2016,Number of cases,,,Male,55 to 59,,,,,,Normal value,Units,Number,,80,Bar
2016,Number of cases,,,Male,60 to 64,,,,,,Normal value,Units,Number,,37,Bar
2016,Number of cases,,,Male,65 to 69,,,,,,Normal value,Units,Number,,17,Bar
2016,Number of cases,,,Male,70 and over,,,,,,Normal value,Units,Number,,29,Bar
2017,Number of cases,,,Male,,,,,,,Normal value,Units,Number,,1188,Bar
2017,Number of cases,,,Male,4 and under,,,,,,Normal value,Units,Number,,20,Bar
2017,Number of cases,,,Male,5 to 9,,,,,,Normal value,Units,Number,,28,Bar
2017,Number of cases,,,Male,10 to 14,,,,,,Normal value,Units,Number,,41,Bar
2017,Number of cases,,,Male,15 to 19,,,,,,Normal value,Units,Number,,52,Bar
2017,Number of cases,,,Male,20 to 24,,,,,,Normal value,Units,Number,,73,Bar
2017,Number of cases,,,Male,25 to 29,,,,,,Normal value,Units,Number,,100,Bar
2017,Number of cases,,,Male,30 to 34,,,,,,Normal value,Units,Number,,106,Bar
2017,Number of cases,,,Male,35 to 39,,,,,,Normal value,Units,Number,,121,Bar
2017,Number of cases,,,Male,40 to 44,,,,,,Normal value,Units,Number,,142,Bar
2017,Number of cases,,,Male,45 to 49,,,,,,Normal value,Units,Number,,142,Bar
2017,Number of cases,,,Male,50 to 54,,,,,,Normal value,Units,Number,,138,Bar
2017,Number of cases,,,Male,55 to 59,,,,,,Normal value,Units,Number,,103,Bar
2017,Number of cases,,,Male,60 to 64,,,,,,Normal value,Units,Number,,64,Bar
2017,Number of cases,,,Male,65 to 69,,,,,,Normal value,Units,Number,,26,Bar
2017,Number of cases,,,Male,70 and over,,,,,,Normal value,Units,Number,,32,Bar
2018,Number of cases,,,Male,,,,,,,Normal value,Units,Number,,1072,Bar
2018,Number of cases,,,Male,4 and under,,,,,,Normal value,Units,Number,,19,Bar
2018,Number of cases,,,Male,5 to 9,,,,,,Normal value,Units,Number,,26,Bar
2018,Number of cases,,,Male,10 to 14,,,,,,Normal value,Units,Number,,28,Bar
2018,Number of cases,,,Male,15 to 19,,,,,,Normal value,Units,Number,,48,Bar
2018,Number of cases,,,Male,20 to 24,,,,,,Normal value,Units,Number,,54,Bar
2018,Number of cases,,,Male,25 to 29,,,,,,Normal value,Units,Number,,68,Bar
2018,Number of cases,,,Male,30 to 34,,,,,,Normal value,Units,Number,,98,Bar
2018,Number of cases,,,Male,35 to 39,,,,,,Normal value,Units,Number,,107,Bar
2018,Number of cases,,,Male,40 to 44,,,,,,Normal value,Units,Number,,139,Bar
2018,Number of cases,,,Male,45 to 49,,,,,,Normal value,Units,Number,,150,Bar
2018,Number of cases,,,Male,50 to 54,,,,,,Normal value,Units,Number,,118,Bar
2018,Number of cases,,,Male,55 to 59,,,,,,Normal value,Units,Number,,104,Bar
2018,Number of cases,,,Male,60 to 64,,,,,,Normal value,Units,Number,,51,Bar
2018,Number of cases,,,Male,65 to 69,,,,,,Normal value,Units,Number,,38,Bar
2018,Number of cases,,,Male,70 and over,,,,,,Normal value,Units,Number,,24,Bar
