Year,Series,Manufacturing industry,Observation status,Unit multiplier,Units,Value
2012,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),7.487227670444536
2012,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.0536144224558104
2012,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.704034294438898
2012,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),8.22244406600505
2012,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.42398261788713376
2012,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.8902460508544248
2012,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),48.35633331375888
2013,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),3.8950166864641664
2013,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),7.9535041574749705
2013,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),4.944284178969398
2013,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),7.6831268736919505
2013,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.8044572656824482
2013,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),9.498274789298037
2013,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),9.411731432773347
2013,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.46722099666270717
2013,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.7573957803043159
2013,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),47.41501216132134
2014,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),3.6617214589825746
2014,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),7.433173857700917
2014,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),5.585853487249265
2014,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),7.423298073124698
2014,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.636285827151824
2014,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.882719571610412
2014,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),10.715226265197735
2014,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.35552824474388794
2014,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.703923978404951
2014,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),47.39773076416626
2015,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),3.412235027559313
2015,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),7.841877083287946
2015,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),6.975882878368663
2015,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),6.3740441384719295
2015,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.3828456896363917
2015,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.182283610378859
2015,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),11.059127252129583
2015,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.4319078015729505
2015,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6437768240343348
2015,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),47.30398030543997
2016,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),3.7400744178909817
2016,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),7.140939155976173
2016,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),5.763824575439904
2016,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),7.129431234690355
2016,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.385975679926349
2016,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),7.559608292279281
2016,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),10.237665974364734
2016,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.3583895486154875
2016,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6274557082029558
2016,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),44.94336458738622
2017,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),4.410044831394972
2017,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),6.918004028328244
2017,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),5.405215169038183
2017,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),7.287808892642887
2017,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.4424447187750418
2017,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),7.961362701145691
2017,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),10.34316591947675
2017,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.36493188660039416
2017,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6112879821540728
2017,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),45.74426612955623
2018,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),4.182284474255278
2018,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),6.709513970366833
2018,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),5.6390235798610755
2018,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),7.108222321437842
2018,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.38238622794904
2018,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.436211855343627
2018,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),9.45945945945946
2018,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.3836529576060886
2018,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6577649489674077
2018,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),44.95851979524665
2019,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),4.321814310269632
2019,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),7.146925267451705
2019,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),6.360347879627491
2019,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),6.9370686780061055
2019,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),2.567536365735396
2019,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),7.597937350881244
2019,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),8.36809564124272
2019,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.4135560173426717
2019,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.6829318350906898
2019,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),44.39621334564766
2020,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),4.631138718902796
2020,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.452494439148396
2020,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),6.693522761052513
2020,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),6.728886702133112
2020,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.2263189724981296
2020,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),7.521756511577847
2020,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.6499584858082965
2020,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.5591602857816456
2020,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.5530100351589328
2020,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),45.01624691206167
2021,Proportion of medium and high-tech manufacturing value added in total value added,"Air, spacecraft and related machinery",Normal value,Units,Percentage (%),4.759301825792828
2021,Proportion of medium and high-tech manufacturing value added in total value added,Basic pharmaceutical products and pharmaceutical preparations,Normal value,Units,Percentage (%),8.01797761207976
2021,Proportion of medium and high-tech manufacturing value added in total value added,Chemicals and chemical products,Normal value,Units,Percentage (%),6.321130234904973
2021,Proportion of medium and high-tech manufacturing value added in total value added,"Computer, electronic and optical products",Normal value,Units,Percentage (%),6.411298611500439
2021,Proportion of medium and high-tech manufacturing value added in total value added,Electrical equipment,Normal value,Units,Percentage (%),3.2974528601595936
2021,Proportion of medium and high-tech manufacturing value added in total value added,Machinery and equipment n.e.c.,Normal value,Units,Percentage (%),8.794920670516342
2021,Proportion of medium and high-tech manufacturing value added in total value added,"Motor vehicles, trailers and semi-trailers",Normal value,Units,Percentage (%),6.263198220926538
2021,Proportion of medium and high-tech manufacturing value added in total value added,Other,Normal value,Units,Percentage (%),0.5718450412064809
2021,Proportion of medium and high-tech manufacturing value added in total value added,Weapons and ammunition,Normal value,Units,Percentage (%),0.5414774532339145
2021,Proportion of medium and high-tech manufacturing value added in total value added,,Normal value,Units,Percentage (%),44.97860253032086
