Year,Series,Sex,Age,Unit multiplier,Units,Observation status,Value
2014,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,482.0
2015,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,539.0
2016,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,549.0
2017,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,575.0
2018,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,685.0
2019,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,842.0
2020,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,636.0
2021,Detected victims of human trafficking (Number),Female,25 to 34,Units,Number,Normal value,713.0
2009,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,26.0
2010,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,23.0
2011,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,39.0
2012,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,54.0
2013,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,101.0
2014,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,178.0
2015,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,250.0
2016,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,256.0
2017,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,287.0
2018,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,358.0
2019,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,495.0
2020,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,373.0
2021,Detected victims of human trafficking (Number),Female,35 to 44,Units,Number,Normal value,362.0
2009,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,5.0
2010,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,9.0
2011,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,15.0
2012,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,10.0
2013,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,24.0
2014,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,50.0
2015,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,85.0
2016,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,79.0
2017,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,100.0
2018,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,141.0
2019,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,250.0
2020,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,172.0
2021,Detected victims of human trafficking (Number),Female,45 to 54,Units,Number,Normal value,192.0
2009,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,3.0
2011,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,2.0
2012,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,4.0
2013,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,11.0
2014,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,12.0
2015,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,16.0
2016,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,22.0
2017,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,28.0
2018,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,41.0
2019,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,60.0
2020,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,34.0
2021,Detected victims of human trafficking (Number),Female,55 to 64,Units,Number,Normal value,51.0
2009,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,1.0
2011,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,0.0
2012,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,1.0
2013,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,1.0
2014,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,4.0
2015,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,5.0
2016,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,3.0
2017,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,9.0
2018,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,3.0
2019,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,12.0
2020,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,11.0
2021,Detected victims of human trafficking (Number),Female,65 to 74,Units,Number,Normal value,9.0
2009,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,0.0
2011,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,0.0
2012,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,1.0
2013,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,0.0
2014,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,0.0
2015,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,0.0
2016,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,0.0
2017,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,1.0
2018,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,1.0
2019,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,1.0
2020,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,3.0
2021,Detected victims of human trafficking (Number),Female,75 and over,Units,Number,Normal value,2.0
2009,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,0.0
2010,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,1.0
2011,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,1.0
2012,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,0.0
2013,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,1.0
2014,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,2.0
2015,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,4.0
2016,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,3.0
2017,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,0.0
2018,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,1.0
2019,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,5.0
2020,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,14.0
2021,Detected victims of human trafficking (Number),Female,Age not known,Units,Number,Normal value,2.0
