Year,Units,Sex,Age,Region,Disability,Ethnicity,Country of birth,Nationality,GeoCode,Value
2010 Q2 Apr-Jun,Percentage (%),,55 to 64,,,,,,,11.4
2010 Q3 Jul-Sep,Percentage (%),,55 to 64,,,,,,,11.0
2010 Q4 Oct-Dec,Percentage (%),,55 to 64,,,,,,,10.9
2011 Q1 Jan-Mar,Percentage (%),,55 to 64,,,,,,,10.8
2011 Q2 Apr-Jun,Percentage (%),,55 to 64,,,,,,,11.0
2011 Q3 Jul-Sep,Percentage (%),,55 to 64,,,,,,,10.9
2011 Q4 Oct-Dec,Percentage (%),,55 to 64,,,,,,,11.2
2012 Q1 Jan-Mar,Percentage (%),,55 to 64,,,,,,,10.7
2012 Q2 Apr-Jun,Percentage (%),,55 to 64,,,,,,,11.0
2012 Q3 Jul-Sep,Percentage (%),,55 to 64,,,,,,,10.6
2012 Q4 Oct-Dec,Percentage (%),,55 to 64,,,,,,,10.5
2013 Q1 Jan-Mar,Percentage (%),,55 to 64,,,,,,,10.7
2013 Q2 Apr-Jun,Percentage (%),,55 to 64,,,,,,,10.7
2013 Q3 Jul-Sep,Percentage (%),,55 to 64,,,,,,,10.2
2013 Q4 Oct-Dec,Percentage (%),,55 to 64,,,,,,,10.4
2014 Q1 Jan-Mar,Percentage (%),,55 to 64,,,,,,,10.4
2014 Q2 Apr-Jun,Percentage (%),,55 to 64,,,,,,,10.1
2014 Q3 Jul-Sep,Percentage (%),,55 to 64,,,,,,,10.5
2014 Q4 Oct-Dec,Percentage (%),,55 to 64,,,,,,,10.8
2015 Q1 Jan-Mar,Percentage (%),,55 to 64,,,,,,,10.9
2015 Q2 Apr-Jun,Percentage (%),,55 to 64,,,,,,,11.1
2015 Q3 Jul-Sep,Percentage (%),,55 to 64,,,,,,,10.8
2015 Q4 Oct-Dec,Percentage (%),,55 to 64,,,,,,,10.9
2016 Q1 Jan-Mar,Percentage (%),,55 to 64,,,,,,,11.0
2016 Q2 Apr-Jun,Percentage (%),,55 to 64,,,,,,,10.6
2016 Q3 Jul-Sep,Percentage (%),,55 to 64,,,,,,,10.4
2016 Q4 Oct-Dec,Percentage (%),,55 to 64,,,,,,,9.9
2017 Q1 Jan-Mar,Percentage (%),,55 to 64,,,,,,,10.2
2017 Q2 Apr-Jun,Percentage (%),,55 to 64,,,,,,,9.9
2017 Q3 Jul-Sep,Percentage (%),,55 to 64,,,,,,,10.1
2017 Q4 Oct-Dec,Percentage (%),,55 to 64,,,,,,,9.8
2009 Q1 Jan-Mar,Percentage (%),,65 and over,,,,,,,7.9
2009 Q2 Apr-Jun,Percentage (%),,65 and over,,,,,,,8.0
2009 Q3 Jul-Sep,Percentage (%),,65 and over,,,,,,,8.4
2009 Q4 Oct-Dec,Percentage (%),,65 and over,,,,,,,8.9
2010 Q1 Jan-Mar,Percentage (%),,65 and over,,,,,,,9.1
2010 Q2 Apr-Jun,Percentage (%),,65 and over,,,,,,,8.4
2010 Q3 Jul-Sep,Percentage (%),,65 and over,,,,,,,8.2
2010 Q4 Oct-Dec,Percentage (%),,65 and over,,,,,,,8.5
2011 Q1 Jan-Mar,Percentage (%),,65 and over,,,,,,,6.6000000000000005
2011 Q2 Apr-Jun,Percentage (%),,65 and over,,,,,,,6.7
2011 Q3 Jul-Sep,Percentage (%),,65 and over,,,,,,,7.1
2011 Q4 Oct-Dec,Percentage (%),,65 and over,,,,,,,7.400000000000001
2012 Q1 Jan-Mar,Percentage (%),,65 and over,,,,,,,7.400000000000001
2012 Q2 Apr-Jun,Percentage (%),,65 and over,,,,,,,8.4
2012 Q3 Jul-Sep,Percentage (%),,65 and over,,,,,,,8.8
2012 Q4 Oct-Dec,Percentage (%),,65 and over,,,,,,,8.1
2013 Q1 Jan-Mar,Percentage (%),,65 and over,,,,,,,7.400000000000001
2013 Q2 Apr-Jun,Percentage (%),,65 and over,,,,,,,6.5
2013 Q3 Jul-Sep,Percentage (%),,65 and over,,,,,,,8.1
2013 Q4 Oct-Dec,Percentage (%),,65 and over,,,,,,,7.3
2014 Q1 Jan-Mar,Percentage (%),,65 and over,,,,,,,7.400000000000001
2014 Q2 Apr-Jun,Percentage (%),,65 and over,,,,,,,8.9
2014 Q3 Jul-Sep,Percentage (%),,65 and over,,,,,,,7.5
2014 Q4 Oct-Dec,Percentage (%),,65 and over,,,,,,,7.7
2015 Q1 Jan-Mar,Percentage (%),,65 and over,,,,,,,8.6
2015 Q2 Apr-Jun,Percentage (%),,65 and over,,,,,,,8.4
2015 Q3 Jul-Sep,Percentage (%),,65 and over,,,,,,,8.4
2015 Q4 Oct-Dec,Percentage (%),,65 and over,,,,,,,7.9
2016 Q1 Jan-Mar,Percentage (%),,65 and over,,,,,,,7.7
2016 Q2 Apr-Jun,Percentage (%),,65 and over,,,,,,,9.0
2016 Q3 Jul-Sep,Percentage (%),,65 and over,,,,,,,8.3
2016 Q4 Oct-Dec,Percentage (%),,65 and over,,,,,,,6.9
2017 Q1 Jan-Mar,Percentage (%),,65 and over,,,,,,,7.000000000000001
2017 Q2 Apr-Jun,Percentage (%),,65 and over,,,,,,,7.000000000000001
2017 Q3 Jul-Sep,Percentage (%),,65 and over,,,,,,,7.5
2017 Q4 Oct-Dec,Percentage (%),,65 and over,,,,,,,7.3
2013 Q2 Apr-Jun,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.3
2013 Q3 Jul-Sep,Percentage (%),,,,Limiting long-term illness or disability,,,,,8.0
2013 Q4 Oct-Dec,Percentage (%),,,,Limiting long-term illness or disability,,,,,8.0
2014 Q1 Jan-Mar,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.9
2014 Q2 Apr-Jun,Percentage (%),,,,Limiting long-term illness or disability,,,,,8.3
2014 Q3 Jul-Sep,Percentage (%),,,,Limiting long-term illness or disability,,,,,8.3
2014 Q4 Oct-Dec,Percentage (%),,,,Limiting long-term illness or disability,,,,,8.4
2015 Q1 Jan-Mar,Percentage (%),,,,Limiting long-term illness or disability,,,,,8.3
2015 Q2 Apr-Jun,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.9
2015 Q3 Jul-Sep,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.8
2015 Q4 Oct-Dec,Percentage (%),,,,Limiting long-term illness or disability,,,,,8.2
2016 Q1 Jan-Mar,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.5
2016 Q2 Apr-Jun,Percentage (%),,,,Limiting long-term illness or disability,,,,,8.2
2016 Q3 Jul-Sep,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.9
2016 Q4 Oct-Dec,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.6
2017 Q1 Jan-Mar,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.3
2017 Q2 Apr-Jun,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.1
2017 Q3 Jul-Sep,Percentage (%),,,,Limiting long-term illness or disability,,,,,7.9
2017 Q4 Oct-Dec,Percentage (%),,,,Limiting long-term illness or disability,,,,,8.1
2013 Q2 Apr-Jun,Percentage (%),,,,No limiting long-term illness or disability,,,,,10.0
2013 Q3 Jul-Sep,Percentage (%),,,,No limiting long-term illness or disability,,,,,10.1
2013 Q4 Oct-Dec,Percentage (%),,,,No limiting long-term illness or disability,,,,,10.1
2014 Q1 Jan-Mar,Percentage (%),,,,No limiting long-term illness or disability,,,,,10.0
2014 Q2 Apr-Jun,Percentage (%),,,,No limiting long-term illness or disability,,,,,10.0
2014 Q3 Jul-Sep,Percentage (%),,,,No limiting long-term illness or disability,,,,,10.0
2014 Q4 Oct-Dec,Percentage (%),,,,No limiting long-term illness or disability,,,,,10.2
2015 Q1 Jan-Mar,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.9
2015 Q2 Apr-Jun,Percentage (%),,,,No limiting long-term illness or disability,,,,,10.0
2015 Q3 Jul-Sep,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.7
2015 Q4 Oct-Dec,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.7
2016 Q1 Jan-Mar,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.9
2016 Q2 Apr-Jun,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.8
2016 Q3 Jul-Sep,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.7
2016 Q4 Oct-Dec,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.5
2017 Q1 Jan-Mar,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.4
2017 Q2 Apr-Jun,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.4
2017 Q3 Jul-Sep,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.4
2017 Q4 Oct-Dec,Percentage (%),,,,No limiting long-term illness or disability,,,,,9.4
2012,Percentage (%),,,,,White,,,,10.3
2013,Percentage (%),,,,,White,,,,10.1
2014,Percentage (%),,,,,White,,,,10.1
2015,Percentage (%),,,,,White,,,,10.0
2016,Percentage (%),,,,,White,,,,9.7
2017,Percentage (%),,,,,White,,,,9.6
2012,Percentage (%),,,,,Mixed,,,,4.2
2013,Percentage (%),,,,,Mixed,,,,4.9
2014,Percentage (%),,,,,Mixed,,,,5.3
2015,Percentage (%),,,,,Mixed,,,,5.7
2016,Percentage (%),,,,,Mixed,,,,6.7
2017,Percentage (%),,,,,Mixed,,,,6.1
2012,Percentage (%),,,,,Asian,,,,6.4
2013,Percentage (%),,,,,Asian,,,,7.5
2014,Percentage (%),,,,,Asian,,,,7.000000000000001
2015,Percentage (%),,,,,Asian,,,,7.400000000000001
2016,Percentage (%),,,,,Asian,,,,7.200000000000001
2017,Percentage (%),,,,,Asian,,,,6.6000000000000005
2012,Percentage (%),,,,,Black,,,,4.5
2013,Percentage (%),,,,,Black,,,,4.7
2014,Percentage (%),,,,,Black,,,,4.2
2015,Percentage (%),,,,,Black,,,,3.6000000000000005
2016,Percentage (%),,,,,Black,,,,4.1
2017,Percentage (%),,,,,Black,,,,4.9
2012,Percentage (%),,,,,Other,,,,6.9
2013,Percentage (%),,,,,Other,,,,6.4
2014,Percentage (%),,,,,Other,,,,6.5
2015,Percentage (%),,,,,Other,,,,7.400000000000001
2016,Percentage (%),,,,,Other,,,,6.1
2017,Percentage (%),,,,,Other,,,,6.3
2011 Q2 Apr-Jun,Percentage (%),,,,,,United Kingdom,,,9.8
2011 Q3 Jul-Sep,Percentage (%),,,,,,United Kingdom,,,9.7
2011 Q4 Oct-Dec,Percentage (%),,,,,,United Kingdom,,,9.9
2012 Q1 Jan-Mar,Percentage (%),,,,,,United Kingdom,,,9.8
2012 Q2 Apr-Jun,Percentage (%),,,,,,United Kingdom,,,10.0
2012 Q3 Jul-Sep,Percentage (%),,,,,,United Kingdom,,,9.9
2012 Q4 Oct-Dec,Percentage (%),,,,,,United Kingdom,,,9.8
2013 Q1 Jan-Mar,Percentage (%),,,,,,United Kingdom,,,9.9
2013 Q2 Apr-Jun,Percentage (%),,,,,,United Kingdom,,,9.7
2013 Q3 Jul-Sep,Percentage (%),,,,,,United Kingdom,,,9.8
2013 Q4 Oct-Dec,Percentage (%),,,,,,United Kingdom,,,9.8
2014 Q1 Jan-Mar,Percentage (%),,,,,,United Kingdom,,,9.7
2014 Q2 Apr-Jun,Percentage (%),,,,,,United Kingdom,,,9.8
2014 Q3 Jul-Sep,Percentage (%),,,,,,United Kingdom,,,9.7
2014 Q4 Oct-Dec,Percentage (%),,,,,,United Kingdom,,,9.9
2015 Q1 Jan-Mar,Percentage (%),,,,,,United Kingdom,,,9.7
2015 Q2 Apr-Jun,Percentage (%),,,,,,United Kingdom,,,9.7
2015 Q3 Jul-Sep,Percentage (%),,,,,,United Kingdom,,,9.3
2015 Q4 Oct-Dec,Percentage (%),,,,,,United Kingdom,,,9.4
2016 Q1 Jan-Mar,Percentage (%),,,,,,United Kingdom,,,9.5
2016 Q2 Apr-Jun,Percentage (%),,,,,,United Kingdom,,,9.5
2016 Q3 Jul-Sep,Percentage (%),,,,,,United Kingdom,,,9.4
2016 Q4 Oct-Dec,Percentage (%),,,,,,United Kingdom,,,9.2
2017 Q1 Jan-Mar,Percentage (%),,,,,,United Kingdom,,,9.1
2017 Q2 Apr-Jun,Percentage (%),,,,,,United Kingdom,,,9.1
2017 Q3 Jul-Sep,Percentage (%),,,,,,United Kingdom,,,9.0
2017 Q4 Oct-Dec,Percentage (%),,,,,,United Kingdom,,,9.0
2011 Q2 Apr-Jun,Percentage (%),,,,,,European Economic Area,,,14.6
2011 Q3 Jul-Sep,Percentage (%),,,,,,European Economic Area,,,14.9
2011 Q4 Oct-Dec,Percentage (%),,,,,,European Economic Area,,,14.3
2012 Q1 Jan-Mar,Percentage (%),,,,,,European Economic Area,,,13.0
2012 Q2 Apr-Jun,Percentage (%),,,,,,European Economic Area,,,13.3
2012 Q3 Jul-Sep,Percentage (%),,,,,,European Economic Area,,,13.8
2012 Q4 Oct-Dec,Percentage (%),,,,,,European Economic Area,,,13.4
2013 Q1 Jan-Mar,Percentage (%),,,,,,European Economic Area,,,13.2
2013 Q2 Apr-Jun,Percentage (%),,,,,,European Economic Area,,,12.3
2013 Q3 Jul-Sep,Percentage (%),,,,,,European Economic Area,,,14.000000000000002
2013 Q4 Oct-Dec,Percentage (%),,,,,,European Economic Area,,,13.6
2014 Q1 Jan-Mar,Percentage (%),,,,,,European Economic Area,,,13.6
2014 Q2 Apr-Jun,Percentage (%),,,,,,European Economic Area,,,13.8
2014 Q3 Jul-Sep,Percentage (%),,,,,,European Economic Area,,,14.6
2014 Q4 Oct-Dec,Percentage (%),,,,,,European Economic Area,,,14.400000000000002
2015 Q1 Jan-Mar,Percentage (%),,,,,,European Economic Area,,,14.499999999999998
2015 Q2 Apr-Jun,Percentage (%),,,,,,European Economic Area,,,15.2
2015 Q3 Jul-Sep,Percentage (%),,,,,,European Economic Area,,,14.7
2015 Q4 Oct-Dec,Percentage (%),,,,,,European Economic Area,,,14.400000000000002
2016 Q1 Jan-Mar,Percentage (%),,,,,,European Economic Area,,,13.8
2016 Q2 Apr-Jun,Percentage (%),,,,,,European Economic Area,,,14.099999999999998
2016 Q3 Jul-Sep,Percentage (%),,,,,,European Economic Area,,,14.499999999999998
2016 Q4 Oct-Dec,Percentage (%),,,,,,European Economic Area,,,14.800000000000002
2017 Q1 Jan-Mar,Percentage (%),,,,,,European Economic Area,,,14.499999999999998
2017 Q2 Apr-Jun,Percentage (%),,,,,,European Economic Area,,,14.099999999999998
2017 Q3 Jul-Sep,Percentage (%),,,,,,European Economic Area,,,14.400000000000002
2017 Q4 Oct-Dec,Percentage (%),,,,,,European Economic Area,,,14.7
2011 Q2 Apr-Jun,Percentage (%),,,,,,Other,,,6.5
2011 Q3 Jul-Sep,Percentage (%),,,,,,Other,,,6.2
2011 Q4 Oct-Dec,Percentage (%),,,,,,Other,,,6.5
2012 Q1 Jan-Mar,Percentage (%),,,,,,Other,,,6.4
2012 Q2 Apr-Jun,Percentage (%),,,,,,Other,,,6.4
2012 Q3 Jul-Sep,Percentage (%),,,,,,Other,,,6.6000000000000005
2012 Q4 Oct-Dec,Percentage (%),,,,,,Other,,,6.4
2013 Q1 Jan-Mar,Percentage (%),,,,,,Other,,,7.3
2013 Q2 Apr-Jun,Percentage (%),,,,,,Other,,,7.1
2013 Q3 Jul-Sep,Percentage (%),,,,,,Other,,,7.200000000000001
2013 Q4 Oct-Dec,Percentage (%),,,,,,Other,,,7.3
2014 Q1 Jan-Mar,Percentage (%),,,,,,Other,,,6.800000000000002
2014 Q2 Apr-Jun,Percentage (%),,,,,,Other,,,7.3
2014 Q3 Jul-Sep,Percentage (%),,,,,,Other,,,7.6
2014 Q4 Oct-Dec,Percentage (%),,,,,,Other,,,6.9
2015 Q1 Jan-Mar,Percentage (%),,,,,,Other,,,6.1
2015 Q2 Apr-Jun,Percentage (%),,,,,,Other,,,6.2
2015 Q3 Jul-Sep,Percentage (%),,,,,,Other,,,6.7
2015 Q4 Oct-Dec,Percentage (%),,,,,,Other,,,6.6000000000000005
2016 Q1 Jan-Mar,Percentage (%),,,,,,Other,,,7.1
2016 Q2 Apr-Jun,Percentage (%),,,,,,Other,,,6.4
2016 Q3 Jul-Sep,Percentage (%),,,,,,Other,,,6.1
2016 Q4 Oct-Dec,Percentage (%),,,,,,Other,,,5.7
2017 Q1 Jan-Mar,Percentage (%),,,,,,Other,,,5.6
2017 Q2 Apr-Jun,Percentage (%),,,,,,Other,,,5.7
2017 Q3 Jul-Sep,Percentage (%),,,,,,Other,,,6.5
2017 Q4 Oct-Dec,Percentage (%),,,,,,Other,,,6.4
2012 Q2 Apr-Jun,Percentage (%),,,,,,,United Kingdom,,9.8
2012 Q3 Jul-Sep,Percentage (%),,,,,,,United Kingdom,,9.7
2012 Q4 Oct-Dec,Percentage (%),,,,,,,United Kingdom,,9.6
2013 Q1 Jan-Mar,Percentage (%),,,,,,,United Kingdom,,9.7
2013 Q2 Apr-Jun,Percentage (%),,,,,,,United Kingdom,,9.5
2013 Q3 Jul-Sep,Percentage (%),,,,,,,United Kingdom,,9.6
2013 Q4 Oct-Dec,Percentage (%),,,,,,,United Kingdom,,9.6
2014 Q1 Jan-Mar,Percentage (%),,,,,,,United Kingdom,,9.5
2014 Q2 Apr-Jun,Percentage (%),,,,,,,United Kingdom,,9.6
2014 Q3 Jul-Sep,Percentage (%),,,,,,,United Kingdom,,9.5
2014 Q4 Oct-Dec,Percentage (%),,,,,,,United Kingdom,,9.7
2015 Q1 Jan-Mar,Percentage (%),,,,,,,United Kingdom,,9.4
2015 Q2 Apr-Jun,Percentage (%),,,,,,,United Kingdom,,9.4
2015 Q3 Jul-Sep,Percentage (%),,,,,,,United Kingdom,,9.1
2015 Q4 Oct-Dec,Percentage (%),,,,,,,United Kingdom,,9.1
2016 Q1 Jan-Mar,Percentage (%),,,,,,,United Kingdom,,9.3
2016 Q2 Apr-Jun,Percentage (%),,,,,,,United Kingdom,,9.4
2016 Q3 Jul-Sep,Percentage (%),,,,,,,United Kingdom,,9.2
2016 Q4 Oct-Dec,Percentage (%),,,,,,,United Kingdom,,9.0
2017 Q1 Jan-Mar,Percentage (%),,,,,,,United Kingdom,,8.9
2017 Q2 Apr-Jun,Percentage (%),,,,,,,United Kingdom,,8.8
2017 Q3 Jul-Sep,Percentage (%),,,,,,,United Kingdom,,8.8
2017 Q4 Oct-Dec,Percentage (%),,,,,,,United Kingdom,,8.8
2012 Q2 Apr-Jun,Percentage (%),,,,,,,European Economic Area,,14.1
2012 Q3 Jul-Sep,Percentage (%),,,,,,,European Economic Area,,14.6
2012 Q4 Oct-Dec,Percentage (%),,,,,,,European Economic Area,,13.9
2013 Q1 Jan-Mar,Percentage (%),,,,,,,European Economic Area,,14.1
2013 Q2 Apr-Jun,Percentage (%),,,,,,,European Economic Area,,12.7
2013 Q3 Jul-Sep,Percentage (%),,,,,,,European Economic Area,,14.9
2013 Q4 Oct-Dec,Percentage (%),,,,,,,European Economic Area,,14.1
2014 Q1 Jan-Mar,Percentage (%),,,,,,,European Economic Area,,13.8
2014 Q2 Apr-Jun,Percentage (%),,,,,,,European Economic Area,,14.0
2014 Q3 Jul-Sep,Percentage (%),,,,,,,European Economic Area,,15.2
2014 Q4 Oct-Dec,Percentage (%),,,,,,,European Economic Area,,14.6
2015 Q1 Jan-Mar,Percentage (%),,,,,,,European Economic Area,,14.8
2015 Q2 Apr-Jun,Percentage (%),,,,,,,European Economic Area,,15.3
2015 Q3 Jul-Sep,Percentage (%),,,,,,,European Economic Area,,15.1
2015 Q4 Oct-Dec,Percentage (%),,,,,,,European Economic Area,,14.8
2016 Q1 Jan-Mar,Percentage (%),,,,,,,European Economic Area,,13.9
2016 Q2 Apr-Jun,Percentage (%),,,,,,,European Economic Area,,13.9
2016 Q3 Jul-Sep,Percentage (%),,,,,,,European Economic Area,,14.6
2016 Q4 Oct-Dec,Percentage (%),,,,,,,European Economic Area,,14.7
2017 Q1 Jan-Mar,Percentage (%),,,,,,,European Economic Area,,14.4
2017 Q2 Apr-Jun,Percentage (%),,,,,,,European Economic Area,,14.0
2017 Q3 Jul-Sep,Percentage (%),,,,,,,European Economic Area,,14.7
2017 Q4 Oct-Dec,Percentage (%),,,,,,,European Economic Area,,14.8
2012 Q2 Apr-Jun,Percentage (%),,,,,,,Other,,6.7
2012 Q3 Jul-Sep,Percentage (%),,,,,,,Other,,6.4
2012 Q4 Oct-Dec,Percentage (%),,,,,,,Other,,6.3
2013 Q1 Jan-Mar,Percentage (%),,,,,,,Other,,7.3
2013 Q2 Apr-Jun,Percentage (%),,,,,,,Other,,7.1
2013 Q3 Jul-Sep,Percentage (%),,,,,,,Other,,7.3
2013 Q4 Oct-Dec,Percentage (%),,,,,,,Other,,7.2
2014 Q1 Jan-Mar,Percentage (%),,,,,,,Other,,7.0
2014 Q2 Apr-Jun,Percentage (%),,,,,,,Other,,7.7
2014 Q3 Jul-Sep,Percentage (%),,,,,,,Other,,7.9
2014 Q4 Oct-Dec,Percentage (%),,,,,,,Other,,7.3
2015 Q1 Jan-Mar,Percentage (%),,,,,,,Other,,6.8
2015 Q2 Apr-Jun,Percentage (%),,,,,,,Other,,6.9
2015 Q3 Jul-Sep,Percentage (%),,,,,,,Other,,7.7
2015 Q4 Oct-Dec,Percentage (%),,,,,,,Other,,7.5
2016 Q1 Jan-Mar,Percentage (%),,,,,,,Other,,7.0
2016 Q2 Apr-Jun,Percentage (%),,,,,,,Other,,6.1
2016 Q3 Jul-Sep,Percentage (%),,,,,,,Other,,6.0
2016 Q4 Oct-Dec,Percentage (%),,,,,,,Other,,4.7
2017 Q1 Jan-Mar,Percentage (%),,,,,,,Other,,4.4
2017 Q2 Apr-Jun,Percentage (%),,,,,,,Other,,5.2
2017 Q3 Jul-Sep,Percentage (%),,,,,,,Other,,6.1
2017 Q4 Oct-Dec,Percentage (%),,,,,,,Other,,6.7
2009 Q1 Jan-Mar,Percentage (%),,,North East,,,,,E12000001,10.8
2009 Q2 Apr-Jun,Percentage (%),,,North East,,,,,E12000001,11.0
2009 Q3 Jul-Sep,Percentage (%),,,North East,,,,,E12000001,10.1
2009 Q4 Oct-Dec,Percentage (%),,,North East,,,,,E12000001,9.4
2010 Q1 Jan-Mar,Percentage (%),,,North East,,,,,E12000001,9.9
2010 Q2 Apr-Jun,Percentage (%),,,North East,,,,,E12000001,10.2
2010 Q3 Jul-Sep,Percentage (%),,,North East,,,,,E12000001,11.0
2010 Q4 Oct-Dec,Percentage (%),,,North East,,,,,E12000001,12.0
2011 Q1 Jan-Mar,Percentage (%),,,North East,,,,,E12000001,11.8
2011 Q2 Apr-Jun,Percentage (%),,,North East,,,,,E12000001,11.8
2011 Q3 Jul-Sep,Percentage (%),,,North East,,,,,E12000001,10.8
2011 Q4 Oct-Dec,Percentage (%),,,North East,,,,,E12000001,10.8
2012 Q1 Jan-Mar,Percentage (%),,,North East,,,,,E12000001,10.7
2012 Q2 Apr-Jun,Percentage (%),,,North East,,,,,E12000001,10.9
2012 Q3 Jul-Sep,Percentage (%),,,North East,,,,,E12000001,10.7
2012 Q4 Oct-Dec,Percentage (%),,,North East,,,,,E12000001,10.7
2013 Q1 Jan-Mar,Percentage (%),,,North East,,,,,E12000001,11.6
2013 Q2 Apr-Jun,Percentage (%),,,North East,,,,,E12000001,11.3
2013 Q3 Jul-Sep,Percentage (%),,,North East,,,,,E12000001,10.8
2013 Q4 Oct-Dec,Percentage (%),,,North East,,,,,E12000001,11.4
2014 Q1 Jan-Mar,Percentage (%),,,North East,,,,,E12000001,11.8
2014 Q2 Apr-Jun,Percentage (%),,,North East,,,,,E12000001,12.1
2014 Q3 Jul-Sep,Percentage (%),,,North East,,,,,E12000001,11.8
2014 Q4 Oct-Dec,Percentage (%),,,North East,,,,,E12000001,11.8
2015 Q1 Jan-Mar,Percentage (%),,,North East,,,,,E12000001,10.4
2015 Q2 Apr-Jun,Percentage (%),,,North East,,,,,E12000001,10.8
2015 Q3 Jul-Sep,Percentage (%),,,North East,,,,,E12000001,10.5
2015 Q4 Oct-Dec,Percentage (%),,,North East,,,,,E12000001,11.3
2016 Q1 Jan-Mar,Percentage (%),,,North East,,,,,E12000001,11.6
2016 Q2 Apr-Jun,Percentage (%),,,North East,,,,,E12000001,12.5
2016 Q3 Jul-Sep,Percentage (%),,,North East,,,,,E12000001,10.6
2016 Q4 Oct-Dec,Percentage (%),,,North East,,,,,E12000001,9.6
2017 Q1 Jan-Mar,Percentage (%),,,North East,,,,,E12000001,8.4
2017 Q2 Apr-Jun,Percentage (%),,,North East,,,,,E12000001,10.9
2017 Q3 Jul-Sep,Percentage (%),,,North East,,,,,E12000001,10.9
2017 Q4 Oct-Dec,Percentage (%),,,North East,,,,,E12000001,11.5
2009 Q1 Jan-Mar,Percentage (%),,,North West,,,,,E12000002,11.2
2009 Q2 Apr-Jun,Percentage (%),,,North West,,,,,E12000002,11.0
2009 Q3 Jul-Sep,Percentage (%),,,North West,,,,,E12000002,11.4
2009 Q4 Oct-Dec,Percentage (%),,,North West,,,,,E12000002,10.8
2010 Q1 Jan-Mar,Percentage (%),,,North West,,,,,E12000002,11.3
2010 Q2 Apr-Jun,Percentage (%),,,North West,,,,,E12000002,11.2
2010 Q3 Jul-Sep,Percentage (%),,,North West,,,,,E12000002,11.0
2010 Q4 Oct-Dec,Percentage (%),,,North West,,,,,E12000002,11.2
2011 Q1 Jan-Mar,Percentage (%),,,North West,,,,,E12000002,11.1
2011 Q2 Apr-Jun,Percentage (%),,,North West,,,,,E12000002,11.5
2011 Q3 Jul-Sep,Percentage (%),,,North West,,,,,E12000002,11.1
2011 Q4 Oct-Dec,Percentage (%),,,North West,,,,,E12000002,10.7
2012 Q1 Jan-Mar,Percentage (%),,,North West,,,,,E12000002,11.0
2012 Q2 Apr-Jun,Percentage (%),,,North West,,,,,E12000002,10.9
2012 Q3 Jul-Sep,Percentage (%),,,North West,,,,,E12000002,10.5
2012 Q4 Oct-Dec,Percentage (%),,,North West,,,,,E12000002,10.8
2013 Q1 Jan-Mar,Percentage (%),,,North West,,,,,E12000002,11.0
2013 Q2 Apr-Jun,Percentage (%),,,North West,,,,,E12000002,10.0
2013 Q3 Jul-Sep,Percentage (%),,,North West,,,,,E12000002,10.5
2013 Q4 Oct-Dec,Percentage (%),,,North West,,,,,E12000002,11.0
2014 Q1 Jan-Mar,Percentage (%),,,North West,,,,,E12000002,11.0
2014 Q2 Apr-Jun,Percentage (%),,,North West,,,,,E12000002,11.5
2014 Q3 Jul-Sep,Percentage (%),,,North West,,,,,E12000002,11.0
2014 Q4 Oct-Dec,Percentage (%),,,North West,,,,,E12000002,11.1
2015 Q1 Jan-Mar,Percentage (%),,,North West,,,,,E12000002,10.5
2015 Q2 Apr-Jun,Percentage (%),,,North West,,,,,E12000002,10.8
2015 Q3 Jul-Sep,Percentage (%),,,North West,,,,,E12000002,10.4
2015 Q4 Oct-Dec,Percentage (%),,,North West,,,,,E12000002,10.3
2016 Q1 Jan-Mar,Percentage (%),,,North West,,,,,E12000002,11.0
2016 Q2 Apr-Jun,Percentage (%),,,North West,,,,,E12000002,10.8
2016 Q3 Jul-Sep,Percentage (%),,,North West,,,,,E12000002,11.1
2016 Q4 Oct-Dec,Percentage (%),,,North West,,,,,E12000002,11.0
2017 Q1 Jan-Mar,Percentage (%),,,North West,,,,,E12000002,11.0
2017 Q2 Apr-Jun,Percentage (%),,,North West,,,,,E12000002,10.8
2017 Q3 Jul-Sep,Percentage (%),,,North West,,,,,E12000002,10.1
2017 Q4 Oct-Dec,Percentage (%),,,North West,,,,,E12000002,10.5
2009 Q1 Jan-Mar,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,12.1
2009 Q2 Apr-Jun,Percentage (%),,,Yorkshire and The Humber,,,,,E12000003,11.2
