Year,Series,Industry sector,Unit measure,Unit multiplier,Observation status,Value
2003,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.2
2004,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,2.4
2005,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,2.4
2006,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,2.4
2007,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,2.6
2008,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.1
2009,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,2.9
2010,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.0
2011,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,2.9
2012,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.3
2013,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.3
2014,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.1
2015,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.1
2016,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,3.0
2017,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,2.6
2018,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,2.5
2019,Energy intensity level of primary energy,Accommodation and food services,TJ per £ million,Normal,Undefined,4.4
1990,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.9
1991,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.9
1992,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.8
1993,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.9
1994,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.8
1995,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.8
1996,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.8
1997,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.6
1998,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.4
1999,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.2
2000,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.1
2001,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.3
2002,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.9
2003,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,1.1
2004,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.8
2005,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.8
2006,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.8
2007,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.9
2008,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.9
2009,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.8
2010,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.9
2011,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.8
2012,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.8
2013,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.9
2014,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.7
2015,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.6
2016,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.6
2017,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.5
2018,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.5
2019,Energy intensity level of primary energy,Information and communication,TJ per £ million,Normal,Undefined,0.5
1990,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,1.0
1991,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,1.0
1992,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,1.0
1993,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,1.0
1994,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,1.0
1995,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,1.0
1996,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,1.0
1997,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.8
1998,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.8
1999,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.7
2000,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.7
2001,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.8
2002,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.7
2003,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.6
2004,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.6
2005,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.6
2006,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.5
2007,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.5
2008,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.5
2009,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.5
2010,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.6
2011,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.6
2012,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.6
2013,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.5
2014,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.6
2015,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.5
2016,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.5
2017,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.5
2018,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.4
2019,Energy intensity level of primary energy,Financial and insurance activities,TJ per £ million,Normal,Undefined,0.5
1990,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
1991,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
1992,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
1993,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
1994,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
1995,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
1996,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
1997,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
1998,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.3
1999,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2000,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2001,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2002,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2003,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2004,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.1
2005,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.1
2006,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2007,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2008,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2009,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2010,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2011,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2012,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.2
2013,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.1
2014,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.1
2015,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.1
2016,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.1
2017,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.1
2018,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.1
2019,Energy intensity level of primary energy,Real estate activities,TJ per £ million,Normal,Undefined,0.1
1990,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,2.0
1991,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,2.1
1992,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,2.0
1993,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,2.0
1994,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.9
1995,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.9
1996,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.9
1997,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.7
1998,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.7
1999,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.5
2000,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.5
2001,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.6
2002,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.2
2003,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.2
2004,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.1
2005,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.1
2006,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.0
2007,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.0
2008,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.2
2009,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.9
2010,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,1.0
2011,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.9
2012,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.8
2013,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.8
2014,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.7
2015,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.6
2016,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.6
2017,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.5
2018,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.5
2019,Energy intensity level of primary energy,"Professional, scientific and technical activities",TJ per £ million,Normal,Undefined,0.5
1990,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,2.1
1991,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,2.2
1992,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,2.2
1993,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,2.2
1994,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,2.1
1995,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,2.1
1996,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,2.0
1997,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,2.0
1998,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.8
1999,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.7
2000,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.6
2001,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.6
2002,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.5
2003,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.6
2004,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.5
2005,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.3
2006,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.1
2007,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.1
2008,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,1.2
2009,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.9
2010,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.9
2011,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.7
2012,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.7
2013,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.6
2014,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.6
2015,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.6
2016,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.6
2017,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.5
2018,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.5
2019,Energy intensity level of primary energy,Administrative and support service activities,TJ per £ million,Normal,Undefined,0.6
1990,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.2
1991,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.2
1992,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.4
1993,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.3
1994,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.4
1995,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.4
1996,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.5
1997,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.4
1998,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.2
1999,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.3
2000,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.2
2001,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.2
2002,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.1
2003,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.2
2004,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,2.2
2005,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.9
2006,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.9
2007,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.8
2008,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.7
2009,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.4
2010,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.5
2011,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.4
2012,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.4
2013,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.3
2014,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.1
2015,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,1.0
2016,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,0.9
2017,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,0.9
2018,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,0.9
2019,Energy intensity level of primary energy,Public administration and defence; compulsory social security,TJ per £ million,Normal,Undefined,0.8
1990,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.6
1991,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.8
1992,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.9
1993,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.5
1994,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.5
1995,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.4
1996,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.6
1997,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.7
1998,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.6
1999,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.4
2000,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.4
2001,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.3
2002,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.1
2003,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.1
2004,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.0
2005,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.9
2006,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,1.0
2007,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.9
2008,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.8
2009,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.8
2010,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.8
2011,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.7
2012,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.8
2013,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.7
2014,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.6
2015,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.6
2016,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.6
2017,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.6
2018,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.5
2019,Energy intensity level of primary energy,Education,TJ per £ million,Normal,Undefined,0.5
1990,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,2.2
1991,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,2.4
1992,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,2.5
1993,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,2.1
1994,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,2.2
1995,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,2.1
1996,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,2.2
1997,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.9
1998,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.9
1999,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.7
2000,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.5
2001,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.5
2002,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.2
2003,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.0
2004,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.1
2005,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.3
2006,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.2
2007,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.2
2008,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.2
2009,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.1
2010,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.1
2011,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.0
2012,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.2
2013,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.2
2014,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,1.0
2015,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,0.8
2016,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,0.8
2017,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,0.8
2018,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,0.8
2019,Energy intensity level of primary energy,Human health and social work activities,TJ per £ million,Normal,Undefined,0.7
1990,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.8
1991,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.8
1992,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.4
1993,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.5
1994,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.3
1995,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.3
1996,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.3
1997,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.1
1998,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.4
1999,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.4
2000,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.3
2001,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.4
2002,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.0
2003,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.0
2004,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.0
2005,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.3
2006,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.1
2007,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.1
2008,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,2.3
2009,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,1.9
2010,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,1.8
2011,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,1.5
2012,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,1.9
2013,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,1.4
2014,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,1.2
2015,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,1.0
2016,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,0.9
2017,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,0.8
2018,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,0.7
2019,Energy intensity level of primary energy,"Arts, entertainment and recreation",TJ per £ million,Normal,Undefined,0.9
1990,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.5
1991,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.6
1992,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
1993,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
1994,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
1995,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
1996,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
1997,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
1998,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
1999,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
2000,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.3
2001,Energy intensity level of primary energy,Other service activities,TJ per £ million,Normal,Undefined,1.4
