Year,Series,City or Locality,Urbanisation,Unit,Value
2010,PM10,Didcot,,Microgram per m3,13.69
2013,PM10,Didcot,,Microgram per m3,13.27
2014,PM10,Didcot,,Microgram per m3,11.4
2015,PM10,Didcot,,Microgram per m3,13.34
2014,PM10,Eastbourne,,Microgram per m3,19.17
2015,PM10,Eastbourne,,Microgram per m3,18.07
2016,PM10,Eastbourne,,Microgram per m3,17.77
2019,PM10,Eastbourne,,Microgram per m3,15.55
2013,PM10,Eccles,,Microgram per m3,18.7
2014,PM10,Eccles,,Microgram per m3,17.65
2015,PM10,Eccles,,Microgram per m3,17.68
2016,PM10,Eccles,,Microgram per m3,17.34
2017,PM10,Eccles,,Microgram per m3,16.35
2018,PM10,Eccles,,Microgram per m3,16.85
2019,PM10,Eccles,,Microgram per m3,15.33
2010,PM10,Edinburgh,,Microgram per m3,14.21
2013,PM10,Edinburgh,,Microgram per m3,13.54
2015,PM10,Edinburgh,,Microgram per m3,10.48
2017,PM10,Edinburgh,,Microgram per m3,10.06
2018,PM10,Edinburgh,,Microgram per m3,10.69
2019,PM10,Edinburgh,,Microgram per m3,10.94
2010,PM10,Enniskillen,,Microgram per m3,10.34
2013,PM10,Enniskillen,,Microgram per m3,11.32
2014,PM10,Enniskillen,,Microgram per m3,6.94
2015,PM10,Enniskillen,,Microgram per m3,6.59
2016,PM10,Enniskillen,,Microgram per m3,5.42
2017,PM10,Enniskillen,,Microgram per m3,5.63
2018,PM10,Enniskillen,,Microgram per m3,7.57
2019,PM10,Enniskillen,,Microgram per m3,8.39
2013,PM10,Gillingham,,Microgram per m3,23.08
2014,PM10,Gillingham,,Microgram per m3,21.39
2015,PM10,Gillingham,,Microgram per m3,18.48
2016,PM10,Gillingham,,Microgram per m3,19.09
2017,PM10,Gillingham,,Microgram per m3,21.65
2018,PM10,Gillingham,,Microgram per m3,23.72
2019,PM10,Gillingham,,Microgram per m3,22.86
2010,PM10,Glasgow,,Microgram per m3,28.63
2013,PM10,Glasgow,,Microgram per m3,22.94
2014,PM10,Glasgow,,Microgram per m3,13.1
2015,PM10,Glasgow,,Microgram per m3,13.35
2016,PM10,Glasgow,,Microgram per m3,12.49
2017,PM10,Glasgow,,Microgram per m3,13.19
2018,PM10,Glasgow,,Microgram per m3,12.44
2019,PM10,Glasgow,,Microgram per m3,11.04
2010,PM10,Grangemouth,,Microgram per m3,14.4
2013,PM10,Grangemouth,,Microgram per m3,13.81
2014,PM10,Grangemouth,,Microgram per m3,12.34
2015,PM10,Grangemouth,,Microgram per m3,10.16
2016,PM10,Grangemouth,,Microgram per m3,10.7
2017,PM10,Grangemouth,,Microgram per m3,9.43
2018,PM10,Grangemouth,,Microgram per m3,11.8
2019,PM10,Grangemouth,,Microgram per m3,12.56
2013,PM10,Grays,,Microgram per m3,19.16
2014,PM10,Grays,,Microgram per m3,19.32
2015,PM10,Grays,,Microgram per m3,17.08
2016,PM10,Grays,,Microgram per m3,17.26
2017,PM10,Grays,,Microgram per m3,18.13
2018,PM10,Grays,,Microgram per m3,18.9
2019,PM10,Grays,,Microgram per m3,20.45
2017,PM10,Greenock,,Microgram per m3,10.07
2018,PM10,Greenock,,Microgram per m3,11.71
2019,PM10,Greenock,,Microgram per m3,11.79
2013,PM10,Harlington,,Microgram per m3,19.86
2014,PM10,Harlington,,Microgram per m3,19.63
2015,PM10,Harlington,,Microgram per m3,15.99
2016,PM10,Harlington,,Microgram per m3,15.35
2018,PM10,Harlington,,Microgram per m3,15.46
2019,PM10,Harlington,,Microgram per m3,15.07
2010,PM10,Hull,,Microgram per m3,18.54
2013,PM10,Hull,,Microgram per m3,14.26
2014,PM10,Hull,,Microgram per m3,14.9
2015,PM10,Hull,,Microgram per m3,15.91
2016,PM10,Hull,,Microgram per m3,16.5
2018,PM10,Hull,,Microgram per m3,20.44
2019,PM10,Hull,,Microgram per m3,21.02
2010,PM10,Inverness,,Microgram per m3,14.06
2013,PM10,Inverness,,Microgram per m3,11.65
2014,PM10,Inverness,,Microgram per m3,10.85
2015,PM10,Inverness,,Microgram per m3,9.31
2016,PM10,Inverness,,Microgram per m3,8.57
2017,PM10,Inverness,,Microgram per m3,9.71
2019,PM10,Inverness,,Microgram per m3,9.38
2010,PM10,Leamington Spa,,Microgram per m3,20.36
2010,PM10,Leeds,,Microgram per m3,20.97
2013,PM10,Leeds,,Microgram per m3,21.52
2014,PM10,Leeds,,Microgram per m3,20.35
2015,PM10,Leeds,,Microgram per m3,17.36
2016,PM10,Leeds,,Microgram per m3,17.9
2017,PM10,Leeds,,Microgram per m3,15.78
2018,PM10,Leeds,,Microgram per m3,17.49
2019,PM10,Leeds,,Microgram per m3,16.1
2010,PM10,Leicester,,Microgram per m3,18.73
2016,PM10,Leicester,,Microgram per m3,21.54
2017,PM10,Leicester,,Microgram per m3,21.27
2018,PM10,Leicester,,Microgram per m3,22.52
2019,PM10,Leicester,,Microgram per m3,22.47
2010,PM10,Liverpool,,Microgram per m3,17.46
2010,PM10,London,,Microgram per m3,22.71
2013,PM10,London,,Microgram per m3,23.84
2014,PM10,London,,Microgram per m3,22.61
2015,PM10,London,,Microgram per m3,21.33
2016,PM10,London,,Microgram per m3,23.48
2017,PM10,London,,Microgram per m3,21.58
2018,PM10,London,,Microgram per m3,21.0
2019,PM10,London,,Microgram per m3,20.51
2013,PM10,Londonderry,,Microgram per m3,14.77
2014,PM10,Londonderry,,Microgram per m3,14.56
2015,PM10,Londonderry,,Microgram per m3,15.99
2017,PM10,Londonderry,,Microgram per m3,11.11
2018,PM10,Londonderry,,Microgram per m3,12.41
2019,PM10,Londonderry,,Microgram per m3,11.51
2010,PM10,Middlesbrough,,Microgram per m3,15.1
2015,PM10,Middlesbrough,,Microgram per m3,14.81
2016,PM10,Middlesbrough,,Microgram per m3,13.86
2017,PM10,Middlesbrough,,Microgram per m3,13.41
2018,PM10,Middlesbrough,,Microgram per m3,15.65
2019,PM10,Middlesbrough,,Microgram per m3,17.68
2013,PM10,Narberth,,Microgram per m3,15.65
2014,PM10,Narberth,,Microgram per m3,13.63
2015,PM10,Narberth,,Microgram per m3,11.56
2016,PM10,Narberth,,Microgram per m3,11.74
2017,PM10,Narberth,,Microgram per m3,11.05
2018,PM10,Narberth,,Microgram per m3,11.92
2019,PM10,Narberth,,Microgram per m3,11.06
2010,PM10,Newcastle Upon Tyne,,Microgram per m3,14.85
2013,PM10,Newcastle Upon Tyne,,Microgram per m3,12.64
2014,PM10,Newcastle Upon Tyne,,Microgram per m3,12.34
2015,PM10,Newcastle Upon Tyne,,Microgram per m3,14.83
2016,PM10,Newcastle Upon Tyne,,Microgram per m3,11.36
2017,PM10,Newcastle Upon Tyne,,Microgram per m3,10.7
2018,PM10,Newcastle Upon Tyne,,Microgram per m3,13.86
2019,PM10,Newcastle Upon Tyne,,Microgram per m3,15.69
2014,PM10,Newport,,Microgram per m3,16.09
2016,PM10,Newport,,Microgram per m3,15.64
2019,PM10,Newport,,Microgram per m3,15.24
2010,PM10,Norwich,,Microgram per m3,17.8
2013,PM10,Norwich,,Microgram per m3,14.63
2014,PM10,Norwich,,Microgram per m3,15.57
2015,PM10,Norwich,,Microgram per m3,15.47
2016,PM10,Norwich,,Microgram per m3,15.67
2017,PM10,Norwich,,Microgram per m3,15.82
2018,PM10,Norwich,,Microgram per m3,15.75
2019,PM10,Norwich,,Microgram per m3,14.01
2010,PM10,Nottingham,,Microgram per m3,23.0
2013,PM10,Nottingham,,Microgram per m3,21.27
2014,PM10,Nottingham,,Microgram per m3,20.85
2015,PM10,Nottingham,,Microgram per m3,17.27
2016,PM10,Nottingham,,Microgram per m3,18.62
2017,PM10,Nottingham,,Microgram per m3,17.86
2018,PM10,Nottingham,,Microgram per m3,17.17
2019,PM10,Nottingham,,Microgram per m3,18.96
2010,PM10,Oxford,,Microgram per m3,16.67
2015,PM10,Oxford,,Microgram per m3,13.12
2017,PM10,Oxford,,Microgram per m3,12.54
2018,PM10,Oxford,,Microgram per m3,12.24
2019,PM10,Oxford,,Microgram per m3,14.23
2010,PM10,Penicuik,,Microgram per m3,7.79
2014,PM10,Penicuik,,Microgram per m3,7.42
2015,PM10,Penicuik,,Microgram per m3,6.07
2017,PM10,Penicuik,,Microgram per m3,6.42
2018,PM10,Penicuik,,Microgram per m3,6.96
2019,PM10,Penicuik,,Microgram per m3,6.71
2013,PM10,Plymouth,,Microgram per m3,18.33
2014,PM10,Plymouth,,Microgram per m3,17.43
2015,PM10,Plymouth,,Microgram per m3,17.92
2016,PM10,Plymouth,,Microgram per m3,15.38
2017,PM10,Plymouth,,Microgram per m3,14.21
2018,PM10,Plymouth,,Microgram per m3,16.28
2019,PM10,Plymouth,,Microgram per m3,16.93
2010,PM10,Port Talbot,,Microgram per m3,21.77
2013,PM10,Port Talbot,,Microgram per m3,24.03
2014,PM10,Port Talbot,,Microgram per m3,24.35
2015,PM10,Port Talbot,,Microgram per m3,26.49
2016,PM10,Port Talbot,,Microgram per m3,21.56
2017,PM10,Port Talbot,,Microgram per m3,23.03
2018,PM10,Port Talbot,,Microgram per m3,23.12
2019,PM10,Port Talbot,,Microgram per m3,22.32
2017,PM10,Portsmouth,,Microgram per m3,14.62
2018,PM10,Portsmouth,,Microgram per m3,19.3
2019,PM10,Portsmouth,,Microgram per m3,17.27
2013,PM10,Reading,,Microgram per m3,15.52
2014,PM10,Reading,,Microgram per m3,14.03
2015,PM10,Reading,,Microgram per m3,12.47
2016,PM10,Reading,,Microgram per m3,13.17
2017,PM10,Reading,,Microgram per m3,14.43
2018,PM10,Reading,,Microgram per m3,15.1
2019,PM10,Reading,,Microgram per m3,17.19
2013,PM10,Rochester,,Microgram per m3,17.87
2014,PM10,Rochester,,Microgram per m3,17.59
2015,PM10,Rochester,,Microgram per m3,14.59
2017,PM10,Rochester,,Microgram per m3,16.51
2018,PM10,Rochester,,Microgram per m3,17.46
2019,PM10,Rochester,,Microgram per m3,14.96
2013,PM10,Royal Leamington Spa,,Microgram per m3,17.84
2014,PM10,Royal Leamington Spa,,Microgram per m3,15.94
2015,PM10,Royal Leamington Spa,,Microgram per m3,15.26
2016,PM10,Royal Leamington Spa,,Microgram per m3,15.53
2017,PM10,Royal Leamington Spa,,Microgram per m3,15.64
2018,PM10,Royal Leamington Spa,,Microgram per m3,14.03
2019,PM10,Royal Leamington Spa,,Microgram per m3,13.87
2010,PM10,Salford,,Microgram per m3,18.52
2014,PM10,Saltash,,Microgram per m3,16.48
2015,PM10,Saltash,,Microgram per m3,16.17
2016,PM10,Saltash,,Microgram per m3,14.66
2018,PM10,Saltash,,Microgram per m3,16.52
2019,PM10,Saltash,,Microgram per m3,17.79
2016,PM10,Sandy,,Microgram per m3,18.77
2019,PM10,Sandy,,Microgram per m3,17.96
2010,PM10,Scunthorpe,,Microgram per m3,22.93
2013,PM10,Scunthorpe,,Microgram per m3,22.21
2014,PM10,Scunthorpe,,Microgram per m3,21.15
2015,PM10,Scunthorpe,,Microgram per m3,20.4
2016,PM10,Scunthorpe,,Microgram per m3,17.23
2017,PM10,Scunthorpe,,Microgram per m3,16.07
2018,PM10,Scunthorpe,,Microgram per m3,18.29
2019,PM10,Scunthorpe,,Microgram per m3,19.72
2010,PM10,Sheffield,,Microgram per m3,21.7
2016,PM10,Sheffield,,Microgram per m3,17.64
2017,PM10,Sheffield,,Microgram per m3,16.1
2018,PM10,Sheffield,,Microgram per m3,15.99
2019,PM10,Sheffield,,Microgram per m3,14.92
2010,PM10,Southampton,,Microgram per m3,17.75
2013,PM10,Southampton,,Microgram per m3,21.02
2014,PM10,Southampton,,Microgram per m3,20.93
2015,PM10,Southampton,,Microgram per m3,16.45
2017,PM10,Southampton,,Microgram per m3,18.14
2019,PM10,Southampton,,Microgram per m3,16.85
2013,PM10,Speke,,Microgram per m3,14.02
2014,PM10,Speke,,Microgram per m3,14.47
2015,PM10,Speke,,Microgram per m3,13.94
2017,PM10,Speke,,Microgram per m3,11.49
2018,PM10,Speke,,Microgram per m3,13.98
2019,PM10,Speke,,Microgram per m3,16.71
2010,PM10,Stanford-Le-Hope,,Microgram per m3,20.64
2013,PM10,Stanford-Le-Hope,,Microgram per m3,24.33
2014,PM10,Stanford-Le-Hope,,Microgram per m3,19.16
2016,PM10,Stanford-Le-Hope,,Microgram per m3,20.05
2017,PM10,Stanford-Le-Hope,,Microgram per m3,18.61
2018,PM10,Stanford-Le-Hope,,Microgram per m3,18.27
2019,PM10,Stanford-Le-Hope,,Microgram per m3,17.29
2016,PM10,Stockbridge,,Microgram per m3,14.92
2017,PM10,Stockbridge,,Microgram per m3,13.33
2018,PM10,Stockbridge,,Microgram per m3,12.27
2019,PM10,Stockbridge,,Microgram per m3,11.91
2010,PM10,Stockton-On-Tees,,Microgram per m3,14.42
2013,PM10,Stockton-On-Tees,,Microgram per m3,16.78
2014,PM10,Stockton-On-Tees,,Microgram per m3,16.73
2015,PM10,Stockton-On-Tees,,Microgram per m3,15.84
2017,PM10,Stockton-On-Tees,,Microgram per m3,14.11
2018,PM10,Stockton-On-Tees,,Microgram per m3,15.73
2019,PM10,Stockton-On-Tees,,Microgram per m3,13.59
2010,PM10,Stoke - On - Trent,,Microgram per m3,22.11
2013,PM10,Stoke-On-Trent,,Microgram per m3,20.29
2014,PM10,Stoke-On-Trent,,Microgram per m3,18.26
2016,PM10,Stoke-On-Trent,,Microgram per m3,20.44
2017,PM10,Stoke-On-Trent,,Microgram per m3,18.37
2018,PM10,Stoke-On-Trent,,Microgram per m3,19.18
2019,PM10,Stoke-On-Trent,,Microgram per m3,19.68
2010,PM10,Storrington,,Microgram per m3,20.38
2015,PM10,Storrington,,Microgram per m3,15.76
2016,PM10,Storrington,,Microgram per m3,18.75
2010,PM10,Swansea,,Microgram per m3,15.75
2013,PM10,Swansea,,Microgram per m3,19.07
2014,PM10,Swansea,,Microgram per m3,20.21
2015,PM10,Swansea,,Microgram per m3,20.22
2016,PM10,Swansea,,Microgram per m3,19.14
2017,PM10,Swansea,,Microgram per m3,18.9
2018,PM10,Swansea,,Microgram per m3,19.69
2019,PM10,Swansea,,Microgram per m3,18.36
2010,PM10,Thurrock,,Microgram per m3,24.2
2013,PM10,Warrington,,Microgram per m3,17.53
2014,PM10,Warrington,,Microgram per m3,15.53
2015,PM10,Warrington,,Microgram per m3,15.39
2016,PM10,Warrington,,Microgram per m3,16.15
2019,PM10,Warrington,,Microgram per m3,16.98
2010,PM10,Wrexham,,Microgram per m3,14.28
2013,PM10,Wrexham,,Microgram per m3,17.09
2014,PM10,Wrexham,,Microgram per m3,14.06
2015,PM10,Wrexham,,Microgram per m3,13.29
2016,PM10,Wrexham,,Microgram per m3,12.2
2017,PM10,Wrexham,,Microgram per m3,11.51
2019,PM10,Wrexham,,Microgram per m3,12.09
2010,PM10,York,,Microgram per m3,19.16
2013,PM10,York,,Microgram per m3,15.26
2014,PM10,York,,Microgram per m3,16.71
2015,PM10,York,,Microgram per m3,16.51
2016,PM10,York,,Microgram per m3,16.34
2017,PM10,York,,Microgram per m3,14.85
2018,PM10,York,,Microgram per m3,16.1
2019,PM10,York,,Microgram per m3,17.92
2019,PM2.5,,City,Microgram per m3,10.06
2019,PM2.5,,Town,Microgram per m3,8.83
2019,PM2.5,,Rural,Microgram per m3,7.82
2019,PM2.5,,,Microgram per m3,9.52
2019,PM2.5,,Urban,Microgram per m3,9.71
2018,PM2.5,,,Microgram per m3,10.07
2018,PM2.5,,Urban,Microgram per m3,10.28
2018,PM2.5,,City,Microgram per m3,10.67
2018,PM2.5,,Rural,Microgram per m3,8.2
2018,PM2.5,,Town,Microgram per m3,9.3
2017,PM2.5,,,Microgram per m3,10.09
2017,PM2.5,,Urban,Microgram per m3,10.31
2017,PM2.5,,City,Microgram per m3,10.72
2017,PM2.5,,Rural,Microgram per m3,8.18
2017,PM2.5,,Town,Microgram per m3,9.29
2016,PM2.5,,,Microgram per m3,10.19
2016,PM2.5,,Urban,Microgram per m3,10.42
2016,PM2.5,,city,Microgram per m3,10.84
2016,PM2.5,,Rural,Microgram per m3,8.19
2016,PM2.5,,Town,Microgram per m3,9.35
2015,PM2.5,,Town,Microgram per m3,10.2
2015,PM2.5,,,Microgram per m3,11.08
2015,PM2.5,,Urban,Microgram per m3,11.33
2015,PM2.5,,City,Microgram per m3,11.78
2015,PM2.5,,Rural,Microgram per m3,8.96
2014,PM2.5,,Town,Microgram per m3,10.06
2014,PM2.5,,,Microgram per m3,10.95
2014,PM2.5,,Urban,Microgram per m3,11.2
2014,PM2.5,,City,Microgram per m3,11.66
2014,PM2.5,,Rural,Microgram per m3,8.81
2013,PM2.5,,Town,Microgram per m3,10.83
2013,PM2.5,,,Microgram per m3,11.82
2013,PM2.5,,Urban,Microgram per m3,12.09
2013,PM2.5,,City,Microgram per m3,12.6
2013,PM2.5,,Rural,Microgram per m3,9.47
2012,PM2.5,,Town,Microgram per m3,11.11
2012,PM2.5,,,Microgram per m3,12.14
2012,PM2.5,,Urban,Microgram per m3,12.42
2012,PM2.5,,City,Microgram per m3,12.94
2012,PM2.5,,Rural,Microgram per m3,9.7
2011,PM2.5,,Rural,Microgram per m3,10.76
2011,PM2.5,,Town,Microgram per m3,12.3
2011,PM2.5,,,Microgram per m3,13.41
2011,PM2.5,,Urban,Microgram per m3,13.72
2011,PM2.5,,City,Microgram per m3,14.29
2010,PM2.5,,Rural,Microgram per m3,10.43
2010,PM2.5,,Town,Microgram per m3,12.02
2010,PM2.5,,,Microgram per m3,13.17
2010,PM2.5,,Urban,Microgram per m3,13.49
2010,PM2.5,,City,Microgram per m3,14.08
