Year,Units,Sex,Occupation category,Occupation sub-category,Value
2016,"Rate per 10,000 population",Female,Health professionals,Medical radiographers,8.565275999999999
2016,"Rate per 10,000 population",Female,Health professionals,Podiatrists,3.5767550000000004
2016,"Rate per 10,000 population",Female,Health professionals,Health professionals not elsewhere classifed,10.73117
2016,"Rate per 10,000 population",Female,Therapy professionals,,28.5374
2016,"Rate per 10,000 population",Female,Therapy professionals,Physiotherapists,10.3254
2016,"Rate per 10,000 population",Female,Therapy professionals,Occupational therapists,8.004717999999999
2016,"Rate per 10,000 population",Female,Therapy professionals,Speech and language therapists,3.6368690000000004
2016,"Rate per 10,000 population",Female,Therapy professionals,Therapy professionals not elsewhere classifed,6.570409
2016,"Rate per 10,000 population",Female,Nursing and midwifery professionals,,191.6176
2016,"Rate per 10,000 population",Female,Nursing and midwifery professionals,Nurses,178.7232
2016,"Rate per 10,000 population",Female,Nursing and midwifery professionals,Midwives,12.89435
2016,"Rate per 10,000 population",Female,Health associate professionals,,30.6555
2016,"Rate per 10,000 population",Female,Health associate professionals,Pharmaceutical technicians,7.387652
2016,"Rate per 10,000 population",Female,Health associate professionals,Medical and dental technicians,6.295089
2016,"Rate per 10,000 population",Female,Health associate professionals,Health associate professionals not elsewhere classified,15.16755
2017,"Rate per 10,000 population",All,Health professionals,,85.21533000000001
2017,"Rate per 10,000 population",All,Health professionals,Medical practitioners,41.111000000000004
2017,"Rate per 10,000 population",All,Health professionals,Psychologists,4.340536
2017,"Rate per 10,000 population",All,Health professionals,Pharmacists,8.385949
2017,"Rate per 10,000 population",All,Health professionals,Ophthalmic opticians,3.267402
2017,"Rate per 10,000 population",All,Health professionals,Dental practitioners,6.978474
2017,"Rate per 10,000 population",All,Health professionals,Medical radiographers,5.046318
2017,"Rate per 10,000 population",All,Health professionals,Podiatrists,1.8612900000000001
2017,"Rate per 10,000 population",All,Health professionals,Health professionals not elsewhere classifed,10.59248
2017,"Rate per 10,000 population",All,Therapy professionals,,23.27354
2017,"Rate per 10,000 population",All,Therapy professionals,Physiotherapists,8.119292999999999
2017,"Rate per 10,000 population",All,Therapy professionals,Occupational therapists,6.059186
2017,"Rate per 10,000 population",All,Therapy professionals,Speech and language therapists,2.1880599999999997
2017,"Rate per 10,000 population",All,Therapy professionals,Therapy professionals not elsewhere classifed,6.907002
2017,"Rate per 10,000 population",All,Nursing and midwifery professionals,,106.3184
2017,"Rate per 10,000 population",All,Nursing and midwifery professionals,Nurses,99.83142
2017,"Rate per 10,000 population",All,Nursing and midwifery professionals,Midwives,6.486955
2017,"Rate per 10,000 population",All,Health associate professionals,,27.18737
2017,"Rate per 10,000 population",All,Health associate professionals,Paramedics,3.506499
2017,"Rate per 10,000 population",All,Health associate professionals,Dispensing opticians,1.123406
2017,"Rate per 10,000 population",All,Health associate professionals,Pharmaceutical technicians,5.073119999999999
2017,"Rate per 10,000 population",All,Health associate professionals,Medical and dental technicians,6.164727
2017,"Rate per 10,000 population",All,Health associate professionals,Health associate professionals not elsewhere classified,11.31962
2017,"Rate per 10,000 population",Male,Health professionals,,71.68265
2017,"Rate per 10,000 population",Male,Health professionals,Medical practitioners,44.68476
2017,"Rate per 10,000 population",Male,Health professionals,Pharmacists,4.66334
2017,"Rate per 10,000 population",Male,Health professionals,Ophthalmic opticians,2.837781
2017,"Rate per 10,000 population",Male,Health professionals,Dental practitioners,6.525729
2017,"Rate per 10,000 population",Male,Health professionals,Medical radiographers,3.3395940000000004
2017,"Rate per 10,000 population",Male,Health professionals,Health professionals not elsewhere classifed,5.610494
2017,"Rate per 10,000 population",Male,Therapy professionals,,8.188007
2017,"Rate per 10,000 population",Male,Therapy professionals,Physiotherapists,5.011693
2017,"Rate per 10,000 population",Male,Therapy professionals,Therapy professionals not elsewhere classifed,2.7018150000000003
2017,"Rate per 10,000 population",Male,Nursing and midwifery professionals,,29.06285
2017,"Rate per 10,000 population",Male,Nursing and midwifery professionals,Nurses,28.75194
2017,"Rate per 10,000 population",Male,Health associate professionals,,15.60564
2017,"Rate per 10,000 population",Male,Health associate professionals,Paramedics,3.139176
2017,"Rate per 10,000 population",Male,Health associate professionals,Pharmaceutical technicians,2.0560560000000003
2017,"Rate per 10,000 population",Male,Health associate professionals,Medical and dental technicians,5.342246
2017,"Rate per 10,000 population",Male,Health associate professionals,Health associate professionals not elsewhere classified,4.48195
2017,"Rate per 10,000 population",Female,Health professionals,,98.39345
2017,"Rate per 10,000 population",Female,Health professionals,Medical practitioners,37.63088
2017,"Rate per 10,000 population",Female,Health professionals,Psychologists,7.473752
2017,"Rate per 10,000 population",Female,Health professionals,Pharmacists,12.01102
2017,"Rate per 10,000 population",Female,Health professionals,Ophthalmic opticians,3.685768
2017,"Rate per 10,000 population",Female,Health professionals,Dental practitioners,7.419356
2017,"Rate per 10,000 population",Female,Health professionals,Medical radiographers,6.708325
2017,"Rate per 10,000 population",Female,Health professionals,Podiatrists,3.498371
2017,"Rate per 10,000 population",Female,Health professionals,Health professionals not elsewhere classifed,15.44394
2017,"Rate per 10,000 population",Female,Therapy professionals,,37.96383
2017,"Rate per 10,000 population",Female,Therapy professionals,Physiotherapists,11.14547
2017,"Rate per 10,000 population",Female,Therapy professionals,Occupational therapists,11.49755
2017,"Rate per 10,000 population",Female,Therapy professionals,Speech and language therapists,4.318792
2017,"Rate per 10,000 population",Female,Therapy professionals,Therapy professionals not elsewhere classifed,11.00201
2017,"Rate per 10,000 population",Female,Nursing and midwifery professionals,,181.5498
2017,"Rate per 10,000 population",Female,Nursing and midwifery professionals,Nurses,169.0486
2017,"Rate per 10,000 population",Female,Nursing and midwifery professionals,Midwives,12.50119
2017,"Rate per 10,000 population",Female,Health associate professionals,,38.46564
2017,"Rate per 10,000 population",Female,Health associate professionals,Paramedics,3.8641980000000005
2017,"Rate per 10,000 population",Female,Health associate professionals,Dispensing opticians,1.646521
2017,"Rate per 10,000 population",Female,Health associate professionals,Pharmaceutical technicians,8.011135000000001
2017,"Rate per 10,000 population",Female,Health associate professionals,Medical and dental technicians,6.965659
2017,"Rate per 10,000 population",Female,Health associate professionals,Health associate professionals not elsewhere classified,17.97813
