Year,Revenue category,Source of revenue,Value
1999,Local government revenue,Gross operating surplus,0.2771954554973968
2000,Local government revenue,Gross operating surplus,0.28146033864016656
2001,Local government revenue,Gross operating surplus,0.2926506431447486
2002,Local government revenue,Gross operating surplus,0.3093116985282812
2003,Local government revenue,Gross operating surplus,0.3164799233434505
2004,Local government revenue,Gross operating surplus,0.33527998412276144
2005,Local government revenue,Gross operating surplus,0.3565672231852325
2006,Local government revenue,Gross operating surplus,0.3812975980418435
2007,Local government revenue,Gross operating surplus,0.3922984048348248
2008,Local government revenue,Gross operating surplus,0.4168199024388066
2009,Local government revenue,Gross operating surplus,0.4598419286085206
2010,Local government revenue,Gross operating surplus,0.4800110934878475
2011,Local government revenue,Gross operating surplus,0.5001488269728593
2012,Local government revenue,Gross operating surplus,0.5206327613541453
2013,Local government revenue,Gross operating surplus,0.5388906889425578
2014,Local government revenue,Gross operating surplus,0.5507029118859472
2015,Local government revenue,Gross operating surplus,0.5638008727052468
2016,Local government revenue,Gross operating surplus,0.5796324391071142
2017,Local government revenue,Gross operating surplus,0.5949134426164004
1998,,Gross operating surplus,0.9065702645814976
1999,,Gross operating surplus,0.9010939618842334
2000,,Gross operating surplus,0.9098869585335276
2001,,Gross operating surplus,0.918694130703336
2002,,Gross operating surplus,0.9481603035950468
2003,,Gross operating surplus,1.001918883343253
2004,,Gross operating surplus,1.025988119820066
2005,,Gross operating surplus,1.0656663836118263
2006,,Gross operating surplus,1.1072800125008126
2007,,Gross operating surplus,1.1236173761387582
2008,,Gross operating surplus,1.2067630968451941
2009,,Gross operating surplus,1.3226429312853951
2010,,Gross operating surplus,1.3690372502819212
2011,,Gross operating surplus,1.4256383775154011
2012,,Gross operating surplus,1.472820013547899
2013,,Gross operating surplus,1.491696912106253
2014,,Gross operating surplus,1.4945307917035398
2015,,Gross operating surplus,1.505450144012387
2016,,Gross operating surplus,1.508232446012336
2017,,Gross operating surplus,1.5178758728160868
1998,Central government revenue,Current grants to central government,0.0005026926372045694
1999,Central government revenue,Current grants to central government,0.00034788586282303815
2000,Central government revenue,Current grants to central government,0.0
2001,Central government revenue,Current grants to central government,0.000523174334113517
2002,Central government revenue,Current grants to central government,0.0008294249341723711
2003,Central government revenue,Current grants to central government,0.0006174013330929584
2004,Central government revenue,Current grants to central government,0.0007238862557526336
2005,Central government revenue,Current grants to central government,0.0007602712647872762
2006,Central government revenue,Current grants to central government,0.0013687021168118825
2007,Central government revenue,Current grants to central government,0.004282247968851929
2008,Central government revenue,Current grants to central government,0.0021764595253867267
2009,Central government revenue,Current grants to central government,0.0022147013038179703
2010,Central government revenue,Current grants to central government,0.002177440796530764
2011,Central government revenue,Current grants to central government,0.002536823401012023
2012,Central government revenue,Current grants to central government,0.006723936826112881
2013,Central government revenue,Current grants to central government,0.005717817536274107
2014,Central government revenue,Current grants to central government,0.006506239377770772
2015,Central government revenue,Current grants to central government,0.005736721685789935
2016,Central government revenue,Current grants to central government,0.015079785775649343
2017,Central government revenue,Current grants to central government,0.018929745172665248
1998,,Current grants to central government,0.0005026926372045694
1999,,Current grants to central government,0.00034788586282303815
2000,,Current grants to central government,0.0
2001,,Current grants to central government,0.000523174334113517
2002,,Current grants to central government,0.0008294249341723711
2003,,Current grants to central government,0.0006174013330929584
2004,,Current grants to central government,0.0007238862557526336
2005,,Current grants to central government,0.0007602712647872762
2006,,Current grants to central government,0.0013687021168118825
2007,,Current grants to central government,0.004282247968851929
2008,,Current grants to central government,0.0021764595253867267
2009,,Current grants to central government,0.0022147013038179703
2010,,Current grants to central government,0.002177440796530764
2011,,Current grants to central government,0.002536823401012023
2012,,Current grants to central government,0.006723936826112881
2013,,Current grants to central government,0.005717817536274107
2014,,Current grants to central government,0.006506239377770772
2015,,Current grants to central government,0.005736721685789935
2016,,Current grants to central government,0.015079785775649343
2017,,Current grants to central government,0.018929745172665248
1998,Local government revenue,Current grants from central government,4.33593943559107
1999,Local government revenue,Current grants from central government,4.4794479468820025
2000,Local government revenue,Current grants from central government,4.4420965129855094
2001,Local government revenue,Current grants from central government,4.787372141097502
2002,Local government revenue,Current grants from central government,5.049794206913448
2003,Local government revenue,Current grants from central government,5.424426372421423
2004,Local government revenue,Current grants from central government,5.713875512074122
2005,Local government revenue,Current grants from central government,5.928302910786262
2006,Local government revenue,Current grants from central government,6.2935774793753705
2007,Local government revenue,Current grants from central government,6.29034419819356
2008,Local government revenue,Current grants from central government,6.577539718991172
2009,Local government revenue,Current grants from central government,7.268183426224512
2010,Local government revenue,Current grants from central government,7.581505047078561
2011,Local government revenue,Current grants from central government,7.155082215627734
2012,Local government revenue,Current grants from central government,7.1378201441367555
2013,Local government revenue,Current grants from central government,6.6249356745527175
2014,Local government revenue,Current grants from central government,6.562997059497179
2015,Local government revenue,Current grants from central government,6.260055413630553
2016,Local government revenue,Current grants from central government,5.776928841689668
2017,Local government revenue,Current grants from central government,5.64900556404647
1998,,Current grants from central government,4.33593943559107
1999,,Current grants from central government,4.4794479468820025
2000,,Current grants from central government,4.4420965129855094
2001,,Current grants from central government,4.787372141097502
2002,,Current grants from central government,5.049794206913448
2003,,Current grants from central government,5.424426372421423
2004,,Current grants from central government,5.713875512074122
2005,,Current grants from central government,5.928302910786262
2006,,Current grants from central government,6.2935774793753705
2007,,Current grants from central government,6.29034419819356
2008,,Current grants from central government,6.577539718991172
2009,,Current grants from central government,7.268183426224512
2010,,Current grants from central government,7.581505047078561
2011,,Current grants from central government,7.155082215627734
2012,,Current grants from central government,7.1378201441367555
2013,,Current grants from central government,6.6249356745527175
2014,,Current grants from central government,6.562997059497179
2015,,Current grants from central government,6.260055413630553
2016,,Current grants from central government,5.776928841689668
2017,,Current grants from central government,5.64900556404647
1998,Central government revenue,Capital transfers to central government,0.0013644514438409738
1999,Central government revenue,Capital transfers to central government,0.001669852141550583
2000,Central government revenue,Capital transfers to central government,0.001950382274925885
2001,Central government revenue,Capital transfers to central government,0.029690143460942092
2002,Central government revenue,Capital transfers to central government,0.029285080368086025
2003,Central government revenue,Capital transfers to central government,0.03179616865428735
2004,Central government revenue,Capital transfers to central government,0.1011027803867845
2005,Central government revenue,Capital transfers to central government,0.14614753005410794
2006,Central government revenue,Capital transfers to central government,0.06866322286006275
2007,Central government revenue,Capital transfers to central government,0.0872577540666062
2008,Central government revenue,Capital transfers to central government,1.2717220426798133
2009,Central government revenue,Capital transfers to central government,0.12612141109110758
2010,Central government revenue,Capital transfers to central government,0.012319730822476692
2011,Central government revenue,Capital transfers to central government,0.015559183526207082
2012,Central government revenue,Capital transfers to central government,0.7717523524054191
2013,Central government revenue,Capital transfers to central government,0.1102721953424292
2014,Central government revenue,Capital transfers to central government,0.14832109931113205
2015,Central government revenue,Capital transfers to central government,0.14770766286475345
2016,Central government revenue,Capital transfers to central government,0.06280705388713212
2017,Central government revenue,Capital transfers to central government,0.06478068466740587
1998,,Capital transfers to central government,0.0013644514438409738
1999,,Capital transfers to central government,0.001669852141550583
2000,,Capital transfers to central government,0.001950382274925885
2001,,Capital transfers to central government,0.029690143460942092
2002,,Capital transfers to central government,0.029285080368086025
2003,,Capital transfers to central government,0.03179616865428735
2004,,Capital transfers to central government,0.1011027803867845
2005,,Capital transfers to central government,0.14614753005410794
2006,,Capital transfers to central government,0.06866322286006275
2007,,Capital transfers to central government,0.0872577540666062
2008,,Capital transfers to central government,1.2717220426798133
2009,,Capital transfers to central government,0.12612141109110758
2010,,Capital transfers to central government,0.012319730822476692
2011,,Capital transfers to central government,0.015559183526207082
2012,,Capital transfers to central government,0.7717523524054191
2013,,Capital transfers to central government,0.1102721953424292
2014,,Capital transfers to central government,0.14832109931113205
2015,,Capital transfers to central government,0.14770766286475345
2016,,Capital transfers to central government,0.06280705388713212
2017,,Capital transfers to central government,0.06478068466740587
