Year,Flow of offical development assistance (ODA),Aid broad category description (DAC 5 code),Aid description (CRS code),Value
2016,Bilateral,Agriculture (311),Agricultural research (31182),49341.28818999999
2016,Bilateral,Agriculture (311),Agricultural services (31191),22566.77456
2016,Bilateral,Agriculture (311),Agricultural water resources (31140),88.946
2016,Bilateral,Agriculture (311),Food crop production (31161),0.0
2016,Bilateral,Agriculture (311),Industrial crops/export crops (31162),0.0
2016,Bilateral,Agriculture (311),Livestock (31163),5036.475469999999
2016,Bilateral,Agriculture (311),Livestock/veterinary services (31195),61.48031
2016,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),0.0
2016,Bilateral,Agriculture (311),,278224.0414
2016,Bilateral,Other multisector (430),Rural development (43040),31020.84989000001
2016,Bilateral,Other multisector (430),,31020.84989000001
2016,Bilateral,,,309244.8912900001
2016,Multilateral,Agriculture (311),Agrarian reform (31164),683.808818780383
2016,Multilateral,Agriculture (311),Agricultural alternative development (31165),793.0214761623673
2016,Multilateral,Agriculture (311),Agricultural co-operatives (31194),4568.438082746743
2016,Multilateral,Agriculture (311),Agricultural development (31120),40951.2144884265
2016,Multilateral,Agriculture (311),Agricultural education/training (31181),930.7943533918028
2016,Multilateral,Agriculture (311),Agricultural extension (31166),5203.844945757474
2016,Multilateral,Agriculture (311),Agricultural financial services (31193),14197.76225911556
2016,Multilateral,Agriculture (311),Agricultural inputs (31150),1382.784620248366
2016,Multilateral,Agriculture (311),Agricultural land resources (31130),9974.39151124227
2016,Multilateral,Agriculture (311),Agricultural policy and administrative management (31110),65200.12021193124
2016,Multilateral,Agriculture (311),Agricultural research (31182),12865.25829422577
2016,Multilateral,Agriculture (311),Agricultural services (31191),7218.014486743788
2016,Multilateral,Agriculture (311),Agricultural water resources (31140),36355.40223848067
2016,Multilateral,Agriculture (311),Food crop production (31161),7519.546625073835
2016,Multilateral,Agriculture (311),Industrial crops/export crops (31162),9434.195696154822
2016,Multilateral,Agriculture (311),Livestock (31163),10994.91092838409
2016,Multilateral,Agriculture (311),Livestock/veterinary services (31195),2741.250452356653
2016,Multilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),657.7727717555954
2016,Multilateral,Agriculture (311),,231672.532260978
2016,Multilateral,Other multisector (430),Rural development (43040),92985.05514065964
2016,Multilateral,Other multisector (430),,92985.05514065964
2016,Multilateral,,,324657.5874016376
2016,,Agriculture (311),Agrarian reform (31164),683.808818780383
2016,,Agriculture (311),Agricultural alternative development (31165),793.0214761623673
2016,,Agriculture (311),Agricultural co-operatives (31194),4568.438082746743
2016,,Agriculture (311),Agricultural development (31120),209611.4950184266
2016,,Agriculture (311),Agricultural education/training (31181),1030.794353391803
2016,,Agriculture (311),Agricultural extension (31166),5203.844945757474
2016,,Agriculture (311),Agricultural financial services (31193),14197.76225911556
2016,,Agriculture (311),Agricultural inputs (31150),1382.784620248366
2016,,Agriculture (311),Agricultural land resources (31130),22779.64099124227
2016,,Agriculture (311),Agricultural policy and administrative management (31110),84763.66707193124
2016,,Agriculture (311),Agricultural research (31182),62206.54648422576
2016,,Agriculture (311),Agricultural services (31191),29784.78904674379
2016,,Agriculture (311),Agricultural water resources (31140),36444.34823848068
2016,,Agriculture (311),Food crop production (31161),7519.546625073835
2016,,Agriculture (311),Industrial crops/export crops (31162),9434.195696154822
2016,,Agriculture (311),Livestock (31163),16031.38639838409
2016,,Agriculture (311),Livestock/veterinary services (31195),2802.730762356653
2016,,Agriculture (311),Plant and post-harvest protection and pest control (31192),657.7727717555954
2016,,Agriculture (311),,509896.573660978
2016,,Other multisector (430),Rural development (43040),124005.9050306596
2016,,Other multisector (430),,124005.9050306596
2016,,,,633902.4786916376
