Year,Series,Country,Country of birth,Ethnic group,Region,Observation status,Unit multiplier,Units,GeoCode,Value
2002,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,5.3
2003,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,5.6
2004,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,6.3
2005,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,6.2
2006,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,6.1
2007,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,6.8
2008,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,5.6
2009,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,7.0
2010,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,5.0
2011,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,4.3
2012,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,4.4
2013,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,4.6
2014,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.7
2015,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.7
2016,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.4
2017,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.3
2018,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.1
2019,"Number of tuberculosis case notifications per 100,000 population",Wales,,,,Normal value,Units,"Rate per 100,000 population",W92000004,3.2
2000,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,11.4
2001,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,11.4
2002,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,12.3
2003,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,12.1
2004,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,12.7
2005,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,13.7
2006,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,13.7
2007,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,13.5
2008,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,13.7
2009,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,14.2
2010,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,13.4
2011,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,14.1
2012,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,13.7
2013,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,12.3
2014,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,10.9
2015,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,9.6
2016,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,9.3
2017,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,8.4
2018,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,7.6
2019,"Number of tuberculosis case notifications per 100,000 population",,,,,Normal value,Units,"Rate per 100,000 population",,7.7
2000,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,5.4
2001,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,6.0
2002,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,6.3
2003,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,5.7
2004,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,7.1
2005,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,8.1
2006,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,8.2
2007,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,7.2
2008,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,8.5
2009,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,8.5
2010,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,8.4
2011,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,9.2
2012,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,8.1
2013,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,7.3
2014,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,6.9
2015,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,6.1
2016,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,6.8
2017,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,6.3
2018,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,5.4
2019,"Number of tuberculosis case notifications per 100,000 population",,,,East,Normal value,Units,"Rate per 100,000 population",E12000006,6.5
2000,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,9.9
2001,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,13.0
2002,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,11.2
2003,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,10.8
2004,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,9.7
2005,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,12.3
2006,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,13.0
2007,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,12.1
2008,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,10.9
2009,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,11.7
2010,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,11.0
2011,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,10.8
2012,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,10.9
2013,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,9.0
2014,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,8.6
2015,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,7.6
2016,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,7.2
2017,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,7.3
2018,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,7.1
2019,"Number of tuberculosis case notifications per 100,000 population",,,,East Midlands,Normal value,Units,"Rate per 100,000 population",E12000004,7.4
2000,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,13.3
2001,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,13.3
2002,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,15.0
2003,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,14.7
2004,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,17.2
2005,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,17.1
2006,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,17.1
2007,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,17.0
2008,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,18.3
2009,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,18.2
2010,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,15.7
2011,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,17.9
2012,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,19.1
2013,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,17.3
2014,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,13.6
2015,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,12.1
2016,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,12.3
2017,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,11.3
2018,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,10.4
2019,"Number of tuberculosis case notifications per 100,000 population",,,,West Midlands,Normal value,Units,"Rate per 100,000 population",E12000005,9.7
2000,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,36.4
2001,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,35.2
2002,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,41.4
2003,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,41.4
2004,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,41.9
2005,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,45.9
2006,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,43.8
2007,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,42.0
2008,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,43.0
2009,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,42.8
2010,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,40.2
2011,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,42.6
2012,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,40.9
2013,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,35.3
2014,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,29.9
2015,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,26.3
2016,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,25.1
2017,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,21.6
2018,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,18.8
2019,"Number of tuberculosis case notifications per 100,000 population",,,,London,Normal value,Units,"Rate per 100,000 population",E12000007,18.6
2000,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,6.2
2001,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,7.0
2002,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,5.9
2003,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,5.6
2004,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,5.6
2005,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,5.2
2006,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,5.5
2007,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,7.7
2008,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,6.9
2009,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,6.4
2010,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,5.8
2011,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,5.0
2012,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,6.4
2013,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,5.3
2014,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,6.4
2015,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,4.9
2016,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,4.6
2017,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,4.1
2018,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,4.5
2019,"Number of tuberculosis case notifications per 100,000 population",,,,North East,Normal value,Units,"Rate per 100,000 population",E12000001,3.0
2000,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,9.2
2001,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,9.4
2002,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,9.4
2003,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,8.4
2004,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,8.3
2005,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,10.8
2006,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,10.1
2007,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,10.6
2008,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,10.5
2009,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,11.4
2010,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,11.5
2011,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,11.6
2012,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,10.9
2013,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,10.1
2014,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,9.0
2015,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,7.9
2016,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,8.2
2017,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,7.3
2018,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,6.4
2019,"Number of tuberculosis case notifications per 100,000 population",,,,North West,Normal value,Units,"Rate per 100,000 population",E12000002,7.2
2000,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,5.7
2001,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,5.5
2002,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,6.1
2003,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,6.9
2004,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,7.0
2005,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,7.3
2006,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,7.5
2007,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,7.7
2008,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,7.7
2009,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,8.6
2010,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,8.5
2011,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,9.7
2012,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,9.2
2013,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,8.0
2014,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,7.7
2015,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,6.8
2016,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,6.4
2017,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,6.1
2018,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,5.7
2019,"Number of tuberculosis case notifications per 100,000 population",,,,South East,Normal value,Units,"Rate per 100,000 population",E12000008,5.7
2000,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,4.7
2001,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,4.3
2002,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,4.4
2003,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,4.0
2004,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.2
2005,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.2
2006,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.4
2007,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.2
2008,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.4
2009,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.8
2010,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.0
2011,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.8
2012,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.6
2013,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,6.1
2014,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.8
2015,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,5.2
2016,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,4.3
2017,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,4.1
2018,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,3.4
2019,"Number of tuberculosis case notifications per 100,000 population",,,,South West,Normal value,Units,"Rate per 100,000 population",E12000009,4.2
