Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,Value
2011/12,Estimated prevalence,Croydon,,Units,Number,3078
2012/13,Estimated prevalence,Croydon,,Units,Number,3089
2013/14,Estimated prevalence,Croydon,,Units,Number,3181
2014/15,Estimated prevalence,Croydon,,Units,Number,3068
2015/16,Estimated prevalence,Croydon,,Units,Number,3491
2016/17,Estimated prevalence,Croydon,,Units,Number,3402
2017/18,Estimated prevalence,Croydon,,Units,Number,3351
2018/19,Estimated prevalence,Croydon,,Units,Number,3414.666667
2010/11,Met need (%),Croydon,,Units,Percentage (%),19.25566343
2011/12,Met need (%),Croydon,,Units,Percentage (%),16.08187135
2012/13,Met need (%),Croydon,,Units,Percentage (%),25.08902557
2013/14,Met need (%),Croydon,,Units,Percentage (%),28.29298963
2014/15,Met need (%),Croydon,,Units,Percentage (%),25.26075619
2015/16,Met need (%),Croydon,,Units,Percentage (%),16.47092524
2016/17,Met need (%),Croydon,,Units,Percentage (%),16.46090535
2017/18,Met need (%),Croydon,,Units,Percentage (%),14.17487317
2018/19,Met need (%),Croydon,,Units,Percentage (%),14.96485748
2010/11,Number of people in treatment,Croydon,,Units,Count,595
2011/12,Number of people in treatment,Croydon,,Units,Count,495
2012/13,Number of people in treatment,Croydon,,Units,Count,775
2013/14,Number of people in treatment,Croydon,,Units,Count,900
2014/15,Number of people in treatment,Croydon,,Units,Count,775
2015/16,Number of people in treatment,Croydon,,Units,Count,575
2016/17,Number of people in treatment,Croydon,,Units,Count,560
2017/18,Number of people in treatment,Croydon,,Units,Count,475
2018/19,Number of people in treatment,Croydon,,Units,Count,511
2018/19,Number of people in treatment,Croydon,,Units,Count,510
2010/11,Estimated prevalence,Cumbria,,Units,Number,5598
2011/12,Estimated prevalence,Cumbria,,Units,Number,5625
2012/13,Estimated prevalence,Cumbria,,Units,Number,5628
2013/14,Estimated prevalence,Cumbria,,Units,Number,5836
2014/15,Estimated prevalence,Cumbria,,Units,Number,5834
2015/16,Estimated prevalence,Cumbria,,Units,Number,5571
2016/17,Estimated prevalence,Cumbria,,Units,Number,5675
2017/18,Estimated prevalence,Cumbria,,Units,Number,5373
2018/19,Estimated prevalence,Cumbria,,Units,Number,5539.666667
2010/11,Met need (%),Cumbria,,Units,Percentage (%),21.16827438
2011/12,Met need (%),Cumbria,,Units,Percentage (%),21.51111111
2012/13,Met need (%),Cumbria,,Units,Percentage (%),22.03269367
2013/14,Met need (%),Cumbria,,Units,Percentage (%),24.9314599
2014/15,Met need (%),Cumbria,,Units,Percentage (%),23.82584847
2015/16,Met need (%),Cumbria,,Units,Percentage (%),21.80936995
2016/17,Met need (%),Cumbria,,Units,Percentage (%),15.94713656
2017/18,Met need (%),Cumbria,,Units,Percentage (%),16.564303
2018/19,Met need (%),Cumbria,,Units,Percentage (%),17.97942114
2010/11,Number of people in treatment,Cumbria,,Units,Count,1185
2011/12,Number of people in treatment,Cumbria,,Units,Count,1210
2012/13,Number of people in treatment,Cumbria,,Units,Count,1240
2013/14,Number of people in treatment,Cumbria,,Units,Count,1455
2014/15,Number of people in treatment,Cumbria,,Units,Count,1390
2015/16,Number of people in treatment,Cumbria,,Units,Count,1215
2016/17,Number of people in treatment,Cumbria,,Units,Count,905
2017/18,Number of people in treatment,Cumbria,,Units,Count,890
2018/19,Number of people in treatment,Cumbria,,Units,Count,996
2018/19,Number of people in treatment,Cumbria,,Units,Count,995
2010/11,Estimated prevalence,Darlington,,Units,Number,1346
2011/12,Estimated prevalence,Darlington,,Units,Number,1350
2012/13,Estimated prevalence,Darlington,,Units,Number,1357
2013/14,Estimated prevalence,Darlington,,Units,Number,1407
2014/15,Estimated prevalence,Darlington,,Units,Number,1399
2015/16,Estimated prevalence,Darlington,,Units,Number,1420
2016/17,Estimated prevalence,Darlington,,Units,Number,1450
2017/18,Estimated prevalence,Darlington,,Units,Number,1344
2018/19,Estimated prevalence,Darlington,,Units,Number,1404.666667
2010/11,Met need (%),Darlington,,Units,Percentage (%),31.57503715
2011/12,Met need (%),Darlington,,Units,Percentage (%),32.59259259
2012/13,Met need (%),Darlington,,Units,Percentage (%),22.47605011
2013/14,Met need (%),Darlington,,Units,Percentage (%),22.3880597
2014/15,Met need (%),Darlington,,Units,Percentage (%),23.58827734
2015/16,Met need (%),Darlington,,Units,Percentage (%),16.54929577
2016/17,Met need (%),Darlington,,Units,Percentage (%),13.44827586
2017/18,Met need (%),Darlington,,Units,Percentage (%),17.11309524
2018/19,Met need (%),Darlington,,Units,Percentage (%),17.29947793
2010/11,Number of people in treatment,Darlington,,Units,Count,425
2011/12,Number of people in treatment,Darlington,,Units,Count,440
2012/13,Number of people in treatment,Darlington,,Units,Count,305
2013/14,Number of people in treatment,Darlington,,Units,Count,315
2014/15,Number of people in treatment,Darlington,,Units,Count,330
2015/16,Number of people in treatment,Darlington,,Units,Count,235
2016/17,Number of people in treatment,Darlington,,Units,Count,195
2017/18,Number of people in treatment,Darlington,,Units,Count,230
2018/19,Number of people in treatment,Darlington,,Units,Count,243
2018/19,Number of people in treatment,Darlington,,Units,Count,245
2010/11,Estimated prevalence,Derby,,Units,Number,3111
2011/12,Estimated prevalence,Derby,,Units,Number,3079
2012/13,Estimated prevalence,Derby,,Units,Number,3086
2013/14,Estimated prevalence,Derby,,Units,Number,3193
2014/15,Estimated prevalence,Derby,,Units,Number,3222
2015/16,Estimated prevalence,Derby,,Units,Number,3239
2016/17,Estimated prevalence,Derby,,Units,Number,3295
2017/18,Estimated prevalence,Derby,,Units,Number,3378
2018/19,Estimated prevalence,Derby,,Units,Number,3304
2010/11,Met need (%),Derby,,Units,Percentage (%),19.60784314
2011/12,Met need (%),Derby,,Units,Percentage (%),27.6063657
2012/13,Met need (%),Derby,,Units,Percentage (%),34.34867142
2013/14,Met need (%),Derby,,Units,Percentage (%),29.43939868
2014/15,Met need (%),Derby,,Units,Percentage (%),22.1911856
2015/16,Met need (%),Derby,,Units,Percentage (%),17.90676135
2016/17,Met need (%),Derby,,Units,Percentage (%),16.99544765
2017/18,Met need (%),Derby,,Units,Percentage (%),19.68620485
2018/19,Met need (%),Derby,,Units,Percentage (%),21.8220339
2010/11,Number of people in treatment,Derby,,Units,Count,610
2011/12,Number of people in treatment,Derby,,Units,Count,850
2012/13,Number of people in treatment,Derby,,Units,Count,1060
2013/14,Number of people in treatment,Derby,,Units,Count,940
2014/15,Number of people in treatment,Derby,,Units,Count,715
2015/16,Number of people in treatment,Derby,,Units,Count,580
2016/17,Number of people in treatment,Derby,,Units,Count,560
2017/18,Number of people in treatment,Derby,,Units,Count,665
2018/19,Number of people in treatment,Derby,,Units,Count,721
2018/19,Number of people in treatment,Derby,,Units,Count,720
2010/11,Estimated prevalence,Derbyshire,,Units,Number,8297
2011/12,Estimated prevalence,Derbyshire,,Units,Number,8261
2012/13,Estimated prevalence,Derbyshire,,Units,Number,8262
2013/14,Estimated prevalence,Derbyshire,,Units,Number,8486
2014/15,Estimated prevalence,Derbyshire,,Units,Number,8534
2015/16,Estimated prevalence,Derbyshire,,Units,Number,8466
2016/17,Estimated prevalence,Derbyshire,,Units,Number,8667
2017/18,Estimated prevalence,Derbyshire,,Units,Number,8688
2018/19,Estimated prevalence,Derbyshire,,Units,Number,8607
2010/11,Met need (%),Derbyshire,,Units,Percentage (%),9.642039291
2011/12,Met need (%),Derbyshire,,Units,Percentage (%),12.64980027
2012/13,Met need (%),Derbyshire,,Units,Percentage (%),12.95085936
2013/14,Met need (%),Derbyshire,,Units,Percentage (%),12.55008249
2014/15,Met need (%),Derbyshire,,Units,Percentage (%),10.60464026
2015/16,Met need (%),Derbyshire,,Units,Percentage (%),10.63075833
2016/17,Met need (%),Derbyshire,,Units,Percentage (%),9.057343948
2017/18,Met need (%),Derbyshire,,Units,Percentage (%),13.40930018
2018/19,Met need (%),Derbyshire,,Units,Percentage (%),18.38038806
2010/11,Number of people in treatment,Derbyshire,,Units,Count,800
2011/12,Number of people in treatment,Derbyshire,,Units,Count,1045
2012/13,Number of people in treatment,Derbyshire,,Units,Count,1070
2013/14,Number of people in treatment,Derbyshire,,Units,Count,1065
2014/15,Number of people in treatment,Derbyshire,,Units,Count,905
2015/16,Number of people in treatment,Derbyshire,,Units,Count,900
2016/17,Number of people in treatment,Derbyshire,,Units,Count,785
2017/18,Number of people in treatment,Derbyshire,,Units,Count,1165
2018/19,Number of people in treatment,Derbyshire,,Units,Count,1582
2018/19,Number of people in treatment,Derbyshire,,Units,Count,1580
2010/11,Estimated prevalence,Devon,,Units,Number,6991
2011/12,Estimated prevalence,Devon,,Units,Number,6961
2012/13,Estimated prevalence,Devon,,Units,Number,6956
2013/14,Estimated prevalence,Devon,,Units,Number,7166
2014/15,Estimated prevalence,Devon,,Units,Number,7095
2015/16,Estimated prevalence,Devon,,Units,Number,7198
2016/17,Estimated prevalence,Devon,,Units,Number,7318
2017/18,Estimated prevalence,Devon,,Units,Number,7171
2018/19,Estimated prevalence,Devon,,Units,Number,7229
2010/11,Met need (%),Devon,,Units,Percentage (%),25.31826634
2011/12,Met need (%),Devon,,Units,Percentage (%),23.05703204
2012/13,Met need (%),Devon,,Units,Percentage (%),21.6359977
2013/14,Met need (%),Devon,,Units,Percentage (%),19.53670109
2014/15,Met need (%),Devon,,Units,Percentage (%),13.67159972
2015/16,Met need (%),Devon,,Units,Percentage (%),17.71325368
2016/17,Met need (%),Devon,,Units,Percentage (%),16.46624761
2017/18,Met need (%),Devon,,Units,Percentage (%),14.92121043
2018/19,Met need (%),Devon,,Units,Percentage (%),13.27984507
2010/11,Number of people in treatment,Devon,,Units,Count,1770
2011/12,Number of people in treatment,Devon,,Units,Count,1605
2012/13,Number of people in treatment,Devon,,Units,Count,1505
2013/14,Number of people in treatment,Devon,,Units,Count,1400
2014/15,Number of people in treatment,Devon,,Units,Count,970
2015/16,Number of people in treatment,Devon,,Units,Count,1275
2016/17,Number of people in treatment,Devon,,Units,Count,1205
2017/18,Number of people in treatment,Devon,,Units,Count,1070
2018/19,Number of people in treatment,Devon,,Units,Count,960
2010/11,Estimated prevalence,Doncaster,,Units,Number,3902
2011/12,Estimated prevalence,Doncaster,,Units,Number,3929
2012/13,Estimated prevalence,Doncaster,,Units,Number,3895
2013/14,Estimated prevalence,Doncaster,,Units,Number,3976
2014/15,Estimated prevalence,Doncaster,,Units,Number,3938
2015/16,Estimated prevalence,Doncaster,,Units,Number,4142
2016/17,Estimated prevalence,Doncaster,,Units,Number,4313
2017/18,Estimated prevalence,Doncaster,,Units,Number,4069
2018/19,Estimated prevalence,Doncaster,,Units,Number,4174.666667
2010/11,Met need (%),Doncaster,,Units,Percentage (%),24.21834956
2011/12,Met need (%),Doncaster,,Units,Percentage (%),18.32527361
2012/13,Met need (%),Doncaster,,Units,Percentage (%),21.18100128
2013/14,Met need (%),Doncaster,,Units,Percentage (%),20.74949698
2014/15,Met need (%),Doncaster,,Units,Percentage (%),13.83951244
2015/16,Met need (%),Doncaster,,Units,Percentage (%),12.07146306
2016/17,Met need (%),Doncaster,,Units,Percentage (%),9.158358451
2017/18,Met need (%),Doncaster,,Units,Percentage (%),8.232981076
2018/19,Met need (%),Doncaster,,Units,Percentage (%),7.2101565
2010/11,Number of people in treatment,Doncaster,,Units,Count,945
2011/12,Number of people in treatment,Doncaster,,Units,Count,720
2012/13,Number of people in treatment,Doncaster,,Units,Count,825
2013/14,Number of people in treatment,Doncaster,,Units,Count,825
2014/15,Number of people in treatment,Doncaster,,Units,Count,545
2015/16,Number of people in treatment,Doncaster,,Units,Count,500
2016/17,Number of people in treatment,Doncaster,,Units,Count,395
2017/18,Number of people in treatment,Doncaster,,Units,Count,335
2018/19,Number of people in treatment,Doncaster,,Units,Count,301
2018/19,Number of people in treatment,Doncaster,,Units,Count,300
2010/11,Estimated prevalence,Dorset,,Units,Number,3461
2011/12,Estimated prevalence,Dorset,,Units,Number,3472
2012/13,Estimated prevalence,Dorset,,Units,Number,3437
2013/14,Estimated prevalence,Dorset,,Units,Number,3469
2014/15,Estimated prevalence,Dorset,,Units,Number,3492
2015/16,Estimated prevalence,Dorset,,Units,Number,3367
2016/17,Estimated prevalence,Dorset,,Units,Number,3420
2017/18,Estimated prevalence,Dorset,,Units,Number,3335
2010/11,Met need (%),Dorset,,Units,Percentage (%),20.51430222
2011/12,Met need (%),Dorset,,Units,Percentage (%),24.19354839
2012/13,Met need (%),Dorset,,Units,Percentage (%),26.33110271
2013/14,Met need (%),Dorset,,Units,Percentage (%),24.79100605
2014/15,Met need (%),Dorset,,Units,Percentage (%),23.9117984
2015/16,Met need (%),Dorset,,Units,Percentage (%),23.31452331
2016/17,Met need (%),Dorset,,Units,Percentage (%),23.68421053
2017/18,Met need (%),Dorset,,Units,Percentage (%),25.78710645
2010/11,Number of people in treatment,Dorset,,Units,Count,710
2011/12,Number of people in treatment,Dorset,,Units,Count,840
2012/13,Number of people in treatment,Dorset,,Units,Count,905
2013/14,Number of people in treatment,Dorset,,Units,Count,860
2014/15,Number of people in treatment,Dorset,,Units,Count,835
2015/16,Number of people in treatment,Dorset,,Units,Count,785
2016/17,Number of people in treatment,Dorset,,Units,Count,810
2017/18,Number of people in treatment,Dorset,,Units,Count,860
2018/19,Number of people in treatment,Dorset,,Units,Count,935
2010/11,Estimated prevalence,Dudley,,Units,Number,3732
2011/12,Estimated prevalence,Dudley,,Units,Number,3747
2012/13,Estimated prevalence,Dudley,,Units,Number,3731
2013/14,Estimated prevalence,Dudley,,Units,Number,3867
2014/15,Estimated prevalence,Dudley,,Units,Number,3863
2015/16,Estimated prevalence,Dudley,,Units,Number,4211
2016/17,Estimated prevalence,Dudley,,Units,Number,3996
2017/18,Estimated prevalence,Dudley,,Units,Number,3617
2018/19,Estimated prevalence,Dudley,,Units,Number,3941.333333
2010/11,Met need (%),Dudley,,Units,Percentage (%),8.70846731
2011/12,Met need (%),Dudley,,Units,Percentage (%),19.34881238
2012/13,Met need (%),Dudley,,Units,Percentage (%),23.05012061
2013/14,Met need (%),Dudley,,Units,Percentage (%),21.33436773
2014/15,Met need (%),Dudley,,Units,Percentage (%),16.8263008
2015/16,Met need (%),Dudley,,Units,Percentage (%),13.89218713
2016/17,Met need (%),Dudley,,Units,Percentage (%),14.63963964
2017/18,Met need (%),Dudley,,Units,Percentage (%),17.00304119
2018/19,Met need (%),Dudley,,Units,Percentage (%),16.2635318
2010/11,Number of people in treatment,Dudley,,Units,Count,325
2011/12,Number of people in treatment,Dudley,,Units,Count,725
2012/13,Number of people in treatment,Dudley,,Units,Count,860
2013/14,Number of people in treatment,Dudley,,Units,Count,825
2014/15,Number of people in treatment,Dudley,,Units,Count,650
2015/16,Number of people in treatment,Dudley,,Units,Count,585
2016/17,Number of people in treatment,Dudley,,Units,Count,585
2017/18,Number of people in treatment,Dudley,,Units,Count,615
2018/19,Number of people in treatment,Dudley,,Units,Count,641
2018/19,Number of people in treatment,Dudley,,Units,Count,640
2010/11,Estimated prevalence,Ealing,,Units,Number,3424
2011/12,Estimated prevalence,Ealing,,Units,Number,3423
2012/13,Estimated prevalence,Ealing,,Units,Number,3369
2013/14,Estimated prevalence,Ealing,,Units,Number,3497
2014/15,Estimated prevalence,Ealing,,Units,Number,3499
2015/16,Estimated prevalence,Ealing,,Units,Number,3488
2016/17,Estimated prevalence,Ealing,,Units,Number,3387
2017/18,Estimated prevalence,Ealing,,Units,Number,3409
2018/19,Estimated prevalence,Ealing,,Units,Number,3428
2010/11,Met need (%),Ealing,,Units,Percentage (%),28.32943925
2011/12,Met need (%),Ealing,,Units,Percentage (%),28.92199825
2012/13,Met need (%),Ealing,,Units,Percentage (%),24.78480261
2013/14,Met need (%),Ealing,,Units,Percentage (%),21.30397484
2014/15,Met need (%),Ealing,,Units,Percentage (%),25.15004287
2015/16,Met need (%),Ealing,,Units,Percentage (%),25.80275229
2016/17,Met need (%),Ealing,,Units,Percentage (%),20.96250369
2017/18,Met need (%),Ealing,,Units,Percentage (%),16.5737753
2018/19,Met need (%),Ealing,,Units,Percentage (%),17.06534422
2010/11,Number of people in treatment,Ealing,,Units,Count,970
2011/12,Number of people in treatment,Ealing,,Units,Count,990
2012/13,Number of people in treatment,Ealing,,Units,Count,835
2013/14,Number of people in treatment,Ealing,,Units,Count,745
2014/15,Number of people in treatment,Ealing,,Units,Count,880
2015/16,Number of people in treatment,Ealing,,Units,Count,900
2016/17,Number of people in treatment,Ealing,,Units,Count,710
2017/18,Number of people in treatment,Ealing,,Units,Count,565
2018/19,Number of people in treatment,Ealing,,Units,Count,585
2010/11,Estimated prevalence,East Riding of Yorkshire,,Units,Number,2843
2011/12,Estimated prevalence,East Riding of Yorkshire,,Units,Number,2825
2012/13,Estimated prevalence,East Riding of Yorkshire,,Units,Number,2819
2013/14,Estimated prevalence,East Riding of Yorkshire,,Units,Number,2875
2014/15,Estimated prevalence,East Riding of Yorkshire,,Units,Number,2888
2015/16,Estimated prevalence,East Riding of Yorkshire,,Units,Number,2924
2016/17,Estimated prevalence,East Riding of Yorkshire,,Units,Number,3011
2017/18,Estimated prevalence,East Riding of Yorkshire,,Units,Number,2936
2018/19,Estimated prevalence,East Riding of Yorkshire,,Units,Number,2957
2010/11,Met need (%),East Riding of Yorkshire,,Units,Percentage (%),14.94899754
2011/12,Met need (%),East Riding of Yorkshire,,Units,Percentage (%),14.86725664
2012/13,Met need (%),East Riding of Yorkshire,,Units,Percentage (%),18.09152182
2013/14,Met need (%),East Riding of Yorkshire,,Units,Percentage (%),21.56521739
2014/15,Met need (%),East Riding of Yorkshire,,Units,Percentage (%),18.52493075
2015/16,Met need (%),East Riding of Yorkshire,,Units,Percentage (%),18.63885089
2016/17,Met need (%),East Riding of Yorkshire,,Units,Percentage (%),16.60577881
2017/18,Met need (%),East Riding of Yorkshire,,Units,Percentage (%),14.81607629
2018/19,Met need (%),East Riding of Yorkshire,,Units,Percentage (%),13.22286101
2010/11,Number of people in treatment,East Riding of Yorkshire,,Units,Count,425
2011/12,Number of people in treatment,East Riding of Yorkshire,,Units,Count,420
2012/13,Number of people in treatment,East Riding of Yorkshire,,Units,Count,510
2013/14,Number of people in treatment,East Riding of Yorkshire,,Units,Count,620
2014/15,Number of people in treatment,East Riding of Yorkshire,,Units,Count,535
2015/16,Number of people in treatment,East Riding of Yorkshire,,Units,Count,545
2016/17,Number of people in treatment,East Riding of Yorkshire,,Units,Count,500
2017/18,Number of people in treatment,East Riding of Yorkshire,,Units,Count,435
2018/19,Number of people in treatment,East Riding of Yorkshire,,Units,Count,391
2018/19,Number of people in treatment,East Riding of Yorkshire,,Units,Count,390
2010/11,Estimated prevalence,East Sussex,,Units,Number,5219
2011/12,Estimated prevalence,East Sussex,,Units,Number,5201
2012/13,Estimated prevalence,East Sussex,,Units,Number,5207
2013/14,Estimated prevalence,East Sussex,,Units,Number,5316
2014/15,Estimated prevalence,East Sussex,,Units,Number,5297
2015/16,Estimated prevalence,East Sussex,,Units,Number,5145
2016/17,Estimated prevalence,East Sussex,,Units,Number,5005
2017/18,Estimated prevalence,East Sussex,,Units,Number,5224
2018/19,Estimated prevalence,East Sussex,,Units,Number,5124.666667
2010/11,Met need (%),East Sussex,,Units,Percentage (%),20.1187967
2011/12,Met need (%),East Sussex,,Units,Percentage (%),24.70678716
2012/13,Met need (%),East Sussex,,Units,Percentage (%),28.32725178
2013/14,Met need (%),East Sussex,,Units,Percentage (%),27.55831452
2014/15,Met need (%),East Sussex,,Units,Percentage (%),21.61600906
2015/16,Met need (%),East Sussex,,Units,Percentage (%),25.0728863
2016/17,Met need (%),East Sussex,,Units,Percentage (%),21.67832168
2017/18,Met need (%),East Sussex,,Units,Percentage (%),17.80245023
2018/19,Met need (%),East Sussex,,Units,Percentage (%),15.9034734
2010/11,Number of people in treatment,East Sussex,,Units,Count,1050
2011/12,Number of people in treatment,East Sussex,,Units,Count,1285
2012/13,Number of people in treatment,East Sussex,,Units,Count,1475
2013/14,Number of people in treatment,East Sussex,,Units,Count,1465
2014/15,Number of people in treatment,East Sussex,,Units,Count,1145
2015/16,Number of people in treatment,East Sussex,,Units,Count,1290
2016/17,Number of people in treatment,East Sussex,,Units,Count,1085
2017/18,Number of people in treatment,East Sussex,,Units,Count,930
2018/19,Number of people in treatment,East Sussex,,Units,Count,815
2010/11,Estimated prevalence,Enfield,,Units,Number,2807
2011/12,Estimated prevalence,Enfield,,Units,Number,2833
2012/13,Estimated prevalence,Enfield,,Units,Number,2810
2013/14,Estimated prevalence,Enfield,,Units,Number,2851
2014/15,Estimated prevalence,Enfield,,Units,Number,2845
2015/16,Estimated prevalence,Enfield,,Units,Number,2795
2016/17,Estimated prevalence,Enfield,,Units,Number,2836
2017/18,Estimated prevalence,Enfield,,Units,Number,2826
2018/19,Estimated prevalence,Enfield,,Units,Number,2819
2010/11,Met need (%),Enfield,,Units,Percentage (%),14.60634129
2011/12,Met need (%),Enfield,,Units,Percentage (%),14.11930815
2012/13,Met need (%),Enfield,,Units,Percentage (%),17.97153025
2013/14,Met need (%),Enfield,,Units,Percentage (%),19.46685374
2014/15,Met need (%),Enfield,,Units,Percentage (%),18.80492091
2015/16,Met need (%),Enfield,,Units,Percentage (%),21.10912343
2016/17,Met need (%),Enfield,,Units,Percentage (%),17.63046544
2017/18,Met need (%),Enfield,,Units,Percentage (%),13.97735315
2018/19,Met need (%),Enfield,,Units,Percentage (%),13.83469315
2010/11,Number of people in treatment,Enfield,,Units,Count,410
2011/12,Number of people in treatment,Enfield,,Units,Count,400
2012/13,Number of people in treatment,Enfield,,Units,Count,505
2013/14,Number of people in treatment,Enfield,,Units,Count,555
2014/15,Number of people in treatment,Enfield,,Units,Count,535
2015/16,Number of people in treatment,Enfield,,Units,Count,590
2016/17,Number of people in treatment,Enfield,,Units,Count,500
2017/18,Number of people in treatment,Enfield,,Units,Count,395
2018/19,Number of people in treatment,Enfield,,Units,Count,390
2010/11,Estimated prevalence,Essex,,Units,Number,12002
2011/12,Estimated prevalence,Essex,,Units,Number,12019
2012/13,Estimated prevalence,Essex,,Units,Number,11977
2013/14,Estimated prevalence,Essex,,Units,Number,12210
2014/15,Estimated prevalence,Essex,,Units,Number,12205
2015/16,Estimated prevalence,Essex,,Units,Number,12236
2016/17,Estimated prevalence,Essex,,Units,Number,12299
2017/18,Estimated prevalence,Essex,,Units,Number,12505
2018/19,Estimated prevalence,Essex,,Units,Number,12346.66667
2010/11,Met need (%),Essex,,Units,Percentage (%),21.03816031
2011/12,Met need (%),Essex,,Units,Percentage (%),19.30277061
2012/13,Met need (%),Essex,,Units,Percentage (%),15.69675211
2013/14,Met need (%),Essex,,Units,Percentage (%),16.70761671
2014/15,Met need (%),Essex,,Units,Percentage (%),18.06636624
2015/16,Met need (%),Essex,,Units,Percentage (%),18.06145799
2016/17,Met need (%),Essex,,Units,Percentage (%),17.27782747
2017/18,Met need (%),Essex,,Units,Percentage (%),14.71411435
2018/19,Met need (%),Essex,,Units,Percentage (%),14.63552916
2010/11,Number of people in treatment,Essex,,Units,Count,2525
2011/12,Number of people in treatment,Essex,,Units,Count,2320
2012/13,Number of people in treatment,Essex,,Units,Count,1880
2013/14,Number of people in treatment,Essex,,Units,Count,2040
2014/15,Number of people in treatment,Essex,,Units,Count,2205
2015/16,Number of people in treatment,Essex,,Units,Count,2210
2016/17,Number of people in treatment,Essex,,Units,Count,2125
2017/18,Number of people in treatment,Essex,,Units,Count,1840
2018/19,Number of people in treatment,Essex,,Units,Count,1807
2018/19,Number of people in treatment,Essex,,Units,Count,1805
2010/11,Estimated prevalence,Gateshead,,Units,Number,2893
2011/12,Estimated prevalence,Gateshead,,Units,Number,2889
2012/13,Estimated prevalence,Gateshead,,Units,Number,2891
2013/14,Estimated prevalence,Gateshead,,Units,Number,3016
2014/15,Estimated prevalence,Gateshead,,Units,Number,3007
2015/16,Estimated prevalence,Gateshead,,Units,Number,3080
2016/17,Estimated prevalence,Gateshead,,Units,Number,3152
2017/18,Estimated prevalence,Gateshead,,Units,Number,3227
2018/19,Estimated prevalence,Gateshead,,Units,Number,3153
2010/11,Met need (%),Gateshead,,Units,Percentage (%),25.40615278
2011/12,Met need (%),Gateshead,,Units,Percentage (%),24.57597785
2012/13,Met need (%),Gateshead,,Units,Percentage (%),24.3860256
2013/14,Met need (%),Gateshead,,Units,Percentage (%),25.36472149
2014/15,Met need (%),Gateshead,,Units,Percentage (%),23.94413036
2015/16,Met need (%),Gateshead,,Units,Percentage (%),27.5974026
2016/17,Met need (%),Gateshead,,Units,Percentage (%),24.11167513
2017/18,Met need (%),Gateshead,,Units,Percentage (%),20.76231794
2018/19,Met need (%),Gateshead,,Units,Percentage (%),20.17126546
2010/11,Number of people in treatment,Gateshead,,Units,Count,735
2011/12,Number of people in treatment,Gateshead,,Units,Count,710
2012/13,Number of people in treatment,Gateshead,,Units,Count,705
2013/14,Number of people in treatment,Gateshead,,Units,Count,765
2014/15,Number of people in treatment,Gateshead,,Units,Count,720
2015/16,Number of people in treatment,Gateshead,,Units,Count,850
2016/17,Number of people in treatment,Gateshead,,Units,Count,760
2017/18,Number of people in treatment,Gateshead,,Units,Count,670
2018/19,Number of people in treatment,Gateshead,,Units,Count,636
2018/19,Number of people in treatment,Gateshead,,Units,Count,635
2010/11,Estimated prevalence,Gloucestershire,,Units,Number,5171
2011/12,Estimated prevalence,Gloucestershire,,Units,Number,5146
2012/13,Estimated prevalence,Gloucestershire,,Units,Number,5127
2013/14,Estimated prevalence,Gloucestershire,,Units,Number,5194
2014/15,Estimated prevalence,Gloucestershire,,Units,Number,5194
2015/16,Estimated prevalence,Gloucestershire,,Units,Number,5478
2016/17,Estimated prevalence,Gloucestershire,,Units,Number,5297
2017/18,Estimated prevalence,Gloucestershire,,Units,Number,5367
2018/19,Estimated prevalence,Gloucestershire,,Units,Number,5380.666667
2010/11,Met need (%),Gloucestershire,,Units,Percentage (%),18.85515374
2011/12,Met need (%),Gloucestershire,,Units,Percentage (%),9.813447338
2012/13,Met need (%),Gloucestershire,,Units,Percentage (%),11.21513556
2013/14,Met need (%),Gloucestershire,,Units,Percentage (%),16.07624182
2014/15,Met need (%),Gloucestershire,,Units,Percentage (%),17.03889103
2015/16,Met need (%),Gloucestershire,,Units,Percentage (%),19.9890471
2016/17,Met need (%),Gloucestershire,,Units,Percentage (%),22.18236738
2017/18,Met need (%),Gloucestershire,,Units,Percentage (%),18.07341159
2018/19,Met need (%),Gloucestershire,,Units,Percentage (%),19.06826911
2010/11,Number of people in treatment,Gloucestershire,,Units,Count,975
2011/12,Number of people in treatment,Gloucestershire,,Units,Count,505
2012/13,Number of people in treatment,Gloucestershire,,Units,Count,575
2013/14,Number of people in treatment,Gloucestershire,,Units,Count,835
2014/15,Number of people in treatment,Gloucestershire,,Units,Count,885
2015/16,Number of people in treatment,Gloucestershire,,Units,Count,1095
2016/17,Number of people in treatment,Gloucestershire,,Units,Count,1175
2017/18,Number of people in treatment,Gloucestershire,,Units,Count,970
2018/19,Number of people in treatment,Gloucestershire,,Units,Count,1026
2018/19,Number of people in treatment,Gloucestershire,,Units,Count,1025
2010/11,Estimated prevalence,Greenwich,,Units,Number,2945
2011/12,Estimated prevalence,Greenwich,,Units,Number,2908
2012/13,Estimated prevalence,Greenwich,,Units,Number,2882
2013/14,Estimated prevalence,Greenwich,,Units,Number,2945
2014/15,Estimated prevalence,Greenwich,,Units,Number,2914
2015/16,Estimated prevalence,Greenwich,,Units,Number,3047
2016/17,Estimated prevalence,Greenwich,,Units,Number,3019
2017/18,Estimated prevalence,Greenwich,,Units,Number,2981
2018/19,Estimated prevalence,Greenwich,,Units,Number,3015.666667
2010/11,Met need (%),Greenwich,,Units,Percentage (%),17.14770798
2011/12,Met need (%),Greenwich,,Units,Percentage (%),16.50618982
