Year,Banking service,Country,Region,County,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,Commerical bank branches and building societies,,,,Rotherham,Undefined,Units,"Number per 100,000 adults",E08000018,11.5
2015,Commerical bank branches and building societies,,,,Rotherham,Undefined,Units,"Number per 100,000 adults",E08000018,11.5
2016,Commerical bank branches and building societies,,,,Rotherham,Undefined,Units,"Number per 100,000 adults",E08000018,11.4
2017,Commerical bank branches and building societies,,,,Rotherham,Undefined,Units,"Number per 100,000 adults",E08000018,9.5
2010,Commerical bank branches and building societies,,,,Sheffield,Undefined,Units,"Number per 100,000 adults",E08000019,23.9
2011,Commerical bank branches and building societies,,,,Sheffield,Undefined,Units,"Number per 100,000 adults",E08000019,20.8
2012,Commerical bank branches and building societies,,,,Sheffield,Undefined,Units,"Number per 100,000 adults",E08000019,17.9
2013,Commerical bank branches and building societies,,,,Sheffield,Undefined,Units,"Number per 100,000 adults",E08000019,17.9
2014,Commerical bank branches and building societies,,,,Sheffield,Undefined,Units,"Number per 100,000 adults",E08000019,17.7
2015,Commerical bank branches and building societies,,,,Sheffield,Undefined,Units,"Number per 100,000 adults",E08000019,17.6
2016,Commerical bank branches and building societies,,,,Sheffield,Undefined,Units,"Number per 100,000 adults",E08000019,16.5
2017,Commerical bank branches and building societies,,,,Sheffield,Undefined,Units,"Number per 100,000 adults",E08000019,14.7
2010,Commerical bank branches and building societies,,,,Bradford,Undefined,Units,"Number per 100,000 adults",E08000032,36.7
2011,Commerical bank branches and building societies,,,,Bradford,Undefined,Units,"Number per 100,000 adults",E08000032,19.1
2012,Commerical bank branches and building societies,,,,Bradford,Undefined,Units,"Number per 100,000 adults",E08000032,19.1
2013,Commerical bank branches and building societies,,,,Bradford,Undefined,Units,"Number per 100,000 adults",E08000032,19.0
2014,Commerical bank branches and building societies,,,,Bradford,Undefined,Units,"Number per 100,000 adults",E08000032,19.0
2015,Commerical bank branches and building societies,,,,Bradford,Undefined,Units,"Number per 100,000 adults",E08000032,17.0
2016,Commerical bank branches and building societies,,,,Bradford,Undefined,Units,"Number per 100,000 adults",E08000032,16.0
2017,Commerical bank branches and building societies,,,,Bradford,Undefined,Units,"Number per 100,000 adults",E08000032,15.0
2010,Commerical bank branches and building societies,,,,Calderdale,Undefined,Units,"Number per 100,000 adults",E08000033,24.6
2011,Commerical bank branches and building societies,,,,Calderdale,Undefined,Units,"Number per 100,000 adults",E08000033,26.9
2012,Commerical bank branches and building societies,,,,Calderdale,Undefined,Units,"Number per 100,000 adults",E08000033,19.5
2013,Commerical bank branches and building societies,,,,Calderdale,Undefined,Units,"Number per 100,000 adults",E08000033,19.4
2014,Commerical bank branches and building societies,,,,Calderdale,Undefined,Units,"Number per 100,000 adults",E08000033,19.3
2015,Commerical bank branches and building societies,,,,Calderdale,Undefined,Units,"Number per 100,000 adults",E08000033,19.2
2016,Commerical bank branches and building societies,,,,Calderdale,Undefined,Units,"Number per 100,000 adults",E08000033,16.7
2017,Commerical bank branches and building societies,,,,Calderdale,Undefined,Units,"Number per 100,000 adults",E08000033,16.7
2010,Commerical bank branches and building societies,,,,Kirklees,Undefined,Units,"Number per 100,000 adults",E08000034,17.9
2011,Commerical bank branches and building societies,,,,Kirklees,Undefined,Units,"Number per 100,000 adults",E08000034,16.5
2012,Commerical bank branches and building societies,,,,Kirklees,Undefined,Units,"Number per 100,000 adults",E08000034,16.5
2013,Commerical bank branches and building societies,,,,Kirklees,Undefined,Units,"Number per 100,000 adults",E08000034,16.4
2014,Commerical bank branches and building societies,,,,Kirklees,Undefined,Units,"Number per 100,000 adults",E08000034,15.1
2015,Commerical bank branches and building societies,,,,Kirklees,Undefined,Units,"Number per 100,000 adults",E08000034,15.0
2016,Commerical bank branches and building societies,,,,Kirklees,Undefined,Units,"Number per 100,000 adults",E08000034,14.9
2017,Commerical bank branches and building societies,,,,Kirklees,Undefined,Units,"Number per 100,000 adults",E08000034,12.6
2010,Commerical bank branches and building societies,,,,Leeds,Undefined,Units,"Number per 100,000 adults",E08000035,34.1
2011,Commerical bank branches and building societies,,,,Leeds,Undefined,Units,"Number per 100,000 adults",E08000035,31.3
2012,Commerical bank branches and building societies,,,,Leeds,Undefined,Units,"Number per 100,000 adults",E08000035,23.8
2013,Commerical bank branches and building societies,,,,Leeds,Undefined,Units,"Number per 100,000 adults",E08000035,23.7
2014,Commerical bank branches and building societies,,,,Leeds,Undefined,Units,"Number per 100,000 adults",E08000035,24.2
2015,Commerical bank branches and building societies,,,,Leeds,Undefined,Units,"Number per 100,000 adults",E08000035,23.9
2016,Commerical bank branches and building societies,,,,Leeds,Undefined,Units,"Number per 100,000 adults",E08000035,23.7
2017,Commerical bank branches and building societies,,,,Leeds,Undefined,Units,"Number per 100,000 adults",E08000035,22.9
2010,Commerical bank branches and building societies,,,,Wakefield,Undefined,Units,"Number per 100,000 adults",E08000036,21.5
2011,Commerical bank branches and building societies,,,,Wakefield,Undefined,Units,"Number per 100,000 adults",E08000036,18.4
2012,Commerical bank branches and building societies,,,,Wakefield,Undefined,Units,"Number per 100,000 adults",E08000036,18.3
2013,Commerical bank branches and building societies,,,,Wakefield,Undefined,Units,"Number per 100,000 adults",E08000036,18.2
2014,Commerical bank branches and building societies,,,,Wakefield,Undefined,Units,"Number per 100,000 adults",E08000036,18.1
2015,Commerical bank branches and building societies,,,,Wakefield,Undefined,Units,"Number per 100,000 adults",E08000036,16.5
2016,Commerical bank branches and building societies,,,,Wakefield,Undefined,Units,"Number per 100,000 adults",E08000036,16.3
2017,Commerical bank branches and building societies,,,,Wakefield,Undefined,Units,"Number per 100,000 adults",E08000036,16.1
2010,Commerical bank branches and building societies,,,,Derby,Undefined,Units,"Number per 100,000 adults",E06000015,22.3
2011,Commerical bank branches and building societies,,,,Derby,Undefined,Units,"Number per 100,000 adults",E06000015,22.1
2012,Commerical bank branches and building societies,,,,Derby,Undefined,Units,"Number per 100,000 adults",E06000015,20.0
2013,Commerical bank branches and building societies,,,,Derby,Undefined,Units,"Number per 100,000 adults",E06000015,21.9
2014,Commerical bank branches and building societies,,,,Derby,Undefined,Units,"Number per 100,000 adults",E06000015,17.8
2015,Commerical bank branches and building societies,,,,Derby,Undefined,Units,"Number per 100,000 adults",E06000015,17.7
2016,Commerical bank branches and building societies,,,,Derby,Undefined,Units,"Number per 100,000 adults",E06000015,17.6
2017,Commerical bank branches and building societies,,,,Derby,Undefined,Units,"Number per 100,000 adults",E06000015,13.6
2010,Commerical bank branches and building societies,,,,Leicester,Undefined,Units,"Number per 100,000 adults",E06000016,29.2
2011,Commerical bank branches and building societies,,,,Leicester,Undefined,Units,"Number per 100,000 adults",E06000016,24.3
2012,Commerical bank branches and building societies,,,,Leicester,Undefined,Units,"Number per 100,000 adults",E06000016,24.1
2013,Commerical bank branches and building societies,,,,Leicester,Undefined,Units,"Number per 100,000 adults",E06000016,20.9
2014,Commerical bank branches and building societies,,,,Leicester,Undefined,Units,"Number per 100,000 adults",E06000016,20.7
2015,Commerical bank branches and building societies,,,,Leicester,Undefined,Units,"Number per 100,000 adults",E06000016,18.9
2016,Commerical bank branches and building societies,,,,Leicester,Undefined,Units,"Number per 100,000 adults",E06000016,17.2
2017,Commerical bank branches and building societies,,,,Leicester,Undefined,Units,"Number per 100,000 adults",E06000016,17.0
2010,Commerical bank branches and building societies,,,,Nottingham,Undefined,Units,"Number per 100,000 adults",E06000018,28.4
2011,Commerical bank branches and building societies,,,,Nottingham,Undefined,Units,"Number per 100,000 adults",E06000018,26.3
2012,Commerical bank branches and building societies,,,,Nottingham,Undefined,Units,"Number per 100,000 adults",E06000018,22.7
2013,Commerical bank branches and building societies,,,,Nottingham,Undefined,Units,"Number per 100,000 adults",E06000018,20.9
2014,Commerical bank branches and building societies,,,,Nottingham,Undefined,Units,"Number per 100,000 adults",E06000018,20.7
2015,Commerical bank branches and building societies,,,,Nottingham,Undefined,Units,"Number per 100,000 adults",E06000018,21.9
2016,Commerical bank branches and building societies,,,,Nottingham,Undefined,Units,"Number per 100,000 adults",E06000018,18.5
2017,Commerical bank branches and building societies,,,,Nottingham,Undefined,Units,"Number per 100,000 adults",E06000018,18.2
2010,Commerical bank branches and building societies,,,,Rutland,Undefined,Units,"Number per 100,000 adults",E06000017,26.5
2011,Commerical bank branches and building societies,,,,Rutland,Undefined,Units,"Number per 100,000 adults",E06000017,26.6
2012,Commerical bank branches and building societies,,,,Rutland,Undefined,Units,"Number per 100,000 adults",E06000017,13.5
2013,Commerical bank branches and building societies,,,,Rutland,Undefined,Units,"Number per 100,000 adults",E06000017,13.2
2014,Commerical bank branches and building societies,,,,Rutland,Undefined,Units,"Number per 100,000 adults",E06000017,13.1
2015,Commerical bank branches and building societies,,,,Rutland,Undefined,Units,"Number per 100,000 adults",E06000017,13.0
2016,Commerical bank branches and building societies,,,,Rutland,Undefined,Units,"Number per 100,000 adults",E06000017,12.8
2017,Commerical bank branches and building societies,,,,Rutland,Undefined,Units,"Number per 100,000 adults",E06000017,12.7
2010,Commerical bank branches and building societies,,,Derbyshire,,Undefined,Units,"Number per 100,000 adults",E10000007,19.5
2011,Commerical bank branches and building societies,,,Derbyshire,,Undefined,Units,"Number per 100,000 adults",E10000007,19.5
2012,Commerical bank branches and building societies,,,Derbyshire,,Undefined,Units,"Number per 100,000 adults",E10000007,17.4
2013,Commerical bank branches and building societies,,,Derbyshire,,Undefined,Units,"Number per 100,000 adults",E10000007,17.4
2014,Commerical bank branches and building societies,,,Derbyshire,,Undefined,Units,"Number per 100,000 adults",E10000007,16.7
2015,Commerical bank branches and building societies,,,Derbyshire,,Undefined,Units,"Number per 100,000 adults",E10000007,17.2
2016,Commerical bank branches and building societies,,,Derbyshire,,Undefined,Units,"Number per 100,000 adults",E10000007,14.6
2017,Commerical bank branches and building societies,,,Derbyshire,,Undefined,Units,"Number per 100,000 adults",E10000007,13.3
2010,Commerical bank branches and building societies,,,Leicestershire,,Undefined,Units,"Number per 100,000 adults",E10000018,46.4
2011,Commerical bank branches and building societies,,,Leicestershire,,Undefined,Units,"Number per 100,000 adults",E10000018,20.0
2012,Commerical bank branches and building societies,,,Leicestershire,,Undefined,Units,"Number per 100,000 adults",E10000018,17.5
2013,Commerical bank branches and building societies,,,Leicestershire,,Undefined,Units,"Number per 100,000 adults",E10000018,17.4
2014,Commerical bank branches and building societies,,,Leicestershire,,Undefined,Units,"Number per 100,000 adults",E10000018,17.2
2015,Commerical bank branches and building societies,,,Leicestershire,,Undefined,Units,"Number per 100,000 adults",E10000018,17.8
2016,Commerical bank branches and building societies,,,Leicestershire,,Undefined,Units,"Number per 100,000 adults",E10000018,16.2
2017,Commerical bank branches and building societies,,,Leicestershire,,Undefined,Units,"Number per 100,000 adults",E10000018,15.9
2010,Commerical bank branches and building societies,,,Lincolnshire,,Undefined,Units,"Number per 100,000 adults",E10000019,19.0
2011,Commerical bank branches and building societies,,,Lincolnshire,,Undefined,Units,"Number per 100,000 adults",E10000019,18.9
2012,Commerical bank branches and building societies,,,Lincolnshire,,Undefined,Units,"Number per 100,000 adults",E10000019,18.1
2013,Commerical bank branches and building societies,,,Lincolnshire,,Undefined,Units,"Number per 100,000 adults",E10000019,17.9
2014,Commerical bank branches and building societies,,,Lincolnshire,,Undefined,Units,"Number per 100,000 adults",E10000019,17.1
2015,Commerical bank branches and building societies,,,Lincolnshire,,Undefined,Units,"Number per 100,000 adults",E10000019,16.3
2016,Commerical bank branches and building societies,,,Lincolnshire,,Undefined,Units,"Number per 100,000 adults",E10000019,16.8
2017,Commerical bank branches and building societies,,,Lincolnshire,,Undefined,Units,"Number per 100,000 adults",E10000019,16.0
2010,Commerical bank branches and building societies,,,Northamptonshire,,Undefined,Units,"Number per 100,000 adults",E10000021,18.2
2011,Commerical bank branches and building societies,,,Northamptonshire,,Undefined,Units,"Number per 100,000 adults",E10000021,16.6
2012,Commerical bank branches and building societies,,,Northamptonshire,,Undefined,Units,"Number per 100,000 adults",E10000021,16.4
2013,Commerical bank branches and building societies,,,Northamptonshire,,Undefined,Units,"Number per 100,000 adults",E10000021,16.3
2014,Commerical bank branches and building societies,,,Northamptonshire,,Undefined,Units,"Number per 100,000 adults",E10000021,15.4
2015,Commerical bank branches and building societies,,,Northamptonshire,,Undefined,Units,"Number per 100,000 adults",E10000021,15.2
2016,Commerical bank branches and building societies,,,Northamptonshire,,Undefined,Units,"Number per 100,000 adults",E10000021,14.3
2017,Commerical bank branches and building societies,,,Northamptonshire,,Undefined,Units,"Number per 100,000 adults",E10000021,14.2
2010,Commerical bank branches and building societies,,,Nottinghamshire,,Undefined,Units,"Number per 100,000 adults",E10000024,17.9
2011,Commerical bank branches and building societies,,,Nottinghamshire,,Undefined,Units,"Number per 100,000 adults",E10000024,17.2
2012,Commerical bank branches and building societies,,,Nottinghamshire,,Undefined,Units,"Number per 100,000 adults",E10000024,15.8
2013,Commerical bank branches and building societies,,,Nottinghamshire,,Undefined,Units,"Number per 100,000 adults",E10000024,15.7
2014,Commerical bank branches and building societies,,,Nottinghamshire,,Undefined,Units,"Number per 100,000 adults",E10000024,15.6
2015,Commerical bank branches and building societies,,,Nottinghamshire,,Undefined,Units,"Number per 100,000 adults",E10000024,14.9
2016,Commerical bank branches and building societies,,,Nottinghamshire,,Undefined,Units,"Number per 100,000 adults",E10000024,14.8
2017,Commerical bank branches and building societies,,,Nottinghamshire,,Undefined,Units,"Number per 100,000 adults",E10000024,13.4
2010,Commerical bank branches and building societies,,,,Herefordshire,Undefined,Units,"Number per 100,000 adults",E06000019,21.9
2011,Commerical bank branches and building societies,,,,Herefordshire,Undefined,Units,"Number per 100,000 adults",E06000019,21.8
2012,Commerical bank branches and building societies,,,,Herefordshire,Undefined,Units,"Number per 100,000 adults",E06000019,18.9
2013,Commerical bank branches and building societies,,,,Herefordshire,Undefined,Units,"Number per 100,000 adults",E06000019,21.5
2014,Commerical bank branches and building societies,,,,Herefordshire,Undefined,Units,"Number per 100,000 adults",E06000019,18.6
2015,Commerical bank branches and building societies,,,,Herefordshire,Undefined,Units,"Number per 100,000 adults",E06000019,18.6
2016,Commerical bank branches and building societies,,,,Herefordshire,Undefined,Units,"Number per 100,000 adults",E06000019,18.5
2017,Commerical bank branches and building societies,,,,Herefordshire,Undefined,Units,"Number per 100,000 adults",E06000019,18.3
2010,Commerical bank branches and building societies,,,,Shropshire,Undefined,Units,"Number per 100,000 adults",E06000051,24.6
2011,Commerical bank branches and building societies,,,,Shropshire,Undefined,Units,"Number per 100,000 adults",E06000051,22.8
2012,Commerical bank branches and building societies,,,,Shropshire,Undefined,Units,"Number per 100,000 adults",E06000051,21.1
2013,Commerical bank branches and building societies,,,,Shropshire,Undefined,Units,"Number per 100,000 adults",E06000051,19.4
2014,Commerical bank branches and building societies,,,,Shropshire,Undefined,Units,"Number per 100,000 adults",E06000051,19.3
2015,Commerical bank branches and building societies,,,,Shropshire,Undefined,Units,"Number per 100,000 adults",E06000051,19.2
2016,Commerical bank branches and building societies,,,,Shropshire,Undefined,Units,"Number per 100,000 adults",E06000051,19.1
2017,Commerical bank branches and building societies,,,,Shropshire,Undefined,Units,"Number per 100,000 adults",E06000051,17.3
2010,Commerical bank branches and building societies,,,,Stoke-on-Trent,Undefined,Units,"Number per 100,000 adults",E06000021,22.2
2011,Commerical bank branches and building societies,,,,Stoke-on-Trent,Undefined,Units,"Number per 100,000 adults",E06000021,20.1
2012,Commerical bank branches and building societies,,,,Stoke-on-Trent,Undefined,Units,"Number per 100,000 adults",E06000021,20.0
2013,Commerical bank branches and building societies,,,,Stoke-on-Trent,Undefined,Units,"Number per 100,000 adults",E06000021,18.0
2014,Commerical bank branches and building societies,,,,Stoke-on-Trent,Undefined,Units,"Number per 100,000 adults",E06000021,17.9
2015,Commerical bank branches and building societies,,,,Stoke-on-Trent,Undefined,Units,"Number per 100,000 adults",E06000021,17.9
2016,Commerical bank branches and building societies,,,,Stoke-on-Trent,Undefined,Units,"Number per 100,000 adults",E06000021,17.7
2017,Commerical bank branches and building societies,,,,Stoke-on-Trent,Undefined,Units,"Number per 100,000 adults",E06000021,13.7
2010,Commerical bank branches and building societies,,,,Telford and Wrekin,Undefined,Units,"Number per 100,000 adults",E06000020,21.1
2011,Commerical bank branches and building societies,,,,Telford and Wrekin,Undefined,Units,"Number per 100,000 adults",E06000020,15.0
2012,Commerical bank branches and building societies,,,,Telford and Wrekin,Undefined,Units,"Number per 100,000 adults",E06000020,14.9
2013,Commerical bank branches and building societies,,,,Telford and Wrekin,Undefined,Units,"Number per 100,000 adults",E06000020,14.8
2014,Commerical bank branches and building societies,,,,Telford and Wrekin,Undefined,Units,"Number per 100,000 adults",E06000020,14.7
2015,Commerical bank branches and building societies,,,,Telford and Wrekin,Undefined,Units,"Number per 100,000 adults",E06000020,17.5
2016,Commerical bank branches and building societies,,,,Telford and Wrekin,Undefined,Units,"Number per 100,000 adults",E06000020,17.3
2017,Commerical bank branches and building societies,,,,Telford and Wrekin,Undefined,Units,"Number per 100,000 adults",E06000020,17.1
2010,Commerical bank branches and building societies,,,Staffordshire,,Undefined,Units,"Number per 100,000 adults",E10000028,17.7
2011,Commerical bank branches and building societies,,,Staffordshire,,Undefined,Units,"Number per 100,000 adults",E10000028,15.9
2012,Commerical bank branches and building societies,,,Staffordshire,,Undefined,Units,"Number per 100,000 adults",E10000028,15.8
2013,Commerical bank branches and building societies,,,Staffordshire,,Undefined,Units,"Number per 100,000 adults",E10000028,16.3
2014,Commerical bank branches and building societies,,,Staffordshire,,Undefined,Units,"Number per 100,000 adults",E10000028,15.7
2015,Commerical bank branches and building societies,,,Staffordshire,,Undefined,Units,"Number per 100,000 adults",E10000028,15.1
2016,Commerical bank branches and building societies,,,Staffordshire,,Undefined,Units,"Number per 100,000 adults",E10000028,15.0
2017,Commerical bank branches and building societies,,,Staffordshire,,Undefined,Units,"Number per 100,000 adults",E10000028,13.2
2010,Commerical bank branches and building societies,,,Warwickshire,,Undefined,Units,"Number per 100,000 adults",E10000031,18.4
2011,Commerical bank branches and building societies,,,Warwickshire,,Undefined,Units,"Number per 100,000 adults",E10000031,19.2
2012,Commerical bank branches and building societies,,,Warwickshire,,Undefined,Units,"Number per 100,000 adults",E10000031,18.2
2013,Commerical bank branches and building societies,,,Warwickshire,,Undefined,Units,"Number per 100,000 adults",E10000031,18.2
2014,Commerical bank branches and building societies,,,Warwickshire,,Undefined,Units,"Number per 100,000 adults",E10000031,17.2
2015,Commerical bank branches and building societies,,,Warwickshire,,Undefined,Units,"Number per 100,000 adults",E10000031,17.1
2016,Commerical bank branches and building societies,,,Warwickshire,,Undefined,Units,"Number per 100,000 adults",E10000031,16.1
2017,Commerical bank branches and building societies,,,Warwickshire,,Undefined,Units,"Number per 100,000 adults",E10000031,15.1
2010,Commerical bank branches and building societies,,,,Birmingham,Undefined,Units,"Number per 100,000 adults",E08000025,35.3
2011,Commerical bank branches and building societies,,,,Birmingham,Undefined,Units,"Number per 100,000 adults",E08000025,34.9
2012,Commerical bank branches and building societies,,,,Birmingham,Undefined,Units,"Number per 100,000 adults",E08000025,22.6
2013,Commerical bank branches and building societies,,,,Birmingham,Undefined,Units,"Number per 100,000 adults",E08000025,22.4
2014,Commerical bank branches and building societies,,,,Birmingham,Undefined,Units,"Number per 100,000 adults",E08000025,20.4
2015,Commerical bank branches and building societies,,,,Birmingham,Undefined,Units,"Number per 100,000 adults",E08000025,20.2
2016,Commerical bank branches and building societies,,,,Birmingham,Undefined,Units,"Number per 100,000 adults",E08000025,20.4
2017,Commerical bank branches and building societies,,,,Birmingham,Undefined,Units,"Number per 100,000 adults",E08000025,19.3
2010,Commerical bank branches and building societies,,,,Coventry,Undefined,Units,"Number per 100,000 adults",E08000026,25.7
2011,Commerical bank branches and building societies,,,,Coventry,Undefined,Units,"Number per 100,000 adults",E08000026,23.7
2012,Commerical bank branches and building societies,,,,Coventry,Undefined,Units,"Number per 100,000 adults",E08000026,21.7
2013,Commerical bank branches and building societies,,,,Coventry,Undefined,Units,"Number per 100,000 adults",E08000026,21.3
2014,Commerical bank branches and building societies,,,,Coventry,Undefined,Units,"Number per 100,000 adults",E08000026,20.9
2015,Commerical bank branches and building societies,,,,Coventry,Undefined,Units,"Number per 100,000 adults",E08000026,20.3
2016,Commerical bank branches and building societies,,,,Coventry,Undefined,Units,"Number per 100,000 adults",E08000026,19.8
2017,Commerical bank branches and building societies,,,,Coventry,Undefined,Units,"Number per 100,000 adults",E08000026,19.4
2010,Commerical bank branches and building societies,,,,Dudley,Undefined,Units,"Number per 100,000 adults",E08000027,24.0
2011,Commerical bank branches and building societies,,,,Dudley,Undefined,Units,"Number per 100,000 adults",E08000027,23.9
2012,Commerical bank branches and building societies,,,,Dudley,Undefined,Units,"Number per 100,000 adults",E08000027,22.3
2013,Commerical bank branches and building societies,,,,Dudley,Undefined,Units,"Number per 100,000 adults",E08000027,20.7
2014,Commerical bank branches and building societies,,,,Dudley,Undefined,Units,"Number per 100,000 adults",E08000027,19.0
2015,Commerical bank branches and building societies,,,,Dudley,Undefined,Units,"Number per 100,000 adults",E08000027,20.5
2016,Commerical bank branches and building societies,,,,Dudley,Undefined,Units,"Number per 100,000 adults",E08000027,20.5
2017,Commerical bank branches and building societies,,,,Dudley,Undefined,Units,"Number per 100,000 adults",E08000027,20.3
2010,Commerical bank branches and building societies,,,,Sandwell,Undefined,Units,"Number per 100,000 adults",E08000028,21.2
2011,Commerical bank branches and building societies,,,,Sandwell,Undefined,Units,"Number per 100,000 adults",E08000028,19.4
2012,Commerical bank branches and building societies,,,,Sandwell,Undefined,Units,"Number per 100,000 adults",E08000028,17.7
2013,Commerical bank branches and building societies,,,,Sandwell,Undefined,Units,"Number per 100,000 adults",E08000028,17.5
2014,Commerical bank branches and building societies,,,,Sandwell,Undefined,Units,"Number per 100,000 adults",E08000028,15.8
2015,Commerical bank branches and building societies,,,,Sandwell,Undefined,Units,"Number per 100,000 adults",E08000028,15.7
2016,Commerical bank branches and building societies,,,,Sandwell,Undefined,Units,"Number per 100,000 adults",E08000028,15.5
2017,Commerical bank branches and building societies,,,,Sandwell,Undefined,Units,"Number per 100,000 adults",E08000028,13.8
2010,Commerical bank branches and building societies,,,,Solihull,Undefined,Units,"Number per 100,000 adults",E08000029,29.1
2011,Commerical bank branches and building societies,,,,Solihull,Undefined,Units,"Number per 100,000 adults",E08000029,26.6
2012,Commerical bank branches and building societies,,,,Solihull,Undefined,Units,"Number per 100,000 adults",E08000029,24.1
2013,Commerical bank branches and building societies,,,,Solihull,Undefined,Units,"Number per 100,000 adults",E08000029,23.9
2014,Commerical bank branches and building societies,,,,Solihull,Undefined,Units,"Number per 100,000 adults",E08000029,21.4
2015,Commerical bank branches and building societies,,,,Solihull,Undefined,Units,"Number per 100,000 adults",E08000029,23.7
2016,Commerical bank branches and building societies,,,,Solihull,Undefined,Units,"Number per 100,000 adults",E08000029,23.6
2017,Commerical bank branches and building societies,,,,Solihull,Undefined,Units,"Number per 100,000 adults",E08000029,21.0
2010,Commerical bank branches and building societies,,,,Walsall,Undefined,Units,"Number per 100,000 adults",E08000030,11.2
2011,Commerical bank branches and building societies,,,,Walsall,Undefined,Units,"Number per 100,000 adults",E08000030,13.0
2012,Commerical bank branches and building societies,,,,Walsall,Undefined,Units,"Number per 100,000 adults",E08000030,11.1
2013,Commerical bank branches and building societies,,,,Walsall,Undefined,Units,"Number per 100,000 adults",E08000030,9.2
2014,Commerical bank branches and building societies,,,,Walsall,Undefined,Units,"Number per 100,000 adults",E08000030,9.1
2015,Commerical bank branches and building societies,,,,Walsall,Undefined,Units,"Number per 100,000 adults",E08000030,10.9
2016,Commerical bank branches and building societies,,,,Walsall,Undefined,Units,"Number per 100,000 adults",E08000030,10.8
2017,Commerical bank branches and building societies,,,,Walsall,Undefined,Units,"Number per 100,000 adults",E08000030,10.7
2010,Commerical bank branches and building societies,,,,Wolverhampton,Undefined,Units,"Number per 100,000 adults",E08000031,24.2
2011,Commerical bank branches and building societies,,,,Wolverhampton,Undefined,Units,"Number per 100,000 adults",E08000031,26.0
2012,Commerical bank branches and building societies,,,,Wolverhampton,Undefined,Units,"Number per 100,000 adults",E08000031,19.9
2013,Commerical bank branches and building societies,,,,Wolverhampton,Undefined,Units,"Number per 100,000 adults",E08000031,19.9
2014,Commerical bank branches and building societies,,,,Wolverhampton,Undefined,Units,"Number per 100,000 adults",E08000031,17.8
2015,Commerical bank branches and building societies,,,,Wolverhampton,Undefined,Units,"Number per 100,000 adults",E08000031,19.6
2016,Commerical bank branches and building societies,,,,Wolverhampton,Undefined,Units,"Number per 100,000 adults",E08000031,17.4
2017,Commerical bank branches and building societies,,,,Wolverhampton,Undefined,Units,"Number per 100,000 adults",E08000031,15.4
2010,Commerical bank branches and building societies,,,Worcestershire,,Undefined,Units,"Number per 100,000 adults",E10000034,20.4
2011,Commerical bank branches and building societies,,,Worcestershire,,Undefined,Units,"Number per 100,000 adults",E10000034,19.4
2012,Commerical bank branches and building societies,,,Worcestershire,,Undefined,Units,"Number per 100,000 adults",E10000034,16.7
2013,Commerical bank branches and building societies,,,Worcestershire,,Undefined,Units,"Number per 100,000 adults",E10000034,16.6
2014,Commerical bank branches and building societies,,,Worcestershire,,Undefined,Units,"Number per 100,000 adults",E10000034,16.5
2015,Commerical bank branches and building societies,,,Worcestershire,,Undefined,Units,"Number per 100,000 adults",E10000034,15.5
2016,Commerical bank branches and building societies,,,Worcestershire,,Undefined,Units,"Number per 100,000 adults",E10000034,14.6
2017,Commerical bank branches and building societies,,,Worcestershire,,Undefined,Units,"Number per 100,000 adults",E10000034,13.6
2010,Commerical bank branches and building societies,,,,Bedford,Undefined,Units,"Number per 100,000 adults",E06000055,16.0
2011,Commerical bank branches and building societies,,,,Bedford,Undefined,Units,"Number per 100,000 adults",E06000055,15.8
2012,Commerical bank branches and building societies,,,,Bedford,Undefined,Units,"Number per 100,000 adults",E06000055,12.5
2013,Commerical bank branches and building societies,,,,Bedford,Undefined,Units,"Number per 100,000 adults",E06000055,12.4
2014,Commerical bank branches and building societies,,,,Bedford,Undefined,Units,"Number per 100,000 adults",E06000055,12.2
2015,Commerical bank branches and building societies,,,,Bedford,Undefined,Units,"Number per 100,000 adults",E06000055,9.0
2016,Commerical bank branches and building societies,,,,Bedford,Undefined,Units,"Number per 100,000 adults",E06000055,8.9
2017,Commerical bank branches and building societies,,,,Bedford,Undefined,Units,"Number per 100,000 adults",E06000055,8.8
2010,Commerical bank branches and building societies,,,,Central Bedfordshire,Undefined,Units,"Number per 100,000 adults",E06000056,13.9
2011,Commerical bank branches and building societies,,,,Central Bedfordshire,Undefined,Units,"Number per 100,000 adults",E06000056,13.7
2012,Commerical bank branches and building societies,,,,Central Bedfordshire,Undefined,Units,"Number per 100,000 adults",E06000056,13.5
2013,Commerical bank branches and building societies,,,,Central Bedfordshire,Undefined,Units,"Number per 100,000 adults",E06000056,11.4
2014,Commerical bank branches and building societies,,,,Central Bedfordshire,Undefined,Units,"Number per 100,000 adults",E06000056,11.2
2015,Commerical bank branches and building societies,,,,Central Bedfordshire,Undefined,Units,"Number per 100,000 adults",E06000056,11.0
2016,Commerical bank branches and building societies,,,,Central Bedfordshire,Undefined,Units,"Number per 100,000 adults",E06000056,10.8
2017,Commerical bank branches and building societies,,,,Central Bedfordshire,Undefined,Units,"Number per 100,000 adults",E06000056,10.7
2010,Commerical bank branches and building societies,,,,Luton,Undefined,Units,"Number per 100,000 adults",E06000032,12.5
2011,Commerical bank branches and building societies,,,,Luton,Undefined,Units,"Number per 100,000 adults",E06000032,12.3
2012,Commerical bank branches and building societies,,,,Luton,Undefined,Units,"Number per 100,000 adults",E06000032,12.2
