Year,Units,Urbanisation,Urbanisation sub-category,Household composition,Age of oldest person,Age of youngest person,Income group,Living in poverty,Economic activity,Disability status,Ethnicity of household reference person (HRP),Length of residence,Sub-national area,Decent homes criteria,Unit measure,Observation status,Unit multiplier,Value
2016,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,40.9991927794795
2016,Dwelling (%),Urban,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,14.203465143594197
2016,Dwelling (%),Rural,,,,,,,,,,,,Minimum standard,Percentage (%),Undefined,Units,20.4675941387735
2016,Dwelling (%),,,,,,,,,,,,North,Minimum standard,Percentage (%),Undefined,Units,14.8391806235581
2016,Dwelling (%),,,,,,,,,,,,South East,Minimum standard,Percentage (%),Undefined,Units,7.35510692100488
2016,Dwelling (%),,,,,,,,,,,,Rest of England,Minimum standard,Percentage (%),Undefined,Units,13.5332923436419
2016,Dwelling (%),,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,3.8699537577685694
2016,Dwelling (%),Urban,City centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.005103648469929
2016,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.42017398398674
2016,Dwelling (%),Suburban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,3.35187886552667
2016,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,2.46144102843561
2016,Dwelling (%),Rural,Village centre,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.8772734876192905
2016,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,7.4476164613302505
2016,Dwelling (%),Urban,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,5.3492871142427
2016,Dwelling (%),Rural,,,,,,,,,,,,Repair,Percentage (%),Undefined,Units,4.00047012857678
2016,Dwelling (%),,,,,,,,,,,,North,Repair,Percentage (%),Undefined,Units,5.1040750856137995
2016,Dwelling (%),,,,,,,,,,,,South East,Repair,Percentage (%),Undefined,Units,3.3024435160244
2016,Dwelling (%),,,,,,,,,,,,Rest of England,Repair,Percentage (%),Undefined,Units,3.4222615603143502
2016,Dwelling (%),,,,,,,,,,,,,Modern facilities and services,Percentage (%),Undefined,Units,2.11297649839556
2016,Dwelling (%),Urban,City centre,,,,,,,,,,,Modern facilities and services,Percentage (%),Undefined,Units,6.7673527089484695
2016,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Modern facilities and services,Percentage (%),Undefined,Units,3.4072156398163598
2016,Dwelling (%),Suburban,,,,,,,,,,,,Modern facilities and services,Percentage (%),Undefined,Units,1.4444533951432
2016,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Modern facilities and services,Percentage (%),Undefined,Units,1.20000434096076
2016,Dwelling (%),Rural,Village centre,,,,,,,,,,,Modern facilities and services,Percentage (%),Undefined,Units,5.38437368609029
2016,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Modern facilities and services,Percentage (%),Undefined,Units,2.6412971630898703
2016,Dwelling (%),Urban,,,,,,,,,,,,Modern facilities and services,Percentage (%),Undefined,Units,3.98106922163194
2016,Dwelling (%),Rural,,,,,,,,,,,,Modern facilities and services,Percentage (%),Undefined,Units,2.32892603914981
2016,Dwelling (%),,,,,,,,,,,,North,Modern facilities and services,Percentage (%),Undefined,Units,1.7767882351048
2016,Dwelling (%),,,,,,,,,,,,South East,Modern facilities and services,Percentage (%),Undefined,Units,2.52090319388708
2016,Dwelling (%),,,,,,,,,,,,Rest of England,Modern facilities and services,Percentage (%),Undefined,Units,2.0433239902477
2016,Dwelling (%),,,,,,,,,,,,,Thermal comfort,Percentage (%),Undefined,Units,6.51869461608455
2016,Dwelling (%),Urban,City centre,,,,,,,,,,,Thermal comfort,Percentage (%),Undefined,Units,17.911677074703
2016,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,Thermal comfort,Percentage (%),Undefined,Units,6.86339215152713
2016,Dwelling (%),Suburban,,,,,,,,,,,,Thermal comfort,Percentage (%),Undefined,Units,4.7915976341206505
2016,Dwelling (%),Rural,Rural residential,,,,,,,,,,,Thermal comfort,Percentage (%),Undefined,Units,6.92588662185658
2016,Dwelling (%),Rural,Village centre,,,,,,,,,,,Thermal comfort,Percentage (%),Undefined,Units,13.1771862327128
2016,Dwelling (%),Rural,Other rural area,,,,,,,,,,,Thermal comfort,Percentage (%),Undefined,Units,18.2354248949195
2016,Dwelling (%),Urban,,,,,,,,,,,,Thermal comfort,Percentage (%),Undefined,Units,8.75024907005192
2016,Dwelling (%),Rural,,,,,,,,,,,,Thermal comfort,Percentage (%),Undefined,Units,10.0964948577268
2016,Dwelling (%),,,,,,,,,,,,North,Thermal comfort,Percentage (%),Undefined,Units,4.27026022794265
2016,Dwelling (%),,,,,,,,,,,,South East,Thermal comfort,Percentage (%),Undefined,Units,7.23662800285854
2016,Dwelling (%),,,,,,,,,,,,Rest of England,Thermal comfort,Percentage (%),Undefined,Units,7.57335656198009
2008,Household (%),,,Couple 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,30.1277921025
2008,Household (%),,,Couple with children,,,,,,,,,,,Percentage (%),Undefined,Units,30.1891902782
2008,Household (%),,,Lone parent,,,,,,,,,,,Percentage (%),Undefined,Units,31.1315986189
2008,Household (%),,,Multi-person household,,,,,,,,,,,Percentage (%),Undefined,Units,38.007913323000004
2008,Household (%),,,One person under 60,,,,,,,,,,,Percentage (%),Undefined,Units,35.492217784
2008,Household (%),,,One person 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,35.5729947841
2008,Household (%),,,,59 and under,,,,,,,,,,Percentage (%),Undefined,Units,32.555280698000004
2008,Household (%),,,,60 and over,,,,,,,,,,Percentage (%),Undefined,Units,33.1041171401
2008,Household (%),,,,75 and over,,,,,,,,,,Percentage (%),Undefined,Units,34.6853560054
2008,Household (%),,,,,4 and under,,,,,,,,,Percentage (%),Undefined,Units,30.5142304455
2008,Household (%),,,,,15 and under,,,,,,,,,Percentage (%),Undefined,Units,30.806699296799998
2008,Household (%),,,,,16 and over,,,,,,,,,Percentage (%),Undefined,Units,33.464463279099995
2008,Household (%),,,,,,1st quintile (lowest),,,,,,,,Percentage (%),Undefined,Units,36.4264860944
2008,Household (%),,,,,,2nd quintile,,,,,,,,Percentage (%),Undefined,Units,33.1605487248
2008,Household (%),,,,,,3rd quintile,,,,,,,,Percentage (%),Undefined,Units,33.641705561900004
2008,Household (%),,,,,,4th quintile,,,,,,,,Percentage (%),Undefined,Units,29.786153926999997
2008,Household (%),,,,,,5th quintile (highest),,,,,,,,Percentage (%),Undefined,Units,30.7799220372
2008,Household (%),,,,,,,In poverty,,,,,,,Percentage (%),Undefined,Units,36.2905922243
2008,Household (%),,,,,,,Not in poverty,,,,,,,Percentage (%),Undefined,Units,31.9913642684
2008,Household (%),,,,,,,,Workless household,,,,,,Percentage (%),Undefined,Units,33.3932823941
2008,Household (%),,,,,,,,Working household,,,,,,Percentage (%),Undefined,Units,32.51917294
2008,Household (%),,,,,,,,,Long-term illness/disability,,,,,Percentage (%),Undefined,Units,32.6420679375
2008,Household (%),,,,,,,,,No long-term illness/disability,,,,,Percentage (%),Undefined,Units,32.8023144012
2008,Household (%),,,,,,,,,,White,,,,Percentage (%),Undefined,Units,32.6236368277
2008,Household (%),,,,,,,,,,Black,,,,Percentage (%),Undefined,Units,33.7940948258
2008,Household (%),,,,,,,,,,Asian,,,,Percentage (%),Undefined,Units,32.9704617859
2008,Household (%),,,,,,,,,,Other,,,,Percentage (%),Undefined,Units,36.0173033598
2008,Household (%),,,,,,,,,,All minority,,,,Percentage (%),Undefined,Units,34.0604445882
2008,Household (%),,,,,,,,,,,Less than 1 year,,,Percentage (%),Undefined,Units,34.6358770971
2008,Household (%),,,,,,,,,,,1-4 years,,,Percentage (%),Undefined,Units,28.9787074213
2008,Household (%),,,,,,,,,,,5-9 years,,,Percentage (%),Undefined,Units,30.281131680300003
2008,Household (%),,,,,,,,,,,10-19 years,,,Percentage (%),Undefined,Units,30.387789304499996
2008,Household (%),,,,,,,,,,,20-29 years,,,Percentage (%),Undefined,Units,36.653468761599996
2008,Household (%),,,,,,,,,,,30 or more years,,,Percentage (%),Undefined,Units,41.6452937444
2009,Household (%),,,Couple under 60,,,,,,,,,,,Percentage (%),Undefined,Units,29.3948589632
2009,Household (%),,,Couple 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,28.1264855177
2009,Household (%),,,Couple with children,,,,,,,,,,,Percentage (%),Undefined,Units,25.5143197954
2009,Household (%),,,Lone parent,,,,,,,,,,,Percentage (%),Undefined,Units,27.1271434343
2009,Household (%),,,Multi-person household,,,,,,,,,,,Percentage (%),Undefined,Units,33.187715455900005
2009,Household (%),,,One person under 60,,,,,,,,,,,Percentage (%),Undefined,Units,34.4017659174
2009,Household (%),,,One person 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,32.511341199600004
2009,Household (%),,,,59 and under,,,,,,,,,,Percentage (%),Undefined,Units,29.0890916902
2009,Household (%),,,,60 and over,,,,,,,,,,Percentage (%),Undefined,Units,30.3744867992
2009,Household (%),,,,75 and over,,,,,,,,,,Percentage (%),Undefined,Units,31.759158961300002
2009,Household (%),,,,,4 and under,,,,,,,,,Percentage (%),Undefined,Units,28.5960137852
2009,Household (%),,,,,15 and under,,,,,,,,,Percentage (%),Undefined,Units,26.357600756900002
2009,Household (%),,,,,16 and over,,,,,,,,,Percentage (%),Undefined,Units,30.8193058467
2009,Household (%),,,,,,1st quintile (lowest),,,,,,,,Percentage (%),Undefined,Units,33.0290721288
2009,Household (%),,,,,,2nd quintile,,,,,,,,Percentage (%),Undefined,Units,30.2566533987
2009,Household (%),,,,,,3rd quintile,,,,,,,,Percentage (%),Undefined,Units,31.3105174384
2009,Household (%),,,,,,4th quintile,,,,,,,,Percentage (%),Undefined,Units,25.9824723666
2009,Household (%),,,,,,5th quintile (highest),,,,,,,,Percentage (%),Undefined,Units,27.1286152965
2009,Household (%),,,,,,,In poverty,,,,,,,Percentage (%),Undefined,Units,33.0762979016
2009,Household (%),,,,,,,Not in poverty,,,,,,,Percentage (%),Undefined,Units,28.8056237964
2009,Household (%),,,,,,,,Workless household,,,,,,Percentage (%),Undefined,Units,29.393652866799997
2009,Household (%),,,,,,,,Working household,,,,,,Percentage (%),Undefined,Units,29.2118201173
2009,Household (%),,,,,,,,,Long-term illness/disability,,,,,Percentage (%),Undefined,Units,30.288084472199998
2009,Household (%),,,,,,,,,No long-term illness/disability,,,,,Percentage (%),Undefined,Units,29.221678990500003
2009,Household (%),,,,,,,,,,White,,,,Percentage (%),Undefined,Units,29.6546525443
2009,Household (%),,,,,,,,,,Black,,,,Percentage (%),Undefined,Units,27.7853802625
2009,Household (%),,,,,,,,,,Asian,,,,Percentage (%),Undefined,Units,30.957178576799997
2009,Household (%),,,,,,,,,,Other,,,,Percentage (%),Undefined,Units,25.4512178277
2009,Household (%),,,,,,,,,,All minority,,,,Percentage (%),Undefined,Units,28.534270177
2009,Household (%),,,,,,,,,,,Less than 1 year,,,Percentage (%),Undefined,Units,31.359579294
2009,Household (%),,,,,,,,,,,1-4 years,,,Percentage (%),Undefined,Units,27.342264945
2009,Household (%),,,,,,,,,,,5-9 years,,,Percentage (%),Undefined,Units,26.4789509913
2009,Household (%),,,,,,,,,,,10-19 years,,,Percentage (%),Undefined,Units,26.306629225500004
2009,Household (%),,,,,,,,,,,20-29 years,,,Percentage (%),Undefined,Units,32.0981650202
2009,Household (%),,,,,,,,,,,30 or more years,,,Percentage (%),Undefined,Units,39.5627582012
2010,Household (%),,,Couple under 60,,,,,,,,,,,Percentage (%),Undefined,Units,26.313000000000002
2010,Household (%),,,Couple 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,23.509
2010,Household (%),,,Couple with children,,,,,,,,,,,Percentage (%),Undefined,Units,21.439
2010,Household (%),,,Lone parent,,,,,,,,,,,Percentage (%),Undefined,Units,25.503
2010,Household (%),,,Multi-person household,,,,,,,,,,,Percentage (%),Undefined,Units,29.166999999999998
2010,Household (%),,,One person under 60,,,,,,,,,,,Percentage (%),Undefined,Units,32.063
2010,Household (%),,,One person 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,28.469
2010,Household (%),,,,59 and under,,,,,,,,,,Percentage (%),Undefined,Units,25.814
2010,Household (%),,,,60 and over,,,,,,,,,,Percentage (%),Undefined,Units,26.144000000000002
2010,Household (%),,,,75 and over,,,,,,,,,,Percentage (%),Undefined,Units,26.956999999999997
2010,Household (%),,,,,4 and under,,,,,,,,,Percentage (%),Undefined,Units,24.656
2010,Household (%),,,,,15 and under,,,,,,,,,Percentage (%),Undefined,Units,22.539
2010,Household (%),,,,,16 and over,,,,,,,,,Percentage (%),Undefined,Units,27.287
2010,Household (%),,,,,,1st quintile (lowest),,,,,,,,Percentage (%),Undefined,Units,28.899
2010,Household (%),,,,,,2nd quintile,,,,,,,,Percentage (%),Undefined,Units,26.906999999999996
2010,Household (%),,,,,,3rd quintile,,,,,,,,Percentage (%),Undefined,Units,27.19
2010,Household (%),,,,,,4th quintile,,,,,,,,Percentage (%),Undefined,Units,23.659000000000002
2010,Household (%),,,,,,5th quintile (highest),,,,,,,,Percentage (%),Undefined,Units,23.059
2010,Household (%),,,,,,,In poverty,,,,,,,Percentage (%),Undefined,Units,29.112
2010,Household (%),,,,,,,Not in poverty,,,,,,,Percentage (%),Undefined,Units,25.302
2010,Household (%),,,,,,,,Workless household,,,,,,Percentage (%),Undefined,Units,25.895
2010,Household (%),,,,,,,,Working household,,,,,,Percentage (%),Undefined,Units,26.053
2010,Household (%),,,,,,,,,Long-term illness/disability,,,,,Percentage (%),Undefined,Units,26.083000000000002
2010,Household (%),,,,,,,,,No long-term illness/disability,,,,,Percentage (%),Undefined,Units,25.868000000000002
2010,Household (%),,,,,,,,,,White,,,,Percentage (%),Undefined,Units,26.101
2010,Household (%),,,,,,,,,,Black,,,,Percentage (%),Undefined,Units,25.069000000000003
2010,Household (%),,,,,,,,,,Asian,,,,Percentage (%),Undefined,Units,24.646
2010,Household (%),,,,,,,,,,Other,,,,Percentage (%),Undefined,Units,23.265
2010,Household (%),,,,,,,,,,All minority,,,,Percentage (%),Undefined,Units,24.401
2010,Household (%),,,,,,,,,,,Less than 1 year,,,Percentage (%),Undefined,Units,27.951999999999998
2010,Household (%),,,,,,,,,,,1-4 years,,,Percentage (%),Undefined,Units,25.13
2010,Household (%),,,,,,,,,,,5-9 years,,,Percentage (%),Undefined,Units,21.910999999999998
2010,Household (%),,,,,,,,,,,10-19 years,,,Percentage (%),Undefined,Units,23.159000000000002
2010,Household (%),,,,,,,,,,,20-29 years,,,Percentage (%),Undefined,Units,27.991
2010,Household (%),,,,,,,,,,,30 or more years,,,Percentage (%),Undefined,Units,33.928000000000004
2011,Household (%),,,Couple under 60,,,,,,,,,,,Percentage (%),Undefined,Units,22.873
2011,Household (%),,,Couple 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,20.386
2011,Household (%),,,Couple with children,,,,,,,,,,,Percentage (%),Undefined,Units,20.484
2011,Household (%),,,Lone parent,,,,,,,,,,,Percentage (%),Undefined,Units,23.910999999999998
2011,Household (%),,,Multi-person household,,,,,,,,,,,Percentage (%),Undefined,Units,28.315
2011,Household (%),,,One person under 60,,,,,,,,,,,Percentage (%),Undefined,Units,27.824
2011,Household (%),,,One person 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,24.406
2011,Household (%),,,,59 and under,,,,,,,,,,Percentage (%),Undefined,Units,23.576999999999998
2011,Household (%),,,,60 and over,,,,,,,,,,Percentage (%),Undefined,Units,22.62
2011,Household (%),,,,75 and over,,,,,,,,,,Percentage (%),Undefined,Units,23.191999999999997
2011,Household (%),,,,,4 and under,,,,,,,,,Percentage (%),Undefined,Units,23.147
2011,Household (%),,,,,15 and under,,,,,,,,,Percentage (%),Undefined,Units,21.509
2011,Household (%),,,,,16 and over,,,,,,,,,Percentage (%),Undefined,Units,23.904
2011,Household (%),,,,,,1st quintile (lowest),,,,,,,,Percentage (%),Undefined,Units,25.393
2011,Household (%),,,,,,2nd quintile,,,,,,,,Percentage (%),Undefined,Units,26.028000000000002
2011,Household (%),,,,,,3rd quintile,,,,,,,,Percentage (%),Undefined,Units,23.539
2011,Household (%),,,,,,4th quintile,,,,,,,,Percentage (%),Undefined,Units,21.224
2011,Household (%),,,,,,5th quintile (highest),,,,,,,,Percentage (%),Undefined,Units,20.008
2011,Household (%),,,,,,,In poverty,,,,,,,Percentage (%),Undefined,Units,25.64
2011,Household (%),,,,,,,Not in poverty,,,,,,,Percentage (%),Undefined,Units,22.791
2011,Household (%),,,,,,,,Workless household,,,,,,Percentage (%),Undefined,Units,23.305
2011,Household (%),,,,,,,,Working household,,,,,,Percentage (%),Undefined,Units,23.680999999999997
2011,Household (%),,,,,,,,,Long-term illness/disability,,,,,Percentage (%),Undefined,Units,22.863000000000003
2011,Household (%),,,,,,,,,No long-term illness/disability,,,,,Percentage (%),Undefined,Units,23.371
2011,Household (%),,,,,,,,,,White,,,,Percentage (%),Undefined,Units,23.057
2011,Household (%),,,,,,,,,,Black,,,,Percentage (%),Undefined,Units,25.436999999999998
2011,Household (%),,,,,,,,,,Asian,,,,Percentage (%),Undefined,Units,25.074
2011,Household (%),,,,,,,,,,Other,,,,Percentage (%),Undefined,Units,23.112
2011,Household (%),,,,,,,,,,All minority,,,,Percentage (%),Undefined,Units,24.628
2011,Household (%),,,,,,,,,,,Less than 1 year,,,Percentage (%),Undefined,Units,26.166999999999998
2011,Household (%),,,,,,,,,,,1-4 years,,,Percentage (%),Undefined,Units,22.896
2011,Household (%),,,,,,,,,,,5-9 years,,,Percentage (%),Undefined,Units,20.19
2011,Household (%),,,,,,,,,,,10-19 years,,,Percentage (%),Undefined,Units,20.4
2011,Household (%),,,,,,,,,,,20-29 years,,,Percentage (%),Undefined,Units,24.967
2011,Household (%),,,,,,,,,,,30 or more years,,,Percentage (%),Undefined,Units,28.599
2012,Household (%),,,Couple under 60,,,,,,,,,,,Percentage (%),Undefined,Units,20.295
2012,Household (%),,,Couple 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,18.867
2012,Household (%),,,Couple with children,,,,,,,,,,,Percentage (%),Undefined,Units,19.354
2012,Household (%),,,Lone parent,,,,,,,,,,,Percentage (%),Undefined,Units,20.676
2012,Household (%),,,Multi-person household,,,,,,,,,,,Percentage (%),Undefined,Units,28.622
2012,Household (%),,,One person under 60,,,,,,,,,,,Percentage (%),Undefined,Units,26.070999999999998
2012,Household (%),,,One person 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,22.811999999999998
2012,Household (%),,,,59 and under,,,,,,,,,,Percentage (%),Undefined,Units,21.843000000000004
2012,Household (%),,,,60 and over,,,,,,,,,,Percentage (%),Undefined,Units,21.136
2012,Household (%),,,,75 and over,,,,,,,,,,Percentage (%),Undefined,Units,21.384
2012,Household (%),,,,,4 and under,,,,,,,,,Percentage (%),Undefined,Units,20.558000000000003
2012,Household (%),,,,,15 and under,,,,,,,,,Percentage (%),Undefined,Units,20.136
2012,Household (%),,,,,16 and over,,,,,,,,,Percentage (%),Undefined,Units,22.184
2012,Household (%),,,,,,1st quintile (lowest),,,,,,,,Percentage (%),Undefined,Units,25.529
2012,Household (%),,,,,,2nd quintile,,,,,,,,Percentage (%),Undefined,Units,24.499000000000002
2012,Household (%),,,,,,3rd quintile,,,,,,,,Percentage (%),Undefined,Units,21.558000000000003
2012,Household (%),,,,,,4th quintile,,,,,,,,Percentage (%),Undefined,Units,18.158
2012,Household (%),,,,,,5th quintile (highest),,,,,,,,Percentage (%),Undefined,Units,18.598
2012,Household (%),,,,,,,In poverty,,,,,,,Percentage (%),Undefined,Units,26.415
2012,Household (%),,,,,,,Not in poverty,,,,,,,Percentage (%),Undefined,Units,20.840999999999998
2012,Household (%),,,,,,,,Workless household,,,,,,Percentage (%),Undefined,Units,22.531999999999996
2012,Household (%),,,,,,,,Working household,,,,,,Percentage (%),Undefined,Units,21.701999999999998
2012,Household (%),,,,,,,,,Long-term illness/disability,,,,,Percentage (%),Undefined,Units,21.386999999999997
2012,Household (%),,,,,,,,,No long-term illness/disability,,,,,Percentage (%),Undefined,Units,21.607
2012,Household (%),,,,,,,,,,White,,,,Percentage (%),Undefined,Units,21.15
2012,Household (%),,,,,,,,,,Black,,,,Percentage (%),Undefined,Units,25.755
2012,Household (%),,,,,,,,,,Asian,,,,Percentage (%),Undefined,Units,26.261
2012,Household (%),,,,,,,,,,Other,,,,Percentage (%),Undefined,Units,22.502
2012,Household (%),,,,,,,,,,All minority,,,,Percentage (%),Undefined,Units,25.2
2012,Household (%),,,,,,,,,,,Less than 1 year,,,Percentage (%),Undefined,Units,24.581
2012,Household (%),,,,,,,,,,,1-4 years,,,Percentage (%),Undefined,Units,21.201999999999998
2012,Household (%),,,,,,,,,,,5-9 years,,,Percentage (%),Undefined,Units,18.83
2012,Household (%),,,,,,,,,,,10-19 years,,,Percentage (%),Undefined,Units,18.915
2012,Household (%),,,,,,,,,,,20-29 years,,,Percentage (%),Undefined,Units,22.581999999999997
2012,Household (%),,,,,,,,,,,30 or more years,,,Percentage (%),Undefined,Units,27.203000000000003
2013,Household (%),,,Couple under 60,,,,,,,,,,,Percentage (%),Undefined,Units,18.3055509931
2013,Household (%),,,Couple 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,17.6241884474
2013,Household (%),,,Couple with children,,,,,,,,,,,Percentage (%),Undefined,Units,17.3370252574
2013,Household (%),,,Lone parent,,,,,,,,,,,Percentage (%),Undefined,Units,19.5768503165
2013,Household (%),,,Multi-person household,,,,,,,,,,,Percentage (%),Undefined,Units,25.0039523552
2013,Household (%),,,One person under 60,,,,,,,,,,,Percentage (%),Undefined,Units,25.1238068591
2013,Household (%),,,One person 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,22.6086670521
2013,Household (%),,,,59 and under,,,,,,,,,,Percentage (%),Undefined,Units,20.2543265442
2013,Household (%),,,,60 and over,,,,,,,,,,Percentage (%),Undefined,Units,19.880415528
2013,Household (%),,,,75 and over,,,,,,,,,,Percentage (%),Undefined,Units,21.3096740253
2013,Household (%),,,,,4 and under,,,,,,,,,Percentage (%),Undefined,Units,18.0802130801
2013,Household (%),,,,,15 and under,,,,,,,,,Percentage (%),Undefined,Units,18.621741369000002
2013,Household (%),,,,,16 and over,,,,,,,,,Percentage (%),Undefined,Units,20.6541090673
2013,Household (%),,,,,,1st quintile (lowest),,,,,,,,Percentage (%),Undefined,Units,25.2086583809
2013,Household (%),,,,,,2nd quintile,,,,,,,,Percentage (%),Undefined,Units,21.0618346951
2013,Household (%),,,,,,3rd quintile,,,,,,,,Percentage (%),Undefined,Units,22.176662736399997
2013,Household (%),,,,,,4th quintile,,,,,,,,Percentage (%),Undefined,Units,16.495065922000002
2013,Household (%),,,,,,5th quintile (highest),,,,,,,,Percentage (%),Undefined,Units,16.337960696
2013,Household (%),,,,,,,In poverty,,,,,,,Percentage (%),Undefined,Units,25.631760146999998
2013,Household (%),,,,,,,Not in poverty,,,,,,,Percentage (%),Undefined,Units,19.2829469161
2013,Household (%),,,,,,,,Workless household,,,,,,Percentage (%),Undefined,Units,23.1424170752
2013,Household (%),,,,,,,,Working household,,,,,,Percentage (%),Undefined,Units,19.3533456544
2013,Household (%),,,,,,,,,Long-term illness/disability,,,,,Percentage (%),Undefined,Units,20.022234468
2013,Household (%),,,,,,,,,No long-term illness/disability,,,,,Percentage (%),Undefined,Units,20.1354373373
2013,Household (%),,,,,,,,,,White,,,,Percentage (%),Undefined,Units,19.7400555885
2013,Household (%),,,,,,,,,,Black,,,,Percentage (%),Undefined,Units,24.986680638499998
2013,Household (%),,,,,,,,,,Asian,,,,Percentage (%),Undefined,Units,22.9140135194
2013,Household (%),,,,,,,,,,Other,,,,Percentage (%),Undefined,Units,21.9275258158
2013,Household (%),,,,,,,,,,All minority,,,,Percentage (%),Undefined,Units,23.259537404299998
2013,Household (%),,,,,,,,,,,Less than 1 year,,,Percentage (%),Undefined,Units,20.330519285999998
2013,Household (%),,,,,,,,,,,1-4 years,,,Percentage (%),Undefined,Units,20.170618834000003
2013,Household (%),,,,,,,,,,,5-9 years,,,Percentage (%),Undefined,Units,16.6091743771
2013,Household (%),,,,,,,,,,,10-19 years,,,Percentage (%),Undefined,Units,17.7774510196
2013,Household (%),,,,,,,,,,,20-29 years,,,Percentage (%),Undefined,Units,21.2914166383
2013,Household (%),,,,,,,,,,,30 or more years,,,Percentage (%),Undefined,Units,26.649225367600003
2014,Household (%),,,Couple under 60,,,,,,,,,,,Percentage (%),Undefined,Units,19.7044425512
2014,Household (%),,,Couple 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,16.557494491099998
2014,Household (%),,,Couple with children,,,,,,,,,,,Percentage (%),Undefined,Units,17.6213741645
2014,Household (%),,,Lone parent,,,,,,,,,,,Percentage (%),Undefined,Units,18.9566157691
2014,Household (%),,,Multi-person household,,,,,,,,,,,Percentage (%),Undefined,Units,20.3402102971
2014,Household (%),,,One person under 60,,,,,,,,,,,Percentage (%),Undefined,Units,23.3700958392
2014,Household (%),,,One person 60 or over,,,,,,,,,,,Percentage (%),Undefined,Units,21.904138787199997
2014,Household (%),,,,59 and under,,,,,,,,,,Percentage (%),Undefined,Units,19.4889210626
2014,Household (%),,,,60 and over,,,,,,,,,,Percentage (%),Undefined,Units,19.4016644421
2014,Household (%),,,,75 and over,,,,,,,,,,Percentage (%),Undefined,Units,21.1659876244
2014,Household (%),,,,,4 and under,,,,,,,,,Percentage (%),Undefined,Units,18.65359574
2014,Household (%),,,,,15 and under,,,,,,,,,Percentage (%),Undefined,Units,18.298400477999998
2014,Household (%),,,,,16 and over,,,,,,,,,Percentage (%),Undefined,Units,19.8759477783
2014,Household (%),,,,,,1st quintile (lowest),,,,,,,,Percentage (%),Undefined,Units,23.777397427100002
2014,Household (%),,,,,,2nd quintile,,,,,,,,Percentage (%),Undefined,Units,19.4046536133
2014,Household (%),,,,,,3rd quintile,,,,,,,,Percentage (%),Undefined,Units,22.2112237955
2014,Household (%),,,,,,4th quintile,,,,,,,,Percentage (%),Undefined,Units,17.3940063081
2014,Household (%),,,,,,5th quintile (highest),,,,,,,,Percentage (%),Undefined,Units,15.2203070184
2014,Household (%),,,,,,,In poverty,,,,,,,Percentage (%),Undefined,Units,23.363274815100002
2014,Household (%),,,,,,,Not in poverty,,,,,,,Percentage (%),Undefined,Units,18.8593171017
2014,Household (%),,,,,,,,Workless household,,,,,,Percentage (%),Undefined,Units,23.97040073
2014,Household (%),,,,,,,,Working household,,,,,,Percentage (%),Undefined,Units,18.3967336414
2014,Household (%),,,,,,,,,Long-term illness/disability,,,,,Percentage (%),Undefined,Units,20.611588334300002
2014,Household (%),,,,,,,,,No long-term illness/disability,,,,,Percentage (%),Undefined,Units,18.9053424234
2014,Household (%),,,,,,,,,,White,,,,Percentage (%),Undefined,Units,19.2479245261
2014,Household (%),,,,,,,,,,Black,,,,Percentage (%),Undefined,Units,22.3794539788
2014,Household (%),,,,,,,,,,Asian,,,,Percentage (%),Undefined,Units,21.0466667975
2014,Household (%),,,,,,,,,,Other,,,,Percentage (%),Undefined,Units,20.4432859375
2014,Household (%),,,,,,,,,,All minority,,,,Percentage (%),Undefined,Units,21.2622853076
2014,Household (%),,,,,,,,,,,Less than 1 year,,,Percentage (%),Undefined,Units,19.4560544646
2014,Household (%),,,,,,,,,,,1-4 years,,,Percentage (%),Undefined,Units,19.077254568599997
2014,Household (%),,,,,,,,,,,5-9 years,,,Percentage (%),Undefined,Units,16.2984965808
