Year,Series,Beverage,Sex,Age,Observation status,Unit multiplier,Units,Value
1980,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,2.24
1979,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,2.4
1978,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,2.2
1977,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.83
1976,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,2.15
1975,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.92
1974,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,2.02
1973,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.84
1972,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.46
1971,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.31
1970,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.24
1969,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.08
1968,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.14
1967,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.1
1966,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.1
1965,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.09
1964,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.17
1963,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.09
1962,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.03
1961,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,15 years old and over,Normal value,Units,Litres pure alcohol,1.04
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.61
2018,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.61
2017,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.67
2016,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.66
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.71
2014,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.73
2013,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.8
2012,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.82
2011,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.88
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.89
2009,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.91
2008,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.82
2007,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.8
2006,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.75
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.65
2004,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.63
2003,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.6
2002,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.61
2001,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.62
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.63
1999,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.62
1998,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.62
1997,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.63
1996,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.62
1995,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.55
1994,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.52
1993,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.47
1992,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.44
1991,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.43
1990,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.38
1989,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.35
1988,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.37
1987,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0.38
1986,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0
1985,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0
1984,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0
1983,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0
1982,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0
1981,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0
1980,Alcohol consumption per capita (aged 15 years and older) within a calendar year,Other alcoholic beverages,,15 years old and over,Normal value,Units,Litres pure alcohol,0
2019,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,15 years old and over,Normal value,Units,Litres pure alcohol,5.4
2015,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,15 years old and over,Normal value,Units,Litres pure alcohol,5.3
2010,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,15 years old and over,Normal value,Units,Litres pure alcohol,5.7
2005,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,15 years old and over,Normal value,Units,Litres pure alcohol,6.8
2000,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Female,15 years old and over,Normal value,Units,Litres pure alcohol,6.7
2019,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,15 years old and over,Normal value,Units,Litres pure alcohol,17.7
2015,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,15 years old and over,Normal value,Units,Litres pure alcohol,17.4
2010,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,15 years old and over,Normal value,Units,Litres pure alcohol,18.7
2005,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,15 years old and over,Normal value,Units,Litres pure alcohol,21.5
2000,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,Male,15 years old and over,Normal value,Units,Litres pure alcohol,21.6
2019,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,11.4
2015,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,11.2
2010,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,12
2005,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,13.9
2000,Total alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,13.9
2019,Unrecorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,1

