Year,Series,Units,Material category,Observation status,Unit multiplier,Value
2009,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,187.13313878237847
2010,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,180.22103633013944
2011,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,184.0053649818105
2012,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,175.83097348780626
2013,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,178.85301512308538
2014,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,182.82332258138536
2015,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,173.70193293849152
2016,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,170.7109790531052
2017,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,172.55605790141084
2018,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,173.50610520999916
2019,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,176.36271645253956
2020,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,185.3397594068018
2021,Domestic material consumption per unit of GDP,Tonnes per $m,,Normal value,Units,184.6309413003363
