Indicator,Reporting status,UN designated tier,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type,Source
#5-a-1,complete,Tier II,"United Nations Entity for Gender Equality and the Empowerment of Women (UN Women), United Nations Statistics Division (UNSD), Food and Agriculture Organization of the United Nations (FAO)",,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#5-a-2,complete,Tier II,Food and Agriculture Organization (FAO),True,,Great Britain,,line,
#5-b-1,complete,Tier II,International Telecommunication Union (ITU),,True,United Kingdom,Percentage (%),line,Ofcom
#5-c-1,complete,Tier II,"UN Women, Organisation for Economic Co-operation and Development (OECD)",True,,Great Britain,,line,
#6-1-1,complete,Tier II,"World Health Organisation (WHO), United Nations Children's Fund (UNICEFF)",,,United Kingdom,Percentage (%),line,"WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene"
#6-2-1,complete,Tier II,"World Health Organisation (WHO), United Nations Children's Fund (UNICEF)",,,United Kingdom,Percentage (%),line,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP)"
#6-3-1,notstarted,Tier II,"World Health Organisation (WHO), United Nations Human Settlements Programme (UN-Habitat), United Nations Statistics Division (UNSD)",,,,,,
#6-3-2,complete,Tier II,United Nations Environment Programme (UNEP) (GEMS/Water),,,United Kingdom,Percentage (%),line,"Department for Environment, Food & Rural Affairs (Defra)"
#6-4-1,notstarted,Tier I,Food and Agriculture Organization (FAO),,,,,line,
#6-4-2,complete,Tier I,Food and Agriculture Organization of the United Nations (FAO),,,United Kingdom,Percentage (%),line,Aquastat
#6-5-1,complete,Tier I,United Nations Environment Programme (UNEP),,,United Kingdom,Percentage (%),bar,Integrated Water Resources Management (IWRM) International
#6-5-2,complete,Tier I,"United Nations Education and Scientific Cultural Organisation - Institute for Statistics (UNESCO-UIS), United Nations Economic Commission for Europe (UNECE)",True,,United Kingdom,,line,
#6-6-1,complete,Tier I,"UN Environment Programme (UNEP), Secretariat of the Ramsar Convention on Wetlands",,,United Kingdom,Percentage change (%) and Square kilometres (km²),line,"European Commission's Joint Research Centre, UN Environment, and Google"
#6-a-1,complete,Tier I,"World Health Organization (WHO), United Nations Environment Programme (UNEP), Organisation for Economic Co-operation and Development (OECD)",,,United Kingdom,"GBP (£ thousands), constant USD in 2020 prices ($ thousands)",line,"Foreign, Commonwealth & Development Office (FCDO)"
#6-b-1,complete,Tier I,"World Health Organisation (WHO), UN Environment (UNEP), Organisation for Economic Co-operation and Development (OECD)",True,,,,line,
#7-1-1,complete,Tier I,World Bank (WB),,,United Kingdom,Percentage (%),line,World Bank (WB)
#7-1-2,complete,Tier I,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD), The World Trade Organization (WTO)",,,United Kingdom,Percentage (%),line,World Health Organisation (WHO)
#7-2-1,complete,Tier I,"International Energy Agency (IEA), United Nations Statistics Division (UNSD), United Nations' inter-agency mechanism on energy (UN Energy) and the SE4ALL Global Tracking Framework Consortium",,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS); Ricardo Energy and Environment
#7-3-1,complete,Tier I,International Energy Agency (IEA) and United Nations Statistics Division (UNSD).,,,United Kingdom,Terajoules per million pounds (TJ/£ million),line,"Office for National Statistics, Ricardo Energy and Environment"
#7-a-1,complete,Tier I,Organisation for Economic Co-operation and Development (OECD) and International Renewable Energy Agency (IRENA),,,United Kingdom,"GBP (£ thousands), constant USD ($ thousands) at 2020 prices",line,"Foreign, Commonwealth & Development Office (FCDO)"
#7-b-1,complete,Tier I,International Renewable Energy Agency (IRENA),,True,United Kingdom,Watts per capita,line,"Department for Business, Energy & Industrial Strategey"
#8-1-1,complete,Tier I,United Nations Statistics Division (UNSD),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#8-10-1,complete,Tier I,International Monetary Fund (IMF),,True,United Kingdom,"Number per 100,000 adults",line,LINK
#8-10-2,complete,Tier I,World Bank (WB),,,United Kingdom,Percentage (%),line,Department for Work and Pensions (DWP)
#8-2-1,complete,Tier I,International Labour Organization (ILO),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#8-3-1,complete,Tier II,International Labour Organization (ILO),,True,United Kingdom,Percentage(%),line,Office for National Statistics
#8-4-1,complete,Tier II,United Nations Environment Programme (UNEP),,,United Kingdom,"Million metric tons, Tons per capita, Tons per GDP (£m), Kilograms per constant USD ($) expressed in 2021 prices",line,Office for National Statistics (ONS)
#8-4-2,complete,Tier I,United Nations Environment Programme (UNEP),,,United Kingdom,"Million tonnes, Tonnes per capita, Tonnes per GDP ($m)",line,Office for National Statistics (ONS)
#8-5-1,complete,Tier II,International Labour Organization (ILO),,,United Kingdom,GBP (£),line,Office for National Statistics (ONS)
#8-5-2,complete,Tier I,International Labour Organization (ILO),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#8-6-1,complete,Tier I,International Labour Organization (ILO),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#8-7-1,complete,Tier II,"International Labour Organization (ILO), United Nations Children's Fund (UNICEFF)",,,United Kingdom,Number of children,line,Home Office - National Referral Mechanism
#8-8-1,complete,Tier II,International Labour Organization (ILO),,,Great Britain,"Rate per 100,000 workers",line,Health and Safety Executive (HSE)
#8-8-2,complete,Tier II,International Labour Organization (ILO),,,United Kingdom,Score,line,United Nations SDG Global database (UNSDG)
#8-9-1,complete,Tier II,World Tourism Organization (UNTWO),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#8-a-1,complete,Tier I,Organisation for Economic Co-operation and Development (OECD),,,United Kingdom,"GBP (£ thousands), constant USD ($ thousands)",line,"Foreign, Commonwealth & Development Office (FCDO)"
#8-b-1,complete,Tier II,International Labour Organization (ILO),True,,,,line,
#9-1-1,complete,Tier II,World Bank (WB),,True,UK,Percentage (%),bar,Office for National Statistics
#9-1-2,complete,Tier I,International Civil Aviation Organization (ICAO),,,United Kingdom,"Number (Thousands), Tonnes (Thousands)",line,Department for Transport (DfT) & Civil Aviation Authority
#9-2-1,complete,Tier I,United Nations Industrial Development Organization (UNIDO),,,United Kingdom,"Percentage (%), GBP (£)",line,Office for National Statistics (ONS)
#9-2-2,complete,Tier I,United Nations Industrial Development Organization (UNIDO),,True,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#9-3-1,complete,Tier II,United Nations Industrial Development Organization (UNIDO),,,United Kingdom,Percentage (%),line,United Nations
#9-3-2,notstarted,Tier I,"United Nations Industrial Development Organization (UNIDO), World Bank (WB)",,,,,line,
#9-4-1,complete,Tier I,"International Energy Agency (IEA), United Nations Industrial Development Organization (UNIDO)",,,United Kingdom,Thousand Tonnes per Million GBP (£),line,Office for National Statistics (ONS)
#9-5-1,complete,Tier I,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#9-5-2,complete,Tier I,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,True,United Kingdom,"Number per 1,000,000",line,Office for National Statistics
#9-a-1,complete,Tier I,Organisation for Economic Co-operation and Development (OECD),,,United Kingdom,"GBP, constant USD at 2020 prices",line,"Foreign, Commonwealth & Development Office (FCDO)"
#9-b-1,complete,Tier I,United Nations Industrial Development Organization (UNIDO),,,United Kingdom,Percentage (%),line,Office for National Statistics (ONS)
#9-c-1,complete,Tier I,International Telecommunication Union (ITU),,,United Kingdom,Percentage (%),line,United Nations Statistics Division
