Year,Series,Units,Type of partner abuse,Abuse sub-category,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Urban or Rural,Sexual orientation,Gender identity,Highest qualification,Household income,Unit multiplier,Observation status,GeoCode,Value
2018/19,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,Any other Asian background,,,,,,,,,Units,Normal value,,0.0
2018/19,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,Indian,,,,,,,,,Units,Normal value,,4.234301998563054
2018/19,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,Pakistani,,,,,,,,,Units,Normal value,,5.983759859695322
2018/19,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,,,,,,,,,,Units,Normal value,,3.6053749083585847
2018/19,Women aged 16 to 74,Percentage (%),,,,Black/African/Caribbean/Black British,African,,,,,,,,,Units,Normal value,,3.458988191006348
2018/19,Women aged 16 to 74,Percentage (%),,,,Black/African/Caribbean/Black British,Caribbean,,,,,,,,,Units,Normal value,,10.552326925082305
2018/19,Women aged 16 to 74,Percentage (%),,,,Black/African/Caribbean/Black British,,,,,,,,,,Units,Normal value,,5.525981677231917
2018/19,Women aged 16 to 74,Percentage (%),,,,Mixed,,,,,,,,,,Units,Normal value,,16.448187312098373
2018/19,Women aged 16 to 74,Percentage (%),,,,Other ethnic group,,,,,,,,,,Units,Normal value,,5.632404694978325
2018/19,Women aged 16 to 74,Percentage (%),,,,White,Any other White background,,,,,,,,,Units,Normal value,,3.513469486828807
2018/19,Women aged 16 to 74,Percentage (%),,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,,,,Units,Normal value,,5.779358265377244
2018/19,Women aged 16 to 74,Percentage (%),,,,White,,,,,,,,,,Units,Normal value,,5.563858898858095
2018/19,Women aged 16 to 74,Percentage (%),,,,,,Disabled (GSS harmonised),,,,,,,,Units,Normal value,,9.976597837604867
2018/19,Women aged 16 to 74,Percentage (%),,,,,,Non-disabled (GSS harmonised),,,,,,,,Units,Normal value,,4.861129691921827
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,Born in UK,,,,,,,Units,Normal value,,6.057586618313199
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,Not born in UK,,,,,,,Units,Normal value,,3.4921502152097754
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,East Midlands,,,,,,Units,Normal value,E12000004,6.271410139907447
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,East of England,,,,,,Units,Normal value,E12000006,7.574170155030112
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,London,,,,,,Units,Normal value,E12000007,3.999234467278249
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,North East,,,,,,Units,Normal value,E12000001,4.474192351070757
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,North West,,,,,,Units,Normal value,E12000002,4.754530711897975
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,South East,,,,,,Units,Normal value,E12000008,6.5210044698305305
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,South West,,,,,,Units,Normal value,E12000009,4.98837887914196
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,Wales,,,,,,Units,Normal value,W92000004,4.8418383058702
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,West Midlands,,,,,,Units,Normal value,E12000005,6.389789982640518
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,Yorkshire and The Humber,,,,,,Units,Normal value,E12000003,5.849628574327949
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,Apprenticeship or A/AS level,,Units,Normal value,,6.6670736857809
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,Degree or diploma,,Units,Normal value,,5.365121807174528
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,No qualification,,Units,Normal value,,3.275656966430622
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,O level/GCSE,,Units,Normal value,,6.840244175460455
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,Other qualification,,Units,Normal value,,3.863436990558932
2018/19,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,5.61968859866154
2019/20,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.5430645746367253
2019/20,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,4.141181711012202
2019/20,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,2.203765899179056
2019/20,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,2.8086754558446643
2019/20,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,5.338462639811761
2019/20,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.4186005891812054
2019/20,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.4479706950289823
2019/20,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.6671520201276346
2019/20,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.174005902347424
2019/20,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,6.165795642731854
2019/20,Women aged 16 to 74,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.3884237540141666
2019/20,Women aged 16 to 74,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,3.7964250845242753
2019/20,Women aged 16 to 74,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,1.9132671423170728
2019/20,Women aged 16 to 74,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,2.5183716189149243
2019/20,Women aged 16 to 74,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,4.927129901727842
2019/20,Women aged 16 to 74,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.3316609734036738
2019/20,Women aged 16 to 74,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.364408733376186
2019/20,Women aged 16 to 74,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.5380015044765761
2019/20,Women aged 16 to 74,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,0.9690093356579844
2019/20,Women aged 16 to 74,Percentage (%),,,16 to 19,,,,,,,,,,,Units,Normal value,,9.719238333188644
2019/20,Women aged 16 to 74,Percentage (%),,,20 to 24,,,,,,,,,,,Units,Normal value,,7.479848829135867
2019/20,Women aged 16 to 74,Percentage (%),,,25 to 34,,,,,,,,,,,Units,Normal value,,5.892359528224055
2019/20,Women aged 16 to 74,Percentage (%),,,35 to 44,,,,,,,,,,,Units,Normal value,,5.449931264523441
2019/20,Women aged 16 to 74,Percentage (%),,,45 to 54,,,,,,,,,,,Units,Normal value,,6.134100976716416
2019/20,Women aged 16 to 74,Percentage (%),,,55 to 59,,,,,,,,,,,Units,Normal value,,4.662433287666621
2019/20,Women aged 16 to 74,Percentage (%),,,60 to 74,,,,,,,,,,,Units,Normal value,,3.443561782805657
2019/20,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,Any other Asian background,,,,,,,,,Units,Normal value,,1.7710623591106982
2019/20,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,Bangladeshi,,,,,,,,,Units,Normal value,,2.8983338472950444
2019/20,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,Chinese,,,,,,,,,Units,Normal value,,2.75351552418908
2019/20,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,Indian,,,,,,,,,Units,Normal value,,2.682980246734557
2019/20,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,Pakistani,,,,,,,,,Units,Normal value,,4.528716690689322
2019/20,Women aged 16 to 74,Percentage (%),,,,Asian/Asian British,,,,,,,,,,Units,Normal value,,3.017858164176115
2019/20,Women aged 16 to 74,Percentage (%),,,,Black/African/Caribbean/Black British,African,,,,,,,,,Units,Normal value,,4.532353452425294
2019/20,Women aged 16 to 74,Percentage (%),,,,Black/African/Caribbean/Black British,Caribbean,,,,,,,,,Units,Normal value,,4.075639376450569
2019/20,Women aged 16 to 74,Percentage (%),,,,Black/African/Caribbean/Black British,,,,,,,,,,Units,Normal value,,4.255813755293295
2019/20,Women aged 16 to 74,Percentage (%),,,,Mixed,Any other Mixed/Multiple ethnic background,,,,,,,,,Units,Normal value,,0.7945522998580976
2019/20,Women aged 16 to 74,Percentage (%),,,,Mixed,White and Black Caribbean,,,,,,,,,Units,Normal value,,11.63113020397839
2019/20,Women aged 16 to 74,Percentage (%),,,,Mixed,,,,,,,,,,Units,Normal value,,6.247334437810206
2019/20,Women aged 16 to 74,Percentage (%),,,,Other ethnic group,,,,,,,,,,Units,Normal value,,3.8891505561333264
2019/20,Women aged 16 to 74,Percentage (%),,,,White,Any other White background,,,,,,,,,Units,Normal value,,3.488434803505497
2019/20,Women aged 16 to 74,Percentage (%),,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,,,,Units,Normal value,,6.1273260028778616
2019/20,Women aged 16 to 74,Percentage (%),,,,White,,,,,,,,,,Units,Normal value,,5.901064136298121
2019/20,Women aged 16 to 74,Percentage (%),,,,,,Disabled (GSS harmonised),,,,,,,,Units,Normal value,,11.457190416622666
2019/20,Women aged 16 to 74,Percentage (%),,,,,,Non-disabled (GSS harmonised),,,,,,,,Units,Normal value,,4.571889166326558
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,Born in UK,,,,,,,Units,Normal value,,6.078639966801806
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,Not born in UK,,,,,,,Units,Normal value,,3.327171642814968
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,East Midlands,,,,,,Units,Normal value,E12000004,5.747562032330414
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,East of England,,,,,,Units,Normal value,E12000006,5.6452713930807645
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,London,,,,,,Units,Normal value,E12000007,3.724835163672087
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,North East,,,,,,Units,Normal value,E12000001,3.959728887745527
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,North West,,,,,,Units,Normal value,E12000002,6.223989069281172
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,South East,,,,,,Units,Normal value,E12000008,4.96350297848181
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,South West,,,,,,Units,Normal value,E12000009,6.968626070462507
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,Wales,,,,,,Units,Normal value,W92000004,6.889651499687782
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,West Midlands,,,,,,Units,Normal value,E12000005,6.616928800900075
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,Yorkshire and The Humber,,,,,,Units,Normal value,E12000003,6.1828387684269295
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,Apprenticeship or A/AS level,,Units,Normal value,,6.349359308546925
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,Degree or diploma,,Units,Normal value,,5.124218933477335
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,No qualification,,Units,Normal value,,4.480967117555145
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,O level/GCSE,,Units,Normal value,,6.913219763207115
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,Other qualification,,Units,Normal value,,4.030800619922387
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,"£10,400 to less than £20,800",Units,Normal value,,7.643662803615695
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,"£20,800 to less than £31,200",Units,Normal value,,6.157471117674209
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,"£31,200 to less than £41,600",Units,Normal value,,5.2891718914458
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,"£41,600 to less than £52,000",Units,Normal value,,4.730938444399647
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,"£52,000 or more",Units,Normal value,,3.745177566280814
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,"Less than £10,400",Units,Normal value,,9.257920918997502
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,No income stated or not enough information provided,Units,Normal value,,4.140192006033339
2019/20,Women aged 16 to 74,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,5.600399616968888
2020/21,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Missing value,,
2020/21,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Missing value,,
2020/21,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Missing value,,
2020/21,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Missing value,,
2020/21,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Missing value,,
2020/21,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Missing value,,
2020/21,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Missing value,,
2020/21,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Missing value,,
2020/21,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Missing value,,
2020/21,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Missing value,,
2021/22,Women aged 16 and over,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,0.852954281466068
2021/22,Women aged 16 and over,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,3.25098519637643
2021/22,Women aged 16 and over,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,1.54877170354481
2021/22,Women aged 16 and over,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,1.78338257290435
2021/22,Women aged 16 and over,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,3.97167855210408
2021/22,Women aged 16 and over,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.611332359043199
2021/22,Women aged 16 and over,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.278472472730673
2021/22,Women aged 16 and over,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.743370641871578
2021/22,Women aged 16 and over,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,0.837379358480228
2021/22,Women aged 16 and over,Percentage (%),,,16 to 19,,,,,,,,,,,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,20 to 24,,,,,,,,,,,Units,Normal value,,7.68118969617489
2021/22,Women aged 16 and over,Percentage (%),,,25 to 34,,,,,,,,,,,Units,Normal value,,5.47833273780343
2021/22,Women aged 16 and over,Percentage (%),,,35 to 44,,,,,,,,,,,Units,Normal value,,4.92615014795722
2021/22,Women aged 16 and over,Percentage (%),,,45 to 54,,,,,,,,,,,Units,Normal value,,4.03697706184914
2021/22,Women aged 16 and over,Percentage (%),,,55 to 59,,,,,,,,,,,Units,Normal value,,7.00610386381606
2021/22,Women aged 16 and over,Percentage (%),,,60 to 74,,,,,,,,,,,Units,Normal value,,3.60123246680155
2021/22,Women aged 16 and over,Percentage (%),,,75 and over,,,,,,,,,,,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,,Asian/Asian British,,,,,,,,,,Units,Normal value,,1.83153297466902
2021/22,Women aged 16 and over,Percentage (%),,,,Black/African/Caribbean/Black British,,,,,,,,,,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,,Mixed/multiple ethnic groups,,,,,,,,,,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,,Other ethnic group,,,,,,,,,,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,,White,,,,,,,,,,Units,Normal value,,5.04010151299589
2021/22,Women aged 16 and over,Percentage (%),,,,,,Disabled,,,,,,,,Units,Normal value,,9.23519038588815
2021/22,Women aged 16 and over,Percentage (%),,,,,,Not disabled,,,,,,,,Units,Normal value,,3.8438403408662
2021/22,Women aged 16 and over,Percentage (%),,,,,,,Born in the UK,,,,,,,Units,Normal value,,5.25961904738189
2021/22,Women aged 16 and over,Percentage (%),,,,,,,Not born in the UK,,,,,,,Units,Normal value,,2.74464270873611
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,East Midlands,,,,,,Units,Normal value,E12000004,5.98642628718287
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,East of England,,,,,,Units,Normal value,E12000006,4.63041459776043
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,London,,,,,,Units,Normal value,E12000007,1.27846524429146
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,North East,,,,,,Units,Normal value,E12000001,5.71336313105978
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,North West,,,,,,Units,Normal value,E12000002,5.08120605688194
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,South East,,,,,,Units,Normal value,E12000008,4.93177623692157
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,South West,,,,,,Units,Normal value,E12000009,4.76939681786509
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,Wales,,,,,,Units,Missing value; suppressed,W92000004,
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,West Midlands,,,,,,Units,Normal value,E12000005,6.14281311097609
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,Yorkshire and The Humber,,,,,,Units,Normal value,E12000003,7.43556329531512
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,Rural,,,,,Units,Normal value,,5.4774329816575
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,Urban,,,,,Units,Normal value,,4.5962986512845
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,Bisexual,,,,Units,Normal value,,11.3757230286974
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,Gay/Lesbian,,,,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,Heterosexual/straight,,,,Units,Normal value,,4.56167219204175
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,Other,,,,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,Cisgender,,,Units,Normal value,,4.73351639648175
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,Transgender,,,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,Apprenticeship or A/AS level,,Units,Normal value,,5.6186181019529
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,Degree or diploma,,Units,Normal value,,4.66919790191069
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,No qualifications,,Units,Normal value,,4.1250666026009
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,O level/GCSE,,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,Other,,Units,Normal value,,4.20760022636933
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,,"£10,400 to less than £20,800",Units,Normal value,,8.16799588307547
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,,"£20,800 to less than £31,200",Units,Normal value,,6.34778648337265
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,,"£31,200 to less than £41,600",Units,Normal value,,1.81932843439752
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,,"£41,600 to less than £52,000",Units,Normal value,,3.63621405121652
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,,"£52,000 or more",Units,Normal value,,2.41111757112351
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,,"Less than £10,400",Units,Normal value,,9.80167882915256
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,,No income stated or not enough information provided,Units,Missing value; suppressed,,
2021/22,Women aged 16 and over,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,4.77098293986571
2021/22,Women aged 16 to 59,Percentage (%),Non-sexual,Force,,,,,,,,,,,,Units,Normal value,,1.00080464972377
2021/22,Women aged 16 to 59,Percentage (%),Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,Units,Normal value,,3.44421440600608
2021/22,Women aged 16 to 59,Percentage (%),Non-sexual,Threats,,,,,,,,,,,,Units,Normal value,,1.82993484824134
2021/22,Women aged 16 to 59,Percentage (%),Non-sexual,Threats or force,,,,,,,,,,,,Units,Normal value,,2.13114398090813
2021/22,Women aged 16 to 59,Percentage (%),Non-sexual,,,,,,,,,,,,,Units,Normal value,,4.3273092502581
2021/22,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,,,,,Units,Normal value,,0.743957148041272
2021/22,Women aged 16 to 59,Percentage (%),Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,Units,Normal value,,0.344201924216872
2021/22,Women aged 16 to 59,Percentage (%),Sexual (including attempts),,,,,,,,,,,,,Units,Normal value,,0.883681148012075
2021/22,Women aged 16 to 59,Percentage (%),Stalking by a partner/ex-partner,,,,,,,,,,,,,Units,Normal value,,1.16151896251621
2021/22,Women aged 16 to 59,Percentage (%),,,,,,,,,,,,,,Units,Normal value,,5.27120478241274
